Speaker,Brazilian Portuguese (PT)
,"A porta de entrada da mansão estava trancada, mas Erika tinha uma chave mestra, por isso pôde abri‐la sem maiores dificuldades."
,"Ela conseguiu fazer com que Krauss e os demais apreendessem as chaves mestras dos serviçais e, na ocasião, usou um pequeno truque de prestidigitação para furtar uma delas..."
Dlanor,"""Pois {f:5:bem}. Aonde devemos ir {f:5:primeiro}?"""
Furudo Erika,"""Por que a pergunta? ......Vamos primeiro ouvir a resposta do Battler‐san."""
,"Com um sorriso no rosto, Erika atravessou o hall de entrada, passando pela sala de jantar, e indo cada vez mais fundo na mansão."
,......Ela foi em direção ao quarto de hóspedes onde Battler jazia.
,Battler poderia deixar para decidir se deixaria os selos intactos ou não até o exato momento antes de Erika os testemunhar.
,"Entretanto, uma vez que ela os veja, ......o Game Master precisa mostrar o que aconteceu com eles."
,"No jogo de bruxas em que eles se encontram agora, ......o simples ato de ir verificar os selos do quarto de hóspedes já era um ataque."
Dlanor,""".........Você está pronto, Lorde {f:5:Battler}?"""
Ushiromiya Battler,"""Sim. ......Ou como você diria, ............venha, um passo à frente."""
Furudo Erika,"""{i:Good}! Então, permita‐me examinar a sua resposta. Certo, deixe me ver, ......os selos estão quebrados ou não? O quarto fechado foi preservado ......ou não...?!"""
,"A peça que Erika ergueu no ar......era uma rainha branca, que representava a si mesma."
,Seu alvo......era o território de Battler. Ela fez um corte reto...!
,"Erika correu pelo corredor com um sorriso doentio e se agarrou à porta do quarto, com uma aranha."
,"Então, ela examinou os selos que havia colocado retroativamente."
Furudo Erika,"""............Heh......heh{0}eh{0}eh{0}eh{0}eh{0}eh{0}eh{0}eeh{0}eh{0}eh{0}eh{0}eh{0}eeh{0}heh! ......Tem certeza...? .........Você tem certeza, ...Battler‐saaaaaaan...?!"""
{f:5:Beatrice},"""E‐......Está tudo bem, Battler‐san...?"""
Ushiromiya Battler,"""......Sim, eu não posso recuar aqui. ......Afinal, mesmo que eu esteja selado aqui, ......ainda há muitas formas de se colocar a carta."""
{f:5:Beatrice},"""Mas a Erika provavelmente está prestes a entrar no quarto de hóspedes. E então, ela vai observar seu corpo morto. ......O que vai fazer?! Se o corpo estiver lá, então não tem problema. ......A predição da carta vai se perder, mas não é como se tivesse uma penalidade por causa disso. ......Mas você......pretende confrontar isso de frente...!"""
Ushiromiya Battler,"""Há momentos em que......quando um homem é desafiado de frente...ele precisa responder, não importa o que esteja contra ele."""
Ushiromiya Battler,"""......Eu não devo...voltar atrás agora. .........Irei aceitar esse desafio. Eu posso procurar por uma forma de escapar depois...! Eu consegui fazer o mesmo com o estúdio do Kinzo da última vez...! .........Vai ficar tudo bem... Eu consigo fazer isso...! Eu consigo!! Pode vir, Erikaaa{‐}a{‐}a{‐}a{‐}a{‐}a{‐}a{‐}aaa!!!"""
Dlanor,"""{p:1:Nós confirmamos que os selos do quarto de hóspedes estão {f:5:intactos}. Desde a última vez em que a Lady {f:5:Erika} confirmou a presença de Battler, este quarto fechado se manteve {f:5:preservado}}."""
Furudo Erika,"""{i:Good}!! Vou quebrar os selos!! Cortá‐los e arrancá‐los!! Heh, hehi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi!!!"""
,"Erika, extasiada, destruiu o selo de fita kraft que estava na porta..."
,Parece que a estupradora intelectual finalmente havia exposto a sua verdadeira natureza.
Furudo Erika,"""......Muito bem, ......vou abrir agora...... Mostre para mim, ......Battler‐san, ......seu roteiro nu e cru...!! Hehihi{0}ha{0}ha{0}haa{0}ha{0}a{0}a{0}a{0}a{0}a{0}a{0}aahhh!!!"""
,"Como um delinquente pressionando uma garota indefesa, ......Erika, de forma impiedosa e ávida, empurrou a porta."
,"Então, finalmente, ......o interior do quarto de hóspedes de Battler foi observado por Erika."
,Battler precisava mostrá‐lo.
,.........Havia um corpo ou não?
Furudo Erika,"""{i:Come ooo{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}oon}, Battleee{‐}e{‐}e{‐}e{‐}e{‐}e{‐}er{‐}r{‐}r{‐}r{‐}r{‐}r{‐}r{‐}r!!"""
Ushiromiya Battler,"""Aaaaaaaaaaahhh, essa é a minha respostaaaaaaaaa!!"""
,Battler agarrou uma peça preta que estava no tabuleiro e a ergueu.
,"......Aah, ......essa peça........."
,Beato não tinha memórias da época em que ela era uma expert neste jogo.
,"Mesmo assim, ......por alguma razão, ela percebeu que esse era um movimento da qual não haveria como voltar atrás."
,"Uma vez que a peça fosse movida, não poderia ser retrocedida...!!"
,Uwaaaaaaaaaaaaaaaaaaahhhhh!!
,......O quarto de hóspedes estava coberto por uma escuridão silenciosa.
,"Estava completamente escuro, e nada podia ser visto. ......Entretanto, havia um interruptor de luz na posição de desligado, logo ao lado da entrada."
,"Se ele fosse pressionado, o quarto se iluminaria e todos poderiam ver se havia ou não um cadáver sobre a cama."
Dlanor,""".........Devo ligar as {f:5:luzes}?"""
Furudo Erika,"""Não, ......espere um pouco, por favor. .........Battler‐san, eu tenho uma proposta."""
Ushiromiya Battler,"""............Então me conte."""
Furudo Erika,"""Eu acho que você já sabe, ......mas dessa vez, eu não estou atrás da clássica vitória de identificar o culpado. ......Meu inimigo não é o humilde culpado matando as peças, .........mas meu oponente, você."""
Ushiromiya Battler,""".........Eu sei. ......Por isso, ......você está atrás do erro de lógica."""
Furudo Erika,"""Heheh......"""
Ushiromiya Battler,"""......Estou me arrependendo seriamente agora. ......Você agiu de forma tão miserável que eu acabei caindo completamente na sua lábia, ......e dei a você um privilégio ridículo."""
Dlanor,""".........A sua {f:5:arrogância} ......lhe custará {f:5:caro}."""
Ushiromiya Battler,"""..................Merda............"""
{f:5:Beatrice},"""......Então, ...qual é a sua proposta?"""
,"Com uma voz firme, Beato a incentivou a continuar.{n}Até um segundo atrás, ela permaneceu atrás de Battler, levemente afobada."
,......Mas agora ela estava preparada.
,"......Ela viu que Battler deixou com que suas emoções tomassem o controle, o levando a fazer um movimento ruim......e percebeu que agora era a hora dela permanecer calma e apoiá‐lo."
,"Não tinha como a proposta de Erika ser algo vantajoso.{n}E mais do que tudo, Erika era astuta."
,Ela certamente não faria uma proposta que pudesse ser rejeitada facilmente...
Furudo Erika,"""Estou prestes a acender as luzes. A cama será iluminada e será decidido se o Battler‐san desapareceu ou não, assim como a carta antecipou."""
Furudo Erika,"""......Se ele estiver aqui, ótimo. Não há nada de estranho nisso. A predição da carta simplesmente foi equivocada. ......É claro, o argumento provavelmente mudaria para ""então quem foi que colocou a carta lá?"", mas, como consequência, o local da luta será movido para fora deste quarto fechado."""
{f:5:Beatrice},"""........................E...se ele tiver sumido...?"""
,Beato já sabia.{n}Ela conhecia o movimento que Battler fez um segundo atrás.
,......Battler já......tinha desaparecido do quarto......
,"Portanto, eles precisariam preparar um truque de desaparecimento diferente, um que fosse além de ""ele estava vivo e saiu pela porta""."
,A situação era simples.
,"Primeiro, este quarto é um quarto fechado.{n}E mais, o status de vida ou morte de Battler ainda não foi confirmado."
,"Em outras palavras, não geraria problemas se ele estivesse vivo."
,"Sob tais condições, eles teriam que fazer Erika pensar que Battler desapareceu."
,"Ele precisaria escapar deste quarto, ......ou, se isso for impossível, ele poderia se esconder em algum lugar e esperar ela sair, fazendo ela pensar que ele desapareceu."
Furudo Erika,"""Dentro deste quarto minúsculo, ......o final de nosso jogo começará, ......a caçada pelo rei. Terminará em apenas alguns poucos movimentos. Você será incapaz de construir a lógica necessária para permitir que Battler escape deste quarto, .........e o conto será destruído — fim de jogo."""
{f:5:Beatrice},""".........Lutar para impedir que isso ocorra é o nosso trabalho. ......Qual é a proposta de vocês?"""
Furudo Erika,"""Uma luta final, travada sobre um erro de lógica, seria um pouco mais preciso. ......Mais uma vez, nós lutaremos com as verdades vermelha e azul, mas precisamos de um juiz que esteja no mesmo nível do Game Master, para observar e garantir que ele não criará nenhum erro de lógica com a verdade vermelha."""
{f:5:Beatrice},"""......I‐Isso me parece lógico."""
Furudo Erika,"""Não há nada de especial nisso. ......Na época em que a antiga você era a Game Master, você estava sob a observação da sua guardiã, a Lady {f:5:Lambdadelta}. Ela julgava todas as suas verdades vermelhas para validá‐las."""
Ushiromiya Battler,""".........Então, está dizendo para mostrarmos nossas cartas à {f:5:Lambdadelta}?"""
{f:5:Lambdadelta},"""Eu estou olhando para elas desde o início. ......Tudo bem, não se preocupem. Eu sou imparcial em meus julgamentos."""
{f:5:Beatrice},"""P‐Pode dizer isso com a verdade vermelha...?"""
{f:5:Lambdadelta},"""Sim. {p:1:Eu juro que sou imparcial em meus julgamentos}. .........Eu fui bem imparcial no último jogo, não fui?"""
{f:5:Bernkastel},"""......Especialmente em julgamentos especiais, onde será interessante de ambas as formas, certo? .........Aceite o desafio dela, Battler. A Erika vai encurralar você. Entendeu? .........Ela vai duelar com você e matá‐lo neste quarto. ......Se você é homem, aceite o duelo......!"""
Ushiromiya Battler,"""C‐......Claro, tudo bem. .........Não iremos a lugar nenhum se todo assassinato impossível que eu apresentar for acusado de ser um erro de lógica. ......É verdade que precisamos de um observador imparcial para garantir a legitimidade do jogo."""
{f:5:Lambdadelta},"""Certo, eu vou ficar do seu ladinho. ......Me deixe dar uma olhada na sua mão. ...............Hmmmmm......?"""
,{f:5:Lambdadelta} entendeu o que Battler estava guardando debaixo da manga.
,......E confirmou que o primeiro movimento de Erika havia realmente atingido diretamente o coração dele.
,"Assim como Erika havia suposto, Battler estava vivo, e após Erika examinar o seu ""cadáver"", ele escapou do quarto, ......plantou a carta na casa de hóspedes, e se escondeu em algum lugar."
,"Uma vez que os selos de fita kraft tenham sido retroativamente colocados no quarto de hóspedes, ......repentinamente ele se tornou obrigado a mostrar que estavam rompidos."
,"Contudo, se não o fizesse, seria o mesmo que admitir que ele foi lido por completo e se perdeu."
,"Relutante em admitir isso, Battler afirmou que os selos estavam preservados e, com sua falsa coragem, ele agora estava correndo contra o tempo para revisar a sua lógica."
,"Realmente, ele ainda poderia escapar com alguns poucos movimentos."
,......Mas Erika estava planejando encurralá‐lo e matá‐lo aqui...
{f:5:Lambdadelta},"""......Battler. ......Você está lutando com umas cartas bem incríveis."""
Ushiromiya Battler,"""Cartas...? ......Está falando que este jogo de xadrez parece um jogo de baralho para você?"""
{f:5:Lambdadelta},"""......Para mim, sempre pareceu que vocês estavam jogando uma partida de pôquer. Por isso, ao passar para esse lado e olhar as cartas que você tem, eu entendi tudo."""
{f:5:Lambdadelta},"""...............Essa é uma mão horrível. É basicamente a pior mão que se poderia ter... E a Erika sabia exatamente o que você tinha."""
Ushiromiya Battler,"""............Heheh... O que vai fazer?"""
{f:5:Lambdadelta},"""Eu sou a juíza. Não posso dar conselhos. ......Mas permita‐me dizer a você as minhas impressões."""
Ushiromiya Battler,"""Não, tudo bem."""
{f:5:Lambdadelta},"""......Estou formigando. ......Você está...pretendendo usar essa mão ""vazia""......esse blefe sem base......para fazer a Erika abandonar, não pretende...? ......Sabe que ela não vai jogar as cartas, né? ......Se alguém deveria entregar as fichas e abandonar agora, ......é você..."""
{f:5:Beatrice},"""......Obrigada pelo conselho. .........Battler‐san. Eu concordo com ela. ......Vamos recuar da luta deste quarto. Nós não temos cartas para vencer..."""
{f:5:Lambdadelta},"""Está esperando que uma mudança de cartas mude essa mão em algo parcialmente decente...? ......Mas você está jogando xadrez, não está...?{n}No mundo do xadrez, ......se depende da sorte, ......você morre......"""
,"Ao ""esperar uma mudança de cartas"", .........ela se refere a depender da sorte e ficar esperando, mesmo que ele não possa pensar em nada agora, mais tarde ele pode ser capaz de pensar em um bom plano para fazer com que o truque deste quarto fechado funcione."
,"Battler, se começar essa batalha......sem um truque debaixo da manga, .........você estará marchando em direção à morte...!"
,"Se pretende recuar, agora é a hora."
,"Quando Erika pressionar o interruptor, ......você só precisa estar deitado sobre a cama."
,......Isso é tudo......o que precisa ser feito!
{f:5:Bernkastel},"""......Lambda. Eu não sei do que você está falando, mas já está conversando demais. Um juiz deve ser imparcial."""
{f:5:Lambdadelta},"""É verdade...... ......Então, boa sorte, Battler. ......Estou esperando por uma precisa batalha de xadrez. ......Você não está......jogando pôquer, lembra......?"""
Furudo Erika,"""Está pronto, Battler‐san?"""
Ushiromiya Battler,"""Sim, estou...... ......Pode acender as luzes quando quiser."""
Furudo Erika,"""Para o restante da luta neste quarto, a progressão do tempo será interrompida. Assim, todos os movimentos de ambos os jogadores serão feitos ao mesmo tempo, e o primeiro movimento feito não será tratado de forma diferente do último movimento. ......Pode ser difícil entender o que estou dizendo, mas essa é uma regra para proteger a lógica, e também vai proteger você."""
{f:5:Bernkastel},"""......A partir daqui, você irá reconstruir o truque deste quarto fechado usando toda a lógica distorcida que quiser. ......E isso significa que é possível que você pense em alguma coisa durante o decorrer da luta."""
{f:5:Bernkastel},""".........Normalmente, é injusto revisar seu roteiro no meio da história. Para que isso possa ser aceito, ......você precisa de um mundo onde a lógica distorcida pensada ""após o fato"" não venha ""tão tarde"" — um ponto que parou no tempo, onde tudo pode acontecer de uma vez só."""
{f:5:Lambdadelta},"""É claro, a Erika também pode tirar vantagem dessa regra. ......Se você revisar seu truque e criar um novo, ela vai poder lidar com ele de uma forma diferente."""
{f:5:Beatrice},""".........Isso é bem complicado..."""
Ushiromiya Battler,"""É simples. ......É tipo uma guerra de lógica distorcida de políticos corruptos. ......Você mente sem vergonha. Quando é apresentada uma evidência que revela sua farsa, você recua, dizendo que acabou se enganando e lembrou errado, e então muda para uma nova mentira que não tenha nenhuma contradição."""
Ushiromiya Battler,"""......A luta segue com mentiras, evidências que as expõem e novas mentiras, ......assim como uma luta entre duas cobras em círculos, tentando comer a cauda uma da outra."""
Furudo Erika,"""{I:Good}! ......Apenas pense nisso como sendo um mundo onde você tem permissão para usar lógica distorcida o quanto quiser, se baseando nos movimentos dos seus oponentes. ......Eu mesma usei isso quando selei este quarto. Por isso, eu pensei que seria justo deixá‐lo fazer o mesmo."""
{f:5:Beatrice},""".........Você não tem mesmo vergonha na cara, né...?"""
{f:5:Lambdadelta},"""OK!! Certo, jogadores, comecem! A Erika primeiro, certo? Não, talvez devêssemos começar conferindo a cama — vamos ver no que ele está apostando?!"""
{f:5:Bernkastel},"""Sim, vamos começar conferindo se o Battler está na {i:cama}. ......Erika, comece."""
Furudo Erika,"""Deixe tudo comigo, minha mentora! {i:Light}...{i:on}!"""
,"Com um click, ......o som do interruptor ecoou, ......e a lâmpada incandescente acendeu, iluminando o quarto."
,......A aposta de Battler......sobre a cama......estava......
Furudo Erika,""".........Dlanor. Confirme com o vermelho."""
Dlanor,"""{f:5:Certo}. ......Ushiromiya Battler—"""
Ushiromiya Battler,"""Não, é o meu movimento. ......Eu direi. ...............{p:1:Ushiromiya Battler não está na cama}."""
Furudo Erika,"""{i:Good}. .........Você fez bem em não fugir à luta. Estou impressionada."""
Ushiromiya Battler,"""......É uma batalha de altas apostas, logo custará muito a você caso acabe sendo derrotada. Espero que esteja preparada..."""
Furudo Erika,"""*risos*, ninguém aumentaria as apostas sem que se sentisse confiante de sua vantagem."""
{f:5:Bernkastel},"""......Dlanor. Documente isso."""
Dlanor,"""Como {f:5:desejar}."""
,"Diante do aceno de Dlanor, Cornelia, quem estava de prontidão atrás dela, começou a anotar tudo."
,"Ela escreveu que o cadáver de Battler, que deveria estar sobre a cama, não estava, ......e que Battler não havia recuado deste jogo de quarto fechado..."
{f:5:Lambdadelta},"""Assim como foi previamente anunciado, o primeiro movimento de Battler foi desaparecer com o corpo. ......Agora é a vez da Erika. Em frente."""
Furudo Erika,"""......Eu apresento a possibilidade de que Ushiromiya Battler está vivo e se escondendo em algum lugar deste quarto. Eu proclamo isso com a verdade azul."""
Ushiromiya Battler,"""Inválido. Se deseja utilizar a verdade azul, forneça uma localização específica."""
{f:5:Bernkastel},"""......Pfft. ......No jogo passado, a Beato fez isso no estúdio de Kinzo, e a Dlanor transformou ela em um queijo suíço, não foi...? Acho que isso é uma vingança...*risos*..."""
Furudo Erika,"""Antes de começar a procurar, eu tenho uma verdade azul na qual eu posso usar sem realizar uma busca. {p:2:Existe a possibilidade de uma porta secreta X que é impossível de ser descoberta. Ele está escondido atrás dele, por isso é impossível encontrá‐lo}."""
Ushiromiya Battler,"""{p:1:Knox 3º: é proibida a existência de passagens secretas}. ......Certo?"""
{f:5:Beatrice},"""......{p:1:Não existe nenhum lugar secreto dentro deste quarto de hóspedes que seja impossível de ser achado pela Erika‐san}."""
Dlanor,"""Knox 3º, ......{f:5:válido}."""
Furudo Erika,"""{i:Good}. ......Então vamos começar com as buscas."""
,......Erika lentamente começou a andar pelo quarto......
,"Até a fase final do jogo começar, Erika estava bem energética, impacientemente querendo se adiantar, igual a um cachorro faminto."
,"Entretanto, ......agora que começou de verdade..."
,......esta era uma sufocante batalha de perspicácia............onde cada respiração a deixava tensa...
,Até mesmo o silencioso som da chuva......era uma distração......
Furudo Erika,"""Agora que eu procurei pelo quarto, eu requisito uma descrição de sua planta."""
Dlanor,"""......O quarto de hóspedes é uma suíte, dividido em dois cômodos, o quarto em si e o seu {f:5:banheiro}. Até o momento, você já procurou por toda a repartição da {f:5:suíte}. Resta uma única {f:5:exceção}."""
Furudo Erika,"""............Eu irei deixar esse lugar de lado por ora. Então, foi descoberta alguma irregularidade no quarto?"""
Dlanor,"""Não há {f:5:nenhuma}. {p:1:Exceto por um local, não há ninguém a ser visto na {f:5:suíte}}."""
Ushiromiya Battler,"""......Qual é a dessa ""exceto por um local""? Pare de ser chata e torne isso público."""
Furudo Erika,"""Existe um motivo para uma carta virada para baixo permanecer virada para baixo. ......Eu a virarei quando for necessário, então pode esperar ansioso por isso. ......*risos*."""
