Speaker,Brazilian Portuguese (PT)
,"Silenciosa e silenciosamente, ......a chuva caía."
,"A chuva da tristeza escorria pelas paredes externas da capela, silenciosamente lavando a poeira do mundo dos vivos."
,As portas da capela estavam abertas.
,"Em casamentos, apenas aqueles com convite têm permissão para entrar."
,"Mas, em um funeral, as portas ficam abertas para todos aqueles que relembram os mortos."
,"......Logo, isso só poderia ser um funeral."
,"Uma figura, segurando um guarda‐chuva, aproximou‐se da capela."
,Era......Will.
Willard H. Wright,"""..........................."""
,Foi montada uma recepção em frente à capela.
,"Com a aproximação da figura, Kanon, que estava sentado à mesa, levantou‐se e o cumprimentou, curvando‐se."
Kanon,"""......Esta é a mesa da recepção. Estamos coletando os nomes de todos os enlutados. Se puder assinar aqui..."""
Willard H. Wright,"""Foi mal, mas eu não vim aqui de luto. ......Estou aqui para encontrar alguém."""
,Você veio a um funeral para se encontrar com alguém...? Uma expressão de dúvida tomou conta do rosto de Kanon.
,Will puxou de seu bolso um envelope e mostrou a ele o nome do remetente.
Kanon,""".........Me desculpe. Por favor, entre."""
Willard H. Wright,"""Obrigado. ......Eu posso ficar com uma dessas?"""
Kanon,"""......Muito obrigado. ......Tenho certeza que trará felicidade."""
,Kanon entregou a ele uma rosa dourada que estava sendo distribuída para todos os enlutados.
,"Will a olhou, ......silenciosamente curvou sua cabeça e adentrou a capela."
,"Dentro da capela, diversas pessoas que pareciam fazer parte da família da pessoa falecida, estavam reunidas, e todos aparentavam estar recordando memórias daquela que passou para o outro lado."
Ushiromiya Kinzo,"""Oooooooohhh... Beatriceeeee... Por quê? Por qu{‐}ê{‐}ê{‐}ê{‐}ê{‐}êê...? Ooo{‐}o{‐}o{‐}o{‐}oohhhhh......"""
Ushiromiya Natsuhi,"""Pai, o senhor precisa se recompor...... Por que não descansa um pouco na sala de espera...?"""
Ronoue Genji,"""........................"""
Ushiromiya Rosa,"""Eu a matei... Fui eu......!"""
Kumasawa Chiyo,"""Absurdo...! Como poderia isso, Rosa‐sama...?"""
Ushiromiya Kyrie,"""O pai está mesmo chorando pra valer."""
Ushiromiya Rudolf,"""......Pois é. ""Beatriceeee""."""
Ushiromiya Eva,"""Tenho certeza que ele não chorou tudo isso quando a mãe faleceu."""
Ushiromiya Hideyoshi,"""Ei. Não é hora de dizer coisas assim."""
,"Alguns soluçavam, incapazes de esconder suas lágrimas, outros falavam gentilmente sobre memórias passadas."
,......Todos estavam lembrando da falecida à sua própria maneira......ao que parece.
,"Quando Will se aproximou do altar, diversas pessoas o cercaram.{n}É claro, nenhum deles sabia quem era Will."
,"Sem se importar, Will caminhou até o caixão que estava no altar, que parecia estar repleto de rosas douradas."
,"......Dentro do caixão, não havia corpo."
,"Ao invés dele, como se descansasse no lugar do cadáver, ......estava um único e grosso livro de extravagante costura."
,Todo o espaço ao seu redor estava recheado por incontáveis rosas douradas.
,Haviam palavras impressas na capa do livro.
,"""Para você, Beatrice, meu amor. 5 de outubro de 1986."""
Willard H. Wright,"""......Sr.ª Beatrice. Se era ""Sr."", então me perdoe. ......Nunca encontrei você. Porém, permita‐me expressar minhas condolências."""
,Ele pegou a rosa que havia recebido na recepção e a colocou sobre o caixão.
,"......Ele não tinha absolutamente nenhuma conexão com a mulher chamada Beatrice.{n}Porém, como veio visitar um funeral, ele precisava exibir o mínimo de respeito pela pessoa falecida."
,"Como parte disso, Will rezou pela passagem da pessoa falecida ao outro mundo......"
Ushiromiya Krauss,"""Perdoe‐me, ......mas quem seria você? Eu sou Ushiromiya Krauss. Estou atuando como encarregado deste velório. Esta é a minha criança, Lion."""
Ushiromiya Lion,"""É um prazer conhecê‐lo. Eu sou Ushiromiya Lion."""
Willard H. Wright,"""......Lion? .........Quem?"""
Ushiromiya Lion,"""Se escreve ""Rion {p:0:理御}"", mas se pronuncia ""Lion"". ......Não parece muito com um nome japonês, não acha?"""
Willard H. Wright,"""..........................."""
,"Will encarou o rosto de Lion, exibindo uma expressão confusa."
,"Ele não parece particularmente interessado em Krauss, mas aparentemente Lion foi capaz de tirar dele uma certa reação."
,"Mais do que interesse, ele sentiu como se algo estivesse fora do lugar."
Ronoue Genji,"""......Patrão. A madame disse que já está na hora......"""
Ushiromiya Krauss,"""Ah, sim. ......Senhoras e senhores. Se fizermos muito barulho aqui, acabaremos perturbando os mortos. Fui informado que a sala de espera já está pronta. Que tal irmos para lá?"""
,"Quando Krauss chamou a todos, eles começaram a se movimentar em direção à sala de espera."
Ushiromiya Krauss,"""Eu sinto muito. Lion, poderia fazer sala para nosso convidado? Eu guiarei os demais até a sala de espera."""
Ushiromiya Lion,"""Sim, pai."""
,"Aparentou ser uma conversa natural, sem qualquer constrangimento entre um pai e sua criança."
Willard H. Wright,"""Pai e cria, é?"""
Ushiromiya Lion,"""Sim, por que a pergunta...?"""
Willard H. Wright,"""A filha de Ushiromiya Krauss deveria ser a Jessica."""
Ushiromiya Lion,"""A Jessica é a minha irmãzinha. Gostaria que eu a chamasse...?"""
Willard H. Wright,""".................. ...Não, não é necessário."""
,"Ao que parece, ......algum tipo de jogo já começou a ser jogado."
,"Coçando a cabeça com um olhar irritado, Will olhou ao redor."
Ushiromiya Lion,"""......Perdoe‐me, mas que tipo de relação você possuía com a falecida?"""
Willard H. Wright,"""Nenhuma. ......É uma conversa complicada."""
Ushiromiya Lion,"""............Então, por que veio a este velório?"""
,"Por Lion ser uma pessoa de expressão branda, a atitude de Will foi recebida unicamente com uma expressão vazia.{n}......Uma pessoa normal, provavelmente, demonstraria um olhar dúbio a essa altura."
,"Will coçou a cabeça mais uma vez e, furioso, gritou com outra pessoa além de Lion."
Willard H. Wright,"""Eu estou aqui. Não acha que está na hora de dar as caras?"""
,Os membros da família Ushiromiya já haviam seguido as instruções de Krauss e se dirigido à sala de espera.
,"Agora, a vasta e gélida capela adornada por rosas douradas...com exceção a Will e Lion, estava vazia."
,"""......Então, finalmente apareceu? ......Inquisidor, Caçador de Magos, Wright."""
,A voz feminina veio de repente por detrás deles.
,"Quando Lion se virou, uma garota apareceu do nada e descendeu até o topo do altar."
,"Ela pousou gentilmente sobre o sagrado altar funerário como se fosse algo perfeitamente normal, esmagando as rosas douradas debaixo de seus sapatos..."
,"É claro, Lion não conhecia a garota."
,......Por que essas pessoas completamente alheias ao funeral...estão aparecendo uma depois da outra?
Willard H. Wright,"""Eu já me aposentei. Se tem um trabalho que precisa ser feito, vá pedir ao novo Wright."""
{f:5:Bernkastel},"""Não. É para você que eu quero pedir. Estou dando este caso a você. ......Você leu o ""conto"" que eu enviei...?"""
Willard H. Wright,"""......Li por cima."""
Ushiromiya Lion,"""E‐Eu não sei quem são vocês, mas peço que se retirem daqui. Este é um altar sagrado."""
,"Rapidamente, se dando conta do que estava acontecendo, Lion informou à garota para sair do altar, mas a garota ignorou completamente o pedido."
,"Mesmo assim, Will continuou falando com a garota, como se Lion não estivesse ali."
Willard H. Wright,"""Lion, é? Quem é essa pessoa?"""
{f:5:Bernkastel},"""Você já ouviu."""
,Ushiromiya...Lion.
,Não há nenhum caso de uma pessoa com esse nome aparecendo nos jogos anteriores.
Willard H. Wright,"""É a sua peça?"""
{f:5:Bernkastel},"""Não. É uma peça verdadeira e pertencente a este tabuleiro.{n}Um dos personagens que fazem aparição."""
Willard H. Wright,"""Você é o Game Master. Então significa que a peça é sua."""
{f:5:Bernkastel},"""*risos*...... ......Eu apenas anexei a caixa de gato da Beato à uma caixa de gato maior. Lion é uma das pessoas possíveis de aparecer dentro dela."""
Willard H. Wright,""".........Ah, entendi. ......Ou seja, é a sua peça."""
{f:5:Bernkastel},"""Uma peça que eu coloquei...seria a melhor forma de se dizer isso."""
Willard H. Wright,"""Está dizendo que esta peça não é sua subordinada, igual a Erika era?"""
{f:5:Bernkastel},"""......Erika quem? ......*risos*risos*."""
Willard H. Wright,"""....................."""
Ushiromiya Lion,"""......Erika...san? ????"""
Willard H. Wright,"""Nem tente entender. Só vai ficar com dor de cabeça."""
,Lion não fazia ideia do que eles estavam falando.
,"Porém, parecia claro que, embora nenhum deles fossem familiares, ambos sabiam muito sobre a família Ushiromiya."
Ushiromiya Lion,"""E‐Eu não sei do que vocês estão falando... Seja como for, você, senhorita. {nobr:Por favor}, desça deste altar. Peço isso na posição de quem sucederá a liderança da família Ushiromiya."""
,"Até mesmo Lion teve que se forçar a elevar seu tom de voz diante da garota, que continuava a conversar casualmente enquanto permanecia sobre o altar."
,"Porém, a garota ignorou completamente.{n}Por outro lado, Will exibiu uma reação."
