Speaker,Brazilian Portuguese (PT)
,""".........Ouçam‐me. Eu sou uma e também muitas. O que eu falo é nosso conto. Contudo, neste pequeno mundo selado por vidro e cortiça, não há ninguém para ouvir. Ninguém deve passar seus olhos por ele, a integra do meu conto deve ser selada, posta à deriva no mar do meu coração até que desapareça junto às algas marinhas......"""
Furfur,"""Ah, que lugar é este?! E quem sou eu?!"""
Zepar,"""Permitam‐me que vos fale! Onde gostariam que fosse? Quem gostariam de ser?!"""
Furfur,"""Pode ser qualquer lugar, contanto que me cubra gentilmente! Qualquer um, contanto que me trate gentilmente!"""
Zepar,"""Sim, para nós—"""
Furfur,"""Para nós—"""
,"""""Quantos e quem somos pouco importa!!"""""
Clair,"""De fato, para nós, isto é algo deveras insignificante. Ao menos, até que aquele dia passe. Por que devemos ser relacionados a um novo destino?{n}O pronunciamento do Destino chegou, repentino e abrupto."""
Zepar,"""Não é o destino pelo qual desejei."""
Furfur,"""Mas fez com que meu coração palpitasse...!"""
Zepar,"""Para onde o novo destino nos levará?!"""
Furfur,"""Isso pouco importa!"""
,"""""Contando que tal lugar seja gentil conosco...!!"""""
Clair,"""As boas novas trazidas à residência temporária onde as infortunas crianças sem pai nem mãe se reúnem — fazem delas os arautos da salvação de Deus ou o aceno do Demônio para que sejamos joguetes de um novo destino? Não temos como saber."""
Clair,"""Todavia, nós queremos acreditar. Queremos acreditar que é o evangelho, as boas novas, a salvação oferecida por Deus a nós."""
Furfur,"""Mas por que eu a pessoa a ser escolhida? Eu não tenho crenças religiosas!"""
Zepar,"""Então não é o evangelho, é o aceno do Demônio!"""
Clair,"""Ainda assim, nós não temos meios para resistir. Oh! Eu sou uma e também muitas. Eu oro para que o novo destino traga‐nos a benção. A época — abril de 1976. Um mês muito frio para se falar da primavera. Não há mudanças na nova terra estranha, a qual sempre nos atormenta com seu ar seco e sua incessante brisa......"""
Ushiromiya Natsuhi,"""Essas são todas as regras da família. Elas podem ser estritas, mas acredito que a disciplina que aprenderão nesta casa servirá também para os seus futuros."""
,"""""""Sim, madame."""""""
,Os serviçais que começariam a trabalhar em abril responderam todos em conjunto.
,As regras da família Ushiromiya não são mais nem menos rígidas que aquelas da Casa Fukuin.
,"Porém, aqui, nós recebemos muito dinheiro.{n}Eles também nos ajudam muito a encontrarmos o nosso próximo trabalho."
,"Nós trabalhamos para a família Ushiromiya, juntamos dinheiro, usamos a influência deles para conseguir emprego em uma boa empresa e começamos uma nova vida feliz."
,"......Este era o sonho, e era um sonho muito realista, mantido por todos nós da Casa Fukuin."
,Mas nem todo mundo se torna um serviçal da família Ushiromiya.{n}Apenas crianças com recordes de conduta exemplar e boas notas recebem a recomendação.
,"Por isso, todas as crianças que queriam ter certeza que deixariam a Casa Fukuin para viver uma vida feliz, se devotavam febrilmente aos seus estudos......"
Ushiromiya Natsuhi,"""Chega por hoje. Amanhã começaremos cedo. Tratem de apagar as luzes no horário indicado. Isso é tudo."""
,"""""""Sim, madame. Somos muito gratos."""""""
,"Após se curvarem até que Natsuhi sumisse de vista, os novos serviçais seguiram as instruções dos serviçais mais experientes e ergueram suas cabeças."
,"""Certo, terminamos por hoje. Começando amanhã, vocês seguirão com suas rotinas. A madame é bem rigorosa sobre a hora. Se alguém dormir além da conta, a responsabilidade cairá sobre mim. Se fizer isso, acordarei a pessoa no chute. Entendido?!"""
,"É claro, esta serviçal experiente era uma das garotas mais velhas que veio da Casa Fukuin. Aparentemente ela está aqui há dois anos."
,"Provavelmente é por isso que todos os outros serviçais, que são mais velhos do que eu, parecem conhecer bem ela."
,"Todos conversando ruidosamente, dizendo coisas como ""a madame parece bem rigorosa"" e ""puxa, cansei."""
,"""......A propósito quem é essa? Quem escolheu essa criança para ser serviçal?"""
,"A serviçal mais velha apontou para mim e perguntou para todos, com um olhar de dúvida no rosto."
,"Bem, não é surpresa. A maioria de nós se torna serviçal quando se forma no ensino fundamental ou no médio."
,Mas eu recém estou começando o primário.
,"Todo mundo trabalha como serviçal diariamente, de acordo com as suas rotinas de trabalho."
,"Porém, eu vou para a escola fundamental em Niijima junto com a ojou‐sama, e só trabalho nos fins de semana e quando tenho tempo livre."
,"Uma exceção entre as exceções, algo que nunca tinha acontecido antes."
,"......Ficava claro ao olhar para os demais, que obtiveram suas posições após um rigoroso processo de seleção, que ninguém gostava do fato de eu estar aqui."
,"""......Tanto a madame quanto o Genji‐sama já me disseram que você deve colocar seus estudos em primeiro lugar. Mas está recebendo um salário igual. Isso não faz sentido nenhum."""
,"Se vai falar pelas costas de alguém, ao menos faça isso pelas costas. ......Ela sequer tenta esconder sua indignação."
,"""Essa criança é mesmo inteligente? É uma criança prodígio ou algo do tipo?"""
,"""Faço a menor ideia."""
,"""Não lembro dessa criança na Casa. Parece que eles a mantinham separada por ter uma condição mais debilitada ou algo do tipo."""
,"""......Agora que está aqui, você é parte do sistema de responsabilidade coletiva.{n}Se fizer merda, é o mesmo que todos da Casa Fukuin fazerem merda. É bom tomar cuidado, ouviu?"""
,Eu assenti de leve. ......Eu fiquei com medo porque ninguém mais velho nunca tinha me tratado assim antes.
Shannon,"""Não se preocupe. Eu ajudarei você. Vamos dar o nosso melhor em conjunto, tá?"""
,A Shannon sorriu para mim enquanto falava...
Zepar,"""Você não tem medo, Shannon? Esta casa parece bem rigorosa...!"""
Furfur,"""Não, não há nada para se ter medo. Você só está com medo porque acha que é assustador."""
Zepar,"""Então, se eu achar que é divertido, vai ser divertido?!"""
Furfur,"""Sim, vai sim. Por isso, assim como antes, coloque um sorriso no rosto e dê tudo de si."""
Clair,"""......Dentre todos da Casa Fukuin, a Shannon era a minha única amiga. Ela era muito confiante e popular. Completamente diferente de mim. Sempre tive uma vergonha estúpida, e ninguém nunca quis fazer amizade comigo."""
Clair,"""Eu nunca teria passado pelos meus dias na Casa Fukuin se não fossem pelos encorajamentos dela. ......Por isso, eu faria o mesmo aqui também, com ela ao meu lado."""
