Speaker,Brazilian Portuguese (PT)
,Os membros da família Ushiromiya estavam relaxando cada um no seu canto.
,"Mesmo com um bufê livre à disposição, ele parecia um pouco rançoso e não despertava muito o apetite."
,"Ainda assim, as vorazes crianças pareciam achá‐lo intensamente atrativo."
,"Os primos se amontoaram em seu entorno, com Maria ao centro.{n}Os irmãos formaram um grupo em um canto oposto."
,"Talvez, dada a ausência de Kinzo, todos pareciam um pouco mais relaxados."
Ushiromiya Natsuhi,"""......Lion. Onde você estava? ......E quem seria esse?"""
Ushiromiya Lion,"""Mãe, eu estava fazendo sala para nosso convidado. Will, esta é a minha mãe, Natsuhi."""
Willard H. Wright,"""Não precisa apresentar. Só preciso ouvir o que ela tem a dizer."""
Ushiromiya Natsuhi,"""Quê? Disse alguma coisa?"""
Ushiromiya Lion,"""Não, ele não disse nada. Este é o Will‐san. Parece ser um velho conhecido da falecida."""
,"Com um sorriso, Lion casualmente aliviou as palavras de Will."
Ushiromiya Lion,"""Ele queria saber mais sobre a Beatrice. ......Você sabe algo sobre ela, mãe?"""
Ushiromiya Natsuhi,"""........................ ......Lion. A falecida é uma mulher para quem o chefe possuía um grande débito. Nada mais, nada menos. Este funeral é uma cerimônia para o chefe pagar a dívida que fez com ela quando a mesma ainda estava viva. Foi isso o que eu ouvi e não há nada mais além."""
Ushiromiya Lion,"""......Eu agradeço, mãe. Will, isso é tudo o que a minha mãe sabe."""
,"Natsuhi era bem resistente em relação aos rumores escandalosos sobre Kinzo, um homem que ela respeitava muito e que certa vez teve uma concubina chamada Beatrice."
,"Porém, ela também sabia que esse escândalo provavelmente era verdade."
,"Percebendo que Natsuhi não estava de bom humor e não queria mais tocar no assunto, Lion encerrou a conversa antes que Will pudesse dizer algo rude."
Ushiromiya Lion,"""Will. Esta capela é propriedade da nossa família."""
Willard H. Wright,"""Está me dizendo para seguir as regras da família?"""
Ushiromiya Lion,"""Você deve falar de maneira apropriada a um convidado da família. Irei intermediar todas as suas conversas. Devo pedir que siga essas duas regras."""
Willard H. Wright,"""Vou me esforçar."""
Ushiromiya Lion,"""......As ações daquela bruxa chamada ""{f:5:Bernkastel}"" causaram uma grande parcela de inconveniências. Por isso, me disponho a ajudá‐lo. Mas ambos estamos em paridade, então não se esqueça disso."""
Willard H. Wright,"""Eu pensei que você fosse só uma criança rica e mimada. Até que tem coragem."""
Ushiromiya Lion,"""Afinal, eu preciso me preparar para carregar o futuro da família Ushiromiya."""
Willard H. Wright,""".........Certo. Vamos resolver este crime juntos, Watson."""
Ushiromiya Lion,"""Fico feliz em ter a sua cooperação. Eu não deixarei a sua querida gatinha, Diana, esperando. Não precisa alimentar ela logo?"""
Willard H. Wright,"""Eu deixei comida a mais hoje, então ela deve ficar bem por um tempo. .........Estou surpreso que percebeu que Diana era um gato."""
Ushiromiya Lion,"""Percebi que uma mulher que arranha o sofá quando fica esperando seria um pouco excêntrica demais."""
Willard H. Wright,"""......Hm."""
Ushiromiya Lion,"""Então? Com quem vai falar primeiro?"""
Willard H. Wright,"""Qualquer um. Todos. ......Aqueles ali são os irmãos do Krauss, certo?"""
Ushiromiya Lion,"""Da direita para esquerda, a tia Eva, o tio Hideyoshi."""
Ushiromiya Lion,"""Ao lado está o tio Rudolf e a tia Kyrie."""
Ushiromiya Lion,"""E bem ali—"""
Willard H. Wright,"""Ushiromiya Rosa. ......Quando ainda era só uma garota, ela se perdeu na floresta e chegou à uma mansão secreta, onde encontrou com uma mulher que se chamava Beatrice."""
Ushiromiya Lion,"""......Sei que não devo mais ficar me surpreendendo, mas você realmente sabe de tudo, não sabe?"""
Willard H. Wright,"""Então, você também sabe dessa história?"""
Ushiromiya Lion,"""Eu acabei ouvindo eles conversarem sobre isso hoje. ......Ela parecia estar ficando incomodada com isso, então fingi que não ouvi nada."""
Willard H. Wright,"""Estudante de honra você, hein? ......Me apresente. Quero perguntar isso a ela."""
