Speaker,Brazilian Portuguese (PT)
Ushiromiya Lion,"""Eu trouxe o Willard‐san."""
Willard H. Wright,"""........................"""
,Kinzo e Genji podiam ser vistos na sala VIP.
,"Kinzo estava sentado em uma cadeira, com seus olhos fechados, como se estivesse dormindo."
Ronoue Genji,"""......Mestre. O convidado veio vê‐lo."""
Ushiromiya Kinzo,"""..............................nn."""
,Kinzo lentamente abriu seus olhos.{n}......Seus olhos estavam vermelhos de tanto chorar.
,"Após recuperar seu foco, seu olhar lentamente recaiu sobre Will."
Ushiromiya Kinzo,"""......Eu sou...Ushiromiya Kinzo."""
Ushiromiya Lion,"""......Will."""
Willard H. Wright,"""Eu sou Willard. Permita‐me expressar minhas condolências."""
Ushiromiya Kinzo,"""......Então, veio visitar o funeral da Beatrice? ......Quem é você?"""
Willard H. Wright,"""Não sou ninguém. Não tenho conexões com ninguém. Nem tente entender. Só vai ficar com dor de cabeça. .........Ai."""
Ushiromiya Lion,"""Eu pedi que escolhesse suas palavras com mais cuidado."""
Ushiromiya Kinzo,"""......Hmph, que convidado estranho. Então? O que o traz aqui?"""
Willard H. Wright,"""Eu quero perguntar sobre Beatrice."""
Ushiromiya Kinzo,"""Quê..................?"""
,O olhar de Kinzo afiou.
,"Lion sentiu uma leve tontura, se perguntando por que ele era sempre tão direto."
Ushiromiya Kinzo,"""Por que quer saber? Pensei que não fosse ninguém. Por quer saber sobre a Beatrice? Por qual motivo quer saber?"""
Willard H. Wright,"""Por eu não ser ninguém, eu posso ouvir a sua história sem qualquer viés, tampouco gravá‐la. Você provavelmente deixará este mundo logo mais. Se morrer sem contar a ninguém sobre Beatrice, suas crianças vão adorná‐la com seus próprios contos fantasiosos e escrevê‐los na história."""
Ushiromiya Kinzo,"""Pft, hahahahahahahahahaha! Você me diverte, garoto. Está querendo ser o meu inventariante?!"""
Ushiromiya Kinzo,"""Mas isso é completamente desnecessário. A Beatrice é só minha. Não importa o que os outros digam, ninguém poderá macular nossa história. Não importa o que digam! Não importa o que o Krauss e os demais possam interpretar, nada importa para mim!"""
Ronoue Genji,"""......Willard‐sama. O Mestre não gosta de testamentos. Não é de seu feitio abandonar tudo enquanto ainda está vivo."""
Willard H. Wright,"""......Provavelmente é verdade. Eu pensei que isso não combinaria com ele."""
Ushiromiya Kinzo,"""Nosso espírito para seguir lutando até o último suspiro é o que nos torna humanos! A ideia de que eu desistiria de tudo antes da hora e deixaria para trás um testamento é absurdamente ridículo!"""
Willard H. Wright,"""Sim, agora parece mais com você. ......Não faz seu estilo pedir para alguém escrever sobre seu passado só porque sente que vai morrer em breve."""
Ushiromiya Lion,"""......Nós sabemos o quão profundamente o senhor amava a Beatrice‐sama. Você é o modelo mais digno de respeito que nós conhecemos, um exemplo a ser seguido em cada aspecto de nossas vidas."""
Ushiromiya Lion,"""Por favor, pelo bem de nossas almas errantes, poderíamos aprender como você a amou ao máximo, como seu amor por ela guiou sua vida, ......e a força de seu amor por ela, para que assim a sua história nos guie através de nossas próprias vidas...?"""
Willard H. Wright,"""Você não é nada mal."""
Ushiromiya Lion,"""É sua culpa por ser tão insensível."""
Ushiromiya Kinzo,"""Garoto. O que quer saber sobre a Beatrice? Uma pessoa verdadeiramente ignorante não demonstraria mínimo interesse nisso. O mero fato de saber o nome dela demonstra que você não é ignorante, tampouco desconexo."""
Willard H. Wright,"""Bom ponto. ......A Beatrice que eu conheço...é a mulher que você amou, quem você encontrou antes mesmo da mansão ser construída em Rokkenjima. Porém, ela provavelmente partiu deste mundo, deixando para trás uma filha. Essa é a garota que foi criada em Kuwadorian."""
Ushiromiya Kinzo,""".........Oh?"""
Ronoue Genji,"""Willard‐sama. Não há nenhuma edificação conhecida por Kuwadorian na ilha de Rokkenjima."""
Ushiromiya Lion,"""......Esse nome, Kuwadorian... ...Você também o mencionou quando estava falando com a tia Rosa. ......O que isso significa?"""
Willard H. Wright,"""Você já deveria saber. É o nome da mansão escondida nas profundezas da floresta, onde a filha da amante dele vivia."""
Ushiromiya Kinzo,"""Interessante. ......Então, você realmente conhece o nome de Kuwadorian? ......Continue. Você despertou o meu interesse."""
,Kinzo deu de ombros e sorriu......
Willard H. Wright,"""Aquela que viveu em Kuwadorian provavelmente era a filha da Beatrice. Contudo, parece que você não pensa nela dessa maneira."""
Ushiromiya Kinzo,"""Oh? ......Então o que eu penso dela?"""
Willard H. Wright,"""Quando Ushiromiya Rosa foi até Kuwadorian, Beatrice contou a ela um pouco sobre si mesma. ......Nessa conversa, ela se referiu a você como Kinzo. Era o mesmo quando ela falava diretamente com você."""
Willard H. Wright,"""Embora ela tenha dito que pensava em você como um pai, ela não o chamava de pai. ......Ou ela não o chamava assim, ou não tinha permissão para chamá‐lo assim. Isso só pode significar uma coisa."""
Ushiromiya Kinzo,"""E o que poderia ser......?"""
Willard H. Wright,"""Reencarnação. Você não pensava em sua filha como sendo a criança que Beatrice deixou para trás. Você acreditava que a falecida Beatrice havia revivido em um novo corpo. ......Genji. Certa vez, no passado, você falou em frente da Natsuhi e diversos outros integrantes da família, declarando que não houve uma criança entre Kinzo e Beatrice."""
Ronoue Genji,""".........Eu não me recordo de ter dito isso."""
,"É claro, o Genji ""deste jogo"" provavelmente não se lembra."
,"Mas, na reta final do primeiro jogo, quando os sobreviventes estavam todos reunidos no estúdio de Kinzo..."
,"...Genji foi perguntado se Kinzo e Beatrice tinham tido uma criança, e ele negou, dizendo ""Eu nunca ouvi nada sobre isso.""."
Willard H. Wright,"""‘Eu nunca ouvi nada sobre isso.’... De certa forma, era o tipo de resposta perfeita para alguém que era um dos confidentes de Kinzo. ......Afinal, aos olhos de Kinzo, ela não era sua filha, mas a reencarnação de {i:Beatrice}."""
Ushiromiya Lion,"""Will...! Eu não sei do que está falando, mas não permitirei que difame o patriarca da família!"""
Willard H. Wright,"""Não é difamação. É raciocínio. ......Entretanto, eu entendo o coração. A Beatrice era a mulher que você mais amou. Ela permaneceu assim mesmo após a morte, por toda a eternidade, sem nunca desaparecer e perder a sua cor."""
Willard H. Wright,"""Mas, graças aos olhos azuis daquela criança, seu lindo cabelo loiro e suas características faciais que relembravam a Beatrice que você amou durante sua juventude, se você gradualmente tivesse começado a pensar que ela realmente era uma reencarnação da Beatrice, isso não seria nenhuma surpresa."""
Ronoue Genji,"""...............Mestre. Eu devo..?"""
,Devo expulsar este homem insolente? Genji perguntou a Kinzo.
,"Por um tempo, Kinzo permaneceu com a cabeça baixa, em silêncio, como se estivesse lembrando algo sobre o seu passado."
Willard H. Wright,"""Sua filha cresceu para ser linda e praticamente idêntica a mãe. Você deve ter ficado extasiado. Mas é dúbio se realmente ficou satisfeito com isso. ......Afinal, embora Beatrice tivesse renascido para você, ela não se sentia da mesma forma."""
Ushiromiya Kinzo,"""......Como pode saber disso?"""
Willard H. Wright,"""Ela não conseguia se livrar do sentimento de que havia algo errado em ser chamada de Beatrice. ......Pessoas não sentem nada de estranho no nome em que recebem no momento de seus nascimentos. Porém, ela tinha esse sentimento. Isso só pode significar que ela estava ciente de que o nome ""Beatrice"" não pertencia a ela."""
,"Em Kuwadorian, ela perguntou para Kinzo e Rosa quem ela era."
{f:5:Beatrice},"— Quem eu sou? ......Todos me chamam de {f:5:Beatrice} ...E esse certamente parece ser o nome de uma grande bruxa, bem como você disse."
{f:5:Beatrice},— ......Mas essa não sou eu. Eu não posso usar nenhuma magia. ......Eu apenas tenho a alma dessa bruxa selada dentro do meu corpo.
Ushiromiya Kinzo,"""........................Sua memória...eventualmente retornaria. ......Sem dúvida, ela era a Beatrice renascida. ......Suas memórias estavam voltando pouco a pouco. Meus rituais mágicos estavam ajudando ela a recuperar suas memórias aos poucos......"""
Ushiromiya Lion,"""V‐......Vovô......"""
Willard H. Wright,"""Não há por que se surpreender. Se reunir as informações de todos os jogos até agora, esta é a resposta que você chegaria. ......A {f:5:Beatrice} no plano superior falou sobre isso com uma metáfora, dizendo que Kinzo se recusou a deixar sua alma escapar, mesmo após sua morte, e a capturou e prendeu em uma gaiola de carne. Ela também disse que seus poderes e memórias haviam sido selados. Se você juntar a interpretação dela com essa teoria, tudo faz sentido."""
Ronoue Genji,"""............Willard‐sama. Graças ao poderoso ritual mágico, o Mestre obteve uma criança renascida da Beatrice‐sama anterior. Isto não pode ser negado."""
Willard H. Wright,"""Não irei contrariar a cegonha. E não pretendo duvidar das profundezas do amor de Kinzo por essa mulher que ele chamava de Beatrice. .........Não é da conta de ninguém a forma como uma pessoa escolhe demonstrar sua afeição diante de sua única recordação viva de um falecido. Se ela cresceu cada vez mais parecida com a Beatrice, e o amor de Kinzo deu vida a uma nova emoção especial, eu acredito que seja uma reação muito humana."""
Ushiromiya Kinzo,""".........Você acha......que pode entender o meu amor.........?"""
Willard H. Wright,"""Eu não sou qualificado para entendê‐lo, tampouco sou qualificado para negá‐lo."""
Ushiromiya Kinzo,"""..................Oooh, ......Beatrice...... ......Por favor, .........me perdoe........."""
,"Kinzo soluçou em silêncio por um tempo, secando suas lágrimas..."
,"Por causa do amor, ele acreditou que ela era a reencarnação de Beatrice, e a criou dessa forma."
,"Porém, em algum lugar do seu coração, ......ele deve ter sentido......um peso em sua consciência, dizendo que ele poderia estar forçando suas emoções em alguém que não era realmente Beatrice."
,"Então, a Beatrice de Kuwadorian teve uma visita inesperada, Rosa."
,"Incapaz de acreditar que ela era a Beatrice que Kinzo desejava, e sofrendo por sua incapacidade de compreender quem realmente era, ela expressou um desejo de escapar para o mundo exterior."
,"Então, ............ela caiu do penhasco...e morreu."
Willard H. Wright,"""Genji cuidou de sua morte, que nunca se tornou pública, por debaixo dos panos."""
Ronoue Genji,"""...................................."""
Willard H. Wright,"""Funerais não são para os mortos. ......Eles existem para que os vivos possam romper seus laços com os mortos. ......Você nunca pôde fazer isso. O que fez com que isto acabasse apodrecendo dentro de você."""
Ushiromiya Kinzo,"""......Beatrice.........ooooooooohhhh......"""
Ushiromiya Lion,"""V‐......Vovô........."""
Willard H. Wright,"""Você perdeu sua amante—não, você perdeu Beatrice duas vezes. Incapaz de colocar esse sofrimento para fora, você o manteve aprisionado em seu coração, ......eventualmente ele apodreceu e foi convertido em loucura. Isso foi o que estimulou seu forte e anormal interesse no ocultismo anos depois."""
Ushiromiya Kinzo,"""Oooooooooohhhh!! Beatriceeeeee, Beatriceeeeee!! Por quê?!! Por que me deixaste duas vezes?! Seu sorriso, aquele lindo cabelo, aqueles olhos... ......Por que morreste em meus braços não uma, ......mas duas vezes?!"""
Ushiromiya Kinzo,"""É o quanto......é o quanto.........ooo{‐}o{‐}o{‐}o{‐}ohhhh, oo{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}o{‐}oohhhh...oohhh..."""
,"Agora, Kinzo já nem estava mais tentando suprimir seus soluços."
,"Às vezes, ele arranhava a cabeça, angustiado; outras, ele encarava os céus como um cantor de ópera."
,"Kinzo gritava e gritava, repetindo o nome de Beatrice......"
,"Nesse momento, ouviu‐se o quieto som de uma porta se fechando."
,"......Quando se viraram, ela já estava lá.{n}Kumasawa apareceu."
Kumasawa Chiyo,""".........Se eles já sabem tanto, talvez possamos contar o resto...?"""
Ronoue Genji,"""......Apesar que, se eles já sabem tudo isso, eu não acredito que ainda tenha mais o que contar..."""
Kumasawa Chiyo,"""Não, precisamos contar. Como mulher, ......eu sempre acreditei que o coração da Beatrice‐sama de Kuwadorian era uma história que precisava ser contada. E agora, apareceu alguém digno de ouvir essa história. Acredito que agora seja a hora de contar tudo."""
Ronoue Genji,""".............................."""
Ushiromiya Lion,"""Kumasawa‐san, você sabe de alguma coisa? Sobre a Beatrice......?"""
Willard H. Wright,"""É claro que ela sabe. ......No quarto jogo, nós testemunhamos o capitão do barco dizendo que a Kumawasa frequentava Kuwadorian. Eu até apostaria que a Kumasawa tinha um horário de trabalho alternado entre a mansão e a Kuwadorian. Havia uma jovem garota que precisava de cuidados. Kumasawa, com sua longa experiência em cuidar de crianças, deveria ter sido de imenso valor."""
Kumasawa Chiyo,""".........Correto. Você poderia até me chamar de ama de leite."""
Ushiromiya Lion,"""Sem chance...... ......Não consigo acreditar. ......Então, ......tudo o que o Will‐san está dizendo é verdade."""
Kumasawa Chiyo,""".........Sim. É a mais pura verdade. ......Foi construída uma mansão secreta no lado oposto da ilha, unicamente para a Beatrice‐sama. A existência de Kuwadorian é verídica."""
Willard H. Wright,"""Eu não sei quando Kinzo se casou com sua esposa oficial, mas na época em que ele já detinha de uma grande fortuna guardada e comprou Rokkenjima integralmente, Kinzo construiu duas mansões e passou a viver uma vida dupla."""
,Os filhos de Kinzo já tinham ciência das excentricidades clandestinas dele naquela época.
,Provavelmente não foi fácil viver uma vida dupla.{n}Além de que sua esposa suspeitava disso e ficava vasculhando por todo lado...
Kumasawa Chiyo,"""O Mestre permaneceu em Kuwadorian o quanto o tempo lhe permitiu. Às vezes, ele fingia que ia sair em uma viagem de negócios e ficava diversos dias lá, valorizando o tempo que passava junto da Beatrice‐sama. ......Não era uma simples relação entre pai e filha. De vez em quando, era possível perceber relances de seu grande amor pela Beatrice‐sama posterior, e isso era algo muito caloroso."""
Willard H. Wright,"""Da forma como você diz isso, faz parecer que ele......a tratava como uma substituta da Beatrice."""
Kumasawa Chiyo,"""Oho. Se pareceu ser este o caso, eu peço desculpas. ......A Beatrice‐sama provavelmente aceitava o amor fraterno. Porém, não irei negar...que, algumas vezes, ela era forçada a suportar um amor na qual não compreendia."""
,O tom de voz de Kumasawa fez parecer que ela estava repreendendo Kinzo.
,"No papel de mãe que já criou várias crianças, Kumasawa provavelmente notou que, às vezes, o amor de Kinzo costumava errar."
,"Porém, quanto mais a garota crescia e se parecia com sua mãe, mais desnorteado e distorcido o coração de Kinzo se tornava......"
,"Por causa de seu profundo amor, ele foi ficando cada vez mais, e mais......distorcido......"
Ushiromiya Kinzo,""".........Você tem o direito de me culpar, meu amigo. ............Eu entendo. Meu amor é eterno e imortal. ......Mas tiveram momentos em que eu o direcionei à pessoa errada e......eu......preciso reconhecer isso......"""
Ushiromiya Lion,"""......Vovô... .........Espera, ......quer dizer que......"""
Kumasawa Chiyo,"""Lion‐sama. Todos os humanos neste mundo são atados uns aos outros. Mesmo que não percebam, sempre há algum tipo de laço. Esses laços......enrolam‐se às pessoas e as juntam."""
Ushiromiya Lion,"""Não............... ............vovô..............."""
,"Assim como Kinzo havia feito, Lion também secou suas lágrimas e encarou o chão."
,"Aparentemente, a verdade era demais para que Lion fosse capaz de suportar..."
Kumasawa Chiyo,"""......Mestre. Acredito que a hora de falar chegou."""
Ushiromiya Kinzo,""".............................. ......Entendi. Então, é chegada a hora, ......meu amigo."""
Willard H. Wright,"""A não ser que nos diga, nada da verdade será esclarecida."""
Ronoue Genji,""".........Mestre. ......Eu creio que eles tenham as qualificações e direitos para saber."""
Ushiromiya Kinzo,"""Eu sei. Possivelmente, no dia deste meu caprichoso funeral, a Beatrice que está no céu tenha concedido a mim uma chance expiar meu pecado... .........Perdoe‐me por não ter contado isto a você antes."""
,"Após respirar fundo, Kinzo finalmente abaixou as mãos que estavam cobrindo seu rosto, ......e olhou para Will e Lion, com seus olhos vermelhos."
Ushiromiya Kinzo,"""..........................."""
Ushiromiya Lion,"""..................Vovô..."""
