Speaker,Brazilian Portuguese (PT)
,A discussão sobre o jogo de investigação e raciocínio de {f:5:Bernkastel} foi ficando acalorada em cada uma das mesas.
,"Em determinado momento, cada mesa começou a competir para ver quem resolveria primeiro."
Ushiromiya Battler,"""{f:5:Bernkastel}. A Ange e a Erika ainda não chegaram?"""
{f:5:Bernkastel},"""......Já devem estar vindo. Quer apostar quem chega primeiro?"""
{f:5:Lambdadelta},"""Eu entendo a Erika estar atrasada, mas e quanto a Ange? ......Que tipo de pena você teve dela agora?"""
{f:5:Bernkastel},"""Que rude. Ela estava sentada no sofá tomando seu chá."""
{f:5:Beatrice},"""Espero que esse tipo de chá agrade o gosto da Ange."""
Ushiromiya Battler,"""Hahaha, realmente."""
{f:5:Bernkastel},"""Que indelicadeza. Esse chá combina com o paladar de qualquer um. ......A Erika iria até mesmo lamber até a última gota do meu chá servido em uma tigela de missô."""
Ushiromiya Battler,"""......A pergunta que fica, por que missô...?"""
{f:5:Beatrice},"""Falando nela, ......Erika...! Já faz tempo que não a encontro."""
Ushiromiya Battler,"""Sim, bem lembrado. Mal posso esperar para ver quanto tempo aquela detetive vai levar para resolver o jogo da {f:5:Bernkastel}."""
{f:5:Bernkastel},"""......Esse tipo de jogo é a especialidade dela. Ela provavelmente vai ler do início ao fim três vezes, então dizer que já sabia a resposta logo de cara."""
Ushiromiya Battler,"""Provavelmente. Estou ansioso para ver ela dando a resposta certa na mesma hora com aquele sorrisinho no rosto."""
{f:5:Beatrice},"""Qual é, estamos falando da Erika. Ela provavelmente vai aparecer com uma lógica distorcida e dizer que seria possível para outra pessoa além da família do Battler."""
Ushiromiya Battler,"""Sem dúvida. Na verdade, eu gostaria mais de ouvir sua orgulhosa e distorcida lógica do que a resposta certa."""
,"Pelo que parece, Battler e Beato estão ansiosos para se reencontrar com Erika."
,......Eles já tiveram que duelar com ela em dois jogos diferentes.
,"Mas agora, não há distinção entre inimigos e aliados."
,"Eles realmente querem recebê‐la nesta ""festa de despedida"", como amiga..."
{f:5:Lambdadelta},"""Ainda assim, é um pouco inesperado."""
{f:5:Bernkastel},""".........O quê?"""
{f:5:Lambdadelta},"""Você sabe. É uma surpresa você deixar a Ange conseguir isso tão facilmente."""
,"Garantindo que Battler e os demais não conseguiriam ver seu rosto, {f:5:Lambdadelta} riu sozinha."
{f:5:Bernkastel},"""É mesmo tão surpreendente assim...?"""
{f:5:Lambdadelta},"""É claro que é. Eu pensei que você iria torturar o Battler com um enigma depois do outro antes de libertar ela, .........ou que ao menos tentaria dar ideias estranhas à Ange e fazê‐la virar o jogo na reta final."""
{f:5:Bernkastel},"""..........................."""
{f:5:Lambdadelta},"""E eu pensei que conhecia você melhor que qualquer um. É uma vergonha saber que eu estava errada."""
{f:5:Bernkastel},"""......É mesmo. Mas não se preocupe. ......Você obviamente me conhece melhor do que qualquer pessoa."""
{f:5:Lambdadelta},"""S‐......Sim, é claro! Afinal, eu amo, adoro e entendo você mais do que qualquer pessoa em todo o universo{p:0:☆}"""
,"{f:5:Lambdadelta} foi perturbada pelas, aparentemente, amigáveis palavras de {f:5:Bernkastel}, as quais eram muito raras de se ouvir dela."
Ronoue Genji,"""......Battler‐sama. Perdoe‐me por interromper sua conversa. A Ange‐sama retornou."""
Ushiromiya Battler,"""Oh, mesmo?! Ótimo. Então, como ela está...?"""
Ronoue Genji,"""Parece que ficou encharcada pela chuva, mas a Kumasawa foi buscar uma toalha para ela."""
,"Quando ouviu isso, Battler suspirou aliviado."
,"Então, virou‐se para {f:5:Bernkastel}, mostrando a ela um sorriso forçado, como se estivesse pedindo desculpas por ter duvidado."
,"{f:5:Bernkastel} não demonstrou reação, e simplesmente continuou a exibir uma expressão vazia junto a um leve sorriso."
Kumasawa Chiyo,"""A Ange‐sama retornou."""
