Speaker,Brazilian Portuguese (PT)
,"A majestosa Bruxa do Teatro, Dramaturgia e Observação largou sua caneta, olhando para o teto e suspirando profundamente."
,"A mesa estava coberta por uma montanha de papel espalhado, preenchido por uma escrita manual."
,"As palavras estavam condensadas em uma fina linguagem de alta informação e densidade, a qual apenas os mais importantes dentre todos poderiam ler."
,Cada letra dessa língua carregava a mesma quantia de informação que diversos livros do mundo {y:0:Humano}{n:0:humano}.
,Essa letras preenchiam cada centímetro da grande pilha de papel.
,"......Certamente, ela havia escrito cada mínimo detalhe de algum mundo."
{f:5:Featherine},"""............Eu escrevi tudo o que tinha para escrever. Embora possa ser preciso, mais ainda poderia ser escrito."""
,"Ela se levantou, sentando‐se em sua cadeira de balanço favorita e balançando tranquilamente por determinado tempo."
{f:5:Featherine},"""O quanto alguém deve escrever antes de dizer que escreveu tudo? ......Isso é o que sempre me incomodou durante meus muitos anos de escritora. ......As aventuras dos {y:0:Humanos}{n:0:humanos} podem se tornar contos muito interessantes. Contudo, nem mesmo eu sei quando uma aventura deixa de ser uma aventura."""
{f:5:Featherine},"""......Minha velha amiga, que agora se foi...certa vez disse que a vida {y:0:Humana}{n:0:humana} é uma aventura do início ao fim, portanto nunca é a hora certa de colocar sua caneta para descansar. ......Eu não concordo. Eu penso que é necessário deixá‐la de lado em algum momento. Eu acredito que deve ser escrito até um ponto apropriado, assim deixando para trás notas e opiniões na mente dos espectadores sobre o que transcorreu posteriormente."""
{f:5:Featherine},"""......Resumindo, um conto deve ser colocado dentro da caixa de gato no momento apropriado. ......A caixa de gato foi objeto deste longo conto, logo não seria melhor conter‐me de escrever seu final por completo, ao invés de colocá‐lo na caixa e deixá‐lo lá...?"""
,{f:5:Featherine}......falou para ninguém dentro do escritório vazio.
,"É claro, ninguém comentou sobre suas palavras."
,"Entretanto, {f:5:Featherine} pareceu ter ouvido alguma coisa.{n}Ela assentiu e sorriu, contente."
{f:5:Featherine},"""Sim, eu sei. Eu irei escrever um pouco mais, e assim largar minha caneta. ......Assim, será hora de nos despedirmos."""
,"{f:5:Featherine} ergueu seu dedo e o girou, indicando que ela queria escurecer o quarto."
,As luzes do cômodo enfraqueceram......
{f:5:Featherine},"""Se importaria de me deixar descansar por um tempo? ......Durante esse tempo, minha gata......ou melhor, minha miko irá entreter você......"""
{f:5:Lambdadelta},"""Aiaiai{0}ai{0}ai{0}ai{0}ai{0}ai{0}ai, sua merda! Não poderia ser um pouco melhor com agulhas?!"""
{f:5:Bernkastel},"""......Cala a boca. Se não quer costurado à mão, então use uma máquina de costura. *dadadadadda*"""
{f:5:Lambdadelta},"""Não! Sem máquinas! Eu quero que faça à mão! Por favor, só seja mais gentil......aiai!"""
{f:5:Bernkastel},"""Não é como se um cuspe não resolvesse."""
{f:5:Lambdadelta},"""Kyan!! Me avise antes de começar a me lamber de repente!"""
{f:5:Bernkastel},"""Vou costurar você com uma agulha mais grossa agora. Vai doer um monte, então é bom fechar os olhos. Cinco, quatro, três, dois—"""
{f:5:Lambdadelta},"""E‐Eu odeio essas coisa{‐}a{‐}a{‐}a{‐}asss!! Ah, B‐Bern, n‐não, não, aaaa!!"""
,"Apesar de tudo isso, as duas eram verdadeiramente próximas."
,"Embora {f:5:Lambdadelta} tivesse sido brutalmente desmembrada na luta final, ela sobreviveu."
,"Mas, infelizmente, ainda estava desmembrada."
,"Por isso, {f:5:Bernkastel} estava costurando seus braços e cabeça de volta usando uma linha e uma agulha."
,"O braço esquerdo, que ainda aguardava para ser recolocado, caminhou sobre a cama, impaciente, com seu indicador e o dedo do meio."
,"Faltavam apenas os braços, logo parecia que acabaria em breve."
,"Então, Erika retornou, abrindo a porta com tudo."
Furudo Erika,"""Estou de volta, minha mentora!! Eu comprei sal de sésamo!!"""
{f:5:Lambdadelta},"""......Por que sal de sésamo? Não está pensando em colocar isso no chá, né...?"""
{f:5:Bernkastel},"""É o brinquedo da Erika. ......Erika, você trouxe seu hashi?"""
