Speaker,Chinese Traditional (CHT)
,富有尊嚴的觀劇、戲曲與旁觀的魔女放下筆，仰望天花板深深地嘆了口氣。
,桌子上雜亂地堆著大量書寫過的原稿用紙。
,上面寫滿了細碎的，只有尊嚴之人才能閱讀的擁有超高情報密度的語言。
,這些語言的一個字，就有著能匹敵人類世界的數冊書籍的情報量。
,並且密密麻麻地寫滿了這種語言的原稿紙，堆積了如此之多。
,……她一定是，寫下了一整個世界。
{f:5:Featherine},「…………要說寫完，是寫完了。不，正確來說應該是沒給它寫完。」
,她站起來，坐到自己中意的搖椅上，以那平緩的搖動為趣搖了一段時間。
{f:5:Featherine},「寫到這裡，能夠說是把故事寫完了嗎？……這是，我作為寫作者長年以來的煩惱。……人類的冒險故事非常非常有趣。但是，哪裡是冒險，哪裡不是，我還不太能分清。」
{f:5:Featherine},「……已經逝去的我的舊友，曾說過人類的人生，從開始到結束全部都是冒險，不存在能夠停筆的地方。……但我不這樣認為。我覺得是有能夠停筆的地方的。故事，要記述到適當的程度，那之後的餘韻和感想，應當交給觀劇者們品味。」
{f:5:Featherine},「……換言之，就是要把故事在適當的時候關入貓箱。……關於貓箱的故事還很長，不記述到終焉的最後一刻，把最後關入貓箱不也很好嗎…？」
,菲澤莉努在沒有他人在的書房中，……這樣自言自語。
,當然，也不是打算是與誰交流。
,但是菲澤莉努似乎能聽到回應。{n}嗯嗯地點著頭，滿意地笑著。
{f:5:Featherine},「我知道。再少許寫一段，然後就停筆。……這樣，就是同汝的告別了。」
,菲澤莉努抬起手指轉了轉，讓周圍稍微暗些。
,於是，書房的燈，慢慢滅掉……。
{f:5:Featherine},「能讓我稍微休息一陣嗎。……這段時間，我的貓，……或者說，讓我的巫女來同汝交流吧……」
{f:5:Lambdadelta},「啊疼疼疼疼疼疼疼疼，太爛了，再縫好一點——！」
{f:5:Bernkastel},「……真吵啊。討厭手縫的話，我就用縫紉機了。嗒嗒嗒嗒地。」
{f:5:Lambdadelta},「不要縫紉機——！手縫就好——！所以至少稍微溫柔點……，好疼好疼！」
{f:5:Bernkastel},「用口水就能治好了。」
{f:5:Lambdadelta},「呀！！不要不經預告就舔——！」
{f:5:Bernkastel},「現在我要用疊針給你縫了喲。超疼的，你可要準備好。5、4、3、2、」
{f:5:Lambdadelta},「這、這種預告也不要————！！啊，貝、貝倫，別、別呀，都說別啦，啊啊——！！」
,這樣吵鬧的，和睦的兩人。
,在最後的戰鬥中，全身散架的拉姆達戴露塔也活了下來。
,不過令人困擾的是，是以散架的狀態復活的。
,所以，貝倫卡斯泰露在將她的手臂還有頭，一樣一樣地用針線縫起來。
,還沒有縫上去的左手像是催促一樣，在床上用食指和中指來回來去地走著。
,剩下的就只有手臂，大部分的身體已經恢復了原樣。
,這時門啪嗒一聲被猛然打開，是繪梨花回來了。
Furudo Erika,「我回來了，我主——！！芝麻鹽，為您買來了——！！」
{f:5:Lambdadelta},「……芝麻鹽是什麼？難道是打算放進紅茶…？」
{f:5:Bernkastel},「是繪梨花的玩具。……繪梨花，有筷子嗎？」
Furudo Erika,「有的，我主！！名偵探有放大鏡！古戶繪梨花有筷子。」
{f:5:Bernkastel},「那聽好啊？把這芝麻鹽倒出來，用筷子把芝麻和鹽分開。」
Furudo Erika,「是，我主！！請看我那華麗的筷技！！」
{f:5:Bernkastel},「嗯，要加油啊。……弄完後，要好好放回袋子裡去哦。」
{f:5:Lambdadelta},「………你還在這麼欺負人啊？」
{f:5:Bernkastel},「我是在玩啊。真失禮呢。………對了對了，繪梨花。剛才郵遞員來過，把給你的信放在那裡了。」
Furudo Erika,「信？！有案件的預感。別說，我來猜猜寄信人！」
{f:5:Bernkastel},「………郵戳是天界呢。是德拉諾爾那邊吧？你們之間居然還有交情啊，真令人吃驚。……僅憑郵戳，貝倫卡斯泰露便可得出這種程度的推理。」
Furudo Erika,「噼噼噼——！！這可不行，我主！范達因第 9 則！禁止偵探有多個！」
{f:5:Bernkastel},「……那，你就出去好了。再見了，名偵探繪梨花。」
Furudo Erika,「別這樣————，我主————，真實的魔女艾莉卡，在此！」
{f:5:Lambdadelta},「…………你們兩個關係到底是好還是差，我到現在還沒搞清楚。」
{f:5:Bernkastel},「當然是差了。我愛著的只有你哦。」
Furudo Erika,「怎、怎麼這樣啊啊啊，我主——————！！拉姆達戴露塔卿！果然我和你是無法相容的呢！」
{f:5:Lambdadelta},「幹嘛啊你。……想與我這大拉姆達戴露塔一決勝負嗎？」
,繪梨花嘿嘿笑著，抓住了在床上來回走的拉姆達戴露塔的左手。
Furudo Erika,「這是拉姆達戴露塔卿的手臂。然後這裡是，斷面。」
,繪梨花壞笑著，手指作出咯吱的動作。
{f:5:Lambdadelta},「等、……難道，你………，」
Furudo Erika,「我對競爭對手，會這～麼做。」
{f:5:Lambdadelta},「呀、哈哇哈哈哈哈哈哈哈哈哈哈，啊哈哈哈哈，住手呀啊啊啊好癢好癢——————————！！」
,……繪梨花撓著拉姆達戴露塔的左手的斷面。看來這麼做，會讓她特別癢。
,另外，拉姆達戴露塔的這個斷面，是像棉花糖一樣又白又軟的可愛東西。
,畢竟她的身體，是用甜零食和香料做成的。
,那斷面一點都不恐怖，請安心。
,繼我主之後，我也單挑拉姆達戴露塔卿取勝啦！對這樣喊著四處跑的繪梨花，拉姆達戴露塔像老虎一樣低吼著威脅。為此而吃驚著，也依舊在縫著摯友的貝倫卡斯泰露。
,這是何等和平的風景…。
{f:5:Bernkastel},「於是？信到底是什麼？」
{f:5:Lambdadelta},「是寫了德拉諾爾她們的近況麼？」
Furudo Erika,「格德魯特小姐似乎晉升為異端審問官了。這可真是恭喜恭喜，啪唧啪唧。……哦？最近，繼貓之後，又開始養了汪喵。」
{f:5:Bernkastel},「…………汪喵是什麼…？」
{f:5:Lambdadelta},「誒，貝倫不知道嗎？！太落伍了～！最近，超流行的！我最近也養了母的汪喵喲。還能做成好吃的金平糖可棒了呢？！」
{f:5:Bernkastel},「……雖然不太清楚，不過下次我就不吃你親手做的甜食了……」
Furudo Erika,「柯內莉亞小姐是，………嘿。得知格闘技的段位對審問官選拔考試很有利，最近開始練習格闘技了。完全想像不出來呢。」
{f:5:Lambdadelta},「格闘技有好多種啊。開始練什麼了？」
Furudo Erika,「踢拳還有中國拳法。是受繪羽的影響嗎？」
{f:5:Bernkastel},「………感覺都像是會單腳站著戰鬥？」
{f:5:Lambdadelta},「是呢。畢竟是被某人好好鍛鍊過單腳站立嘛。」
