Speaker,Indonesian (IDN)
Ushiromiya Battler,"""Jadi... pada senja kesepuluh, perjalanan berakhir, dan kau mencapai Tanah Emas. Kamu benar-benar rajin, Maria. Kamu melakukan pekerjaan bagus menulis semuanya."" "
Ushiromiya Maria,"""Uu-! Aku sering lupa, jadi aku selalu menulis semuanya! Mama yang bilang begitu!"" "
,"Ada sebuah buku catatan di dalam tas tangan yang selalu dibawa Maria, dan epitaf {f:5:Beatrice} telah disalin ke dalamnya. "
,"Berkat itu, kami semua bisa menantang teka-teki epitaf sambil berjalan di pantai ini. "
,"Jessica dan yang lainnya sudah mencoba menyelesaikannya beberapa kali... dan sudah bosan dengannya. Namun, "
,"karena ini pertama kalinya bagiku, aku sangat bersemangat sampai tak bisa berhenti. "
,Benar-benar menggugah jiwa petualangku! 
Ushiromiya Battler,"""Mari kita mulai dari baris pertama. Lihatlah sungai sweetfish yang mengalir melalui kampung halamanku tercinta. Di mana kampung halaman Kakek, ya?"" "
Ushiromiya Jessica,"""Aku dengar sebelum perang, keluarga Ushiromiya punya rumah besar di dekat Odawara. Jadi kau pasti ingin tahu sungai sweetfish mana yang mengalir di Odawara, kan?"" "
Ushiromiya Battler,"""Iya, karena sungai itu akan menjadi titik awal. Siapa pun yang mencari Tanah Emas akan menyusurinya dan mencari kunci. Sungai apa yang ada di Odawara? Apakah ada sweetfish di dalamnya?"" "
Ushiromiya George,"""Kalau kau mencari sweetfish di Odawara, pasti Sungai Hayakawa. Itu terkenal untuk pancingan di aliran pegunungan."" "
Ushiromiya Maria,"""Uu-. Aku benci ikaaan."" "
Ushiromiya Battler,"""Ihihi, Maria, nanti kamu akan mengerti kalau sudah sedikit lebih besar! Jilat-jilat ikan sweetfish panggang asin! Enak! Padahal kita baru makan, aku jadi lapar lagi."" "
Shannon,"""...Umm, perlu aku ambilkan biskuit?"" "
Ushiromiya Battler,"""Hah? Oh, maaf. Bukan itu maksudku, tak usah dipikirkan!"" "
,"Shannon-chan dengan setia menemani kami, karena dia tidak punya tugas sore untuk sementara waktu. "
,"Kupikir, karena dia pelayan, menemaniku pasti membuatnya harus merawat kami dan akan melelahkan, tapi ternyata tidak baginya. "
,"...Sebaliknya, dia terlihat menikmati berbincang dengan orang-orang seumurannya. "
,"Saat aku bertanya, aku dengar bahwa dia termasuk pekerja yang mendapat kamar dan makan dari majikannya. Jadi biasanya, satu-satunya orang seumurannya adalah Jessica. "
,"Ya, aku bisa bayangkan betapa membosankannya itu. "
Ushiromiya Battler,"""Oke, jadi kita tahu bahwa sungai yang penuh sweetfish di dekat Odawara adalah Hayakawa. Kalau begitu, kita harus menelusurinya! Apakah kau akan menemukan sesuatu jika mengikuti Sungai Hayakawa?"" "
Shannon,"""Ummm, .........kalau kau mengikuti ke hilir, kau akan sampai ke laut."" "
Ushiromiya Battler,"""Tentu saja, kau akan sampai ke muara sungai! Dan baris ketiga dari epitaf berbunyi ""Saat kau menelusurinya, kau akan melihat sebuah desa."" Ngomong-ngomong, sejak lama, muara sungai merupakan titik penting transportasi, dan kota besar cenderung dibangun di sana. Itulah titik pemeriksaan berikutnya."" "
Ushiromiya George,"""Hmmmmmm. Itu teori yang cukup bagus. Seperti dugaanmu, ada kota tua yang sangat makmur sejak zaman kuno di sana. Di sanalah Kastil Odawara berada."" "
Shannon,"""Ah, kurasa aku pernah ke Kastil Odawara saat karyawisata. Itu memang kastil yang mengagumkan."" "
Ushiromiya Jessica,"""Ya, aku juga pernah ke sana. Meski aku tinggal di rumah bergaya Barat, memang benar orang Jepang merasa lebih nyaman dengan tata ruang ala Jepang!"" "
Ushiromiya Maria,"""Uu-. Kastil itu membosankan. Taman hiburan lebih menyenangkan. Uu-!"" "
Ushiromiya Battler,"""Aku mengerti, aku mengerti. Oke! Kalau kita menemukan emas, Battler-sama yang hebat akan menyewa taman hiburan untuk sehari penuh dan membiarkanmu bermain di dalamnya! "
Ushiromiya Battler,".........Tetap saja, Kastil Odawara, ya? Emas tersembunyi di Kastil Odawara... Oho?! Itu mulai terdengar cukup meyakinkan!"" "
Ushiromiya Jessica,"""Hahahahaha! Yah, kita sudah menyimpulkan sejauh itu dua tahun yang lalu. Desa di hilir sungai tempat sweetfish berenang di Odawara. Kami menyimpulkan itu mungkin di dekat Kastil Odawara. "
Ushiromiya Jessica,"Masalahnya adalah baris berikutnya. Oke, mari kita lihat sejauh mana logika anehnya Battler bisa membawanya."" "
,Jessica tersenyum lebar. Dia tampaknya menyiratkan bahwa dia sudah bisa memecahkan teka-teki ini sejak lama kalau memang semudah itu. 
,"...Sialan, aku pasti akan menemukannya dan menyimpan semuanya untuk diriku sendiri! "
Ushiromiya Battler,"""Baris keempat. ...Di desa itu, carilah pantai yang akan diberitahukan oleh dua orang. .........Aku tidak tahu apa maksudnya 'dua orang', tapi pokoknya, pantai... ......Apa maksudnya dengan pantai?! Tidak, tunggu, ...apakah ada tempat di sekitar sana dengan nama yang mengandung 'pantai' atau {ruby:kishi:{p:0:岸}}?"" "
Shannon,"""Ummm, ...aku dengar ada tempat bernama Sogakishi di Odawara."" "
Ushiromiya Battler,"""Hah?! Wow, kau tahu banyak juga ya! "
Ushiromiya Battler,"Heheh, apa artinya itu? Shannon-chan, kau juga mau memecahkan teka-teki ini dan mendapatkan emas? Berarti kita rival!"" "
Shannon,"""A-Aku bukan tertarik dengan emas... Hanya saja... George-sama pernah menceritakannya padaku sebelumnya..."" "
Ushiromiya Jessica,"""Itu karena kami mencapai kesimpulan yang sama dua tahun lalu. Kami bahkan sampai membuka peta dan mencarinya!"" "
Ushiromiya George,"""Itu sekitar lima kilometer ke utara Odawara. Kami benar-benar menemukan tempat bernama Sogakishi di sana. "
Ushiromiya George,"...Tapi, setelah itu kami buntu. Baris kelima tidak menyebutkan di mana kunci itu disembunyikan di tempat tersebut. Maria-chan, bisa tolong bacakan?"" "
Ushiromiya Maria,"""...Uu-. ......Di sana tertidur... kunci menuju... Tanah Emas. "
Ushiromiya Maria,"Uu-! Aku bisa bacaaa!"" "
Ushiromiya Jessica,"""Sogakishi kemungkinan cukup luas, dan tidak pernah ada rumah yang dibangun di sana oleh keluarga Ushiromiya. Sulit untuk menemukan kunci di area sebesar itu tanpa petunjuk apa pun."" "
Ushiromiya Battler,"""Kau benar. ...Dan tanpa kunci itu, kita tidak bisa melanjutkan ke baris berikutnya. George-aniki, seperti apa tempat Sogakishi itu?"" "
Ushiromiya George,"""Mari kita lihat... Aku belum pernah ke sana, jadi tidak terlalu tahu, tapi menurut peta, itu ada di pegunungan. Seingatku itu di kaki Gunung Asama."" "
Ushiromiya Battler,"""......Hmmmm. Ada yang terasa tidak beres. Biasanya, teka-teki yang menunjukkan jalan ke emas tersembunyi itu lebih spesifik. Aku merasa bahkan bagian tentang Sogakishi pun mungkin salah."" "
Ushiromiya Jessica,"""Yah, mungkin saja itu memang Sogakishi. Mungkin membicarakan tentang rumah yang pernah ditinggali Kakek saat kecil dan kita tidak tahu. Lagipula, baris pertama menyebutkan kampung halaman tercintanya. "
Ushiromiya Jessica,"...Shannon, kau sering menuangkan alkohol untuk Kakek, kan? Pernahkah dia bercerita tentang masa lalunya?"" "
Shannon,"""...Tuan hampir tidak pernah bicara soal masa lalunya. ...Namun, dia membicarakan Gempa Besar Kanto seolah-olah itu cerita orang lain, jadi mungkin saat itu dia tinggal jauh dari wilayah Kanto."" "
Ushiromiya George,"""Keluarga Ushiromiya mungkin tinggal di Odawara, tapi tidak semua cabang keluarga tinggal di sana. ""Kakek sering menyebut dirinya sebagai bagian dari cabang dari keluarga cabang, yang paling jauh dari penerus utama."" "
Ushiromiya Battler,"""Dan itu berarti... kampung halaman tercinta itu mungkin bukan Odawara sama sekali...!"" "
Ushiromiya Jessica,"""Aku tidak pernah dengar soal kampung halaman Kakek. Dan kurasa dia tidak akan benar-benar jawab kalau aku tanya."" "
Ushiromiya George,"""Kalau yang disebut kampung halaman tercinta itu bukan merujuk pada asal keluarga Ushiromiya, maka teori Odawara salah sejak awal. Tentu saja, ini tidak sepenuhnya menghilangkan kemungkinan Sogakishi. Misalnya, mungkin dia memang tinggal di Odawara saat kecil, lalu pindah jauh setelahnya."" "
Ushiromiya Maria,"""Uu-... Aku tidak mengerti apa yang kalian bicarakan. Uu-."" "
,"Maria benar-benar tersisih dari pembicaraan, dan sekarang duduk dengan pipi mengembung karena bosan. "
Ushiromiya Battler,"""Jadi, pada dasarnya, kalau kita bahkan tidak bisa sepakat soal titik awal dari permainan dadu emas ini, kita benar-benar buntu. "
Ushiromiya Battler,".........Tapi tunggu... Setelah lima baris pertama, yang kita temukan adalah kunci, kan? Meski kau tidak punya kunci, tetap saja kau bisa mendobrak pintu. Kenapa kita tidak lewati saja lima baris pertama dan mulai mencoba menyelesaikan sisanya?"" "
Ushiromiya Jessica,"""Ooh... Aku belum memikirkan itu. "
Ushiromiya Jessica,"Yah, kita toh cuma membuang-buang waktu. Mari kita dengar sisa logika anehnya Battler!"" "
Shannon,"""...Tapi di bagian berikutnya, suasananya langsung jadi gelap..."" "
,Shannon-chan mengerutkan kening sedikit. 
,"Setelah kembali melihat ke buku catatan Maria untuk mengingat apa yang tertulis di sana, ...ya, aku pun terpaksa setuju. "
Ushiromiya Battler,"""Pada senja pertama, persembahkan enam orang yang dipilih oleh kunci sebagai korban... Langsung mengerikan."" "
Ushiromiya Jessica,"""Pada senja kedua, tertulis untuk mencabik dua yang saling dekat. Apa itu artinya memisahkan pasangan yang saling mencintai? Atau benar-benar mencabik mereka? Aku tidak tahu, tapi dua-duanya menjijikkan."" "
Ushiromiya George,"""Bahkan kalau kita abaikan baris kedua, disebutkan 6 orang di senja pertama, lalu 5 orang dari senja keempat hingga kedelapan, berarti minimal 11 orang harus dikorbankan."" "
Ushiromiya Maria,"""Uu-. Mereka adalah korban untuk membangkitkan {f:5:Beatrice}!"" "
Ushiromiya Battler,"""...Aku mengerti, pengorbanan untuk menghidupkan kembali sang penyihir... Ya, itu pasti maksudnya. Menjelang akhir, penyihir akan dibangkitkan di senja kesembilan... ...Bagian terakhir itu sudah pasti."" "
Shannon,""".........Pada senja kesembilan, penyihir akan hidup kembali, dan tak ada seorang pun yang tersisa hidup. ...Berarti semua orang mati pada akhirnya."" "
Ushiromiya Jessica,"""Dan setelah itu, senja kesepuluh adalah garis akhir. Nggak yakin bagaimana seseorang bisa mencapai Tanah Emas kalau semua orang sudah mati waktu itu."" "
Ushiromiya George,"""...Tergantung bagaimana kau menafsirkannya, si pelancong yang memegang kunci bisa jadi termasuk atau tidak termasuk dalam 'tak ada yang tersisa hidup'."" "
Ushiromiya Battler,"""Tapi di bagian akhir, ada sesuatu yang cukup menarik. Setelah mencapai garis akhir, penyihir memberikan empat harta. Satu adalah seluruh emas. Masalahnya ada di yang berikutnya. Katanya jiwa-jiwa yang telah mati akan dibangkitkan kembali, kan? Bukankah itu terdengar seperti semua yang mati sebelumnya akan hidup kembali?"" "
Shannon,"""......Kalau kau menaruhnya begitu, maka bagian tentang menghidupkan cinta yang hilang mungkin merujuk pada pasangan yang terpisah di senja kedua."" "
Ushiromiya George,"""Benar. Dan yang keempat merujuk pada senja kesembilan. Harta keempat adalah menidurkan penyihir yang telah dibangkitkan di senja kesembilan."" "
Ushiromiya Jessica,"""Kalau kita melihat semuanya dengan sudut pandang positif, meskipun penuh dengan kematian dan perpisahan, semuanya akan diperbaiki pada akhirnya. Penyihir yang terbangun akan kembali tertidur, ...dan segalanya kembali seperti semula, hanya saja dengan tumpukan emas besar."" "
Ushiromiya Battler,"""Sang penyihir pasti sangat sibuk, membunuh, menghidupkan, memisahkan, dan menyatukan orang."" "
Ushiromiya Jessica,"""Belum lagi harus bangun dan tidur lagi. Hahahahaha."" "
Ushiromiya Battler,"""Ck, tepat saat kisah emas tersembunyi mulai menarik, semuanya jadi meragukan begitu penyihir muncul."" "
Ushiromiya Jessica,"""Bener banget. Ahahahahahaha!"" "
,"Aku tertawa bersama Jessica. Lagi pula, ide tentang penyihir itu terlalu konyol. "
,"...Tentu saja, begitu kami mulai tertawa seperti itu, Maria, yang percaya pada penyihir, jadi marah. "
Ushiromiya Maria,"""Uu-! Sang penyihir itu luar biasa! Dia bisa melakukan apa saja dengan sihir! Bisa membunuh. Bisa menghidupkan kembali. Bisa memberi cinta, bisa mengambilnya. "
Ushiromiya Maria,"Dia bisa terbang di langit, bisa jadi tak terlihat, bisa menciptakan emas dan roti dari ketiadaan! Uu-! Uu-! Uu-uu-uu-!!"" "
Ushiromiya Jessica,"""Erk, aduh... Maaf, ...kami hanya bercanda!"" "
,"Jessica minta maaf sambil menjulurkan lidah, tapi Maria tak menerimanya. "
,"Dia merebut kembali buku catatannya dari tanganku dan, membuka ke beberapa halaman lain, mencoba membuktikan bahwa penyihir itu benar-benar ada. "
,Halaman-halaman itu penuh dengan gambar penyihir berwarna-warni... dan menggambarkan dengan baik citra fantasi penyihir dalam benak Maria. 
,"Bukan gambaran seram penyihir berhidung bengkok yang terbang di atas sapu, tapi sosok seperti mimpi dengan kekuatan gaib, mengenakan gaun indah dan mampu melakukan apa saja. Itulah yang diharapkan dari seorang gadis kecil yang penuh imajinasi. "
,"Melayang di langit, menyeberangi pelangi, menari sepanjang malam bersama cangkir teh dan teko yang tak akan pernah habis walau dituangkan terus. "
,"Dengan sekali ayunan tongkatnya, bintang-bintang di langit akan menjadi permen dan berjatuhan, dan bunga-bunga yang mengeluarkan manisan akan tumbuh di pinggir jalan. "
,"......Bagi Maria, penyihir adalah satu-satunya konsep yang bisa mewakili mimpi ajaib yang begitu mempesonanya. "
,"Seiring bertambahnya usia, itu adalah satu-satunya hal yang masih bisa memberikan warna pada kehidupan sehari-harinya yang datar dan membosankan. "
,Itulah mengapa Maria percaya pada penyihir. 
,"Dia tidak ingin mimpinya ternoda. Itulah mengapa dia tidak ingin siapa pun menodai epitaf itu, "
,yang mengafirmasi keberadaan penyihir. 
Ushiromiya George,"Karena penyihir bernama {f:5:Beatrice} adalah mimpi milik Maria... ""Bagi Maria-chan, epitaf itu bukanlah petunjuk menuju emas tersembunyi, "
,"melainkan sihir untuk membangkitkan kembali sang penyihir."" Jadi itu adalah satu-satunya ikatan antara Maria dan penyihir. "
,Maria sangat marah dan memeluk George-aniki erat-erat. 
,Jessica dan aku menggaruk kepala kami dan meminta maaf. 
,...Mungkin kali ini tidak akan semudah menenangkan Maria seperti saat dia marah di depan lukisan. 
,"Maria tampak tak ingin begitu saja dihibur. Berbeda dengan Jessica dan aku yang hanya bisa tertunduk bingung, Shannon-chan perlahan membuka mulutnya. "
Shannon,"""Umm, .........Maria-sama, apakah anda tahu...? Ada cerita hantu tentang {f:5:Beatrice} yang turun-temurun dikisahkan di kalangan para pelayan."" "
Ushiromiya Maria,"""......Uu-?"" "
Ushiromiya Jessica,"""A-Ah, iya, benar juga! Shannon, ceritakan pada kami. Aku juga nggak tahu pasti, tapi konon itu cukup terkenal di antara para pelayan."" "
Ushiromiya Battler,"""Apa ini? Cerita hantu?"" "
Ushiromiya George,"""Ya. Katanya cerita ini sudah ada sejak sebelum kita lahir. Aku juga dengar dari ibuku."" "
Shannon,"""...Benar. Cerita ini sudah ada sejak masa pembangunan mansion ini. ...Para pelayan zaman itu berbisik bahwa mansion ini punya dua Tuan, "
,"satu di Siang hari dan satu di Malam hari."" Kisah yang diceritakan Shannon seperti cerita hantu yang biasa diceritakan di perkemahan. "
,"Jika ada hutan tempat penyihir tinggal, ...tentu saja sang penyihir kadang-kadang akan mengunjungi mansion. "
,"Pada satu titik, cerita hantu seperti ini muncul begitu saja di antara para pelayan. "
