Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Battler,"""... Avrei dovuto prendere la barca... la barca..."""
Ushiromiya Maria,"""Caaadeee, Caaadeee! Uu-uu-uu-uu-!!"""
Ushiromiya Rosa,"""Maria, basta!"
Ushiromiya Rosa,"... Ma comunque, che sorpresa. E io che pensavo che niente potesse spaventare Battler-kun."""
Ushiromiya Rudolf,"""Questo qui, non so perché, odia ogni veicolo. Farfuglia sempre che sta per schiantarsi o per affondare. Sei una disgrazia di uomo."""
Ushiromiya Battler,"""... Ah, sta' zitto. È normale, con tutti quegli scossoni... è la mia prima volta su un piccolo aereo come questo, quindi mi sono fatto prendere un po' dall'agitazione, tutto qui..."""
Ushiromiya Eva,"""Tu chiami tutto quel chiasso ‘farsi prendere un po' dall'agitazione’? Heheheh, se mai viaggerò oltreoceano con te, le cose si farebbero sicuramente più vivaci. Ti piacerebbe andare in Egitto con tua zia? Sono sicura che tu possa stare 14 ore su un aereo, giusto?"""
Ushiromiya Kyrie,"""Ahhahaha! È un buon piano. Battler-kun, vai a fare un po' di allenamento con Eva Nee-san. Comunque, è strano, no? Ahhahahaha!"""
Ushiromiya Hideyoshi,"""Wahhahaha, via, via. Ognuno di noi ha i suoi punti forti e punti deboli. {n}Non va bene riderne. Wahhahaha...!"""
Ushiromiya George,"""P-Papà, non va bene che anche tu stia ridendo. Ehi, Maria-chan, smettila subito di ridere."""
Ushiromiya Maria,"""Smettere di ridere? Uu-!"""
,"Gyah, dannazione! Davvero è così sbagliato essere spaventati dagli aerei? {n}Ho capito perfettamente che tutti stanno pensando che io sia un completo idiota... Tch!"
,"Ci dividemmo e prendemmo taxi separati dall'aeroporto, e arrivammo al porto. Da qui in poi, andremo all'isola con la barca."
,"Visto che l'isola è molto vicina, non è questa grande distanza. Con la barca, senza fretta sono 30 minuti per l'isola."
,"Arrivati al molo dove la barca per l'isola era ancorata al fondo, vedemmo una persona agitare la mano."
Ushiromiya Jessica,"""George nii-saaan! È passato un casino di tempo!!"""
Ushiromiya George,"""Ah, Jessica-chan, è passato un anno dall'ultima volta! Sei diventata ancora più alta, vero?"""
Ushiromiya Jessica,"""Kyah-haha, non dirmelo, lo fai ogni anno, è imbarazzante!"""
Ushiromiya Battler,"""... E-Ehi, Aniki, mi stai prendendo in giro. È davvero Jessica?!"""
Ushiromiya Jessica,"""Aspetta un attimo, George nii-san... questo ragazzone... è Battler?!"""
,Ci scrutammo entrambi da capo a piedi.
,"... Non ricordavo avesse questo aspetto, ma ricordavo sicuramente il suo {c:86EF9C:orribile linguaggio}."
Ushiromiya Battler,"""Yo, Jessica! Cos'hai lì! Non ci credo, sembri una donna ora! Cosa sono quelle, tette? Anche tu sei riuscita a fartele crescere così tanto! Ihihi, lasciamele palpare, lasciamele~!"""
Ushiromiya Jessica,"""Non scherzare con me, sono un fiore di diciottenne! Proprio come crescono i capelli, così fanno le altre cose! Pensi che mi siano cresciute le tette solo perché tu possa venire e palparmele, perdente!? E invece tu, Battler, sei diventato così ridicolmente grande solo fisicamente!! Sei diventato un po' più forte?"""
Ushiromiya Battler,"""Non scherzare con me, ti mostrerò quanto allenamento ho accumulato dall'ultima volta!!"""
Ushiromiya Jessica,"""Mi hai stufato!! Ti batterò al tuo stesso gioco!"""
,Il nome di questa ragazza testarda è {p:0:朱志香}.
,"... È nata sotto la mia stessa stella sfortunata, ed è la mia pietosa compagna in fatto di nomi strani. Comunque, {p:0:朱志香} si pronuncia ‘Jessica’."
,È la figlia del fratello più grande di Papà.
,"Questo fratello più grande, è in effetti il più anziano figlio della famiglia Ushiromiya, quindi per ora, significa che Jessica è la diretta erede della famiglia Ushiromiya."
,"Visto che abbiamo la stessa età, e visto che abbiamo sempre avuto battibecchi ragazzo-ragazza, fin da molto tempo fa, quando ci incontriamo alle riunioni di famiglia, ci attacchiamo a vicenda mantenendo una relazione scherzosa."
,"Jessica è cresciuta rapidamente. E la verità è che, in fatto di costituzione e forza fisica, ho sempre perso con lei."
,"Quindi, quando ci azzuffiamo come prova di forza, generalmente vince sempre Jessica."
,"Per cui, anche sapendo molto bene di aver ottenuto una corporatura più grande, aveva ancora l'illusione che io non potessi battere la sua forza-saggezza."
Ushiromiya Battler,"""... Woh"
Ushiromiya Jessica,"... ah...! Cosa, cosa sei diventato, diamine...?! Owowow..."""
Ushiromiya Battler,"""Ehi ehi ehi, questo è niente! Jessica, sei diventata debole."""
Ushiromiya Jessica,"""St-Stai zitto. Sono una donna, quindi non c'è modo che possa battere un uomo con la forza per sempre, no?!"""
Ushiromiya Battler,"""Be', questo è sicuramente vero! La carne che ho messo sulle mie braccia, tu l'hai messa sul tuo pe~etto. Non è una bella sfida tra le mie braccia e le tue tee~eette?!"""
Ushiromiya Jessica,"""È per questo che tu non sei all'altezza delle mie tette!! Oltretutto, che mi dici di te? Il tuo piccolo elefante-san è diventato un po' più grande per andare al passo con il resto del tuo corpo?!"""
Ushiromiya Battler,"""Smettila, idiota! Nooo, pervertita! Nessuno vorrà più sposarmi... non toccare il mio pa~acco!!"""
Ushiromiya Jessica,"""N-Non dire cose che le persone potrebbero fraintendere!!"""
,"Onestamente, ero così sorpreso di quanto Jessica fosse diventata femminile, che ho dovuto seriamente giocare per non essere ingannato."
,"... Giusto, ricordando che peste prepotente era sei anni fa, chiunque sarebbe sorpreso."
,E immagino sia anche più vero per Jessica. Davvero non credeva che avrebbe perso con me.
,"Siccome ha perso così facilmente, dev'essere rimasta scioccata da tutta la crescita che ho avuto in questi sei anni passati."
,"... Sei anni. Ancora una volta, realizzai quanto vuoto significhi tutto questo tempo."
Ushiromiya Jessica,"""Dannazione... sconfitta totale. Beh, non sono più una sfida per te."""
Ushiromiya George,"""Questo non è vero. Anche Battler-kun ha una debolezza. Giusto, Maria-chan?"""
Ushiromiya Maria,"""Uu-! Caaade, caaade!!"""
Ushiromiya Battler,"""Shh, finiscila Maria~, teniamolo segreto, ok?"""
Ushiromiya Jessica,"""Ca-de? Cosa diavolo significa?"""
Ushiromiya Battler,"""Heheh! Mi spiace, ma non rivelerete nient'altro della mia debolezza a Jessica! Perché, in ogni caso, l'incubo volante è ormai finito! L'unica cosa rimasta è il dolce, tranquillo andare del viaggio in barca. Non avrei mai pensato di iniziare ad amare quel rottame di barca come ora. Ihihi!"""
Ushiromiya Jessica,"""Ee-h???? George nii-san, c'è qualcosa che non va con la sua testa?"""
Ushiromiya George,"""Capirai presto. Molto presto."""
,"In quel momento, non capivo cosa intendesse Aniki con quel grosso sorriso..."
Kumasawa Chiyo,"""Cosa abbiamo qui... oooh! Battler-san, come sei diventato grande...!"""
,"Chi è questa? È una vecchia signora con un grembiule. ... Oh, oh sì, quella cosa... ora ricordo!"
Ushiromiya George,"""Te la ricordi, vero? Guarda, è una dei domestici, Kumasawa-san."""
Ushiromiya Battler,"""Come potrei dimenticarmi di Kumasawa baa-chan! Comunque, non sei invecchiata per niente in questi sei anni. O meglio, non sembri ringiovanita~?"""
Kumasawa Chiyo,"""Hoh-hoh-ho! Ultimamente, la mia pelle sta diventando tutta liscia come la seta! E guarda, il mio seno non è forse diventato più grande? ... Ti piacerebbe palparlo?"""
Ushiromiya Battler,"""S-Stai scherzando! Il mio palpa-tette è strettamente riservato alle ragazze ‘morbide’!"""
Kumasawa Chiyo,"""Anch'io, quand'ero giovane, le avevo morbide, sai~? Su, su, sentiti libero di fare un giro di prova!"""
Ushiromiya Battler,"""Gyah, smettila! Vado per ragazze, io! Non vecchiette!"""
,"Lo scherzo che avevo fatto a Jessica si stava rigirando contro di me. Ma in effetti, ha sempre giocato con me fin da molto, molto tempo fa."
Ushiromiya Rudolf,"""Kumasawa-san, smettila ora. Le persone con un piede nella fossa non dovrebbero andare gironzolando."""
Kumasawa Chiyo,"""Giocare con i giovani è la migliore medicina ringiovanente. Hoh-hoh-ho!"""
Ushiromiya Eva,"""È raro per Kumasawa-san venirci a prendere. Ora mi chiedo, come mai? Quando ti viene affidato qualche compito, la tua lombaggine si fa sentire. *cackle*."""
Kumasawa Chiyo,"""Hoh-hoh-ho, Eva-sama, rude come al solito. Mi sono ritrovata con alcune commissioni urgenti da fare, e mentre le stavo facendo, ho pensato che sarei venuta ad accogliervi tutti. Anche se dà una brutta impressione se chi ti aspetta per accoglierti è una vecchia donna decrepita. Hoh-hoh-ho...!"""
,"Eva oba-san era scaltramente sarcastica, ma Kumasawa baa-chan, come ci si aspetterebbe, aveva un sacco di esperienza. Mostrò come lasciar correre uno scherzo con calma e furbizia."
,"Beh, penso di averlo già detto, ma come domestica, la vecchia Kumasawa-chan forse ha passato il suo splendore."
,"Potrebbe comportarsi come se stesse bene, ma tra il mal di testa e la lombaggine, il suo corpo sta cadendo a pezzi. A dire la verità, il fatto che stia ancora lavorando è già impressionante."
,"... Quanti anni ha compiuto quest'anno? Dev'essere alla soglia degli ottanta come minimo. E con tutto questo, si sta comportando così energicamente che mette quasi paura."
Ushiromiya Rosa,"""Sembri diventare sempre più vivace. Oh, giusto, ecco a te. È il tè di cui ti avevo parlato. Guarda, te ne ho comprato un po'. Ti prego di provarlo più tardi."""
,Rosa oba-san tirò fuori la busta con il regalo dalla sua borsa.
,"Ricordarsi la promessa che sembra avesse fatto l'anno precedente, e comprarlo fedelmente. ... Questo genere di meticolosità è tipica di Rosa oba-san."
,È il genere di persona che non dimenticherebbe o romperebbe mai una promessa.
,"Se Kumasawa baa-chan ricordasse la promessa o meno, sembrava profondamente toccata dal fatto che qualcuno avesse portato un dono a una semplice domestica come lei."
,Questa donna è Kumasawa Chiyo-san ({p:0:熊沢 チヨ}).
,"È un'anziana domestica che lavora per il capo della famiglia Ushiromiya da chissà quanti anni. Come ti aspetteresti da qualcuno della sua età, non è molto brava con i lavori manuali, ma dai lavori di cucina alle pulizie e alla lavanderia, è il genere di super domestica che riesce a gestire ogni cosa."
,Quindi il suo unico difetto è la tendenza a battere la fiacca.
,Ho sentito che prova a evitare lavori pesanti e problematici tirando in ballo le sue malattie croniche.
,"... Piuttosto che una tendenza a battere la fiacca, nel caso di Kumasawa baa-chan, potrebbe essere la giusta cosa per non sforzarsi troppo."
,"... Dal punto di vista di coloro che pagano il suo salario, non sembra che stia risparmiando molto."
,"Ah beh, anche se è molto lenta sul lavoro, per qualche ragione, le persone semplicemente non riescono ad arrabbiarsi con lei."
,Immagino che probabilmente è a causa dell'allegria che non lascia mai la sua faccia sorridente.
Ushiromiya Hideyoshi,"""Ehi, sono contento di vederti ancora vivace! Come va la tua schiena?"""
Kumasawa Chiyo,"""Anche con la medicina, non migliora. Secondo il dottore, non c'è niente da fare. È quello che chiamano un male incurabile, hoh-hoh-ho!"""
Ushiromiya Rudolf,"""Comunque, Jessica-chan diventa sempre più carina. È un bene che somigli a Natsuhi Nee-san."""
Ushiromiya Jessica,"""D-Davvero...? Personalmente, non penso di somigliarle... voglio dire, non ho nessuna intenzione di somigliare ai miei genitori. Perché non ho alcun rispetto per loro."""
Ushiromiya Kyrie,"""Oh, non dovresti dire queste cose. *giggle*, anche se c'è qualche persona che non vuole assomigliare ai suoi genitori, nella nostra famiglia."""
Ushiromiya Battler,"""Ah, sono io!"""
Ushiromiya Rudolf,"""Idiota, non iniziare ad assomigliare a me. Già che il tuo naso sembri uguale al mio mi fa innervosire."""
