Speaker,Italian (Ars Magica) (Old) (ITA)
,La barca fece un gran rumore.
,Sembra che stiamo ormeggiando. Il personale della barca venne fuori e saltò sul molo mentre teneva la corda per l'ormeggio...
,C'era un omone in smoking che ci salutava con un viso ridente.
,"... Non riconoscevo la sua faccia, ma a giudicare dai suoi vestiti, immaginavo fosse uno dei domestici della famiglia Ushiromiya."
Gohda Toshiro,"""Bentornata a casa, Milady. Eravate in ritardo, cominciavo a preoccuparmi."""
Ushiromiya Jessica,"""Ah, grazie del pensiero! Questo idiota qui era tutto impaurito e abbiamo avuto un rallentamento. È stato davvero seccante!"""
Ushiromiya Battler,"""S-Sta' zitta... un giorno, quando capirai come mi sento te lo ricorderai... pff."""
,"A questo ritmo, si sarebbe saputo tra tutta la famiglia e sarei diventato l'argomento principale della cena di stasera."
,"E se non fosse così, sarebbe facile per me essere sulle labbra di tutti dato che sono passati sei anni, ma ora gli ho concesso un argomento anche più succoso...!"
,"Dannazione, perché il capofamiglia deve vivere su quest'isola solitaria!"
,"Nel frattempo, la barca aveva finito l'ormeggio. Una piccola asse venne abbassata per permettere l'uscita dalla barca."
,"Uno dopo l'altro, i nostri parenti vennero fuori."
Gohda Toshiro,"""Dovete essere tutti molto stanchi per il lungo viaggio. Madame, prego, consentitemi di aiutarvi."""
Ushiromiya Eva,"""Grazie. Ne è passato di tempo, Gohda-san. Come stai?"""
Gohda Toshiro,"""Grazie per avermelo chiesto. È sempre un piacere servirvi."""
Ushiromiya Kyrie,"""Battler-kun, non è forse la prima volta che vedi Gohda-san? Se non sbaglio, ancora non lavoravi qui sei anni fa, giusto?"""
Gohda Toshiro,"""Sicuramente. Perciò, permettetemi di presentarmi. È un onore conoscerla, Battler-sama."""
Ushiromiya Battler,"""... So di certo che sono molto alto, ma tu sei enorme. ... Questo è senza dubbio il nostro primo incontro. Se avessi conosciuto un ragazzone come te, non l'avrei mai dimenticato...!"
Ushiromiya Battler,"È un piacere. Io sono Battler."""
Gohda Toshiro,"""Chiedo scusa per l'attesa. Lavoro per la Famiglia Ushiromiya da due anni.{n}Sono Gohda ({p:0:郷田}), il vostro domestico."
