Speaker,Italian (Ars Magica) (Old) (ITA)
,"Il programma tv venne interrotto da un annuncio. Il servizio spiegava quanti comuni continuavano imperterriti a respingere la pioggia, l'alluvione, e i pericoli di inondazione."
,"Ovviamente, la pioggia che batteva duramente sulla finestra era molto più convincente."
Ushiromiya Battler,"""... Questa pioggia è incredibile. Eppure, anche se piove così tanto, sembra quasi che possa smettere da un momento all'altro."""
Ushiromiya Jessica,"""Magari! Hanno detto che il tifone si sta muovendo lentamente, quindi nel peggiore dei casi anche domani sarà come oggi per tutto il giorno. Anche un po' di pioggia basterebbe per fermare le barche."""
Ushiromiya George,"""Sembra che non potremo andarcene prima di domenica, dopotutto. ... Meno male, ho rimosso ogni impegno dall'orario di lunedì. Son contento di averlo fatto."""
Ushiromiya Battler,"""Immagino che questo significhi, ihihi, che salteremo la scuola lunedì~. {n}Vivere su un'isola inizia ad essere divertente! ... Ora che ci penso, Jessica, devi prendere il battello tutti i giorni per andare a scuola? E cosa fai quando i battelli sono fermi per il maltempo? Rimani a casa quando piove e arrivi in ritardo quando imperversa una bufera, come Re Kamehameha?"""
Ushiromiya Jessica,"""Se i battelli non arrivano, resto a casa. Beh, non è bello come sembra. Generalmente sono costretta a studiare per conto mio, e non è poi così divertente avere qualcuno continuamente dietro di te mentre guarda ogni cosa che fai."""
Ushiromiya Battler,"""Durante la stagione delle piogge, c'è spesso mal tempo e salti molti giorni di scuola?"""
Ushiromiya Jessica,"""Spesso succede anche questo. Ma in ogni caso, ogni singolo giorno, la mia insegnante privata mi chiamerebbe e mi guiderebbe aspramente su come dovrei imparare da sola e su cosa dovrei diventare."""
Ushiromiya George,"""Non può semplicemente saltare la scuola come pensi tu, Battler-kun. {n}Deve seguire le regole per le persone che vanno a scuola con il battello e studiare molto."""
Ushiromiya Jessica,"""Sarebbe nettamente più facile andare semplicemente a scuola. Nella mia stanza mi distraggo e non riesco a concentrarmi. Dopo essere stata costretta a non fare altro che studiare per diversi giorni, è piuttosto difficile razionalizzare tutto quello stress mentale."
Ushiromiya Jessica,"... Quando andrò al college, voglio seriamente trasferirmi in qualche dormitorio e dire addio a questa scomoda isola."""
Ushiromiya Battler,"""Huh... comunque, cosa fai quando il tempo è bello di mattina, ma diviene così brutto mentre torni a casa da fermare i battelli? Passi la notte a scuola?"""
Ushiromiya Jessica,"""Questo accade molto spesso. A causa del maltempo, hanno costruito alcuni alloggi per le persone che non possono raggiungere l'isola. Io sto lì. Quando c'è brutto tempo, a volte sono rimasta bloccata lì senza poter tornare a casa per alcuni giorni."""
