Speaker,Italian (Ars Magica) (Old) (ITA)
,"Genji ancora una volta si strinse il papillon, e guardò all'esterno tramite uno squarcio nella tenda."
,Forse la pioggia era leggermente cessata dalla notte precedente. ... Ma non sembrava che le nuvole scure e cariche di pioggia avessero intenzione di far uscire il sole mattutino.
,"La mattina era pallida, e di certo non piacevole."
Ronoue Genji,"""... Come immaginavo, non sembra che si fermerà oggi."""
Kanon,"""Scusi per averla fatta aspettare, Genji-sama."""
,"Kanon terminò di prepararsi, e uscì dal bagno. In orari normali, era raro per chiunque dover eseguire il turno di mezzanotte e subito dopo quello mattutino."
,C'era un'organizzazione speciale durante i due giorni della conferenza di famiglia.
,"Però, finché questo tifone non se ne va, la permanenza dei parenti su quest'isola durerà almeno fino a domani."
,Kanon pensò che sarebbe stato meglio essere preparati a prolungare i turni speciali per un altro giorno.
,"I due lasciarono la casa degli ospiti, aprendo i loro ombrelli. Il giardino di rose era stato distrutto dal vento e dalla pioggia la sera prima."
,"Anche se avevano speso giorni e giorni per renderlo accogliente alla vista degli ospiti, era bastata una notte tempestosa per rovinarlo."
,Kanon sospirò.
,I due si diressero verso la villa. Avrebbero dovuto incontrare Gohda e preparare la colazione.
,"Gohda era un tale perfezionista che, probabilmente, era già sveglio, e stava già preparando una colazione squisita, elegante e splendente come i vetri."
,"Raggiunsero la sporgenza all'entrata della villa, e chiusero i loro ombrelli."
,"Genji prese dal taschino un mazzo di chiavi, e aprì la porta principale."
,"Non c'era altro che la villa della famiglia Ushiromiya a Rokkenjima, perciò, in passato, non erano abituati a chiudere ogni stanza."
,"Tuttavia, Natsuhi ordinò che la villa venisse chiusa da mezzanotte sino alle prime ore del mattino."
,"Dopo questo fatto, aprire le porte al mattino era diventato parte del lavoro mattutino dei domestici."
,Questo compito era stato affidato a Genji e Kanon in modo che Gohda potesse iniziare i preparativi per la colazione non appena si fosse svegliato.
,"Il silenzio era calato nella villa, dando l'impressione che la villa stessa fosse addormentata."
Ronoue Genji,"""... Bene, cominciamo le faccende mattutine."""
Kanon,"""Sì."""
,I due si divisero e cominciarono ad aprire le tende in tutta la villa.
,"... Se le tende fossero rimaste chiuse, l'interno della villa sarebbe risultato cupo, come se non fosse riuscito a scappare la notte precedente, e non sarebbero riusciti a pulire."
,"Kanon, con una procedura ben congegnata, fece il giro della villa aprendo una finestra dopo l'altra senza dover tornare sui suoi passi una sola volta."
,"Anche con quel tempo orribile, aprendo le tende, comincio a sembrare un po' mattina."
,"Continuando a fare in questo modo, passò di fronte alla cucina."
,"... Anche se sapeva che non avrebbe potuto assaggiarla ancora, il suo stomaco cominciò a brontolare al pensiero della cucina di cui Gohda si vantava tanto."
Kanon,"""... Buongiorno. ...?"""
,"Tentò di salutare Gohda, che pensò stesse preparando le pietanze in cucina, ma di Gohda non c'era traccia."
,"La cucina era illuminata in maniera soffusa, e non vi era alcun ventilatore, ne tantomeno finestre."
,"Dal momento che c'era ancora molto freddo senza tracce di fuochi accesi, era ovvio che nessuno stesse preparando la colazione."
,"... Sebbene non fosse permesso, forse Gohda aveva dormito un po' troppo."
,Anche i domestici sono umani. A volte possono arrivare in ritardo se non riescono ad alzarsi dal letto.
,"... Nei rari casi in cui questo accadeva, fare chiasso per camuffare l'orrenda scena, sistemare le cose con nonchalance, e assicurarsi che la presenza di un tale errore non venisse mai scoperta dal padrone, erano solo alcuni dei meriti di un domestico."
,Kanon prese la cornetta del telefono che era stato fissato al muro e compose il numero della stanza dove dormivano i domestici.
Kanon,"""...?"""
,... Non sentì il caratteristico suono della chiamata.
,"Kanon provò ad abbassare e rialzare la cornetta, ma anche così non riuscì a sentire il solito segnale di chiamata."
,"Provò a digitare di nuovo il numero, ma apparentemente non ebbe alcun effetto."
,... Forse il temporale della notte scorsa aveva fatto qualcosa alla centralina e rotto le linee interne?
,L'attrezzatura nella villa era tutta usurata. Kanon sapeva bene che anche la più piccola cosa avrebbe potuto causare un guasto.
,"Kanon smise di tentare di svegliarlo col telefono, e si precipitò nella stanza in cui dormivano i domestici."
,... Per quanto tempo aveva dormito? Quanto tempo era passato da quando si era svegliata e aveva cominciato a fissare il soffitto?
,... Quella vaga sensazione di dormiveglia era il risveglio tipico di Natsuhi.
,"Il suo sonno era sempre leggero, e non sarebbe stata capace di dormire del tutto senza medicine. ... Per Natsuhi, dormire era decisamente una cosa infelice."
,"Quando diede un'occhiata all'esterno, vide che stava ancora piovigginando. {n}Se non avesse percepito un tenue fascio di luce, avrebbe potuto pensare erroneamente che era ancora notte."
,"Dato che lei era la padrona di casa, non poteva destarsi dopo gli ospiti."
,"Decidendo di affrettarsi, si mise seduta, il corpo non ancora ripresosi completamente dalla stanchezza del giorno prima."
,"Fintanto che rimaneva dentro la stanza, nessuno l'avrebbe disturbata. Il suo mal di testa non avrebbe potuto peggiorare ulteriormente di quanto non lo fosse già. ... Questa stanza era l'unico angolo pacifico per lei."
,"Perciò quando lo abbandonava, significava tornare al mondo dei parenti di suo marito, che tentavano di studiarsi le menti l'un l'altro."
,... Allora non sarebbe stato meglio rimanere chiusa in questa stanza per sempre...?
,Natsuhi sorrise amaramente a quest'illusione. ... Cominciava ad assomigliare a Kinzo.
