Speaker,Italian (Ars Magica) (Old) (ITA)
,"Tutto ciò che si riusciva a sentire era il rumore della pioggia, delle voci provenienti dal programma televisivo che Maria stava guardando, e la voce ridente di Maria."
,"In altre parole, quando ritornarono sconcertati da quell'orribile, bizzarra scena furono accolti dalla voce di Maria che si piegava dalle risate di fronte alla televisione..."
,"Senza sapere come spiegare a Maria che sua Madre, Rosa, era morta, quelli che ritornarono nella stanza non riuscirono a gestire altro che un silenzio soffocante."
,"Dapprima, Maria li osservò con un atteggiamento dubbioso, ma quando quando capì che non stavano cercando di incolparla per qualcosa, li ignorò e di nuovo si immerse nel programma televisivo..."
,I ragazzi silenziosamente si sedettero nel divano... le loro menti erano probabilmente assenti a causa dello shock.
,Tutti quanti avevano già pianto in abbondanza... ma in quel momento se ne stavano pigramente seduti con aria assente e i volti privi di alcuna espressione...
,"Solo Kanon aveva riacquistato la calma che lo contraddistingueva. Comunque, questo probabilmente non significava che era stato capace di cancellare lo shock."
,Niente si rifletteva nei suoi occhi mentre fissava il vuoto...
,"Hideyoshi, agitato dal ricordo di quella scena orribile, continuava a sussurrare, ‘Assurdo. Non può essere un qualcosa di questo mondo, è opera del demonio. ’"
,"Di tanto in tanto, provava a fare domande e si imbatteva in Nanjo, ma Nanjo, con la calma che più gli si addiceva, continuava a ripetere che non si sarebbe compreso nulla solamente guardando la scena, e che finché non sarebbe giunta la polizia, non avrebbe saputo rispondere."
,"Tuttavia, Nanjo sembrava più calmo rispetto a Hideyoshi,"
,che al contrario era agitato e impaurito fino al midollo.
,Forse fu a causa dei loro comportamenti se Natsuhi raccolse la sfida e prese il controllo della situazione.
,Natsuhi apparentemente non aveva cambiato il suo atteggiamento. {n}E vivacemente diede le direttive.
Ushiromiya Natsuhi,"""... Mi dirigerò da nostro Padre. Genji, svelto, contatta la polizia."""
Ronoue Genji,"""Certamente..."""
Ushiromiya Eva,"""Mi domando se mi permetterai di seguirti, Natsuhi Nee-san. ... Dato che Krauss nii-san non c'è più, il compito di assistere nostro Padre è stato lasciato a me. Sarebbe scorretto da parte mia rilassarmi qui e affidare tutto a te, Natsuhi Nee-san."""
,Natsuhi rimase colpita dalle azioni aggressive di Eva in una situazione come questa.
,"Sembrava come se stesse affermando che, con la morte di Krauss, l'unica che doveva prendersi la responsabilità non sarebbe dovuta essere sua moglie, ma lei stessa, la diretta discendente nella gerarchia familiare."
,"... Probabilmente, non apprezzò molto come Natsuhi la ignorò in questa situazione estrema."
,"Naturalmente, la mente di Eva era stata segnata dallo shock fino a quel momento."
,... Semplicemente tornò ad essere se stessa dopo che Natsuhi cominciò a dare ordini.
Ushiromiya Natsuhi,"""... Fa' come ti pare."""
,"Natsuhi, senza dire altro, cominciò a incamminarsi. Eva le corse dietro."
,"... In quel momento, Kumasawa giunse di corsa nel salone."
,"Dato che, normalmente, non era il tipo di persona che andava di fretta, chiunque avrebbe pensato che fosse accaduto qualcosa... ma dato che tutti quanti erano rimasti colpiti dallo shock precedente, un tumulto del genere non li scosse minimamente."
Kumasawa Chiyo,"""... U-Umm... Madame... Madame...!"""
Ushiromiya Hideyoshi,"""Se stai cercando Natsuhi Nee-san, è andata a parlare con Papà. Tornerà presto. ... Cos'è successo, Kumasawa-san?"""
Kumasawa Chiyo,"""C-C'è ... nella sala da pranzo ... sangue... sangue...!"""
,Tutti quanti nel salone si girarono ad ascoltare.
,Pensarono tutti la stessa cosa. ‘Spero di aver capito male. ’
,... Proprio come un contenitore ha un limite riguardo la sua capienza... nessuno di loro si sentì pronto ad accettare un'altra tragedia oltre a quello che già era successo.
,Perciò pensarono tutti la stessa cosa. Spero di aver capito male...
Ushiromiya Hideyoshi,"""C... Cos'è successo... nella sala da pranzo...?"""
Kumasawa Chiyo,"""Quando mi sono recata nella sala da pranzo... per preparare la colazione... Awawawawawa... wawa..."""
,"George corse immediatamente verso il luogo. I suoi passi rigidi fecero tornare Hideyoshi e Nanjo in sé, che gli andarono dietro. Battler e gli altri li seguirono."
,"Raggiunsero la sala da pranzo uno dopo l'altro, ma non notarono alcun cambiamento che avesse potuto far impallidire Kumasawa."
,"... Per coloro che avevano assistito a quella macabra scena nel capannone, ciò che videro non fu altro che un anticlimax."
,"Tuttavia, Kumasawa, che li aveva seguiti, indicò qualcosa. ... C'erano veramente alcune tracce di sangue nel pavimento."
,"... Confrontato a quella scena terribile, non era molto impressionante. Tuttavia, se ci si pensava con calma, quella scena indicava senza dubbio un'enorme perdita di sangue."
Ushiromiya George,"""... Il sangue è presente anche qui. ... Ma che diamine..."""
Nanjo Terumasa,"""... Pare che sia passato molto tempo... probabilmente, la scorsa notte... sarebbe appropriato intendere questo come il luogo del delitto..."""
Ushiromiya Hideyoshi,"""S-Sembra proprio così... siamo stati a parlare nella sala da pranzo fino a tardi, la scorsa notte... dopodiché, qualcuno deve aver fatto irruzione..."""
Ushiromiya George,"""Papà, a che ora avete terminato la riunione e siete andati a dormire...?"""
Ushiromiya Hideyoshi,"""... Hmm... era da poco passata mezzanotte... quindi... poco dopo... deve essere successo questo..."""
Ushiromiya Jessica,"""... Sul serio... facciamola finita..."""
Kanon,"""Milady... si riprenda..."""
Ushiromiya Battler,"""... Hehehehe... dopo aver visto quell'orrore nel capannone, penso di riuscire a sopportare tutto ciò..."""
Ushiromiya Jessica,"""... Davvero? Sono contenta per te... io sento come se la mia testa stesse per esplodere... questa è la sala da pranzo, giusto? Questo è il luogo dove ogni giorno dovrei mangiare, dovrei lamentarmi della scuola, dei compiti... dove dovrei parlare ai miei genitori riguardo i miei voti... questo è ciò che rappresenta per me questo posto..."""
Kanon,"""... Milady. Non va bene rimanere qui ancora per molto. ... Torniamo nel salone."""
Ushiromiya Battler,"""Concordo... Hideyoshi oji-san! Penso che questa stanza sarà molto importante per la polizia. Non pensi che costituirà un problema se ci camminiamo dentro?"""
,"Battler propose ciò con una voce decisa mentre, insieme a Kanon, afferrava le spalle della pallida e tremante Jessica."
Nanjo Terumasa,"""... È esattamente come ha detto Battler-san. Non otterremo altro rimanendo in questa stanza."""
,Nanjo parlò guardando i volti pallidi di tutti.
,"... Sebbene quell'orribile scena nel magazzino sembrava qualcosa non di questo mondo, almeno fummo in grado di andarcene, fuggire via da quel posto.{n}Tutti noi avevamo condiviso quella sensazione."
,"... Tuttavia, nella sala da pranzo era differente."
,"Si trovava nell'ala principale della villa... e come aveva detto Jessica, si pensava che l'interno della villa fosse l'unico posto in cui potevamo sentirci al sicuro. {n}Era lo stesso posto dove tutti i parenti avevano pranzato e cenato ieri."
,"... Lo shock di vedere questo posto imbrattato di sangue ci ricordò quello spettacolo orribile nel magazzino, e ci costrinse ad accettare il fatto che in realtà non fossimo riusciti a fuggire dalla scena di quel tragico crimine..."
Ushiromiya Hideyoshi,"""... Hmm. Sono d'accordo anche io... il colpevole potrebbe aver lasciato tracce in questa stanza!"
Ushiromiya Hideyoshi,"Dilettanti come noi non dovrebbero mettere questo posto in subbuglio. Andiamo via subito. Presto, presto!"""
,"Anche Hideyoshi capì il significato di ciò che aveva detto Battler, e spinse tutti a lasciare in fretta la sala da pranzo."
,"... Nello stato in cui eravamo allora, guardare quel sangue più a lungo sarebbe stato troppo crudele."
,"Nessuno ribatté le sue parole. Tutti quanti corsero via dalla sala da pranzo. {n}Era quasi come se l'ultima persona nella stanza sarebbe rimasta intrappolata lì, tutta sola."
,"Una volta nel corridoio, aiutammo Kumasawa, che stava ancora tremando appoggiata al muro, e ci dirigemmo tutti insieme al salotto."
,"... Poi, Genji ritornò."
Nanjo Terumasa,"""... Oh, Genji-san. Sei riuscito a contattare la polizia?"""
Ronoue Genji,"""... Per quello, le mie più sincere scuse. ... Non so se è dovuto ad un problema della radio o sia stato causato da qualcos'altro, ma..."""
Ushiromiya Hideyoshi,"""Che cosa... non hai contattato la polizia...!! Hai provato sia con il telefono che con la radio e non ci sei riuscito!?"""
Ronoue Genji,"""... Le mie scuse. Una barca arriverà lunedì mattina, e credo che potremo prendere in prestito il loro equipaggiamento di bordo per le comunicazioni."""
Ushiromiya Hideyoshi,"""Non c'è una barca su quest'isola?! Non possiamo semplicemente andare fino al Dipartimento di Polizia di Niijima?!"""
Nanjo Terumasa,"""... Hideyoshi-san, sarebbe impossibile con questo tempo... perlomeno, non possiamo fare niente fino a quando non passa il tifone."""
Ronoue Genji,"""La barca di Krauss-sama sta venendo riparata e non è sull'isola... pertanto, dobbiamo aspettare la barca che verrà lunedì..."""
Ushiromiya Hideyoshi,"""C-Come è potuto succedere...?! Sono morte sei persone!! I telefoni e la radio non funzionano e non c'è una barca! Fino a quando non passa il tifone e arriva la barca... in altre parole fino a domani mattina, dovremo stare qui su quest'isola senza poter contattare la polizia?!"""
Ushiromiya Battler,"""... Ciò significa che... non solo noi... ma che anche il criminale che ha ucciso tutti è confinato in quest'isola..."""
Ushiromiya George,"""... È logico. ... Il colpevole che ha ucciso tutti è ancora qua sull'isola."""
Ushiromiya Jessica,"""Q... Quindi il bastardo che ha ucciso Papà e gli altri, senza poter scappare dall'isola, dev'essere nascosto da qualche parte... dannazione, dannazione dannazione dannazione!!! Troverò quel bastardo, non lo lascerò alla polizia!!"
Ushiromiya Jessica,"Lo farò a pezzi con le mie stesse mani...!!! Whaaaaaaaaaaaa!!!"""
Ushiromiya Maria,"""..."""
,Maria capì finalmente che c'era qualcosa di strano nel salotto.
,"... Più che notare qualcosa di strano, probabilmente era meglio dire che si sentiva triste e trascurata visto che tutti erano così presi da qualcosa di cui solo lei non era a conoscenza."
Ushiromiya Maria,"""... Uu-. ... Jessica Onee-chan. Chi è morto?"""
,"Il modo in cui parlò fu del tutto tranquillo. ... Proprio come se stesse parlando di qualcuno che era apparso in uno sceneggiato televisivo, come se fosse un problema di qualcun altro."
,... A Jessica probabilmente non piacque.
,"... Come se stesse cercando di dire ‘Non riesci a capirlo solo guardando me, che sono sopraffatta dal dolore!’, si scagliò contro Maria."
Ushiromiya Jessica,"""Sono tutti morti, tutti, tutti!! Mio Padre e i genitori di Battler!! Gohda-san e Shannon!! E anche tua Madre!!"""
Ushiromiya George,"""Smettila, Jessica-chan...!! Non sei la sola ad essere triste...!"""
Nanjo Terumasa,"""... Maria-san... so che questo sarà uno shock, ma ascolta per favore. {n}Tua Madre... è morta."""
