Speaker,Italian (Ars Magica) (Old) (ITA)
,"Una volta terminato il pranzo, i domestici presero le stoviglie e si diressero in cucina. Il vento e la pioggia non si erano né indeboliti ma neanche rafforzati, e l'isola era ormai estraniata dal mondo esterno."
,"Sembrò, inizialmente, che Natsuhi non volesse permettere a nessuno di mettere piede fuori dalla stanza, ma quando fu ora di preparare il pranzo, finalmente realizzò che era impossibile."
,"Tuttavia, in modo da evitare che qualcuno restasse solo in cucina, disse ai tre domestici di restare insieme."
,"Perciò, i domestici furono i primi a lasciare immediatamente il salone recluso, che conteneva ben undici persone."
,"... Poiché la colazione si era subito succeduta a quel terribile incidente, e molti di loro non avevano mangiato molto, tutti quanti, terminarono il loro pranzo silenziosamente."
Kumasawa Chiyo,"""Ci penso io a lavare i piatti, quindi Kanon-kun e Genji-san, riposatevi pure. Volete qualcosa da bere?"""
Ronoue Genji,"""... No, grazie. Kanon?"""
Kanon,"""... Neanche io, grazie."""
Kumasawa Chiyo,"""Voi due siete stati a lavorare tutto il tempo, e sin da stamattina presto... {n}Non mi sorprende che siate stanchi..."""
,"L'unico rumore presente era quello di Kumasawa che lavava i piatti, che risuonava in tutta la cucina."
,"Genji e Kanon sedevano in alcune sedie a poca distanza da Kumasawa, con gli occhi socchiusi."
,"Proprio come aveva detto Kumasawa, quei due si erano probabilmente affaticati molto."
,Ma questo non significava che avrebbero mostrato quella fatica di fronte agli ospiti.
,... Evitare ciò era una delle loro virtù.
,Dopo che il silenzio continuò per un po' di tempo... Kanon aprì la bocca e sussurrò.
Kanon,"""... Shannon... perché... doveva morire in un modo così orribile...?"""
Ronoue Genji,"""... Dimentica com'è morta. ... Non è stata altro che... sfortuna."""
Kanon,"""... Hai ragione. ... Non è stata altro che sfortuna."""
,Entrambi si fecero nuovamente silenziosi. ... Il volto di Kanon era colmo di afflizione.
Kumasawa Chiyo,"""Shannon è morta... ancora non riesco a crederci. ... Povera, povera Shannon-chan... non riesco a credere che non potrò rivederla... volevo rivedere il volto sorridente di quella ragazza ancora una volta..."""
,Kumasawa parlò voltata di spalle.
,"... Dopotutto, Kumasawa non aveva visto il cadavere di Shannon, quindi non aveva problemi nel nominare il volto di Shannon."
,"... Quando Kanon udì quelle parole, gli tornò in mente il volto mezzo sfigurato di Shannon, e la sua rabbia crebbe ancora di più..."
Kanon,"""... Perché Beatrice ha fatto questo a Shannon...? ... Se proprio desiderava un sacrificio, c'erano un sacco di persone fra cui scegliere... perché... perché...?!"""
Ronoue Genji,"""... Non è stata altro che sfortuna. ... Se non fossimo tanto fortunati, al posto di Shannon ci saremmo potuti essere tu o io stesi lì a terra."
Ronoue Genji,"O chiunque altro. ... Tutto è in mano al fato."""
Kanon,"""Genji-sama. ... Hai detto che la porta di Madame era sporca di tracce di qualcosa tipo sangue, giusto...? O comunque della stessa sostanza dipinta sulla serranda?"""
Ronoue Genji,"""... Hmmm. ... Erano tracce di qualcosa di poco gradevole. Quasi come se qualcuno, con le mani sporche di sangue, avesse tentato di scardinare la maniglia... no, di imprimere nella porta... quei segni terribili."""
Kanon,"""Quindi questo significa che... Beatrice-sama è andata a visitare la stanza di Madame... e ha tentato di aprire la porta, ma non ci è riuscita...?"""
,Genji ripensò all'attimo in cui vide quelle tracce di sangue sulla porta della stanza di Natsuhi...
,"La sostanza impressa sulla porta e attorno alla maniglia, così come i segni di graffi e manate sulla porta... davano decisamente l'impressione che qualcuno avesse tentato di aprire la porta, ma non ci fosse riuscito..."
Kanon,"""... Perché... non è stata scelta Madame come sacrificio...? Se solo fosse stata scelta lei... Shannon non sarebbe... Shannon non sarebbe dovuta morire..."""
,"In quel momento, un forte, netto rumore provenne dal corridoio. Entrambi si voltarono, sorpresi."
Ushiromiya Battler,"""... Sembra una discussione molto interessante. Rendete partecipe anche me."""
,"Prima che uno dei domestici potesse rendersene conto, Battler era già in piedi sul ciglio della porta della cucina."
Kanon,"""... Battler-sama. Per favore, mi perdoni..."""
,"Genji-san e Kanon-kun si alzarono, sorpresi, e si inchinarono velocemente."
,... Ma non mi importava certo di queste cose. Ero più interessato a continuare la loro discussione.
Ushiromiya Battler,"""Ho detto che stavo andando in bagno, per questo mi hanno lasciato andare. Penso che sarei soffocato a restare un attimo di più in quella stanza."
Ushiromiya Battler,"... Pensavo di chiedervi un bicchiere d'acqua, e invece sono incappato in qualcosa di molto interessante. ... Non c'è bisogno che vi inchiniate o cose del genere. Per favore, fatemi sentire il resto."""
Kanon,"""... Quella di prima... non era realmente..."""
Ushiromiya Battler,"""Sono stato a origliare per un bel po'. Ora non cercare di nasconderlo."
Ushiromiya Battler,"... Quindi lo chiederò direttamente. ... Chi è questa Beatrice? Si suppone sia una strega tratta dalle fantasie di un bambino, ma a quanto pare non è così."""
Kanon,"""..."""
,Kanon-kun distolse lo sguardo.
,... Era ovvio che non volesse parlare di quell'argomento... cosa che mi portava a fare ancora più domande.
,"Sforzandomi di sorridere, afferrai il colletto della sua camicia."
Ushiromiya Battler,"""... Fino alla scorsa notte non avevo niente a che fare con tutto questo, ma dopo questa mattina, le cose sono cambiate. Dopo che Papà e gli altri sono stati uccisi, sono entrato a far parte di questa situazione. ... Ho il diritto di sentire questa storia sospetta, no...?"""
,"Continuai a fissare negli occhi Kanon mentre lui, faticosamente, tentava di evitare il mio sguardo."
,"Dato che c'era molta differenza d'altezza, Kanon doveva stare sulle punte dei piedi, e pareva che questo gli provocasse dolore."
Kumasawa Chiyo,"""... Battler-san... per favore lo lasci andare... Kanon-san non sta nascondendo niente..."""
Ushiromiya Battler,"""Quindi tu non avresti alcun problema a parlarne, giusto? Mi sento solo ad essere escluso dal giro, capisci?"""
,"Quando tentai di afferrare il suo colletto, Genji-san si interpose fra noi e parlò."
,... C'era un leggero senso di rassegnazione sul suo volto. ... Sembrava che non avesse intenzione di nascondere alcunché.
Ronoue Genji,"""... Posso parlarne io. ... Kanon ha esitato solo perché l'avrebbe presa male, Battler-sama..."""
Ushiromiya Battler,"""Esitare non è segno di coraggio, no? Mantenere un segreto è ancora più fastidioso."
Ushiromiya Battler,"... Dimmi quello che sai. Tanto non abbiamo niente di meglio da fare sino a domani. Una storia di misteri aiuterà a vincere la noia."""
,"Dopo che Genji-san e Kanon-kun si guardarono negli occhi, annuirono come per prepararsi a parlare..."
Kanon,"""... Ho capito. Prego, ci chieda qualunque cosa. ... Parleremo."""
Ushiromiya Battler,"""Ottimo. Allora lasciate che vi chieda."
Ushiromiya Battler,"... Chi diavolo è Beatrice? ... Tutto quello che so è che è una strega che vive nella foresta di Rokkenjima. ... Ho sentito che si tratta di una storia inventata dalla nonna o qualcun altro per tenere lontane le persone dalla foresta. ... Non è esatto?"""
Kanon,"""... No... è giusto. È come ha detto. Beatrice è una strega che vive nella foresta di Rokkenjima."""
Ronoue Genji,"""... Battler-sama. ... Non mi aspetto che ci creda subito, ma... Beatrice-sama esiste. ... È una persona reale, che donò al padrone un'enorme quantità di oro, e che ha lavorato al suo fianco per molto tempo."""
Ushiromiya Battler,"""Huh...? Ah, dai... il Nonno vi paga per ripetere tutto ciò che dice...?"""
,"Sorrisi come se si trattasse di uno scherzo, ma Genji-san e Kanon-kun non risero... e neanche Kumasawa baa-chan, che evitava i miei occhi, agitata, mentre lavava i piatti."
,"Quindi sfortunatamente, risi solo io. ... Dolorosamente, con amarezza."
Ushiromiya Battler,"""... Capisco, ecco perché Genji-san si era rifiutato di dirmelo. ... Se questa storia è vera, è ovvio che la prenda a male. ... Quindi state dicendo che una persona chiamata Beatrice esiste veramente?"""
Ronoue Genji,"""... Sì. Ha servito il padrone da ancora prima che la villa venisse costruita su quest'isola. ... È possibile che abbia lavorato per lui anche più di me."""
Ushiromiya Battler,"""Ma guarda un po', la teoria di Kyrie-san è stata distrutta... il Nonno possiede davvero una domestica di fiducia chiamata Beatrice. ... Questa persona è sull'isola adesso...?"""
Kanon,"""... Sì. Credo che si trovi qui."""
Ushiromiya Battler,"""... È un modo vago di dirlo. Suppongo che tu intenda dire che non l'hai incontrata oggi o ieri."""
Kanon,"""... Sì. ... È estremamente difficile da dire, ma... umm..."""
,"Kanon-kun ancora una volta distolse lo sguardo, evitando i miei occhi."
Ushiromiya Battler,"""... Cosa c'è? Non fermarti così. Non tenermi sulle spine, ok?"""
,Lo invitai a continuare scherzosamente.
,"... Tuttavia, sembrava che Kanon non riuscisse a decidere se dovesse parlare o no."
,"... A quel punto, Kumasawa baa-chan sussurrò qualcosa."
Kumasawa Chiyo,"""... Hoh-hoh-hoh... non si può vedere il suo volto... perché Beatrice-sama non ha corpo..."""
Ushiromiya Battler,"""... Lei non ha... cos'hai detto?"""
Ronoue Genji,"""Beatrice-sama non ha corpo. ... Pertanto, finché Beatrice-sama non lo desidera, le persone comuni come noi non possono vedere il suo aspetto."""
Kumasawa Chiyo,"""Ho sentito che il ritratto mostra Beatrice-sama quando era nella sua forma umana... Il padrone desiderava così tanto quella figura, che spesso restava in piedi davanti a quel ritratto... hoh-hoh-hoh..."""
Kanon,"""Talvolta, Beatrice-sama talvolta trasforma il suo corpo in farfalle luccicanti e si mostra. ... Nella rara occasione in cui si dovesse scorgerle da qualche parte nella villa, la regola è che non bisogna seguirle per nessun motivo."
