Speaker,Italian (Ars Magica) (Old) (ITA)
,Avevano fatto colazione alla caffetteria della stazione.
,"... Casualmente, l'interno era stato decorato con i colori di Halloween, dato che era ottobre."
,Sembrava che per questo Maria fosse particolarmente contenta.
,"E da quel momento, aveva continuato a fare tante storie all'interno del treno su come volesse fare una festa di Halloween, senza preoccuparsi del fatto che stesse attirando l'attenzione degli altri."
,"Halloween è popolare in Europa e in America, ma in Giappone la gente non ha molta familiarità con esso."
,"Il quartiere dei negozi era decorato con vari colori e con zucche arancioni, ma le sfilate dei bambini in costume che chiedevano dolciumi dicendo ‘dolcetto o scherzetto’ non si vedevano in giro."
Ushiromiya Maria,"""Uu-! Voglio una festa di Halloween! Non voglio indossare questi vestiti, io voglio sembrare una strega! Uu-uu-!"""
Ushiromiya Rosa,"""La conferenza di famiglia non è un gioco. Stiamo andando ad incontrare il Nonno, quindi ti devi vestire bene."""
,"Anche se il treno non era completamente pieno, si stava piuttosto stretti, con quasi tutti i sedili occupati dai passeggeri."
,"Tra di loro, Maria stava facendo storie, sbattendo i piedi sul sedile mentre Rosa la sgridava..."
,"Sin da prima, Rosa l'aveva avvisata molte volte di abbassare la voce, ma Maria non le aveva per niente dato retta..."
,"... Quando Maria si comporta così, non importa quanto le si spieghi la situazione o si provi a calmarla, lei non ascolta."
,"Prima, in momenti come questi Rosa aveva l'abitudine di viziare Maria e accontentarla."
,Ma quello probabilmente era stato un pessimo atteggiamento.
,"Quando la piccola Maria si lamentava rumorosamente, sua Madre cedeva alle richieste, credendo erroneamente che avesse ascoltato quello che le aveva detto."
,"Rosa si era accorta di quell'errore con l'aiuto di un libro sull'educazione, e da allora, aveva trasformato in un demonio la parte del suo cuore che voleva coccolare la sua amata figlia..."
,"Ma Rosa riuscì ad ottenere sempre meno una reciproca comprensione con Maria, e iniziò a scoraggiarsi a poco a poco per via della propria impotenza..."
Ushiromiya Maria,"""Halloween, Halloween!! Se non mi dai dolcetti, ti farò uno scherzo, uu-uu-"
Ushiromiya Rosa,"""Io non ho dolci da darti! Hai appena fatto colazione!"""
Ushiromiya Maria,"""Se non mi dai dolcetti, ti farò uno scherzo! Se non mi dai dolcetti, ti farò uno scherzo! Uu-uu-uu-!!"""
,"Una vecchia signora corpulenta, che era seduta vicino a dove Maria sbatteva i piedi, prese una caramella dalla sua borsa e la diede a Maria."
Ushiromiya Maria,"""Uu-! Ho un dolcetto, ho un dolcetto! Mamma, guarda, Mamma, Mamma! Felice Halloween!"""
Ushiromiya Rosa,"""Ehi Maria, non puoi accettare così delle caramelle dagli sconosciuti, giusto?! Restituiscila!!"""
,"""Va tutto bene, ho ho ho. È una ragazzina stupenda. Quanti anni ha?"""
,"Forse non c'era malizia in quelle parole dell'anziana signora. ... Però, parse che Rosa l'avesse presa in una maniera estremamente umiliante."
Ushiromiya Rosa,"""Maria, ti dico sempre di non accettare dolci dagli sconosciuti!!"""
Ushiromiya Maria,"""Uu-! Uu-!! Maria l'ha presa!! Uu- uu-!! No, è di Maria!!"""
Ushiromiya Rosa,"""Lasciala! Non ti dico sempre di ascoltare quello che ti dice Mamma?!!"""
Ushiromiya Maria,"""Di Maria!! Di Mariaaaa!! Uu-!! Uuu--uuu--!!"""
Ushiromiya Rosa,"""Ti dico sempre di non dire uu-uu-!!"""
Ushiromiya Maria,"""Uu-uu-uu-uu-uu-uu-uu-uu-!!!"""
,"Rosa di riflesso colpì violentemente Maria sulla guancia. ... In un attimo, Maria iniziò a piangere forte."
,Rosa prese immediatamente la caramella dalla mano di Maria e la restituì all'interdetta anziana seduta accanto a loro.
Ushiromiya Rosa,"""... Per favore, non dia dolci a mia figlia!"""
,"""... Mi... mi spiace molto."""
,"Con il respiro pesante, Rosa diede la caramella alla vecchia signora."
,"... Dopo che l'anziana si trovò confusa su cosa avrebbe dovuto dire, capì che quello che aveva fatto poteva aver causato problemi tra genitore e figlia, e accettò la caramella indietro, scusandosi..."
,"Poi, Rosa si accorse finalmente di tutto il resto..."
,"I vestiti di sua figlia erano tutti stropicciati, stava piangendo e tirando su con il naso, e c'erano molti passeggeri che erano rimasti interdetti guardandole."
,"... Escluso il suono del treno in corsa, l'interno era completamente in silenzio."
,"Fortunatamente, quel pietoso silenzio non durò più di un breve lasso di tempo. ... Tuttavia, fu seguito da una ancora più pietosa atmosfera dove tutti bisbigliavano..."
,"Maria urlava, piangeva, calciava e pestava coi piedi come al suo solito, non curandosi delle persone che erano sedute accanto a lei."
,"... Impulsivamente, Rosa provò a darle un altro schiaffo, ma si accorse del gelido sguardo della gente del treno, e non lo fece più."
,"Quando il treno si fermò, Rosa tirò energicamente il braccio di Maria e scese, quasi trascinando sua figlia."
,"Come al solito, Maria non smise di piangere."
,Rosa la portò fino alla fine del binario e colpì ancora la sua guancia.
,"Nel momento in cui fu colpita, Maria smise per un istante di piangere, ma poco dopo, urlò e pianse perfino più di prima."
,"Rosa, le cui emozioni erano esplose, prese Maria per la nuca e la trascinò, tirandola per i capelli."
Ushiromiya Maria,"""Uu-!! Uu-uu-uu-!! Uu-!! Mamma, fa male, Mamma, fa male!! Uu-uu-uu-!!"""
Ushiromiya Rosa,"""È per questo che ti dico di stare zitta!! Quel tuo uu-uu-! Ti sto dicendo di smetterla!!"
Ushiromiya Rosa,"È questo il motivo per cui non ti fai amici in classe, vero?! Datti un po' di contegno!! Perché nella tua testa sei sempre all'asilo?!! Perché non riesci a obbedire a quello che dice Mamma?!! Perché!! Perché!!!"""
,"Insieme a quelle parole severe, Rosa schiaffeggiò la guancia di Maria più e più volte. Più Maria urlava e piangeva, più Rosa la colpiva. E più Maria veniva colpita, ancora più intensamente lei piangeva e urlava..."
Ushiromiya Maria,"""Mamma, fa male...! Mamma, fa male...! Mamma, salvami, Mamma, salvami...! Uu-uu-uu-uu-!!"""
Ushiromiya Rosa,"""Perché non la smetti con quell'uu-uu-!! È perché sei così che non riesci a farti degli amici!! È perché sei così che il viaggio di lavoro di Papà non finisce!! {n}È perché tu sei così che io...!!"""
,"""Ah... mi scusi... madame, è successo qualcosa...?"""
Ushiromiya Rosa,"""Cosa vuole lei...?!"""
,"Quello che timidamente l'aveva chiamata era il guardiano della stazione. Rosa lo fissò con uno sguardo che diceva ‘non immischiarti nei problemi di una Madre e una figlia, estraneo’."
,"Lui di certo non voleva parlarci. Tuttavia, Rosa stava gridando sul binario per un tempo più lungo di quanto lei avesse immaginato."
,... Il suo rimprovero un po' troppo emotivo aveva fatto in modo che i passeggeri sul binario avvisassero il guardiano della stazione sul fatto che sarebbe stata una buona idea richiamarla.
,"Rosa gli gridò di non preoccuparsi più, dato che avrebbero preso il prossimo treno."
,"... E poi, finalmente, o forse dovremmo dire, per la seconda volta... lei notò i passeggeri sul binario che la fissavano a distanza."
,"... Rosa sudò leggermente e sentì il vento che la torturava, rendendo freddo il suo sudore."
,"Maria ancora continuava ad urlare, proteggendosi la testa. ... No... se continuava a picchiarla, probabilmente avrebbe continuato a piangere per sempre."
Ushiromiya Rosa,"""... Io... ancora una volta..."""
,Appena Rosa si riprese da malvagio calore dentro la sua testa... lei capì che si aveva ancora abbandonato il suo animo a qualcosa di cattivo.
Ushiromiya Maria,"""Mamma, Mamma! Mamma, torna...! Uu-! Uu-uu-uu-uu-!!"""
,"Rosa cadde sulle sue ginocchia e abbracciò Maria, la cui faccia era tutta bagnata di lacrime e muco."
Ushiromiya Rosa,"""... Maria... mi dispiace... mi dispiace..."""
Ushiromiya Maria,"""Mamma... Mamma... bentornata, bentornata..."""
,"Finalmente... Maria capì che sua Madre era tornata ad essere sua Madre. {n}Poi, lei si afferrò al corpo di sua Madre e pianse, affondando il suo volto nel petto della Madre."
Ushiromiya Rosa,"""... Perdona la tua Mamma cattiva... perdona la tua Mamma cattiva... mi dispiace... davvero...! Per favore, non odiare la tua Mamma..."""
Ushiromiya Maria,"""Uu-... Maria sta benissimo... non odierà Mamma. ... Mamma era solo stata posseduta ancora da una strega malvagia. ... Però, Mamma è tornata, quindi va tutto bene."""
Ushiromiya Rosa,"""Già... già... Mamma era solo... stata posseduta ancora da una strega malvagia... mi dispiace... mi dispiace davvero..."""
,"Si abbracciarono insieme, chiedendo perdono e scambiandosi l'un l'altra parole di perdono, per lungo tempo."
,"Dopo un po', loro due si calmarono gradualmente e separarono le loro facce l'una dall'altra."
,"Il volto di Maria, il volto di Rosa... entrambi erano rossi dopo aver pianto così tanto."
Ushiromiya Rosa,"""... Vuoi fare una festa di Halloween, Maria?"""
Ushiromiya Maria,"""Sì. ... Voglio mostrare i marshmallow a forma di zucca a George Onii-chan e a Jessica Onee-chan..."""
,C'era un dolcetto vicino alla cassa del negozio dove avevano fatto colazione.
,... Era un dolce fantasioso che aveva un grande marshmallow arancione della forma di jack o'lantern attaccato alla cima di un bastoncino.
,Maria l'aveva voluto e aveva insistito parecchio. ... Rosa aveva detto che non aveva senso comprare un dolce del genere subito dopo che avevano fatto colazione e le aveva detto di no.
Ushiromiya Rosa,"""... Allora, Maria. ... Non so se in questa città li vendono o no, ma proviamo ad andare a cercarli?"""
Ushiromiya Maria,"""S... Sì! Mi piaci tanto Mamma, ti voglio bene... grazie..."""
Ushiromiya Rosa,"""Ti voglio bene anche io, Maria..."""
