Speaker,Italian (Ars Magica) (Old) (ITA)
,"Ogni anno, i parenti che visitano Rokkenjima si lasciano andare ad un sospiro di ammirazione per il roseto che per primo li accoglie..."
,"Si fermano, parlando gli uni con gli altri della bellezza delle rose e di come stiano sbocciando."
,"In mezzo a tutto ciò, c'era una singola rosa malaticcia, e per questo Maria si abbatté."
,"Ma George usando la sua astuzia, e, dicendo che sarebbe andato tutto bene se l'avessero controllata, la segnò con un incarto di caramella, e immediatamente restituì il buonumore a Maria."
,"E una volta che Battler, con cui lei andava d'accordo sin dalla mattina, sollevò la questione di ciò che Maria tanto amava, Halloween, lei iniziò di nuovo a giocare lì intorno energeticamente."
,Maria probabilmente fece tesoro più di qualsiasi altra cosa di quel marshmallow a forma di jack-o-lantern che sua Madre le aveva comprato.
,"... Sembrava che ne avesse comprato molti per lei, e chiedeva dolcetto o scherzetto ad ogni persona che incontrava, dando loro caramelle invece di fare il contrario."
Ushiromiya Battler,"""Mi chiedo perché a Maria piaccia Halloween così tanto. Pensavo fosse un evento a cui è difficile abituarsi per i giapponesi."""
Ushiromiya Jessica,"""Sarà perché è una festa per bambini dove tutti sfilano in costume? È divertente giocare con un aspetto diverso dal solito."""
Ushiromiya George,"""No... credo che ci sia probabilmente una ragione leggermente più profonda. Dopotutto, lei è la ‘strega’ Maria-chan."""
Ushiromiya Battler,"""Ora che ci penso, quando eravamo all'aeroporto, Maria non ha forse detto che se avesse indossato un costume, sarebbe stato da strega? A Maria piacciono le streghe?"""
Ushiromiya Rosa,"""... Sì, le ama. Così tanto che è diventato un problema."""
Ushiromiya Jessica,"""Beh, ammirare cose di fantasia di quel genere è normale a quell'età."""
Ushiromiya Rosa,"""Sarebbe stato carino se avesse ammirato l'eroina di qualche anime... haah."""
,"A giudicare dall'aspetto di Rosa, sembrava che, come Madre, non trovasse piacevole l'amore di sua figlia per le streghe."
,"Sembrava che i cugini a parte Battler l'avessero capito e strinsero le spalle, sorridendo amaramente."
Ushiromiya Battler,"""Hmmmm? Quindi state dicendo che dato che le piacciono le streghe, le piace anche Halloween?"
Ushiromiya Battler,"Se non lo sappiamo, perché non lo chiediamo alla diretta interessata? Ehi, Maria. Che tipo di relazione hanno fra loro Halloween e le streghe?"""
,"Come Battler lo chiese, George e Jessica provarono a dire qualcosa."
,... Ma sembrava fosse troppo tardi.
,Era quasi come se Maria stesse aspettando quella domanda.
,"Dopo essere sembrata felice per un attimo, la sua espressione diventò un po' maliziosa, come per dire ‘Davvero non lo sai?’"
,Era l'espressione di una persona entusiasta che era stata fatta arrabbiare dall'errore di un profano con una impressione sbagliata.
Ushiromiya Maria,"""Uu-. ... I Celti ritenevano il cambiamento di forza del sole nel corso dell'anno come la sua nascita, la sua crescita, il suo invecchiare e morire e poi la sua rinascita."""
Ushiromiya Battler,"""Ho capito. In primavera, il tepore del sole comincia ad aumentare e diventa caldo e poi gradualmente diventa sempre più debole, quindi sono d'accordo nel pensare ad esso come ad una intera vita."""
Ushiromiya Maria,"""Sì. Perciò loro pensavano che alla fine di ottobre il sole morisse, riposasse il suo corpo nella terra dei morti e poi rivivesse ancora nel solstizio d'inverno. {n}Poi, chiamarono Vigilia di Capodanno, o Samhain, il giorno il cui sole terminava la sua annuale durata vitale e moriva."""
Ushiromiya George,"""È molto interessante pensare che il giorno del solstizio d'inverno, quando le ore di luce del giorno cominciano ad aumentare nuovamente, il sole sia tornato a vivere. È un episodio che fa capire quanto gli antichi considerassero sacro il sole."""
Ushiromiya Battler,"""... Capisco. E? Le streghe che cosa hanno a che fare con questo?"""
,Sembrava che la mia sollecitazione avesse fatto leggermente arrabbiare Maria.
,Mi fissò con degli occhi che dicevano di lasciarla spiegare senza interrompere.
,"... Maria sembrava che si divertisse a dirmelo, per cui decisi di non interromperla..."
Ushiromiya Maria,"""Nell'intervallo tra ottobre e novembre, vita e morte diventano più vicini di quanto non lo siano mai stati. ... I Celti credevano che, durante quel periodo, il mondo dei vivi e quello dove risiedono i morti e coloro che non sono di questo mondo si avvicinassero, e che molti di quelli che vivono nell'altro mondo vengano a farci visita."
Ushiromiya Maria,"... È come il festival Bon in Giappone. Kihihihihi."""
,"A quel tempo, le persone credevano che le anime che tornavano nel mondo fisico andassero nelle case delle persone o prendessero possesso delle persone, facendo cose malvagie."
,"Perciò per prevenire i danni, le persone crearono incantesimi."
,"Uno di questi era quello di imitare mostri spaventosi e spaventare invece le anime, apparentemente un modo per evitare di essere posseduti."
Ushiromiya Jessica,"""Questa parte diventò una festa, che si trasformò in una sfilata di costumi. ... Maria ne sa davvero tante di cose!"""
Ushiromiya Hideyoshi,"""... Davvero. Persino io non avevo mai sentito che Halloween avesse una storia simile."""
Ushiromiya Rudolf,"""Ma da dove viene la storia del ‘dolcetto o scherzetto’?"""
,"La sua conoscenza era così estesa che anche gli adulti avevano improvvisamente cominciato ad ascoltare. Maria, che normalmente era trattata tutto il tempo come la più piccola, gonfiò il petto d'orgoglio."
,"Rosa provò a dire che quella era solo una storia per bambini, e che voleva interrompere subito tutto e andare a sistemare i bagagli nella casa degli ospiti, ma nessun altro fu d'accordo, e lei si lasciò sfuggire un sospiro pesante."
Ushiromiya Maria,"""Uu-. Dolcetto o scherzetto è solo per divertimento. Non ha niente a che fare con quella che era originariamente la cerimonia Celtica. Fu creata dopo quando furono aggiunte le usanze Cristiane. ... Tuttavia, Maria pensa che Halloween dovrebbe essere così."""
,"Secondo Maria, le anime dei morti non erano l'unica cosa che proveniva dal mondo non umano. C'erano anche spiriti che avevano collegamenti diretti su come vivevano le persone."
,"Dato che gli umani potevano ricevere i favori di quegli spiriti, erano capaci di ottenere una meravigliosa benedizione, e avere un anno ricco di raccolti."
Ushiromiya Jessica,"""Quindi in altre parole, Halloween era anche un po' una festa per il raccolto?"""
Ushiromiya Battler,"""Capisco. ... Ora che lo dici, ho la sensazione che ottobre sia un punto di svolta in molte maniere, inclusa la stagione. Davvero l'opposto di aprile in Giappone. ... Capisco, potrebbe essere un buon punto per segnarlo."""
Ushiromiya Maria,"""Uu-! E sapete, le streghe tenevano una assemblea durante quel periodo, nel Sabbath. Le streghe ringraziavano gli spiriti che donavano benedizioni di prosperità, e li ricompensavano."""
Ushiromiya George,"""I costumi di Halloween imitavano gli ospiti che venivano dall'altra parte. {n}In altre parole, si potrebbe anche dire che vengono donati dolcetti per via dei sentimenti di gratitudine per il raccolto annuale."""
Ushiromiya Maria,"""Uu-! Proprio come ha detto George Onii-chan!"""
Ushiromiya Battler,"""Quindi Halloween è il momento in cui questo e l'altro mondo si intersecano? Quindi, in altre parole, è la possibilità più concreta per le streghe di interagire con gli spiriti provenienti da quel mondo. È questo quello che vuoi dire?"""
Ushiromiya Maria,"""Uu-!! Proprio come dice Battler!"""
Ushiromiya Maria,"""E sapete una cosa? Sapete una cosa?! Ottobre è il periodo in cui il potere delle streghe e dei demoni è al suo culmine! Kihihihihihihihi, sono sicura che Beatrice verrà!"""
Ushiromiya Maria,"""E poi, noi mangeremo marshmallow insieme, e lei porterà Maria nella Terra Dorata con lei! Canteremo canzoni magiche insieme, impareremo incantesimi insieme, impareremo come disegnare cerchi magici insieme! E poi, impareremo i segreti delle rune, e Maria diventerà una grande strega davvero, davvero presto!"""
Ushiromiya Eva,"""Oh cielo, non è meraviglioso? Non c'è niente di meglio per i bambini dell'avere dei sogni. A proposito, Rosa, quanti anni farà Maria quest'anno...?"""
Ushiromiya Rosa,"""M... Maria... ne ho abbastanza di questa storia!"""
Ushiromiya Kyrie,"""Non preoccupartene, Rosa-san. È un sogno che ha qualsiasi ragazza prima o poi."""
Ushiromiya Rosa,"""G-Grazie tante. ... Ma Maria ha già passato quell'età. ... Ehi, ti sto dicendo di smetterla!"""
,"Rosa rimproverò Maria, provando a farla stare zitta prima che la sua allegra discussione sulla magia nera le facesse guadagnare le risate dei parenti."
Ushiromiya Battler,"""Ehi... non è forse una gran bella storia su larga scala? ... A proposito, ma chi è Beatrice? ... Forse l'ho, umm, umm, già sentita prima..."""
,"Battler era stato via per sei anni, e si era completamente dimenticato della Leggenda della Strega di Rokkenjima."
,"Tuttavia, quando disse che non conosceva il nome di Beatrice, l'umore di Maria, che era stato così radioso fino a poco prima, diventò tetro in un istante."
