Speaker,Italian (Ars Magica) (Old) (ITA)
{f:5:Beatrice},"""... Chi è?"""
Kanon,"""Scusatemi... ho portato il pranzo."""
{f:5:Beatrice},"""Entra."""
Kanon,"""... Scusatemi."""
,"Dopo aver ricevuto il consenso, Kanon entrò nella stanza per gli ospiti d'onore, spingendo il carrello del pranzo."
,... I domestici chiamavano questa stanza la stanza della strega.
,Questo perché Kinzo ordinò rigorosamente che venisse sempre tenuta pulita in modo che potesse venire usata in ogni momento.
,"... Nonostante questo, agli ospiti non era permesso di entrare in quella stanza, chiunque essi fossero."
,"... Questo è il motivo per cui, ad un certo punto, i domestici avevano cominciato a chiamarla la stanza per gli ospiti d'onore, che ritenevano fosse riservata solo per la persona speciale che Kinzo attendeva... la strega di quel ritratto."
,"E oggi, Kanon sapeva che era esatto..."
,Quando entrò nella stanza... la strega dai capelli biondi stava guardando fuori dalla finestra.
,"Fuori, non stava più piovendo debolmente."
,"... Quando lei guardò il bellissimo giardino di rose, che era stato finito dopo diversi giorni di lavoro per la giornata di oggi, e vide i venti e la pioggia devastarlo, era forse persa in pensieri sentimentali?"
,"Kanon non era capace di dire nient'altro alle sue spalle, che erano rivolte verso di lui."
Kanon,"""... Preparerò il pranzo. ... Beatrice-sama."""
,Kanon si sforzò di chiamare il nome della strega... perché voleva farla girare.
,Voleva sapere. ... Lui voleva sapere se la strega che aveva tentato lui e Shannon nel passato fosse davvero ricomparsa.
,"... Quando lo fece... la strega il cui nome era stato chiamato... rise, dandogli ancora le spalle. Mantenendo la voce bassa, rise."
,"Kanon era sgomento... era quasi come se avesse letto nella sua mente e sapeva che aveva chiamato il suo nome, sperando di farla girare..."
{f:5:Beatrice},"""... Ha un buon odore. Sembra che Krauss abbia in qualche modo assunto un buon cuoco."""
Kanon,"""... Sì. ... È un cuoco chiamato Gohda, ed è stato assunto in anni recenti."""
{f:5:Beatrice},"""... Non c'è niente di meglio che essere abili a cucinare. ... I buongustai costituiscono i tre pilastri del piacere di vivere nel mondo umano. {n}Non dimenticarselo è il segreto per non annoiarsi dopo mille anni. ... *cackle*cackle*cackle*cackle*."""
,Gli occhi di Kanon e della strega si incontrarono.
,"... E poi, lei sogghignò..."
,"Senza dubbio. Certamente... era senza alcun dubbio, la strega di quel giorno, Beatrice..."
,"La strega che nessuno tranne lui e Shannon potevano vedere in passato finalmente possedeva una forma, ed era arrivata apertamente come un ospite dall'atrio di ingresso..."
Kanon,"""... Beatrice... sama."""
{f:5:Beatrice},"""È passato molto tempo. ... Kanon, il mobile. ... *cackle*cackle*cackle*cackle*cackle*!"""
Kanon,"""... È passato... molto tempo..."""
,"Kanon per il momento cercò di non dimenticare di essere cortese verso l'ospite. ... Ma nubi scure cominciarono ad avvolgere il suo cuore a causa della visita di quella strega sospetta, e nel giorno della conferenza di famiglia..."
{f:5:Beatrice},"""Sembra che tu sia preoccupato per quello che voglio fare ora che sono apparsa. ... È così...?"""
Kanon,"""..."""
,Kanon non si forzò a rispondere. ... Quella strega probabilmente legge nelle menti. ... Perciò era inutile affaticarsi per dirlo a voce alta.
,"... Naturalmente, anche il suo cuore che faceva resistenza sarebbe stato letto."
,Quindi la strega ridacchio all'infantile resistenza di Kanon.
{f:5:Beatrice},"""... Sono venuta per porre fine al mio ultimo accordo con Kinzo."""
Kanon,"""Il tuo ultimo accordo con... il Padrone...?"""
{f:5:Beatrice},"""... Ho prestato a Kinzo una montagna d'oro. ... Quando Kinzo vi rinuncia, mi sarà restituita con gli interessi. ... Sono venuta ad accettarli stanotte."""
Kanon,"""... Non so di cosa tu stia parlando."""
,"In ogni caso, l'incertezza cominciò a radunarsi nel suo cuore. ... La storia di questa strega non poteva essere niente di buono."
{f:5:Beatrice},"""... *cackle*cackle*cackle*cackle*! Non sbagli affatto! La storia di una strega non può essere nulla di buono. Hai detto bene."
{f:5:Beatrice},"Ciò nonostante, le streghe vengono usate come un paio di forbici. ... Talvolta, ci sono persone come il Re Salomone che riescono in grandi imprese."""
{f:5:Beatrice},"""... Tuttavia, nella maggior parte dei casi, un individuo non raggiunge un lieto fine come quello descritto nelle favole, giusto? *cackle*cackle*...! ... Ma Kinzo è astuto. Sta utilizzando nella sua cerimonia persino gli interessi che mi spettano."
{f:5:Beatrice},"È forse un folle mago destinato a sorpassare persino me? ... Oppure uno sciocco posseduto dalla pazzia? ... Interessante. Davvero interessante...!"""
,Kanon non riusciva a capire di cosa stesse farfugliando e ridendo la strega.
,"... Tutto ciò che sapeva era che... qualsiasi cosa che avrebbe potuto far ridere questa strega, avrebbe avuto un effetto opposto su tutti loro."
,"... E dal profondo della sua mente, le terrificanti parole che la strega aveva lanciato contro di lui in passato iniziarono a tornare alla luce."
,"Non ho forse donato loro quel potere senza chiedere nulla in cambio? Offrirò il mio aiuto in amore. Cosicché, in cambio, mi potrò divertire osservando il destino crudele che coglierà quei due in futuro."
,"Persino dopo mille anni, non c'è spettacolo migliore...!"
Kanon,"""... Può essere che... tu..."""
{f:5:Beatrice},"""*cackle*cackle*cackle*cackle*! Gehehehhahahahahahahahaha...!!"""
{f:5:Beatrice},"""... Ammira il fiume di ayu che scorre attraverso la mia amata terra natia. {n}Tu che cerchi la Terra Dorata, segui il suo corso secondo la corrente in cerca della chiave."""
,La strega iniziò a recitare una strana filastrocca all'improvviso... si trattava di qualcosa che Kanon ricordava di aver sentito.
Kanon,"""Che sia... l'epigrafe della strega..."""
,Era proprio così. ... Era l'epigrafe che accompagnava il ritratto della strega che Kinzo aveva affisso.
,"I parenti immaginavano che probabilmente indicasse in che luogo fosse nascosto l'oro, ma nessuno ne conosceva il significato."
,La strega cominciò improvvisamente a recitare l'epigrafe.
{f:5:Beatrice},"""... Kanon. Perché, in quanto mobile, non lo chiedi a Kinzo? ... Il giorno in cui ogni cosa tornerà alla Terra Dorata è giunto."
{f:5:Beatrice},"Sii felice. ... Il giorno in cui la vergogna per la tua vita da mobile terminerà è arrivato."""
Kanon,"""..."""
{f:5:Beatrice},"""Immagino che tu l'abbia desiderato a lungo. ... Per un mobile, la cui esistenza non ha valore, solo l'essere in vita giorno dopo giorno non deve essere altro che agonia."""
{f:5:Beatrice},"""... Coloro che posseggono un'anima devono continuare a persistere nel mondo reale, ma per quelli senza un'anima il mondo reale non è altro che sofferenza. *cackle*cackle*...!"""
,Espressioni complesse attraversarono il volto di Kanon.
,"... Era il giorno della liberazione che Kanon aveva atteso. ... Tuttavia, l'arrivo di tale giorno era stato crudelmente improvviso."
,"E per qualche motivo, ciò era difficile da accettare, perché era stato informato dalla strega che il giorno del riposo era giunto in questa maniera odiosa."
,... Kanon non era nemmeno in grado di decidere a quale sentimento dovesse aggrapparsi...
{f:5:Beatrice},"""... Perché non sei felice? È possibile che tu ti lasceresti dietro dei rimpianti nel mondo reale? ... Pur essendo un mobile?"""
Kanon,"""... Io non ho... rimpianti. Perché sono... un mobile."""
{f:5:Beatrice},"""*cackle*cackle*cackle*cackle*. ... Sei davvero un mobile modello. ... Bene, bene. ... Tuttavia, la cosa non sarebbe molto interessante se non avessi dei rimpianti."""
Kanon,"""... Stai dicendo che i rimpianti ti provocano piacere?"""
{f:5:Beatrice},"""Proprio così! Quasi tutte le streghe che vivono per un millennio si stancano di vivere! Per poter sfuggire alla noia, condisco i destini delle persone con frutta e brandy e li cucino come torte. Trovo che gli esseri umani che danzano attraverso un fato crudele in un forno siano assolutamente divertenti...!"""
{f:5:Beatrice},"""*cackle*cackle*! È risaputo che questo è il mio ruolo, no? ... È risaputo al punto che ospiti d'eccezione sono giunte da lontano per osservare le mie abilità culinarie. ... Heheheheh, pur mettendola così, si tratta probabilmente di qualcosa che un semplice mobile non può capire."""
,Kanon non riusciva a capire di cosa stesse parlando la strega.
,"Tuttavia, ben realizzava che questa donna era una creatura terrificante che trattava il fato degli umani come uno spettacolo, che la divertiva ogni volta che una qualche tragedia portava loro danno."
,"... Tuttavia, un mobile non aveva né un'anima né una vita, e ancor meno un fato. Un miserabile ""mobile"" non faceva altro che servire fino a quando non veniva liberato dal mondo reale."
,"... Per questi mobile, la strega, che era apparsa per liberarli da tutto, era una creatura per cui provavano grande affetto..."
,"Anche se il giorno che Kanon avrebbe dovuto tanto aspettare era giunto, egli era confuso dalla sua incapacità di accettarlo."
,"... Perché questo...? ... Il volto di Shannon, la persona che amava come una sorella, apparve nella sua mente. ... E per qualche motivo, anche il volto di Jessica."
Kanon,"""... Ku."""
,Kanon morse il suo labbro inferiore fino a farsi male.
,"... Quello che Jessica aveva in mente non era permesso ad un mobile. {n}Anche se aveva cercato di convincersene, e aveva reputato la relazione di Shannon sbagliata... come poteva pensare ancora a Jessica in un momento simile."
,"... Si vergognò un po' della sua stessa ingenuità. E per dimenticare Jessica, spostò i suoi pensieri su Shannon."
,"Anche Shannon è un mobile. ... Nel giorno in cui tutto torna ad essere nulla, non c'era motivo per cui lei non dovesse essere felice."
,"... Ma Shannon... con la sua relazione con George, aveva conosciuto un sentimento che un mobile non avrebbe dovuto conoscere."
,"Pur non avendo i requisiti per potersi legare a lui, era ancora intrappolata in un sogno che non le era permesso nemmeno di vedere."
,Avrebbe potuto Shannon... accettare una cosa del genere con piacere?
,... Ovviamente no. ... Shannon aveva ancora dei rimpianti. ... Con ogni probabilità quella sarebbe diventata una grande sorgente di dolore e tortura per Shannon.
,E poi il cuore del problema era che questo rimpianto... era stato piantato da questa strega.
,Perché? Solo perché così sarebbe stato ‘più interessante’...!
Kanon,"""... Questo giorno... che Shannon avrebbe dovuto aspettare con impazienza, le porterà quasi sicuramente pensieri molto aspri... e le darà emozioni che non dovrebbe conoscere. ... Ti ringrazio per aver portato a me... a noi mobili il dono della liberazione."""
Kanon,"""... E, ti detesto per aver reso questo giorno difficile da accettare per Shannon...!"""
{f:5:Beatrice},"""Volevo farti provare dolore per i tuoi rimpianti, proprio come con Shannon. ... Tuttavia, hai continuato ad essere un mobile con una limpidezza da stolti, e non ho potuto intrappolarti."""
{f:5:Beatrice},"""... Ad ogni modo, sembra che tu vuoi troppo bene a Shannon, non è così? *cackle*cackle*cackle*cackle*! I rimpianti di Shannon sono diventati i tuoi rimpianti. ... Trasformerai ciò in odio nei miei confronti...?"""
Kanon,"""..."""
{f:5:Beatrice},"""Se vuoi uccidermi, provaci. ... *cackle*cackle*cackle*cackle*! Essendo uno dei mobili di Kinzo, dovresti almeno avere abbastanza potere per questo, no? Tuttavia, se mi uccidi, il giorno in cui i mobili potranno riposare non arriverà mai."
{f:5:Beatrice},"... Riusciresti a sopportare una cosa simile...? Puoi davvero rifiutare la liberazione che ti porto...? *cackle*cackle*cackle*!! ... Inginocchiati!"""
Kanon,"""C... Cosa...!"""
{f:5:Beatrice},"""Inginocchiati e bacia le mie scarpe. ... Altrimenti, lascerò questo posto. ... Tornerò indietro e non mi mostrerò mai più per il resto dell'eternità."
{f:5:Beatrice},"... Dunque, Kanon? Riusciresti a sopportarlo...?"""
Kanon,"""... Ku..."""
{f:5:Beatrice},"""Se la porta per la Terra Dorata verrà aperta, la tua vita come mobile, piena di difficoltà, avrà termine. ... Se lo desideri, ti darò persino un'esistenza da essere umano. Dopodiché, sarai sullo stesso livello di Jessica! Certamente, tu vuoi conoscerlo, il sapore dell'amore...!"""
{f:5:Beatrice},"""... Lo so anche se cerchi di nasconderlo, capisci...? Dopo aver visto Shannon annegare nel dolce mare dell'amore, se diventato geloso. ... Sei dolorosamente tentato di conoscere il sapore dell'amore... *cackle*cackle*!!"""
Kanon,"""... Smettila... smettila...! Stai cercando di nuovo di intrappolarmi...?! {n}Non mi lascerò trasformare in un giocattolo per farti divertire...!"""
{f:5:Beatrice},"""Hoh. Allora mi accontenterò di Shannon. Tu non sei l'unico in cui io abbia piantato quei semi. Ci sono talvolta semi che non danno frutto."""
{f:5:Beatrice},"""... Colui che otterrà la chiave dovrà quindi viaggiare verso la Terra Dorata seguendo queste regole. Al primo crepuscolo, offri in sacrificio i sei scelti dalla chiave. Al secondo crepuscolo, coloro che rimangono divideranno i due che sono vicini..."""
,"La strega recitò ancora l'epigrafe. Fu davvero improvviso, e divergeva totalmente da ciò che stavano discutendo."
,"Tuttavia, il suo sorriso di sfida dava quasi l'impressione che la strega stesse usando l'epigrafe per minacciare Kanon."
{f:5:Beatrice},"""... Non capisci? ... Perché la cerimonia dell'epigrafe sia portata a termine, al ‘secondo crepuscolo’, i due che sono vicini devono essere offerti come sacrifici."
{f:5:Beatrice},"... Due persone qualsiasi che sono legate andrebbero bene. Marito e moglie, o anche una coppia di amanti. ... Stando alle regole della cerimonia, sta a me decidere chi verrà scelto in base ad un mio capriccio."
{f:5:Beatrice},"... Non trovi che non c'è nessuno che sia più adatto al secondo crepuscolo di Shannon, ora come ora...? *cackle*cackle*cackle*cackle*cackle!!"""
Kanon,"""... C... Che trucco sporco..."""
,"Kanon lo sapeva. ... Fino ad oggi, aveva intenzione di arrendersi a tutto e vivere come mobile."
,"... Ma in realtà, non era vero."
,"Lui voleva veramente tanto bene a Shannon. ... Pertanto, quando lei stava male, anche Kanon condivideva quel dolore."
,"Se solo Shannon avesse continuato a vivere come un mobile, indifferente come Kanon, senza nessun rimpianto in questo mondo, lui non avrebbe provato quel dolore...!"
,"La strega aveva in programma di giocare con Shannon, che aveva conosciuto il gusto dell'amore... no, le aveva insegnato il gusto dell'amore, ed è come se l'avesse uccisa."
,"Essere rilasciata insieme al suo amore voleva dire che non sarebbe stata invitata nella Terra Dorata, ma sarebbe diventata un sacrificio umano per una cerimonia malvagia, dopo aver ricevuto il massimo della tortura e del dolore...!"
,E questa strega probabilmente le farebbe incontrare quel destino crudele per nessun'altra ragione se non quella di trovarla interessante.
,"... Inoltre, lei stava minacciando di farlo in modo che Kanon, che non si era sottomesso alla strega neanche una volta finora, alla fine si arrendesse..."
,"Era così semplice. ... Alla fine, nonostante avesse cercato di resistere alla strega senza accontentarla, aveva solamente reso interessanti le cose per lei."
,"... Dopotutto, lui era un mobile. No, un giocattolo. ... Loro non erano nient'altro che giocattoli col solo scopo di distrarla dalla noia...!"
Kanon,"""... Dan... nazione..."""
{f:5:Beatrice},"""Cosa farai, Kanon...? Se ti inginocchierai, io mi tratterrò sicuramente dallo scegliere Shannon come sacrificio, ok? *cackle*cackle*cackle*cackle*cackle*! {n}Ho sempre voluto far arrendere un giocattolo come te almeno una volta. *cackle*cackle*cackle*cackle*cackle*, kuhihihihihihihihi!!"""
,"Senza neanche un briciolo di eleganza, la strega derise Kanon con una risata indecente."
,"... Esatto, lei era riuscita a prevedere le azioni di Kanon persino prima che le decidesse lui stesso..."
Kanon,"""... Ku..."""
,... Kanon... scelse di inchinarsi con entrambe le ginocchia di fronte alla strega...
,Non importava cosa sarebbe successo a lui.
,"... Tuttavia... anche solo il fatto che Shannon, che durante i suoi giorni come mobile gli aveva dato l'unica ragione di vita, venisse trattata come un giocattolo... anche solo quel fatto era qualcosa che lui non poteva sorvolare..."
,Pertanto... qualcosa come baciare le scarpe della strega... fu un giuramento facile da fare per Kanon.
,... Nel momento in cui le sue labbra tremolanti toccarono la scarpa della strega...
,"... Beatrice, dopo aver lasciato che una espressione di estasi le si formasse sul volto... rise a gran voce."
,"In quel momento, la strega, che si era annoiata di vivere dopo mille anni, fu colma di quel sentimento malvagio per cui la sua vita aveva scopo..."
,"Quando il pranzo finì, i parenti si spostarono nel salotto."
,"Rosa aveva comprato una rinomata marca di tè nero da un famoso negozio a Ginza. Era stato preparato, e l'interno del salotto fu riempito da un aroma molto gradevole..."
,"Dato che i ragazzi erano con gli adulti, questi provavano ad interagire in apparenza come parenti, parlando tranquillamente degli eventi recenti e su come stessero crescendo i loro figli."
,"Fuori iniziò a piovere, quindi i ragazzi non poterono far altro che sedersi là così, guardando la TV, non potendo uscire fuori."
,"Maria continuò a guardare un programma giornaliero noioso senza mai stancarsi, facendo kyakkya da sola, come una bambina della TV."
,"All'inizio, Battler si unì, apparentemente approfondendo la sua relazione con Maria, ma quella mattina si era svegliato presto, e quindi fu colto da un pesante attacco di sonno..."
Ushiromiya Battler,"""... Fuaaaaaah..."""
Ushiromiya George,"""Oh, che sbadiglio grande. Ti sei alzato presto questa mattina?"""
Ushiromiya Battler,"""... Beh qualcosa del genere. Una volta sciolta la tensione, ho iniziato ad essere assonnato, ascoltando il suono della pioggia."""
Ushiromiya Jessica,"""Tensione? Eheh, facevi tanto lo spaccone, ma in realtà eri teso, vero?"""
Ushiromiya Battler,"""Almeno per me è così. ... Fuaaaaaaaaaaaaaaaaah..."""
,Battler fece ancora una volta un gran sbadiglio e si sdraiò lentamente sul divano.
,Sembrava veramente stanco.
