Speaker,Italian (Ars Magica) (Old) (ITA)
,... L'affermazione di Hideyoshi per cui avere informazioni avrebbe raddoppiato il sapore sembrava essere vera.
,"I ragazzi e Nanjo, che erano stati cacciati dalla casa degli ospiti, si erano riuniti nella stanza dei cugini, e stavano mangiando la torta che Kumasawa aveva portato per dessert."
,"Era sia meravigliosa che di alta classe, con una generoso ammontare di crema e squisitamente decorata con frutta, ma sebbene fosse deliziosa, per qualche ragione non aveva un sapore così buono..."
Ushiromiya Jessica,"""Haha, senza le informazioni date da Gohda-san, non ha un sapore tanto buono."""
Ushiromiya Battler,"""Se anche le avessimo volute, Kumasawa-san avrebbe solamente detto che era stato fatto con lo sgombro."""
Ushiromiya Maria,"""Uu-?! Davvero?! Puoi preparare una torta con lo sgombro?!"""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho. Certo, certo, anche questa torta, se la cuoci con succo di sgombro unito a farina e uova, diviene molto soffice. Hoh-hoh-hoh-ho."""
Ushiromiya George,"""Sarebbe incredibile se fosse vero. Forse la torta allo sgombro si farà vedere sul nuovo menu del negozio di Papà."""
Ushiromiya Battler,"""Wahahaha! Siccome il maccarello è pieno di nutrienti e ha un'immagine salutare, sarà molto popolare tra donne e anziani! Ma io non lo assaggerei mai!"""
Ushiromiya Jessica,"""Le ragazze non mangeranno mai qualcosa di così strano."""
Nanjo Terumasa,"""Persino gli anziani rifiuterebbero."""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho! Ma non è delizioso?"""
,"Kumasawa stava alzando di molto l'umore con gli scherzi sullo sgombro che erano la sua specialità. ... Ma non importa che che sarebbe successo, il rumore della pioggia li faceva concentrare sulla preoccupazione riguardo al misterioso ospite."
,"Alla fine, finirono per tempestare nuovamente di domande Maria, siccome era l'unica persona ad aver incontrato Beatrice."
Ushiromiya George,"""... Non posso crederci... quella storia era vera."""
Ushiromiya Battler,"""Dal modo in cui dici di non crederci, sembra che non sia la prima volta che hai sentito di questa strega che Maria dice di aver incontrato."""
Ushiromiya Jessica,"""... Già. Ho pensato fosse una favola comune per persone di quell'età fantasiosa."""
Ushiromiya Maria,"""Esis-te!! Beatrice ‘esis-te’! Ogni anno, quando veniamo alla conferenza di famiglia, lei si incontra con Maria, e giochiamo insieme!"""
Kumasawa Chiyo,"""Esatto. Sebbene Beatrice-sama di solito non si mostra, ho sentito che spesso lo fa inaspettatamente dinanzi a persone oneste con cuori puri. Hoh-hoh-ho."""
,Beatrice era un nome che si riferiva all'essere di quella favola sulla strega di Rokkenjima.
,"Siccome la famiglia e i domestici accettarono pubblicamente l'immagine della strega dei deliri di Kinzo per tenerlo di buon umore, la favola di Rokkenjima, o forse la storia di fantasmi, nacque..."
,"Per i membri della famiglia che conoscevano questi dettagli, la storia della Strega Dorata era solo una cosa vaga. ... Tuttavia, di fronte a Kinzo, non furono capaci di dire ciò."
,"Quindi per coloro che non conoscevano i dettagli ... come la giovane Maria, per esempio, non era affatto vaga... ma una vera leggenda della strega."
,Quindi Maria credette in quella leggenda. Si bevve la storia.
,... Era naturale per una ragazza fantasiosa che credeva nelle streghe.
,"Quindi nessuno disse nulla per non infrangere i suoi sogni. ... Al contrario, fecero in modo di farla emozionare in anticipo per i suoi sogni."
