Speaker,Italian (Ars Magica) (Old) (ITA)
,"... Qual era il suono che mi riempiva sempre le orecchie? Il suono della pioggia, il suono di una cascata, oppure erano le interferenze della radio?"
,"In quel caso, voglio che sia il suono del sangue che scorre nel corpo. ... Voglio che sia il suono del sangue che circola attraverso il mio corpo, avvertendomi che sono ancora vivo..."
Ushiromiya Kinzo,"""... Hmm... è mattino...?"""
,"La luce che entrava da un'apertura nella tenda era fievole, ma gli rivelò almeno che la notte era finita."
,"Kinzo, ancora agendo come uno se si fosse appena svegliato... stando ancora seduto su una sedia e guardando il soffitto... sentì il sangue scorrere lentamente attraverso il suo corpo..."
,"... A giudicare dall'orologio, era mattino presto, le 6:00 in punto. ... Per quanto fosse stanco, per quanto avesse dormito profondamente, si svegliava sempre a quest'ora precisa, come se l'avesse misurata con una clessidra."
,"Non pensava che qualcosa del genere l'avrebbe portato a vantarsi, ma confidò a se stesso che finché riusciva a fare cose di questo tipo, aveva ancora una salute di ferro."
Ushiromiya Kinzo,"""... È arrivato il mattino, ciò significa che... hmmm. ... In ogni caso, sembra che sia riuscito a non diventare uno dei primi sacrifici. ... L'esito della roulette è stato fortunato... o è il frutto dei miei sforzi? È irritante che non riesca a comprendere la differenza, ma non lo rivelerò."""
,Kinzo era leggermente tentato di vedere l'esterno del suo studio.
,"Perché pensava che forse, avrebbe potuto trovare le tracce un vano tentativo di rompere la porta, fatto da qualcosa che provava a sceglierlo come uno pei primi sei sacrifici."
Ushiromiya Kinzo,"""... Hmph. ... Gli umani sono creature insignificanti. ... Mentre posseggono una vita sacra e si preoccupano dei problemi degli altri, vogliono amare se stessi, e quando gli viene data la buona sorte, dicono che è stato per via della propria abilità piuttosto che per semplice fortuna."""
,Quindi volle controllare se ci fosse un nefasto marchio sulla porta. ... È ciò che gli umani farebbero.
,"Perciò, Kinzo non lo fece. Rifiutava le cose che, essendo umano, voleva fare. {n}Con questo, Kinzo poteva immergersi in un sentimento di sufficienza, come se fosse diventato un essere che sorpassava gli umani..."
,"Divenne cosciente dei desideri umani, e li scacciò. Resistette, a cose che un umano voleva fare."
,"... Questo senso di eccentricità e di ribellione gli aveva di sicuro donato un genio raro, che gli deve aver permesso di portare a compimento i suoi atti facendo rivivere la famiglia Ushiromiya in una generazione..."
Ushiromiya Kinzo,"""Bene, Beatrice. Quali sono le sei pedine che hai preso? ... E, quale sarà la tua prossima mossa? ... Intrattienimi. ... La mia difesa è perfetta. Non mi umilierò come l'ultima volta. ... Heh... heheheh."""
,"I domestici si svegliarono presto. Dovevano aprire le tende, preparare la colazione e portare a termine diversi altri compiti per dare agli ospiti il benvenuto ad un nuovo giorno."
,Gohda era il più entusiasta.
,"Durante la riunione di famiglia, gli è stato ordinato di concentrare i suoi sforzi specialmente sulla cucina, ed è stato dispensato da altri compiti che normalmente i domestici devono fare."
,"... Sembrava che Gohda, che ostentava la sua bravura, avesse un particolare sentimento di supremazia riguardo ciò. Lasciò la preparazione dell'interno della residenza a Genji e gli altri, e preparò la colazione in cucina."
,"Genji divise il lavoro con Shannon e Kanon, e completarono diverse faccende."
,"Shannon si diresse alla sala da cena, e bussò."
,"... Lo scorso anno, la riunione di famiglia continuò fino alle prime ore del mattino. Non sarebbe stato strano se la riunione di quest'anno sarebbe continuata fino all'alba."
,"Bussò, considerando la possibilità che avrebbero potuto ancora discutere all'interno."
,"Ma non ottenne una risposta, così aprì la porta dicendo buongiorno."
Shannon,"""... Buongiorno. ... C'è qualcuno?"""
,"La stanza era fredda, e sembrò che la riunione fosse finita da molto tempo."
,"Sul tavolo, c'era un set da tè, dal quale stavano probabilmente bevendo, disposto in modo da pulirlo facilmente."
,"Pulire le tazze da tè è il lavoro di un domestico. Quindi, se la famiglia fosse troppo premurosa e l'avessero pulita loro, i domestici avrebbero perso la faccia."
,"Quindi, fare semplicemente ciò per i domestici è veramente un atto di gentilezza."
,"Come si avvicinò al tavolo per pulirlo, notò qualcosa come un appunto che era stato lasciato insieme agli utensili."
,"È stato piazzato insieme al set da tè, quindi, pensando naturalmente che fosse un promemoria per il domestico che doveva pulire, Shannon lo prese."
,"Su di esso non vi era scritta una richiesta, né vi era un grazie per aver preparato il tè. Vi era solo una singola parola."
,"Shannon la guardò con aria assente, e la lesse ad alta voce..."
Shannon,"""... Cappella. ...?"""
,Un debole suono continuava a ripetersi sempre. Era un suono normalmente noioso e senza alcun valore.
,"Qualcuno pensò vagamente, se solo potessi smettere di sentirlo presto, allora potrei tornare a sonnecchiare."
,"... Ma non importa quanto tempo fosse passato, il suono non smetteva. {n}Si ripeteva ancora e ancora."
,"Aaah, sta' zitto. Chi è? Quello che sbatte sempre sulla porta."
,"Non appena lo notò, si svegliò. ... Qualcuno stava bussando."
,"Allora notò che non stava solo bussando, ma la stava anche chiamando."
Ronoue Genji,"""... Rosa-sama... Rosa-sama. ... Buongiorno."""
Ushiromiya Rosa,"""A... Aspetta. Sto arrivando."""
,"Era la voce di Genji. Guardando l'ora, non erano neanche le 7:00."
,... Era chiaramente troppo presto per svegliare gli ospiti. ... Era successo qualcosa di talmente eclatante da causare tutto ciò?
,Lei sentì che la sua sonnolenza stava progressivamente svanendo a causa di questa premonizione di sventura.
,"Dato che Genji era stato un domestico familiare a Rosa sin dalla sua infanzia, nonostante lei fosse leggermente vulnerabile in pigiama, aprì di poco la porta e rispose."
Ronoue Genji,"""Buongiorno. Mi scuso per averla svegliata così presto."""
Ushiromiya Rosa,"""... È successo qualcosa?"""
Ronoue Genji,"""Sì... in realtà, nella cappella..."""
,"Genji parlò all'orecchio di Rosa, e le disse qualcosa sussurrando."
,"Per un secondo, sembrò che Rosa non avesse capito ciò che le era stato detto, e dopo che le fu ripetuto più volte, lei capì che apparentemente, qualcosa di strano era successo."
,"Rosa chiuse la porta per un secondo, e dopo essersi cambiata, accompagnò immediatamente Genji dirigendosi verso la villa..."
,"La cappella necessita di qualche spiegazione. Non era nella villa, ma in un boschetto dietro di essa, che poteva essere raggiunto dopo una breve camminata."
,"Era stata costruita nello stesso periodo in cui era stata edificata la villa su Rokkenjima, perciò mentre le pareti esterne erano state riparate varie volte, facendola sembrare nuova dall'esterno, era una costruzione molto vecchia."
,"Rosa corse attraverso la pioggia insieme a Genji. Proprio come la notte precedente, stava piovendo incessantemente."
,"Alla fine, iniziarono a scorgere la cappella dietro uno sparuto boschetto..."
,"Dato che la potevano vedere solo dall'esterno, sembrava un posto dall'accecante bellezza, dove un paio di giovani amanti vorrebbero tenere una cerimonia."
,"Tuttavia, sembrava che agli occhi di Kinzo, questo fosse un posto molto sacro, quindi a Rosa e agli altri fratelli era stato severamente detto di non avvicinarvisi senza motivo."
,"Quindi anche se erano cresciuti, si sarebbero sentiti un po' in colpa se si fossero avvicinati alla cappella, indipendentemente dalla ragione, e provavano paura, come se il loro Padre si sarebbe arrabbiato e li avrebbe schiaffeggiati..."
,"La sagoma dei domestici poteva essere scorta di fronte all'entrata della cappella. Gohda, Shannon e Kanon."
,... Il che significava che erano riuniti tutti i domestici del turno del mattino.
,"Poco fa, Genji aveva parlato con Rosa, dicendole quale fosse la situazione. Tuttavia... senza vederlo con i propri occhi, lei non era davvero stata in grado di comprenderla..."
,"Probabilmente, era così anche per tutti i domestici riuniti."
,"... Senza vederlo coi loro occhi, non potevano capire cosa stesse succedendo."
,"Sulla porta all'entrata della cappella, c'era qualcosa di molto largo... disegnato con una spaventosa vernice filamentosa che faceva pensare al sangue... qualcosa come uno spaventoso cerchio magico."
Ushiromiya Rosa,"""C... Che cos'è... questo...? Quando è stato disegnato qui?!"""
,I domestici si guardarono l'un l'altro. Gohda fu il primo ad aprir bocca.
Gohda Toshiro,"""... L... Le mie scuse. Noi di solito non entriamo qui, quindi non sappiamo quando è stato disegnato."""
Ushiromiya Rosa,"""Allora, chi è stata la prima persona a trovarlo?!"""
Shannon,"""S... Sì, sono stata io. ... Quando sono andata nella sala da pranzo per pulire il set da tè... c'era un appunto con scritto ‘cappella’ sopra di esso..."""
,Shannon porse l'appunto con mano tremante.
Ushiromiya Rosa,"""... Di chi è questa scrittura? Non è quella di Nii-san o di Nee-san. ... E poi, tu sei venuta qui, e hai trovato questo, giusto?"""
Shannon,"""Sì..."""
Kanon,"""... Rosa-sama... guardate questo."""
Ushiromiya Rosa,"""Cosa? ... Happy Halloween, for... che?!"""
,Kanon indicò una singola frase in Inglese scritta sotto lo spaventoso cerchio magico.
,"Fino a quando non le era stato indicato, lei aveva pensato che fosse solo un'altra parte del cerchio magico, e non l'aveva notata."
,"Lì, c'erano parole scritte in Inglese,"
,"""Happy HALLOWEEN for MARIA."" ――Felice Halloween. Per Maria. {n}Questo spaventoso cerchio magico. Per Maria. Felice Halloween."
,"Ieri, la sola persona che ha detto Felice Halloween a Maria..."
,"Questo simbolo corrisponde. ... La Strega Dorata, Beatrice...!"
Ushiromiya Rosa,"""C-Che mi dite di Maria?! Quella ragazzina dovrebbe essere addormentata con i suoi cugini, giusto? Avete controllato?!"""
Ronoue Genji,"""... Le mie scuse. Abbiamo realizzato solo ora che il nome di Maria-sama era scritto qui. ... Non abbiamo ancora controllato. Presto-"""
Ushiromiya Rosa,"""Cosa state facendo?!! Andrò io a controllare Maria e poi tornerò indietro! {n}Poi, lo dirò a Krauss nii-san e agli altri. Dopo, noi seguiremo le loro direttive!"""
,"... Dopo averlo detto, Rosa finalmente notò una sensazione di sconforto."
,Il suo grado in questa conferenza di famiglia era il più basso dei quattro fratelli.
,"... Perché è stata lei l'unica ad essere chiamata in una situazione anormale come questa, quando gli altri fratelli non sono stati chiamati?"
,... Anche se era spuntato fuori il nome di Maria.
Ushiromiya Rosa,"""Potrebbe essere... huh? ... Huh?!"""
Gohda Toshiro,"""... S-Sì. Abbiamo provato a contattare Krauss-sama... ma non siamo riusciti a trovarlo..."""
Shannon,"""E Madame non era nella sua stanza. ... A giudicare dalle condizioni delle lenzuola, forse lei non è tornata affatto nel suo letto la scorsa notte."""
,Rosa ebbe una sensazione che le fece accapponare la pelle strisciare lentamente lungo la schiena...
Ushiromiya Rosa,"""... A... Avete provato a controllare nella cappella?"""
Kanon,"""No, non ancora. Abbiamo provato a controllare dentro, ma..."""
Ronoue Genji,"""... In realtà, la serratura della cappella è speciale, per cui il passepartout non funziona. C'è una sola chiave che la può aprire... ma manca dalla scatola delle chiavi."""
,"Lei, se avesse potuto, non avrebbe voluto avvicinarsi alla porta con quello spaventoso cerchio magico."
,"Rosa si preparò e si avvicinò, e provò a tirare e spingere la maniglia. ... Tutto ciò che sentì fu la resistenza della solida serratura."
Kanon,"""Cercheremo per vedere se c'è una finestra attraverso la quale possiamo entrare, ma... penso che, per controllare dentro, dovremmo rompere una delle finestre... Che ne pensa?"""
Ushiromiya Rosa,"""... Non c'è modo che io dia l'autorizzazione per farlo. È la preziosa cappella di nostro Padre, non posso fare una cosa del genere. ..."""
,"In quel momento, gli eventi del giorno precedente tornarono in mente a Rosa..."
,... Giusto... quando ho incontrato quella strega nel roseto... non aveva forse dato una busta a Maria?
,"Già, non mi sbaglio, l'aveva data a lei."
,"Quando Maria aveva provato ad aprirla, quella strega le ha detto che non era ancora il momento, poi ha di certo detto ""Il momento per aprirla verrà presto""..."
,Rosa ne era certa. ... Non poteva sbagliarsi. ... Quella lettera che era stata data a Maria...
,"Dopo aver corso alla casa degli ospiti, Rosa si avvicinò alla stanza dei cugini soffocando i propri passi, aprì leggermente la porta, e sbirciò dentro..."
,"Dall'interno, poteva sentire il sano russare dei giovani."
,C'erano quattro ragazzi. E Maria era lì. ... Dormendo rumorosamente.
,"Dopo essersi tranquillizzata, entrò nella stanza con passo leggero. ... Stava cercando la borsa di Maria, che era poggiata sul divano."
,A Maria piaceva sempre portarsi dietro i suoi tesori. ... Lei probabilmente imitava il fatto che sua Madre portasse sempre i trucchi con lei.
,"Ovviamente, la stava solo copiando, quindi all'interno era piena di cose inutili."
,"Nel caso di Maria, era piena di piccoli, spaventosi oggetti dell'occulto, e un quaderno con cose come quelle scritte su di esso."
,"... Rosa non era certo felice di vedere che la figlia andava in giro con questo tipo di cose, che non erano affatto femminili."
,"Tuttavia, dopo che aveva provato a obbligare Maria a smetterla, avevano litigato, e aveva infine deciso di lasciar perdere."
Ushiromiya Rosa,"""... ecco. ... È questo..."""
,Una busta in stile occidentale con il simbolo dell'aquila dorata...
,"Quando provò a tirarla fuori, capì che c'era un pesante oggetto cilindrico dentro."
,... Poteva dirlo dal tatto e dal suo peso. ... Non c'era dubbio. Quella era... una chiave.
,"Dopo essersi girata e aver controllato che Maria stesse ancora dormendo, Rosa aprì la busta e ne riversò il contenuto sul suo palmo."
,"... Era una chiave con inciso un vecchio e intricato motivo... Rosa prese quella chiave, e corse fuori."
,"... Sembrava che Battler avesse notato quel suono, ma dopo un brontolio ed essersi rigirato nel sonno, iniziò di nuovo a russare..."
Ushiromiya Rosa,"""... Genji-san. ... Potrebbe questa chiave... essere quella della cappella?"""
Ronoue Genji,"""Dove l'ha... sì, questa è la chiave della cappella."""
,Rosa si avvicinò ancora una volta al cerchio magico... e mise la chiave nella serratura.
,... Ci fu una forte resistenza. Dopo un breve lasso di tempo... smise di opporre resistenza con un clunk.
,"Poi, cigolando con un rumore che infastidiva le orecchie, iniziò lentamente, lentamente ad aprirsi..."
Ushiromiya Rosa,"""... C'è qualcuno... lì...!"""
,"La sua voce risuonò attraverso la vasta stanza. ... Ovviamente, nessuno le rispose."
,"La cappella aveva un alto soffitto, e l'aria era fredda."
,"... E anche in questo inquietante giorno di pioggia, aveva una sensazione di sacro..."
,I domestici seguirono timidamente Rosa.
Kanon,"""... Rosa-sama, guardi là."""
,"Kanon lo notò immediatamente, e lo indicò."
,"... Laggiù, c'era l'altare."
,"Nel posto in cui normalmente un sacerdote dovrebbe predicare l'amore di Dio, vi era un tavolo che non doveva esserci."
,"All'inizio, sembrava un tavolo da pranzo. ... In effetti c'erano bellissimi piatti e utensili appoggiati sul tavolo, ce n'erano abbastanza da far pensare che fosse la festa di compleanno di un bambino o qualcosa del genere."
