Speaker,Italian (Ars Magica) (Old) (ITA)
Kanon,"""Milady, per favore, si calmi...!"""
Gohda Toshiro,"""Ancora non sappiamo chi sia il colpevole! E Beatrice-sama è un'importante ospite d'onore per il Padrone...!"""
Ushiromiya Jessica,"""E allora?!! Se prendiamo quella persona dal collare, è sicuro che confesserà!! {n}Se guardassimo i suoi occhi lo capiremmo. La smaschererò!! Una strega?! Beatrice?!! La metterò allo scoperto!!"""
,"Jessica non smise di camminare. Gohda e Kanon la inseguirono, facendo del loro meglio per convincerla, ma Jessica non prestò loro attenzione neanche una volta."
,"Alla fine, apparì alla vista la stanza VIP della strega. Questa stanza VIP era sempre chiusa e mai utilizzata."
,"... Qualunque tipo di ospite fosse venuto, Kinzo non l'avrebbe fatto entrare in questa stanza."
,"... Ciononostante, ai servitori è sempre stato ordinato di pulirla, in modo da poter essere sempre usata."
,"Perciò i servitori avevano iniziato a chiamarla ""la stanza VIP della strega"", con lo stesso nome dell'altra padrona senza forma."
,Anche Jessica lo sapeva. E non poteva perdonare l'arroganza di colei che si definiva una strega e risiedeva in quella stanza.
,"... La Strega Dorata era solo una favola. Una strega?! Per Jessica, era solo l'assassina che aveva ucciso brutalmente i suoi genitori!"
,"La interrogherò, farò in modo che si scusi dolorosamente, che sputi il rospo dolorosamente, che respiri dolorosamente."
,"... Non importa quanto finga di essere una strega, le insegnerò che è solo un umano che puzza di sudore!!"
,"Mentre Jessica gridava con tutta la sua forza, colpì la porta della stanza VIP."
,"Non era assolutamente un bussare. ... Quel suono era il colpo del suo martello di rabbia, come se stesse dicendo che se non avesse aperto la porta, l'avrebbe sfondata."
Ushiromiya Jessica,"""Apri, Beatrice!! Esci fuori!! Mi senti, no?! Apri!!!"""
,"Non vi fu risposta. ... Jessica prese la maniglia senza alcuna riservatezza, ma sentì la resistenza del lucchetto."
,"Jessica si girò per guardare i due domestici, e parlò."
Ushiromiya Jessica,"""Il passepartout la può aprire, no?! Aprila!!"""
Gohda Toshiro,"""Milady...! Sarebbe davvero scortese...!!"""
,"Gohda era agitato, ma provò lo stesso a calmare in qualche modo la rabbia di Jessica."
,"... Dopo essersi vergognato in silenzio per un momento, Kanon prese un passepartout dalla tasca della sua giacca."
