Speaker,Italian (Ars Magica) (Old) (ITA)
,"Con la morte di Jessica, era diventato certo che il colpevole si stava nascondendo da qualche parte lì vicino, e che avrebbe cercato di ucciderci se ne avesse avuto la possibilità."
,"Secondo Genji-san, domani mattina dovrebbe arrivare una barca."
,La barca ha una radio. Potremmo contattare direttamente la polizia con essa.
,"Tutti noi ci riunimmo nel salotto, decisi ad aspettare tranquilli fino a domani."
,"Dissi che avremmo dovuto cercare indizi sul colpevole nella villa, ma Rosa oba-san rifiutò, dicendo che se fossimo riusciti a mettere con le spalle al muro il colpevole, o provocarlo, ciò avrebbe potuto portare ad un terzo omicidio."
,"... Probabilmente era la cosa giusta da fare. Se un gruppetto di inesperti come noi avesse investigato, non avrebbe di sicuro trovato niente."
,"Sarebbe più saggio concentrarsi sulla nostra protezione, senza fare niente di inutile, e lasciare il compito alla polizia domani."
,"All'inizio eravamo tutti tesi, ma oltre a Rosa oba-san, la maggior parte di noi aveva trascorso tutto il pomeriggio a guardare la tv e si stava cominciando ad annoiare, quindi il nostro senso del pericolo era diventato sempre meno intenso."
,"Quando ci pensammo, nonostante fosse certo che sei adulti erano stati uccisi nel primo omicidio, ciò ci fece immaginare che era stato usato qualche metodo subdolo come del veleno."
,"E nel secondo omicidio, quei due erano diventati sacrifici perché sfortunatamente erano rimasti isolati dal resto di noi."
,"Da questi presupposti, deducemmo che i colpevoli non erano un gran numero di adulti, e non era qualcuno in grado di uccidere questo grande gruppo radunato nel salotto tutto in una volta."
,"Ora, in questo salotto, George-aniki e io. Maria. Rosa oba-san. Genji-san, Gohda-san, Shannon-san, Kumasawa-san... e poi, il Dottor Nanjo, un totale di nove persone, erano qui."
,"Inoltre, Rosa oba-san era persino armata."
,"Di certo, con così tante persone riunite in questa stanza, non sarebbero stati capaci di colpirci facilmente."
,"Quel sentimento di sicurezza, insieme al passare del tempo, ci permise di riprenderci a poco a poco dallo shock di quella mattina..."
,"A proposito, per noi il pranzo era appena finito. Tuttavia, fu a base di cibo in scatola, niente rispetto alla cena della scorsa notte che Gohda-san ci aveva abilmente preparato."
,... Anche Rosa oba-san aveva sospettato che fosse stato usato del veleno nell'omicidio di quelle sei persone.
,"... Quindi, probabilmente non potevamo escludere la possibilità che il colpevole si fosse infilato in cucina durante tutta quella confusione di mattina, e mischiato del veleno negli ingredienti."
,"... Rosa oba-san ci ordinò di non mettere niente in bocca eccetto cibi sicuri come quelli in scatola, almeno fino a quando non sarebbe arrivata la polizia."
,"Come cuoco, Gohda-san deve essersi sentito molto deluso."
,"Dato che voleva mostrare comunque le sue abilità, Gohda-san disse che almeno voleva portare i piatti e preparare il cibo in scatola."
,"Dapprima, Rosa oba-san era stata riluttante, esaminando ogni piatto che era stato portato, ma non fu capace di trovare niente di cui lamentarsi, e così la ‘Combo del Pranzo a base di Cibo in Scatola Selezionato dello Chef’ di Gohda venne alla luce."
,"Gohda-san disse qualcosa a proposito del sapore che veniva gustato non solo con la lingua, ma anche con gli occhi."
,"... Capisco, è sempre lo stesso cibo in scatola che abbiamo mangiato a colazione, ma sembra in qualche modo completamente diverso..."
Ushiromiya Maria,"""Uu-, Battler. Guarda, guarda. Questo è il ‘Puzzle dei Lupi e delle Pecore’. Uu-."""
,"Mentre ero pigramente seduto sul divano, senza voler vedere la TV, Maria venne da me, tirò un libro illustrato fuori dalla sua borsetta, e me lo porse dicendo quelle parole."
Ushiromiya Battler,"""... Che cos'è quel libro? ‘Puzzle dei Lupi e delle Pecore’? ... Vediamo."""
,‘Puzzle dei Lupi e delle Pecore’. Era una frase che Rosa oba-san aveva detto questa mattina quando stavamo andando a chiamare Jessica.
,"... In quel momento, non sapevo cosa significasse, e poi dopo, ci fu il caos quando trovammo il corpo di Jessica, quindi me ne ero completamente dimenticato."
,Il libro che Maria mi aveva dato sembrava straniero o qualcosa che era stato tradotto.
,"Quando lo aprii, mi resi conto che era pieno di indovinelli."
Ushiromiya Maria,"""Uu-. Insomma ci sono molti lupi e pecore, ok? È un indovinello che consiste nel portarle dall'altra parte con una sola barca."""
Ushiromiya Battler,"""... Hmmmm? Avevo sentito di un gioco con regole simili. È questo il puzzle dei lupi e delle pecore?"""
,"Era un indovinello molto semplice, tramandato da tanto tempo. Proviamo a porre un quesito."
,"Sulla sponda di destra, ci sono due lupi e due pecore. C'è una barca che può portare solo due animali, e usandola, bisogna portarli tutti e quattro nella sponda sinistra dall'altra parte. È questo l'enigma."
,Ci sono due regole.
,La prima riguarda la barca. Essa può trasportare anche un solo lupo o una sola pecora. Ma può contenere solo due animali.
,"La seconda riguarda i lupi. Quando sono in numero maggiore rispetto alle pecore in quel posto, possono attaccarle e hai perso."
,"Per esempio, all'inizio del gioco... la due pecore salgono sulla barca, e vanno dall'altra parte. Poi una scende, e l'altra torna nella prima sponda."
,"... Quando lo fa, là ci sono due lupi. E vi ritorna solo una pecora."
,"Quando ciò succede, ci sono più lupi, in questo modo la pecora viene attaccata e finisce il gioco."
,"Sull'altra sponda o perfino sulla barca, non ci devono essere più lupi che pecore."
,È un rompicapo su come farli viaggiare in barca sotto queste condizioni.
