Speaker,Italian (Ars Magica) (Old) (ITA)
,"Dopo aver consumato la sua cena posticipata, Genji uscì per effettuare i controlli notturni nella villa."
,"Aveva mangiato della zuppa riscaldata preparata da Gohda, assieme a degli avanzi assortiti presi dal frigo."
,"Tutto era stato preparato da Gohda, ed era, ovviamente, delizioso."
,"Con riluttanza era andato a chiedere a Rosa cosa avevano intenzione di fare riguardo alla cena, ma gli era stato gridato contro che avevano del cibo in scatola e quindi erano a posto, e non avevano nemmeno aperto la porta per lui."
,"... Così, ironicamente, Genji, un domestico, aveva potuto assaporare un pasto più gustoso dei suoi padroni..."
,"... Ma come mai Genji non aveva paura di fare il giro di ronda completamente solo, nonostante fossero stati commessi tutti quei crimini, e tanti avevano già incontrato una fine brutale?"
,"... A giudicare dal suo aspetto mentre eseguiva i compiti di sempre senza un briciolo di paura, come se fosse tutto nella norma, si sarebbe potuto credere che tutti gli orribili eventi accaduti quel giorno fossero stati solo un sogno o un'illusione."
,"Stava prendendo la situazione con filosofia, oppure era semplice rassegnazione?"
,"Genji doveva considerare fare sistematicamente il suo dovere una virtù, dato che il destino che lo attendeva era inevitabile."
,"Comprendere fino in fondo i suoi pensieri sarebbe stato probabilmente impossibile, a meno che non ne avesse parlato lui stesso..."
,"Avendo restituito il passepartout a Rosa, i posti a cui aveva accesso erano molto pochi."
,"Tutto ciò che poteva fare era camminare per i corridoi, per controllare che le finestre fossero chiuse. Perciò era possibile che avesse potuto fare quel percorso molto più velocemente del solito."
Ronoue Genji,"""... Hmm."""
,"In seguito al suono di una lieve battuta alla porta, Rosa oba-san, che era stata sul punto di addormentarsi, puntò la canna del fucile verso la porta gridando."
Ushiromiya Rosa,"""Chi è?!"""
,"Stavo sonnecchiando su un divano, e a mia volta fui riportato alla realtà da quella voce."
Ronoue Genji,"""... Rosa-sama. Sono Genji."""
Ushiromiya Rosa,"""Per quale motivo sei venuto qui? Non ci sarà bisogno di aprire la porta. {n}Diccelo da lì."""
Ronoue Genji,"""... D'accordo. Allora, mi perdoni se mi esprimo così. ... Ho ritrovato i corpi del dottor Nanjo e Kumasawa."""
Ushiromiya Battler,"""C... Cos'hai detto...?!!"""
Ushiromiya Rosa,"""... Oh. Capisco, andiamo a controllare allora. ... Fino a che non vedrò i corpi, non crederò a nessuno."""
Ushiromiya Battler,"""..."""
Ushiromiya Maria,"""... Uu-. Va tutto bene, Battler. Se c'è Maria, andrà sicuramente tutto bene."""
,"Forse la mia faccia era oscurata dall'ansia. ... Maria afferrò con la sua piccola mano la mia, e parlò con dolcezza, nel tentativo di incoraggiarmi."
,"Siccome Rosa oba-san aveva il compito di tenere pronto il fucile e di fare la guardia, rimuovere la barricata di divani toccò a me."
,"Quando ebbi finito, lanciai uno sguardo indietro verso di lei, che teneva il fucile puntato al di sopra della mia spalla, e aprii la porta."
Ushiromiya Battler,"""Genji-san, dove sono i loro corpi...?"""
Ronoue Genji,"""... In cortile. Vi guiderò lì."""
Ushiromiya Rosa,"""Battler-kun, aspetta! Controlliamo le porte e le finestre di questa stanza, per sicurezza. Aspetta un attimo."""
,"Rosa oba-san mi disse di fermarmi per evitare che andassi avanti, e iniziò a controllare attentamente la serratura di ogni finestra."
