Speaker,Italian (Ars Magica) (Old) (ITA)
,La sagoma di Battler era nella sala da pranzo.
,"Non si sentiva di tornare alla casa degli ospiti sotto quella pioggia, e vagava debolmente nella villa alla ricerca di un posto dove potesse sedersi adeguatamente... facendo della sala da pranzo la sua roccaforte."
,Non si era neppure chiuso a chiave.
,"Pensò che forse l'assassino senza forma, o la Strega Dorata, sarebbe venuto ad ucciderlo ora che era isolato, ma non pensava più ad affrontare il colpevole."
,"Al contrario, non voleva neanche usare le serrature per bloccarlo. Voleva che quella persona venisse apertamente da lui, da davanti."
,"... Se fosse venuto l'assassino, pensò che gli avrebbe chiesto di parlargli di quei meravigliosi trucchi con le stanze chiuse come regalo di addio."
,"Se fosse venuta come strega, pensò che almeno lo avrebbe dovuto uccidere con qualche splendida magia."
,"... Tuttavia, ironicamente, nessuno dei due andò a incontrare Battler..."
,Battler aprì l'armadietto dei liquori e si godette il liquore per soddisfazione personale. Non c'era più da nessuna parte qualcuno che avrebbe avuto problemi vedendolo bere alcol.
,"Spavaldamente poggiò entrambe le gambe sulla stravagante tovaglia e assaporò quell'ottimo liquore, che probabilmente aveva un prezzo da capogiro, inclinando ogni bottiglia..."
,In quel momento... qualcuno bussò.
,Battler capì che finalmente qualcuno era venuto a salutarlo...
Ushiromiya Battler,"""He-y, non è chiuso. Chiunque tu sia, prego, entra. E per favore presentati. {n}Se sei un essere umano, ti prego di dirmi il tuo nome. Se sei Beatrice, ti prego di dirmi la taglia del tuo seno."""
Ushiromiya Battler,"""Anche se non sembra, sono ben conosciuto come ‘sommelier di tette’, lo sai?"
Ronoue Genji,"""... Sono Genji, Battler-sama."""
Ushiromiya Battler,"""... Genji-san, ho capito. ... Scusa, ma non sono interessato alla tua taglia. {n}Per favore, entra. È aperto."""
Ronoue Genji,"""... Mi voglia scusare."""
,Genji-san aprì la porta e si inchinò.
,... Quindi Genji-san era il criminale dopotutto... o forse un complice? ... Questa teoria probabilmente spiega la maggior parte dei trucchi...
Ushiromiya Battler,"""Sei venuto a darmi l'estrema unzione?"""
Ronoue Genji,"""... Niente del genere. ... Mi scuso se la sto disturbando."""
Ushiromiya Battler,"""... Ehi, ehi, dire che ti scusi senza neanche dirmi che cosa vuoi in realtà è piuttosto spaventoso. ... Cosa vuoi? Lasciami fare quel che voglio, ora che è giunta la fine."""
Ronoue Genji,"""... Battler-sama, ama l'alcol così tanto, da voler trascorrere il poco tempo che le è rimasto prima di morire bevendolo?"""
,"Quelle parole, mi colpirono... non era vero."
Ushiromiya Battler,"""... È solo che, se non lo bevo, nessuno lo farà. ... Io non conosco per niente il sapore dell'alcol..."""
Ronoue Genji,"""... Lei è proprio come il Padrone. Veramente, ha davvero ereditato il sangue del Padrone..."""
Ushiromiya Battler,"""Vuoi dire che il Nonno, quel bevitore incallito, beveva per affogare tutti i suoi problemi nell'alcol...? È la prima volta che lo sento."""
Ronoue Genji,"""... Dopo alcuni tristi incidenti, la vita del Padrone... fu completamente ridotta all'espiazione."""
Ushiromiya Battler,"""... Che cosa sai?"""
Ronoue Genji,"""... La cerimonia di Beatrice è stata completamente finita all'ottavo crepuscolo. ... Credo che ora posso dirle tutto."""
Ushiromiya Battler,"""C... Cos'hai detto...?"""
,La sbornia mi passò del tutto. Abbassai i piedi dal tavolo e ascoltai attentamente per sentire che cosa avrebbe detto Genji...
Ronoue Genji,"""Battler-sama. ... La guiderò allo studio del Padrone. ... Sarà probabilmente meglio sentire certe cose direttamente da loro."""
Ushiromiya Battler,"""Da... loro...? E-Ehi, che cosa vuoi dire con questo...!!"""
Ronoue Genji,"""... Venga, da questa parte. La guiderò io. Battler-sama."""
,"Dopo che Genji-san mi disse si seguirlo, iniziò a camminare lungo il corridoio."
,Mi feci completamente passare la sbornia e lo seguii...
,Salimmo una lunga scalinata... verso il secondo piano. Genji-san smise di camminare a metà strada. Poi si girò e parlò.
Ronoue Genji,"""... Battler-sama. ... Da qui in poi... probabilmente vedrà cose che non sarà capace di capire."""
Ushiromiya Battler,"""Non intimidirmi. ... Oggi, ho visto più cose che non riuscivo a capire di quante avrei voluto vederne."""
Ronoue Genji,"""... Ciò che vede è come appare. Ciò che sente è come sembra, quindi per favore lo accetti."""
Ronoue Genji,"""Perché? Cosa? ... Non c'è bisogno di domande come queste. ... Battler-sama, probabilmente almeno conoscerà la verità. Lascio tutto a lei, Battler-sama, se accettarlo, crederci o negarlo."""
Ushiromiya Battler,"""..."""
,Genji-san mi controllò ancora un'ultima volta per vedere se ero preparato a conoscere la verità.
,"L'ottavo crepuscolo era già finito. E al nono crepuscolo, la strega risorgerà... e nessuno sarà lasciato in vita."
,"Significa che Beatrice è già tornata in vita. ... E probabilmente, a nessuno di noi sarà permesso di vivere e tornare."
,Se devo comunque morire... almeno alla fine voglio conoscere la verità. ... Non importa quanto difficile possa essere da accettare.
Ushiromiya Battler,"""... Già. ... Anche se si mostrasse un demone o una strega... sono pronto."""
Ronoue Genji,"""... Veramente, è proprio come il Padrone nella sua gioventù. ... Battler-sama, la prego di essere diligente nei suoi studi. In futuro, avrà sicuramente grandi aspirazioni. E in quel momento, faccia in modo che non debba pentirsi per tutta la vita per via della mancanza di conoscenza."""
Ushiromiya Battler,"""... Se ne avrò l'opportunità, non ci saranno problemi."""
Ronoue Genji,"""..."""
,Sembrava come se il silenzio di Genji-san mi obbligasse a considerare più profondamente quella mia rassegnazione...
,"E... riuscimmo a vedere la porta dello studio del Nonno, impregnato con un odore dolciastro."
,Genji-san prese dalla sua tasca una chiave dorata con un elegante motivo.
,"I passepartouts erano stati confiscati da Rosa oba-san, ma la chiave di questo studio era l'unica che aveva tenuto con sé."
,La mise nella serratura... e fece il suono di un pesante clunk.
Ronoue Genji,"""... Padrone. Sono Genji. Ho portato con me Battler-sama."""
,"Non ci fu risposta, ma sembrava che fosse stato dato il permesso di entrare..."
Ronoue Genji,"""Venga, Battler-sama. ... Per favore, entri."""
Ushiromiya Battler,"""... Sì. ... Entrerò."""
,Mi preparai... e aprii la porta...
,In quel momento... fui un po' disorientato da quell'accecante bagliore dorato...
,"Era... una sorta di... sciame di farfalle, che brillavano d'oro."
,Le farfalle dorate che stavano riempiendo completamente l'interno dello studio si riversarono fuori tutte assieme...
Ushiromiya Battler,""" Che... Che cos'è... tutto questo..."""
,Erano come coriandoli di lamina dorata. L'interno dello studio del Nonno era colmo di un bagliore dorato...
,E... c'era un divano simile a quelli delle sale d'attesa di fronte alla scrivania dello studio... dove potevo vedere la schiena del Nonno.
,"C'era qualcuno di fronte a lui. ... Era un'ombra, per cui non potevo vederlo chiaramente..."
Ronoue Genji,"""... Padrone. Ho portato Battler-sama."""
Ushiromiya Kinzo,"""... Battler, eh? Sono impegnato a pensare ora... fai silenzio per un attimo..."""
,"Kinzo lo disse infelicemente, con la schiena ancora girata."
,Sembrava che si stesse divertendo a giocare a scacchi con un'ospite...
,"Apparentemente, l'avversario aveva contrattaccato con una mossa superba. Kinzo sembrava divertirsi mentre pensava attentamente, e ogni tanto rideva e gemeva..."
{f:5:Beatrice},"""Ci ho pensato per 30 anni. ... Ho pensato per 30 anni come contrattaccare questa mossa... divertiti, divertiti con questa mossa che ho perfezionato in 30 anni."""
Ushiromiya Kinzo,"""... Heheheheheheheh. Davvero, questa è una mossa perfettamente maturata. ... Divertente, divertente... *cackle*cackle*cackle*cackle*, hahahahahahaha...!! Insopportabile, insopportabile."""
Ushiromiya Battler,"""... C... Che cos'è,"" ... tutto questo..."
{f:5:Beatrice},"""Quindi sei venuto, Battler. Ti stavo aspettando da un po'. Fai silenzio per il bene di Kinzo. ... Non è troppo presto per arrendersi, Kinzo? Io posso già contrattaccare in molti modi. *cackle*cackle*cackle*...!"""
,Sarebbe dovuto essere... il mio primo incontro con quella strega.
,Tuttavia... io la conoscevo. Nonostante fosse il nostro primo incontro... io la conoscevo... per via del quadro...!
{f:5:Beatrice},"""Genji. Servi dell'alcol a Battler. Che liquore sarebbe appropriato per quest'uomo...?"""
Ronoue Genji,"""... Quel liquore che il Padrone ha amato sin dai giorni della sua giovinezza."""
{f:5:Beatrice},"""Va bene, servilo. ... Hai fatto bene a venire qui, Ushiromiya Battler. Prima di tutto, siediti."
{f:5:Beatrice},"... Hai chiamato il mio nome molte volte, no? In ossequio a ciò, ti ho permesso di venire qui. ... Quindi, cosa mi chiederai? Che cosa vuoi investigare?"
{f:5:Beatrice},"... La porta per la Terra Dorata verrà presto aperta. Presto avremo un banchetto per festeggiare la mia rinascita, nel quale sarò accolta tra le streghe. {n}Nel frattempo, risponderò alle tue domande, a tutte quelle che vuoi."""
Ushiromiya Battler,""" Io... io ho un mucchio di cose che vorrei chiederti!! Che cos'è successo su quest'isola?! E perché stanno succedendo incidenti come questi?!"
Ushiromiya Battler,"Voglio chiederti anche delle stanze chiuse!! Che mi dici della cappella?! E della stanza di Jessica?! E della stanza dei domestici?! E della stanza di Natsuhi oba-san?! E il salotto?!"""
Ushiromiya Battler,"""Ci sono anche molte altre cose che ti vorrei chiedere!! Sulla vera natura della strega!! Beatrice lo è davvero?!! Qual è il tuo scopo, che cosa vuoi farci fare, perché mi hai chiamato qui?!! Dammi una risposta, a tutto quanto!!!"""
Ushiromiya Kinzo,"""Eeeeeehhh, fa silenzio!! Pensi che otterrai risposta se lo chiedi?!?!"""
{f:5:Beatrice},"""Non dire così, Kinzo. Una fragile e fugace ragnatela protesse Re Erode una volta. ... Proprio come non ci sono cose inutili in questo mondo, non ci sono neanche domande inutili."""
{f:5:Beatrice},"""Mooolto bene, risponderò alle tue domande. ... Però, c'è soltanto una condizione."""
Ushiromiya Battler,"""Qual è?"""
{f:5:Beatrice},"""Se tu ascolti tutto e sarai capace di accettare la mia esistenza... inginocchiati e baciami i piedi. Ti ho chiamato qui perché voglio farti arrendere a me."""
