Speaker,Italian (Ars Magica) (Old) (ITA)
{f:5:Beatrice},"""Bene, allora. ... Il gioco di poco fa, è stato abbastanza piacevole?"""
{f:5:Bernkastel},"""... Un gioco che per metà va oltre qualcosa che vale la pena di vedere. È noioso."""
{f:5:Beatrice},"""*cackle*cackle*. Oh, cielo, il tuo punto di vista è duro come sempre. ... Mi stavo solo vantando del fatto che questo sviluppo fosse abbastanza avvincente da soddisfare anche Lady Bernkastel, colei che odia la noia. Che risposta aspra."""
{f:5:Bernkastel},"""... Bene, accetterò che sia stato avvincente. ... Tuttavia, era orribile come gioco pulito. Hai bisogno di condizioni per essere un po' più equilibrata"""
{f:5:Beatrice},"""... Stai dicendo che non c'è possibilità di vittoria? Persino per Lady Bernkastel? ... *cackle*cackle*."""
{f:5:Bernkastel},"""... Mi chiedo cosa intendi con ciò, Beato."""
{f:5:Beatrice},"""Non c'è bisogno di ingannarmi. Lo so già. ... Che tu non sei di passaggio."""
{f:5:Bernkastel},"""..."""
{f:5:Beatrice},"""Stavi pensando di nasconderlo? Sei una persona molto oltraggiosa per andare nel territorio di qualcun altro da una tale distanza e mettermi il bastone tra le ruote. Sei venuta per guardare da dietro le quinte, e probabilmente per premere fortemente verso la mia sconfitta. Ho indovinato, vero...?"""
{f:5:Bernkastel},"""... E se anche fosse?"""
{f:5:Beatrice},"""... *cackle*cackle*! Davvero interessante!"
{f:5:Beatrice},"Che mi debba essere concessa un'opportunità per combattere con Lady Bernkastel, la più forte delle streghe che ha sconfitto Lady Lambdadelta, è davvero un piacere!!"""
{f:5:Bernkastel},"""... Sì. Ne sono compiaciuta anch'io. Avevo davvero voglia di vederti, traboccando di confidenza, cadendo a pezzi e perdendo, così sono venuta fin qui."""
{f:5:Beatrice},"""Che persona onesta. *cackle*cackle*!!"
{f:5:Beatrice},"Anche così, sarebbe una vergogna se la sfida tra me e la grande Lady Bernkastel fosse risolta senza nemmeno un'osservatrice."""
{f:5:Bernkastel},"""... Hai chiamato lei, vero. Quella bambina."""
{f:5:Lambdadelta},"""Hoh-hoh-hoh-hoh-ho! Ti ho trovata, ti ho finalmente trovata, Bernkastel!!"""
{f:5:Bernkastel},"""... Come stai, Lambda? Sembra che anche tu abbia del tempo libero. Mi chiedo se sia destino che la coppia che odia la noia finisca per incontrarsi di nuovo...?"""
{f:5:Lambdadelta},"""Stupida. Perché non riesci a capire che l'unica ragione per cui hai vinto contro di me era per un po' di fortuna e un problema di compatibilità? Dopo ciò, sei diventata una sbruffona, e ora, stai anche cominciando una lotta con Beatrice? Non dovresti capire la tua posizione?"""
{f:5:Lambdadelta},"""*giggle*, Beatrice è forte. Ed è anche più brutale di me. Solo un po'!"""
{f:5:Lambdadelta},"""E comunque, non accorciare i nomi degli altri a Lambda!"""
{f:5:Bernkastel},"""... Anche tu sei sciocca, Beato. Se questa ragazza è nel tuo gioco, farà una confusione di tutto."""
{f:5:Beatrice},"""Non ho portato Lady Lambdadelta qui solo per guardare da dietro le quinte."
{f:5:Beatrice},"Dopo avermi informata che stavi scommettendo contro di me, mi ha detto che avrebbe scommesso contro di te."""
{f:5:Bernkastel},"""... Ce l'hai ancora con me, eh."""
{f:5:Lambdadelta},"""Hoh-hoh-hoh-ho!! Perché io sono la strega più forte dell'universo. Ma ho perso contro te quindi non sono la più forte!"
{f:5:Lambdadelta},"Quindi chiunque sia tuo nemico è mio alleato!!"""
{f:5:Beatrice},"""*cackle*cackle*! In quel caso, con la grande Lady Bernkastel come nostro avversario, può non contare come svantaggio, ma sarà perfetto come intrattenimento."""
{f:5:Bernkastel},"""... Fai come vuoi. ... Ora che sono stata esposta, permettimi di diventare seria."""
{f:5:Beatrice},"""Sarebbe meglio. ‘Giocare facile’ non è mai stato scritto nel mio dizionario. *cackle*cackle*cackle*cackle*cackle*! Lady Lambdadelta, gustiamoci la nostra preziosa relazione questa volta."""
{f:5:Lambdadelta},"""Certo, conto su di te, Lady Beatrice! Sono stata tradita terribilmente da lei. {n}A meno che noi due non la sconfiggiamo completamente e gliela facciamo pagare due volte, non riuscirò a stare ferma!!"""
{f:5:Bernkastel},"""... Conto su di te, Lambda. E Beato. ... Non importa per cosa ci battiamo, questa sarà una battaglia molto significativa per noi."""
{f:5:Lambdadelta},"""Esatto. Ovviamente, sento che non perderò, ma chi vince e chi perde sarà importante."""
{f:5:Beatrice},"""Comunque sia, noi odiamo la noia."""
,"Le tre streghe risero, ridacchiarono e sogghignarono."
{f:5:Bernkastel},"""... Giusto. Dovrei ringraziarti, Beato. Sembra che possa finalmente scappare dalla noia. Fai del tuo meglio per intrattenermi. Insieme a Lambdadelta."""
{f:5:Beatrice},"""Lascia fare a me. *cackle*cackle*...!!"""
{f:5:Lambdadelta},"""Se abbiamo finito, Beato, allora iniziamo un incontro strategico proprio ora! {n}So tutto dei punti deboli di questa ragazza, e te li insegnerò tutti!"""
