Speaker,Italian (Ars Magica) (Old) (ITA)
,"Il vaso era veramente bellissimo, ricco di storia e valore."
,"Anche se ero molto piccola, mi faceva mancare il respiro ogni volta che ne ammiravo la bellezza."
,"Ovviamente, era un pezzo della collezione preferita del Nonno."
,"Per evitare che senza volere ne distruggessi la fragile bellezza, mi veniva sempre caldamente raccomandato di non toccarlo."
,"... Tuttavia, proprio per questo motivo, mi venne voglia di toccarlo."
,Era trasparente eppure così elegante che anche una sola occhiata bastava a percepire un indescrivibile senso di grandiosità.
,... Volevo vedere cosa si provasse a toccare un vaso come quello.
,"Tuttavia... proprio come aveva detto il Nonno, era qualcosa che non si doveva toccare."
,Perché qualche cosa di così bello non andava toccato.
,Si trattava di una bellezza che poteva dimorare solo in un oggetto che poteva rompersi con grande facilità.
,"Perciò, se qualcuno come me l'avesse toccato con le proprie dita, sarebbe successo in un attimo."
,"Proprio come un sogno divertente svanisce con un ‘poof’ quando ti svegli... esso scomparve, cadde, e si ruppe in mille pezzi."
,"Compresi che, spinta dalla mia sciocca curiosità, avevo commesso qualcosa che non aveva rimedio."
,"Per quanto me ne pentissi, per quanto mi scusassi. Il vaso rotto non sarebbe mai tornato com'era..."
,"Probabilmente verrò rimproverata dal Nonno. Probabilmente, molto duramente."
,"Spaventata, mi ritrovai in lacrime e a singhiozzare..."
,"Mentre piangevo, vidi qualcosa di... meraviglioso. Farfalle dorate che danzavano leggiadre, si dirigevano verso di me."
,"Mentre dei punti dorati brillavano misteriosamente, le incantevoli farfalle cominciarono a raggrupparsi, una alla volta."
,"Oh, è Beatrice. La Strega Dorata su cui si poteva sempre contare, Beatrice, era arrivata."
,"Le farfalle si riunirono una dopo l'altra e formarono un gruppo. E lì, si trasformarono nella figura della strega..."
,"Era sempre stata la mia alleata. Ogni volta che mi trovavo nei guai, lei appariva sempre per aiutarmi."
,"""Buongiorno a lei, principessa."""
,"""Beatrice! ... Waaaah, hic, hic...!"""
,"""Oh, oh... perché sta piangendo a questo modo in una giornata tanto perfetta per un tea party, mia principessa...?"""
,"""... Ho rotto il vaso che era tanto caro al Nonno... waah, il Nonno si arrabbierà con me. ... Non so che fare... hic..."""
,"""Che pasticcio. Questo doveva essere un vaso a cui il padrone teneva molto. ... Hohohoho, persino io, Beatrice, ho paura a pensare a che punizione riceverà."""
,Il Nonno era una persona davvero spaventosa.
,"E quando non rispettavi qualcosa che aveva detto anche solo una volta, si infervorava così tanto, con una tale rabbia da far tremare anche gli angeli caduti all'inferno."
