Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Rudolf,"""Oh cielo, è un peccato che Aneki odi le sigarette così tanto."""
Ushiromiya Hideyoshi,"""Scusate. È dalla scorsa notte che è scontrosa. Vi dispiacerebbe non farci troppo caso? """
,Rudolf e Hideyoshi uscirono sul ponte e presero alcune sigarette.
,"Eva aveva da sempre odiato l'odore del fumo, ma quando era di cattivo umore ne diventava ancora più sensibile."
,"Nel momento in cui avevano deciso di spendere il tempo che mancava all'arrivo fumando con aria indifferente, erano stati minacciati e scacciati sul ponte."
,"Hideyoshi provò ad usare il suo accendino, ma fallì a causa del vento che sul ponte soffiava molto forte. Rudolf tirò fuori uno Zippo con un gesto elegante e permise ad Hideyoshi di usare la fiamma."
Ushiromiya Rudolf,"""Quando hai cominciato a fumare, Hideyoshi nii-san?"""
Ushiromiya Hideyoshi,"""Subito dopo la guerra. All'inizio io ero quello che le rollava. E dopo ho iniziato ad usare quello che stavo vendendo. Wahahahahahahaha."""
Ushiromiya Rudolf,"""Quindi già fumavi quando hai conosciuto Aneki. Scommetto che ti dice in continuazione di smettere."""
Ushiromiya Hideyoshi,"""Non le ho mai dato retta, quindi si è ormai completamente arresa. Wahaha, a quanto pare anche gli uomini hanno imparato ad essere testardi."""
,"Hideyoshi rise di cuore, mentre Rudolf trattenne la risata."
,"Dopo essere stati sgridati da Eva, erano corsi sul ponte con la coda tra le gambe. Erano senza dubbio stati dominati da lei."
Ushiromiya Hideyoshi,"""... Di solito non è così irascibile. ... No, abitualmente è una donna più gentile e tranquilla. Ogni anno, quando arriva questo giorno, lei cambia."""
Ushiromiya Rudolf,"""Davvero? A me sembra la solita Aneki che conosciamo tutti da molto tempo."""
Ushiromiya Hideyoshi,"""... Esatto. È ritornata ad essere la Eva della famiglia Ushiromiya. ... Ma è diversa dalla Eva che sta con me."""
Ushiromiya Rudolf,"""... Beh, posso capire perché è così di malumore. ... Questa conferenza di famiglia sarà un vero tormento."""
Ushiromiya Hideyoshi,"""... Già. ... Quel piano per estorcere soldi da Krauss nii-san. Sebbene la chiamiamo conferenza di famiglia, è in verità una lotta tra fratelli."""
,"Prima della conferenza, tre dei fratelli avevano fatto un contratto segreto senza Krauss."
,La situazione che li opprimeva tutti quanti era un urgente bisogno di soldi.
,"E l'unico che avrebbe potuto aiutarli era Krauss, che parlava in vece del capofamiglia, dal momento che Kinzo si era rinchiuso nel suo studio."
,"Da parecchio tempo, avevano la sensazione che Krauss stesse approfittando della perdita di interesse di Kinzo per il suo patrimonio, e che si stesse appropriando indebitamente di quel patrimonio per i suoi scopi."
,"Quando tutto andava bene ai fratelli, sebbene lo trovassero insopportabile, loro facevano semplicemente finta di non farci caso... ma ora che avevano bisogno di soldi, non potevano semplicemente accettarlo in silenzio."
,Eva aveva riunito Rudolf e Rosa in un'alleanza e avevano progettato di estorcere quei soldi da Krauss.
Ushiromiya Hideyoshi,"""... Rudolf-kun, sia tu che io siamo presidenti di una compagnia. Noi siamo responsabili per il sostentamento dei nostri impiegati."""
Ushiromiya Rudolf,"""Anche Rosa è un presidente. Beh, come passatempo."""
