Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Kinzo,"""... Allora. Come si risolverà questo gioco? ... Puoi sottometterti, e puoi opporre resistenza. ... In qualunque caso, sarà davvero un banchetto interessante su cui vale scommettere quel po' che mi resta da vivere."""
,"Nel suo studio scarsamente illuminato, rischiarato talvolta da un fulmine, Kinzo continuava a borbottare, ridendo tra sé."
,"Sul vecchio orologio dalla complessa decorazione che poggiava sulla sua scrivania, le due lancette sovrapposte si allinearono, e iniziarono a scorrere."
,"L'orologio che segnava le 24 era ritornato a 0, partendo da capo..."
Ushiromiya Kinzo,"""... Misurare il tempo è una cosa selvaggia. Si trascina per tutto il giorno fino alle 24, per poi tornare indietro a 0. ... Arriva di certo alle 23:59. Tuttavia, è mai capace di raggiungere le 24:00? ... Se credi che torni alle 0. 00 senza raggiungere quell'ora, sembra davvero inutile."""
,"No, non è la stessa cosa per la vita di una persona? Vivi, puntando a un 24 perfetto, e nell'istante in cui lo raggiungi, ritorni allo 0."
,"Le persone probabilmente loderanno il defunto, dicendo che aveva raggiunto le 24, ma che di certo non sono le 24."
,"... Dopotutto, è 0."
Ushiromiya Kinzo,"""Io sono diverso. ... Vivrò e raggiungerò le 24. È proprio quella la Terra Dorata. ... Perché è la dimora di Beatrice."""
,Kinzo stava armeggiando da un po' di tempo con dei tarocchi.
,"Sembrava che stesse cercando di predire il suo futuro in quel contesto, e lo stesse rifacendo ogni volta che non gradisse il risultato."
,La cosa proibita in assoluto nella lettura dei tarocchi era cercare di predire due volte la stessa cosa.
,"Era dissacrante per il risultato della lettura della sorte, e dissacrava inoltre l'essere al di sopra degli uomini che diventava oracolo attraverso i tarocchi."
,"Tuttavia, Kinzo sapeva."
,"La ragione per cui i tarocchi non dovevano essere usati due volte era che, dato che non erano altro che un generatore casuale di numeri, era naturale che, leggendoli due volte, sarebbe potuto apparire un risultato diverso."
,"... Per cui, interpretarli due volte era proibito solo per preservare il misticismo del risultato delle carte."
,"... In ogni caso, ciò non significava che Kinzo non prendeva sul serio la lettura dei tarocchi."
,La lettura dei tarocchi secondo Kinzo si svolgeva in maniera completamente differente.
,"Ovvero continuare a ripetere la lettura senza arrendersi minimamente, fino a raggiungere il risultato a lui più favorevole."
,"Quale fosse il risultato migliore dipende dalla definizione, ma qualora domandasse il risultato migliore in senso stretto, era esattamente come una semplice roulette, in cui cercava il miracolo aritmetico."
,"... Tuttavia, per Kinzo, che faceva dei miracoli dei numeri la base del suo potere magico, questo poteva quasi essere come un rituale magico."
,"In altre parole, finché il risultato da lui desiderato non si fosse perfettamente manifestato, avrebbe insistito nel ripetere la lettura dei tarocchi, con convinzione, trasformando le sensazioni nel suo cuore in una preghiera, così che raggiungendo il cielo, il risultato sarebbe stato sublimato. Questa era l'interpretazione personale di Kinzo sulla magia."
,"Quindi, anche se i tarocchi usati da Kinzo erano come tutti gli altri, il modo in cui erano usati era totalmente diverso..."
Ushiromiya Kinzo,"""... Questa notte... non andrà come ho pensato."""
,Kinzo fermò la sua mano per un istante.
,... Sembrava che non si fosse giunti al risultato che si aspettava.
,"Al contrario, molte brutte carte che non dovrebbero apparire apparivano in continuazione, e continuavano a interferire col miracolo che Kinzo desiderava."
Ushiromiya Kinzo,"""... Hmph. ... È così allora?"""
,Sembrava che Kinzo avesse avuto un oracolo diverso dal normale.
,"Giudicando dalle carte di cattivo augurio sparse sulla scrivania, era difficile immaginare che l'esito fosse positivo..."
,"Per un attimo, Kinzo chiuse gli occhi, riflettendo su qualcosa."
,"Quindi, al fragore del tuono, prese una decisione su qualcosa, raggiunse il telefono e compose un numero."
Ushiromiya Kinzo,"""... Sono io. C'è Genji? È urgente."""
Shannon,"""... Haah."""
,"Di fronte all'ingresso, il volto arrossato di Shannon riprese il suo colorito a causa del freddo."
,... Aveva pensato... che prima o poi George le si sarebbe proposto di sicuro.
,Non era che il suo cuore non era pronto. E aveva annuito come per rispondere.
,Era stata avventata a causa della sua giovinezza? Avrebbe dovuto pensare più seriamente al suo futuro?
,Mi domando se stia pensando che sono una poco di buono per aver risposto subito.
,... Sarei stata capace di dare l'impressione di averci pensato più seriamente se avessi aspettato fino a domani mattina?
,"Ora che aveva già ricevuto l'anello da George, Shannon continuava ad agitarsi imbarazzata. Avrei dovuto fare questo, avrei dovuto fare quello."
,"Nel mentre, sentì il suono di passi nelle pozzanghere."
,Shannon scacciò immediatamente le emozioni che le si annidavano dentro.
