Speaker,Italian (Ars Magica) (Old) (ITA)
,Il vero nemico di un assedio non è la paura dei nemici che non si vedono. {n}È probabilmente il riuscire a resistere e andare avanti per un lungo periodo di tempo.
,"Maria si era annoiata e aveva iniziato a fare i capricci perché voleva vedere la TV. Dato che nella hall non ce n'era una, decidemmo di tornare nella stanza dei cugini al secondo piano."
,Probabilmente si aspettavano che non avremmo lasciato andare Maria tutta da sola. Gli adulti dissero a tutti i ragazzi di andare nella stanza dei cugini al secondo piano.
,"George, il cui cuore era straziato dalla perdita della persona con cui era fidanzato, condusse i cugini al secondo piano senza resistenza alcuna."
,"All'inizio, Nanjo stava leggendo un libro nell'atrio, ma quando si accorse che i parenti sembravano voler parlare di qualcosa di sinistro, disse ‘sembra che io sia di troppo’ e tornò nella sua stanza al secondo piano."
Ushiromiya Rudolf,"""... Muoio di fame. Se si stiamo seduti e basta, ci verrà ancora più sonno."""
Ushiromiya Rosa,"""Logico. Non abbiamo dormito la scorsa notte."""
Ushiromiya Krauss,"""... Probabilmente finiremo col barricarci qui per tutte le 24 ore. Sarebbe più saggio fare dei turni per dormire piuttosto che continuare a stressarci."""
Ushiromiya Natsuhi,"""Giusto. Mio marito e io saremo qui, perciò chiunque abbia problemi dovrebbe riposarsi senza strafare."""
Ushiromiya Eva,"""Il nostro avversario potrebbe star aspettando ciò, giusto? Dato che non può sconfiggere così tante persone, se il numeri si riducesse di una certa quantità, potrebbe progettare di usarlo a suo vantaggio."""
Ushiromiya Kyrie,"""Ci sono sette di noi qui. Potremmo fare turni di tre ore in coppia. ... Sarà lunga fino a domani. Abbiamo ancora energia, ma stanotte sarà dura."""
Ushiromiya Hideyoshi,"""Lo sarà di certo. Qualcuno ha sonno? Non strafate e riposate."""
,"Hideyoshi si guardò attorno per vedere chi voleva dormire per primo, ma nessuno si offrì volontario."
,"... Erano tutti ugualmente stanchi, ma nessuno si sentiva abbastanza spavaldo da dormire ora. ... La loro paura del colpevole sconosciuto era forte quando il loro sonno."
Ushiromiya Hideyoshi,"""... Nessuno? Beh, non strafate, voi tutti."""
Ushiromiya Eva,"""Se ci stancassimo, allora potremmo pensarci. ... Io lo sono sicuramente, ma ora non sono dell'umore adatto."""
,"Come Eva parlò bruscamente, ricordò a tutti la seconda lettera di Beatrice, che era stata trovata nel locale caldaia."
,"Beatrice aveva mandato loro due lettere, e aveva ripetutamente detto loro di risolvere l'enigma dell'epigrafe."
,E li aveva provocati dicendo che avrebbe dato i suoi beni e la sua eredità se fosse stato risolto...
,Eva prese un quaderno e lo aprì alla pagina con l'epigrafe copiata su di essa.
Ushiromiya Kyrie,"""... È l'epigrafe?"""
Ushiromiya Eva,"""Sì. ... Nonostante sia fastidioso fare quello che dice il colpevole. Dopotutto, abbiamo tempo da perdere. Penso sia il modo perfetto per scacciar via la noia."""
Ushiromiya Krauss,"""... Non un cattivo modo per ammazzare il tempo. Perché non facciamo una sfida insieme come fratelli?"""
Ushiromiya Kyrie,"""... Posso prenderlo in prestito? Lo riscriverò un po' più in grande. {n}Natsuhi-san, hai un foglio di carta un po' più largo?"""
Ushiromiya Natsuhi,"""Ci dovrebbero essere dei fogli nella stanza dei domestici. Ne porterò qualcuno."""
,Natsuhi immediatamente portò un foglio B4 bianco dalla stanza dei domestici.
,"Kyrie prese in prestito il quaderno di Eva, trascrisse l'epigrafe sul foglio, e la poggiò sul tavolo."
,"Poi, tutti lo scrutarono subito. ... Automaticamente si riunirono tutti attorno."
Ushiromiya Hideyoshi,"""L'avevo sentito, ma... davvero, è un enigma difficile. Non ho la più pallida idea di cosa voglia dire."""
Ushiromiya Rosa,"""Ad un certo punto, anche io feci del mio meglio per provare a risolverlo, ma senza risultati."""
Ushiromiya Rudolf,"""Se ci fossi riuscita, non saresti venuta fin qui con un piano per far soldi. {n}Dopotutto, son 10 tonnellate d'oro."""
Ushiromiya Kyrie,"""... Questa è la prima volta che lo leggo seriamente, ma... grossomodo, non può essere divisa in tre parti?"""
Ushiromiya Krauss,"""... Ci stavo pensando dalla scorsa notte, ma tu sei davvero brava a pensare, Kyrie-san. È possibile che tu possa facilmente risolvere questo rompicapo che noi abbiamo fallito."""
Ushiromiya Rudolf,"""Già. Kyrie è acuta. ... Potrebbe essere capace di affrontare il problema in una maniera interessante senza strani preconcetti."""
Ushiromiya Eva,"""... Giusto. Kyrie-san. Potresti dirci apertamente cosa ne pensi dopo aver letto l'epigrafe?"""
Ushiromiya Kyrie,"""Credo che probabilmente non vi sarà molto utile. Mi state dando troppa importanza."""
Ushiromiya Rudolf,"""No, qualunque cosa venga in mente potrebbe essere utile. Sentiamo ciò che hai da dire. ... Perché i tuoi indizi mi aiutano sempre quando sono preoccupato."""
Ushiromiya Kyrie,"""Oh, quindi sono utili? È carino sentirmelo finalmente dire."""
Ushiromiya Rudolf,"""Daiiiiiiiii, non ti ringrazio ogni volta?"""
Ushiromiya Rosa,"""Voi due siete davvero intimi. Sono gelosa."""
Ushiromiya Eva,"""E anche a tutti noi altri piacerebbe accettare i tuoi suggerimenti. Va tutto bene, stiamo solamente ammazzando il tempo, perché non rilassarsi?"""
,Kyrie fu disturbata dall'essere lodata per qualcosa di così strano.
,"... Ma avevano tanto tempo. Capì che era solo una maniera per passarne un po', e decise di accettare quel ruolo..."
Ushiromiya Kyrie,"""... Sono sicura che dirò qualcosa fuori luogo, ma... beh, esporrò le mie idee."""
Ushiromiya Krauss,"""Hmm. ... Che cosa volevi dire all'inizio, su come, grossomodo, potesse essere diviso in tre parti?"""
Ushiromiya Kyrie,"Beh... volevo semplicemente dire ciò che ho detto. {n}Credo che complessivamente, l'epigrafe possa essere divisa in tre parti."
Ushiromiya Kyrie,"Prima di tutto, ci sono le 5 frasi fino a ‘Lì riposa la chiave per l'oro’. {n}Fino a quel punto c'è la prima parte, che indica l'ubicazione della chiave."
Ushiromiya Kyrie,"E poi c'è la parte formata dalle 11 frasi fino al decimo crepuscolo, che si riferisce all'ubicazione della Terra Dorata."
Ushiromiya Kyrie,E le rimanenti sei frasi costituiscono la parte dopo che è stata raggiunta la Terra Dorata.
Ushiromiya Natsuhi,"""Capisco. Può essere diviso in tre parti sulla chiave, sulla Terra Dorata, e sul suo tesoro."""
Ushiromiya Krauss,"""Anche noi eravamo arrivati ad una cosa del genere. Le tre sezioni che si riferiscono alla chiave, alla porta, e al tesoro."""
Ushiromiya Eva,"""... Nii-san, non intrometterti più di quanto devi! Lascia dire a Kyrie-san le sue idee liberamente."""
Ushiromiya Rudolf,"""Kyrie. Continua per favore. ... Riconosciamo anche noi la stessa cosa per quanto riguarda ciò che hai detto. Quindi?"""
Ushiromiya Kyrie,"""... Mi chiedo cosa significhi questo all'inizio, la ‘amata terra natia’. Pensandoci normalmente, si dovrebbe riferire alla terra natale del Nonno?"
Ushiromiya Kyrie,"Dato che si è preso la briga di dirci che è quella amata, posso immaginare che sia una terra natale a cui pensa molto profondamente. ... Nostro Padre non proviene da Odawara?"""
Ushiromiya Eva,"""... Odawara è di sicuro dove è nato, ma non credo che la ‘terra natia’ che lui ami sia Odawara. Credo che tutti noi fratelli stiamo pensando allo stesso posto."""
Ushiromiya Rosa,"""... Già. Probabilmente non è Odawara. Da quello che ho sentito, ha avuto dei momenti davvero divertenti da giovane."""
Ushiromiya Rudolf,"""Hahhaha. ... La più grande sventura di nostro Padre in vita sua fu probabilmente quello di essere eletto capofamiglia degli Ushiromiya."""
Ushiromiya Krauss,"""... Probabilmente. Lui non lo voleva davvero diventare."""
Ushiromiya Kyrie,"""Quindi dov'è? E c'è un fiume dove nuotano gli ayu?"""
Ushiromiya Eva,"""... Forse ve ne erano a quel tempo. Ma ora, ci sono un sacco di strutture, e gli ayu potrebbero essere spariti. Sarebbe estremamente difficile investigare se c'erano o meno durante il periodo in cui il Nonno era un ragazzo."""
Ushiromiya Krauss,"""Non c'è un singolo fiume, giusto? Credo che tutti abbiamo esaminato in senso geografico. ... Tu sei persino andata nel posto reale per investigare direttamente, giusto Eva?"""
Ushiromiya Eva,"""Quella fu solo una vacanza. ... Ma il paesaggio urbano era cambiato completamente dal periodo di nostro Padre. Dopotutto, fu raggiunto dalla guerra, no? Era impossibile persino immaginare dove nostro Padre sia vissuto veramente. ... Probabilmente, anche se venisse portato nell'ubicazione attuale, ora come ora, persino lui non sarebbe capace di determinare dove è vissuto."""
Ushiromiya Rudolf,"""Perché quel posto ha avuto una notevole ripresa..."""
Ushiromiya Kyrie,"""... Dopo aver sentito del fiume di ayu, vi viene in mente qualche nome di posto?"""
Ushiromiya Rudolf,"""Beh, chissà. Dopotutto, sono degli ayu giusto? La gente dice che vivono in fiumi dall'acqua pulita, quindi ce ne sarebbero infiniti da indovinare. Qualsiasi corrente che nostro Padre ha usato per pescare probabilmente sarà stata sepolta poi dalle costruzioni. Sarebbe diverso se avessimo una mappa antecedente alla guerra, o una persona che conoscesse molto l'area prima della guerra, ma..."""
Ushiromiya Kyrie,"""... Probabilmente non è una cosa del genere."""
Ushiromiya Krauss,"""Che vuoi dire...?"""
Ushiromiya Kyrie,"""... La mia amata terra natia, il fiume di ayu che vi scorre attraverso. Tu che cerchi la Terra Dorata, segui il suo corso verso la foce e cerca la chiave. {n}Dopo queste due righe, ce ne è una singola vuota."
Ushiromiya Kyrie,"... Qualcosa è stato presentato semplicemente con queste due frasi. E se le prossime tre continuano basate su quel qualcosa?"""
Ushiromiya Hideyoshi,"""Che cosa vuoi dire, qualcosa è stato presentato...?"""
Ushiromiya Kyrie,"""... Non lo so. Ad ogni modo, queste due righe non sono vaghe riguardo al fiume, come se non si sapesse quale fosse. Specifica chiaramente questo ‘fiume’."
Ushiromiya Kyrie,"... Forse questo non è un ‘fiume’ con acqua che vi scorre. ... Il ‘fiume di ayu’ può essere un qualche tipo di metafora. ... Che tipo di immagine evoca la parola ayu?"""
Ushiromiya Hideyoshi,"""... Gli ayu sono come i salmoni. Sono pesci d'acqua dolce, ma vanno fino all'oceano dopo che sono nati. E quando crescono, ritornano al fiume per vivere lì, e poi depongono le uova e terminano lì la loro vita."
Ushiromiya Hideyoshi,"Beh, loro lasciano la loro casa ad un certo punto, ma quando diventano grandi e ritornano per deporre le uova, questo può evocare un tipo di immagine della prosperità di una famiglia."""
Ushiromiya Rudolf,"""Hmm. Sono pesci d'acqua dolce, ma possono vivere nell'oceano? {n}Non lo sapevo. Pensavo che essendo pesci di fiume, non potessero andare in mare."""
Ushiromiya Natsuhi,"""E sono chiamati ayu perché hanno un aroma piacevole. Non ne ho mai mangiato uno, ma ho sentito che sono deliziosi se grigliati col sale."""
Ushiromiya Hideyoshi,"""Whoa, Natsuhi-san! Non hai mangiato ayu alla griglia?! Sono deliziosi! Dovresti provarli il prima possibile!"""
Ushiromiya Krauss,"""È cibo per la gente comune. Non è appropriato per la tua bocca."""
Ushiromiya Rosa,"""... Questa è solo una mia idea stupida... ma l'immagine che mi viene in mente da un fiume di ayu è quella di un albero genealogico. Gli ayu vanno per un periodo nell'oceano, ma ritornano al fiume dove sono nati per deporre le uova, giusto? ... Mi fa pensare a me stessa."""
Ushiromiya Eva,"""Hai ragione. A questo punto, posso confessare che ho a volte avuto sospetti che si riferisse a te e Maria-chan."""
Ushiromiya Krauss,"""Capisco. ... Se segui il fiume verso la foce, vedrai un villaggio. Se segui l'albero genealogico cercando un villaggio, quello che si trova è il nome di Maria ({p:0:真里亞}), che ha un carattere ‘{p:0:里}’ (villaggio) in esso."""
Ushiromiya Rosa,"""Non è forse corretto?! ... Ma come tutti sapete, a nostro Padre non piace Maria, e non ci ha quasi mai parlato."
Ushiromiya Rosa,"E, in passato, mi disse di dare a Maria un nome completamente diverso. {n}L'ho cambiato di mia volontà. Nostro Padre si arrabbiò molto a tal proposito."
Ushiromiya Rosa,"... Se pensate a questi dettagli, è molto difficile immaginare che si riferisse al nome di Maria nella sua preziosa epigrafe che riguardava chi avrebbe ottenuto i suoi beni e la sua eredità."""
Ushiromiya Kyrie,"""Hai mai lasciato leggere l'epigrafe a Maria-chan?"""
Ushiromiya Rosa,"""Uh, sì, ovvio. Ma sembrava che non ne avesse la più pallida idea. ... Non sapeva niente, e continuava con quella roba occulta, su come fosse una cerimonia di resurrezione per la strega."""
Ushiromiya Krauss,"""... Un collegamento tra nostro Padre e Maria. ... Certamente, condividono quella passione per l'occulto, ma non hanno mai interagito. ... Neanche io riesco a immaginare che si riferisca a lei."""
Ushiromiya Kyrie,"""... Quello che mi preoccupa è che si è preso la briga di aggiungere la parola ‘amata’ all'inizio. ... Come avete appena detto, se lui era riluttante sul diventare capofamiglia Ushiromiya, avrebbe bramato una cosa del genere? ... Non penso sia Odawara, che riconduce al capofamiglia degli Ushiromiya."
Ushiromiya Kyrie,"... Credo che questa parola ‘amata’ qui all'inizio si riferisca ad un posto pieno di ricordi molto importanti per nostro Padre."""
Ushiromiya Rudolf,"""... Hmmmmmm. ... Beh, sì. Sarebbe difficile da localizzare dato che non sappiamo niente sulla mappa di quel periodo, ma ad ogni modo, ci sono probabilmente molti fiumi dove nuotano gli ayu vicino alla terra natia di nostro Padre durante la sua gioventù."""
Ushiromiya Eva,"""Questo è se fosse un fiume con acqua che vi scorre, giusto? E poi? Continua, Kyrie-san."""
Ushiromiya Kyrie,"""... Non riesco davvero a capire le tre righe che iniziano con ‘Seguendone il percorso, vedrai un villaggio’. ... Probabilmente è legato alle due frasi sul fiume di ayu."
Ushiromiya Kyrie,"Probabilmente è qualcosa che avremmo automaticamente capito se sapessimo cosa è davvero il fiume di ayu. ... Fino a quando non lo capiamo, è probabilmente inutile provare a risolvere queste tre righe ulteriormente."""
Ushiromiya Rudolf,"""Quindi lo tralasciamo fino a quando non sappiamo cosa sia il ‘fiume di ayu’... {n}E non c'è neanche garanzia che intenda letteralmente un fiume."
