Speaker,Italian (Ars Magica) (Old) (ITA)
,Rosa tornò in salotto.
,"Era ancora il suo turno di riposo, ma la sua espressione faceva capire che non poteva dormire come si deve con tutta quella tensione."
Ushiromiya Rudolf,"""... Rilassati e stenditi un po'. Di questo passo si farà sempre più dura."""
Ushiromiya Rosa,"""Grazie per la premura. È solo che non posso dormire. ... Mi basterà fare una doccia. Il prossimo può riposare."""
Ushiromiya Natsuhi,"""Che mi dite di voi, Kyrie-san? Rudolf-san?"""
Ushiromiya Kyrie,"""... Cosa facciamo, Rudolf-san? Riposiamo?"""
Ushiromiya Rudolf,"""Puoi dormire. Rimarrò in piedi. È l'unica cosa da uomo che posso fare in questo momento."""
Ushiromiya Kyrie,"""Allora rimarrò sveglia. Restare in piedi con mio marito è l'unica cosa da donna che posso fare in questo momento."""
Ushiromiya Natsuhi,"""... *giggle*. Voi due andate davvero d'accordo."""
Ushiromiya Kyrie,"""Detto da te. *giggle*."""
Ushiromiya Krauss,"""Sembra che Eva e Hideyoshi-san siano crollati dal sonno. A differenza di Rosa, non possano far nulla contro l'età."""
,"Come risposta a queste parole, la porta della sala si aprì."
,Eva e Hideyoshi tornarono dalla stanza degli ospiti.
Ushiromiya Eva,"""Non sono affari tuoi. ... Oh, Rosa, stai ancora bene nonostante tu non abbia dormito?"""
Ushiromiya Rosa,"""Dovrei chiedertelo io, Nee-san. Perché non ti rilassi e riposi un po'?"""
Ushiromiya Eva,"""... Proprio non riesco a dormire. Dopo aver fatto una doccia, mi è passato il sonno. Rudolf, Kyrie-san, potete dormire se volete."""
Ushiromiya Rudolf,"""Certo, grazie. Beh, apprezzo le buone intenzioni. Perché non vai prima tu, Aniki?"""
Ushiromiya Krauss,"""Sei generoso. Ma non posso andare per primo. È il massimo che posso fare come fratello maggiore."""
Ushiromiya Natsuhi,"""Non preoccupatevi, noi due rimarremo svegli fino alla fine."""
Ushiromiya Kyrie,"""... *giggle*. ... Ma soprattutto, Eva nee-san, stai bene? Mi sembri pallida."""
Ushiromiya Hideyoshi,"""... Ora che ci penso, hai ragione. ... Hmmm? Magari è un po' di febbre?"""
,Hideyoshi poggiò la sua mano sulla fronte di Eva. ... Sembrava che Eva non si sentisse benissimo.
Ushiromiya Rudolf,"""Non c'è nemmeno bisogno di dirlo. ... È perché hai stravolto la routine quotidiana alla tua età. ... È un raffreddore?"""
Ushiromiya Krauss,"""... Natsuhi. Potresti far scendere il dottor Nanjo?"""
Ushiromiya Natsuhi,"""S-Sì."""
Ushiromiya Eva,"""... Sto bene, non dovete farne una tragedia. Se prendo delle medicine, starò bene. ... Quando sono stanca tende a salirmi la febbre. Non preoccupatevi."""
Ushiromiya Rosa,"""... Nee-san, rilassati, va bene?"""
