Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Krauss,"""... Certamente, il corpo non può resistere con niente più di una piccola colazione, ma..."""
Ushiromiya Rudolf,"""Ovviamente, noi capiamo. Inoltre, come il tempo passa, si fa sempre più scuro. Ora probabilmente c'è più luce. È il momento più conveniente."""
Ushiromiya Natsuhi,"""È passata solo un'ora da quando Rosa-san è stata attaccata. È semplicemente troppo sconsiderato...!"""
,Era solo naturale che Natsuhi stesse urlando per quell'azione sconsiderata. ... Dato che Rudolf aveva detto che sarebbe andato alla villa a prendere del cibo.
,"Certamente, a causa della loro stanchezza, la loro fame li stava tormentando."
,"All'inizio, potevano combatterla a causa della loro sonnolenza. Tuttavia, ora le loro menti si erano annebbiate, dato che era ancora solo mezzogiorno e i loro corpi sentivano come se avessero raggiunto il loro limite."
,Il pensiero di andare alla cucina della villa e tornare con del cibo era di sicuro allettante.
Ushiromiya Natsuhi,"""Sono contraria. Può essere dura, ma di certo non dovremmo lasciare questo posto."""
Ushiromiya Krauss,"""... Stiamo bene. Ma mi addolorerebbe lasciare i ragazzi affamati... devo portare avanti le mie responsabilità di genitore."""
Ushiromiya Natsuhi,"""C-Caro...! Ora che nostro Padre è morto, tu sei il capofamiglia Ushiromiya. Non è ammissibile che tu corra un simile pericolo...!"""
Ushiromiya Kyrie,"""... Hai ragione. È come dice Natsuhi-san. Krauss-san, dovresti rimanere qua come leader."""
Ushiromiya Krauss,"""... Allora, chi andrà alla villa?"""
Ushiromiya Rudolf,"""Penso che dovremmo andare Kyrie e io, e anche Hideyoshi-san. Hideyoshi-san e io abbiamo i fucili. Non saranno capaci di metterci le mani addosso tanto facilmente."""
Ushiromiya Natsuhi,"""Anche Rosa-san aveva un fucile, ma è stata attaccata. ... Non è pericoloso?"""
Ushiromiya Rudolf,"""... Quando sono uscito per controllare Rosa e Maria-chan, ero l'unico che aveva una pistola. Ma non sono stato attaccato. ... Forse sono cauti se il loro avversario è un uomo."""
Ushiromiya Kyrie,"""Due uomini. E anche due fucili. Questi due faranno da guardia, e io spingerò il carrello coi viveri. Credo che la situazione sarà completamente diversa da quella di Rosa-san."""
Ushiromiya Hideyoshi,"""Se mi stai contando come uomo, sarò felice di aiutare. Non sembra, ma il mio corpo è in ottima forma per spingere un carrello. Lasciate a me le cose pesanti!"""
Ushiromiya Kyrie,"""Andrà tutto bene se gli uomini si dedicano alla protezione. C'è un carrello pieghevole nella stanza dei domestici, quindi usando quello, dovrei essere capace di trasportare il cibo."
Ushiromiya Kyrie,"... Ovviamente, staremo attenti. E se avremo successo in questa missione anche solo una volta, non ci sarà bisogno per noi di prendere altri rischi."""
Ushiromiya Natsuhi,"""... Non c'è modo per farvi cambiare idea? Può essere doloroso per tutti avere a che fare con uno stomaco vuoto... ma anche così, non sappiamo cosa stia succedendo ora fuori..."""
Ushiromiya Hideyoshi,"""Staremo attenti. ... Ed Eva si sente dannatamente male adesso. Non possiamo lasciarla affamata. A stomaco vuoto, non può prendere la sua medicina. Devo uscire fuori anche per il bene di Eva."""
Ushiromiya Krauss,"""Come sta Eva?"""
Ushiromiya Hideyoshi,"""Sembra che sia finalmente andata a dormire. ... Ha una febbre alta. {n}Se la lasciamo stare così..."""
Ushiromiya Krauss,"""... Non si può stare fermi quando si tratta della salute di tua moglie... ho capito. Vi do il permesso di uscire fuori."""
Ushiromiya Rudolf,"""Allora, ci faremo un viaggetto lì e torniamo. Una gara di velocità. Il cibo in scatola va bene, giusto? Avete almeno un apriscatole qui?"""
Ushiromiya Natsuhi,"""S-Sì. Abbiamo un apriscatole e un apribottiglie..."""
Ushiromiya Kyrie,"""C'è acqua corrente nella casa degli ospiti, quindi non abbiamo bisogno di niente da bere. Ce n'è per dieci persone, quindi non c'è bisogno di lamentarsi."""
Ushiromiya Hideyoshi,"""Va bene! Perché non corriamo fuori e torniamo in fretta? Non c'è tempo di aprire gli ombrelli...!"""
Ushiromiya Rudolf,"""Quindi, Aniki. Ti affido il compito di vegliare su questo posto."""
Ushiromiya Krauss,"""... Abbiate cura. ... In circostanze normali, vorrei venire anche io. ... Essendo un uomo, disprezzo il titolo di fratello maggiore che mi impedisce di dare una mano in una emergenza come questa."""
Ushiromiya Rudolf,"""Questa sarà più o meno l'unica volta che ci metteremo in mostra. Siediti e rilassati per una volta, Aniki. Va bene, Natsuhi-san. Aspetta qui e prepara qualche asciugamano o qualcosa di simile. Non useremo gli ombrelli, quindi saremo fradici fino al midollo quando torneremo."""
Ushiromiya Natsuhi,"""H-Ho capito. ... siate prudenti."""
,"Rudolf, Kyrie, e Hideyoshi, ognuno lasciandosi dietro parole coraggiose, lasciarono l'atrio..."
,"Paragonato a quando Rosa e Maria erano uscite, i venti soffiavano ancora più forti."
,"Il gruppo di Rudolf di tre persone avanzava correndo attraverso il roseto senza ombrelli, tenendo le loro pistole e il carrello."
,"Se tutto fosse stato calmo e tranquillo senza vento e pioggia, probabilmente avrebbero tenuto gli occhi aperti e si sarebbero spostati con cautela."
,"Ma in questa pioggia, anche se qualche persona sospetta si stesse nascondendo lì vicino, sarebbe stato difficile accorgersene."
,"Perciò, il piano di Rudolf consisteva nel correre attraverso l'area pericolosa."
,"... Nel caso il loro nemico fosse stato armato di fucile, allora camminare lentamente con la guardia alzata li avrebbe solamente resi un bersaglio facile."
,Era probabilmente corretto optare per un'azione rapida.
Ushiromiya Hideyoshi,"""... Il roseto. È come se stessimo chiedendo di essere attaccati...!"""
Ushiromiya Rudolf,"""Per favore, non far uscire nessuno da lì..."""
,"Anche mentre Rudolf e Hideyoshi continuavano a correre, si guardavano intorno senza sosta, attenti a ciò che li circondava."
,"La morte di Rosa e Maria non era stata causata da un proiettile. ... Tuttavia, era facile sospettare che i domestici fossero stati uccisi in quella maniera."
,Sbucherà fuori dall'oscurità? O prenderà attentamente la mira e sparerà dall'ombra?
,"... In ogni caso, non poterono rilassarsi nemmeno per un istante."
,"Ma anche così, quando raggiunsero la sporgenza di fronte all'entrata della villa e sfuggirono alle gocce di pioggia, sentirono di poter tirare un sospiro di sollievo."
Ushiromiya Hideyoshi,"""Nessun problema per la prima parte. ... A differenza di Rosa-san. Forse non possono metterci le mani addosso così facilmente."""
Ushiromiya Rudolf,"""Mi piacerebbe crederlo. Kyrie, sblocca la porta mentre controlliamo."""
Ushiromiya Kyrie,"""Certo. Ritornare alla villa con un paio di agenti di sicurezza mi fa sentire come una dirigente importante."""
Ushiromiya Hideyoshi,"""Wahahahaha. Se avessimo una festa di benvenuto fatta dai domestici col tappeto rosso, sarebbe perfetto."""
Ushiromiya Rudolf,"""Una festa di benvenuto, dici... non si sa mai. Stiamo attenti."""
,"Mentre i due controllavano attentamente ciò che li circondava, Kyrie sbloccò l'entrata con il passepartout che le era stato dato."
Ushiromiya Kyrie,"""È aperto."""
Ushiromiya Rudolf,"""Hideyoshi-san. Puoi andare davanti? io vi terrò d'occhio da dietro."""
Ushiromiya Hideyoshi,"""Ho capito. Kyrie-san, prova a non muoverti dalla mia ombra. ... Va bene, irrompiamo!"""
Ushiromiya Rudolf,"""Retroguardia, ricevuto. Copertura...!"""
Ushiromiya Kyrie,"""... Ah, gli uomini. Stai giocando anche in una situazione come questa, vero?"""
Ushiromiya Rudolf,"""Lascia perdere, gli uomini sono fatti così. ... Ma ragazzi, c'è ancora una puzza terribile."""
,... Era come se l'aria nella villa fosse stagnante con un cupo silenzio.
,"Inoltre, era ancora pregna della puzza del cadavere bruciato di Kinzo nel locale caldaia, e loro furono presi da un incontrollabile desiderio di lasciare la villa."
Ushiromiya Hideyoshi,"""Nessun problema da davanti. Facciamo solo un piccolo scatto fino in cucina."""
Ushiromiya Rudolf,"""Finiamola in fretta e torniamo a casa. Questo abito si impregnerà della puzza di Papà."""
,Loro tre corsero verso la cucina...
,E dopo che sparirono dall'ingresso... la nuova strega si mostrò lì.
{f:5:Eva Beatrice},"""Sono stati attirati fuori come secondo i piani. ... Come secondo i piani, sono caduti nella mia trappola."""
,La strega sogghignò.
,"... Pensandoci ora, non importa quando fosse diventata insopportabile la loro fame, erano passate solo poche ore da quando Rosa e Maria erano state attaccate e avevano perso le loro vite."
,"In questo caso, che bisogno c'era di lasciare così avventatamente la casa degli ospiti...?"
,"Affrontando questa domanda, l'unica risposta era che fossero stati chiamati fuori dalla magia della strega..."
{f:5:Eva Beatrice},"""Che persone incoscienti. ... Non lasceranno mai vivi questa villa. Chiuditi, serrati. Villa!"""
,Nell'istante in cui lo annunciò...
,La villa fu sigillata in un mondo separato.
,"... A meno che la sua barriera non venga rotta, nessuno può uscire o entrare da questa dimora."
Ronove,"""... Spettacolare. E pensare che è trascorso a stento mezza giornata da quando è succeduta come Strega dell'Infinito, può usare così bene la magia. ... Questo talento mi sorprende. È quasi come se lei fosse nata come strega."""
{f:5:Eva Beatrice},"""Beh, lo sono dal momento in cui sono nata. ... Chi ti insegna come battere gli occhi? Usare la magia è per me la stessa identica cosa."""
Ronove,"""... Una persona terribile."""
,Il volto della strega si ritorse con brutalità. ... Non poteva proprio attendere di giocare di nuovo con la vita di qualcuno.
{f:5:Eva Beatrice},"""Bene allora... gehehehehhihhihihihihihihyahya! I primi sono Rudolf e Kyrie, ma in che modo crudele dovrei ucciderli...?!"""
Ronove,"""... Se mi vuole scusare, l'onorevole Predecessora ha lasciato istruzioni che lei si debba trattenere da commettere omicidi di crudeltà superflua. Inoltre, c'è un cerimoniale per offrire i sacrifici dal quarto crepuscolo in poi. Per questo, lei deve prendere in prestito il potere delle Sette Sorelle del Purgatorio."""
{f:5:Eva Beatrice},"""... Oh, davvero? Ora che me lo fai notare, hai ragione. Potevo solo giocare quanto volevo nel secondo crepuscolo. ... Noioso. Proprio quando pensavo di poter giocare per accontentare il mio cuore proprio come ho fatto con Rosa. ... Tuttavia, quello si riferisce al modo in cui loro sono uccisi alla fine, giusto?"""
Ronove,"""Sì, è come dice..."""
{f:5:Eva Beatrice},"""Quindi posso semplicemente ucciderli quanto voglio in continuazione, resuscitarli, e seguire l'epigrafe l'ultima volta che gli uccido, giusto?"
{f:5:Eva Beatrice},"... Quindi, alla fine, non importa quanto io giochi non è un problema. ... Chi si comporterebbe bene con un interessante potere come questo...?! Kuhhihihihihihihi!"""
,"La sua invettiva era, per una Strega dell'Infinito, un ragionamento estremamente valido. La cerimonia che decideva lo stile di uccisione per i sacrifici dal quarto crepuscolo in poi era rappresentato da cose come ‘perfora la testa’."
,"Tuttavia, si riferiva solo al modo in cui morivano alla fine."
,"In altre parole... nel processo che conduceva ad esso, lei era libera di molestarli e ucciderli come voleva."
,"Avrebbe solo dovuto continuare a riportarli in vita, e seguire le regole solo quando li avrebbe uccisi per l'ultima volta."
,"Nonostante Ronove sentisse che la sua crudeltà innocente era un frammento del suo talento come strega, stava iniziando a notare in lei un lato brutale."
Ronove,"""... Dicono che le apprendiste sono le più brutali fra le streghe, e ora vedo che potrebbe essere vero."
Ronove,"... Faccia quel che desidera... è ciò che vorrei dire, ma qui, potrebbe in realtà essere più saggio avere prudenza. Hanno dei fucili. Armi ad alto potere anti-magico, come le pistole, sono i nemici naturali di streghe e demoni."""
,"La strega fissò con espressione vuota il demone maggiordomo, che era inaspettatamente spaventato dai fucili."
{f:5:Eva Beatrice},"""... Non può essere vero. Le streghe non dovrebbero essere capaci di cavarsela dall'essere sparate senza alcun problema?"""
Ronove,"""No. Diventerebbe una ferita mortale, come lo sarebbe per un normale essere umano. ... Per prevenire che questo punto debole venga notato, la maggior parte delle streghe rafforza rigorosamente la propria guardia con una difesa di barriere protettive e mobili."""
{f:5:Eva Beatrice},"""Io ho qualcuna di quelle barriere protettive?"""
Ronove,"""... Creare una barriera che rende inefficaci anche le pallottole richiede molto tempo in preparazione e cerimonie. Mi spiace dire che Beatrice-sama attualmente non ne ha nessuna. Inoltre, lei ora non ha una preparazione tale da riuscire ad evocare mobili abbastanza forti da bloccare un proiettile."""
{f:5:Eva Beatrice},"""Quindi nonostante io sia diventata una Grande Strega con così tanto potere magico, devo davvero avere paura dei proiettili di piombo. ... È fastidioso, ma non ho altra scelta. Quindi, in questo caso, dovrei evocare qualche mobile che agisca come mie braccia e mie gambe?"""
Ronove,"""Sì. Lasciare tutto ai suoi servitori mentre non si espone al pericolo è anch'esso parte del gusto elegante di una strega. Beatrice-sama, lasci questo compito ai mobili e si nasconda in un posto sicuro."""
{f:5:Eva Beatrice},"""... Ho capito."
{f:5:Eva Beatrice},"... Sette Sorelle del Purgatorio. Non mi importa chi, due di voi...!"""
,Leviathan e Belphegor risposero a quella chiamata.
Leviathan,"""Leviathan dell'Invidia, presente."""
Belphegor,"""Belphegor dell'Accidia, presente."""
{f:5:Eva Beatrice},"""Mostratemi il vostro potere. I vostri bersagli sono Rudolf e Kyrie. {n}Non Hideyoshi. ... Su, mostratemi quanto potete essere crudeli, mobili."""
Belphegor,"""... Le mie scuse, ma abbiamo ricevuto l'ordine dall'onorevole Predecessora di trattenerci da azioni crudeli superflue."""
Leviathan,"""Però, credo che i suoi ordini ci lascino un certo margine per tormentarli. {n}È appropriato questo?"""
{f:5:Eva Beatrice},"""Hmm. Ho capito, scenderò a compromessi."
{f:5:Eva Beatrice},"... Non potete ucciderli facilmente. Metteteli completamente all'angolo e fate loro assaggiare la paura della morte prima di ucciderli. ... Andrà bene, Ronove?"""
Ronove,"""Sì. Se considerato in questo modo, non credo sarà un problema."""
{f:5:Eva Beatrice},"""... Allora, andate!"""
,"""""Sì, lasci fare a noi...!"""""
Ronove,"""I vostri avversari sono armati di fucili. ... Per quelle come voi, schivarli dovrebbe essere facile... ma se verrete colpite, sarà una ferita mortale. Andate con un appropriato livello di prudenza."""
Belphegor,"""Non preoccuparti. Non mostreremo un simile livello di incompetenza."""
,"Le due sorelle delle Sette del Purgatorio si nascosero. Dopo aver fatto un inchino, anche Ronove si nascose."
{f:5:Eva Beatrice},"""... Ci sono persino regole su come ucciderli. ... Perché devo essere obbligata dalla mia onorevole Predecessora? ... È così inflessibile e noiosa."""
,"Mentre la strega guardò il ritratto della Predecessora Beatrice appeso nell'atrio, imprecò..."
,"Le tre persone erano già arrivate alla cucina, e stavano raccogliendo i viveri."
,"Pensando alla possibilità che vi fosse mischiato del veleno, abbandonarono l'allettante frutta e verdura, e raccolsero un intera scatola di cartone piena solo di cibo in scatola."
,"Era molto pesante, ma mettendola sopra il carrello, avrebbero potuto trasportarla abbastanza facilmente."
,"Con tutto quello, ci sarebbe stato abbastanza cibo per 10 persone in modo da resistere fino alla colazione di domani. Sarebbe stato sufficiente mentre aspettavano la barca."
,"I due uomini in teoria avrebbero dovuto dedicarsi alla guardia, ma il peso del carico era parecchio per Kyrie anche sul carrello."
,"Hideyoshi, che voleva mettere in mostra la sua potenza, si prese il ruolo di spingere il carrello, e Rudolf e sua moglie si presero il compito di fare la guardia."
Ushiromiya Hideyoshi,"""Con tutto questo, anche George e i ragazzi saranno sazi. Sarà un picnic fino a quando non ritorneremo, andiamo...!"""
,"Quando Hideyoshi annunciò vigorosamente la loro partenza, Kyrie si accigliò, come se stesse guardando a distanza."
,"... C'era una parete in quella direzione. ... No, se lo sguardo l'avesse attraversata, oltre di essa c'era l'atrio..."
Ushiromiya Rudolf,"""... Che cosa c'è, Kyrie?"""
Ushiromiya Kyrie,"""... Non è ben definito... ma ho un cattivo presentimento."""
,"Kyrie si fermò, stringendo ancora di più gli occhi."
Ushiromiya Rudolf,"""... Intuito femminile?"""
,"In momenti come questi, l'intuito di Kyrie superava la ragione. ... E Rudolf ci credeva."
Ushiromiya Kyrie,"""Sì. Probabilmente qualcuno ci sta aspettando per tenderci una imboscata. ... Non l'ho percepito fino a poco fa. ... Ma proprio ora, l'ho avvertito. ... Proprio ora qualcuno, ci sta preparando una imboscata."""
Ushiromiya Rudolf,"""... Allora, non c'è ragione di tornare da dove siamo venuti. C'è una porta sul retro lì, giusto? Andiamo da quella porta."""
,Rudolf andò a sbloccare la porta sul retro.
,"Quando i carichi venivano portati in cucina, non passavano mai dalla parte della villa dove la famiglia entrava e usciva."
,"Quindi sulla porta del retro, probabilmente c'era una pendenza per facilitare il trasporto delle cose. Di certo, sarebbero stati capaci di andare via da lì con il carrello."
Ushiromiya Rudolf,"""... Che cos'è? ... È bloccato. ... Dannazione, che sta succedendo?"""
Ushiromiya Kyrie,"""Non riesci ad aprirla?"""
Ushiromiya Rudolf,"""No. Sarà rotta? Non si muove di un millimetro..."""
,"Rudolf provò varie cose, usando la forza, poi cercò di farla funzionare, ma era dura come la pietra, e non si smuoveva."
Ushiromiya Hideyoshi,"""... Non sforzarti. Andiamocene dall'entrata principale. Ora come ora, sarebbe persino peggio se perdessimo tempo qua."""
Ushiromiya Kyrie,"""..."""
Ushiromiya Rudolf,"""... Stai dicendo che è una trappola?"""
