Speaker,Italian (Ars Magica) (Old) (ITA)
,... Erano già trascorsi trenta minuti da quando il gruppo di Rudolf aveva lasciato la casa degli ospiti.
,"Non c'era dubbio che stessero tardando troppo a tornare. ... E Krauss e Natsuhi, che erano in attesa all'ingresso, stavano esaurendo la loro pazienza."
,"La catena di sicurezza della porta era inserita. Si trattava di una precauzione nel caso in cui il gruppo di Rudolf fosse stato attaccato, e gli venisse rubato il passepartout."
,"Perciò, c'era bisogno che aspettassero così, all'ingresso, il ritorno degli altri..."
Ushiromiya Natsuhi,"""... Ci stanno mettendo davvero troppo. Non pensi che potrebbe essergli successo qualcosa...?"""
Ushiromiya Krauss,"""... Hmm..."""
,"Krauss spostò lo sguardo tra l'orologio da polso e la porta, sforzandosi di mantenere il suo contegno."
Ushiromiya Natsuhi,"""Se... se fosse successo qualcosa che gli ha impedito di tornare..."""
Ushiromiya Krauss,"""... Un pensiero terribile, ma pare che dovremmo prepararci a questa possibilità. ... È stata davvero una mossa avventata, dopotutto."""
Ushiromiya Natsuhi,"""I-Io l'avevo detto...! Perché sono usciti pur sapendo che era così pericoloso...! Che follia! Perché uscire, nonostante Rosa-san fosse stata appena attaccata...?!!"""
Ushiromiya Krauss,"""... Dirlo adesso non cambierà nulla. ... Ad ogni modo, in questa situazione, ci sono tre adulti nella casa degli ospiti. Io, tu... ed Eva, che sta dormendo e ha la febbre alta."""
,"In quell'istante, ci fu un forte rumore di una porta che veniva aperta nel corridoio, e udirono la voce agitata di Eva."
,"... Quella voce continuava a chiamare il nome di Hideyoshi. ... Sembrava che, presa dalla febbre forte, avesse fatto un incubo o qualcosa di simile e che stesse chiamando suo marito."
Ushiromiya Natsuhi,"""Eva-san... cosa c'è, stai bene...?"""
Ushiromiya Eva,"""D... Dov'è mio marito?! Mio marito non è qui!! Anche se mi ha promesso che sarebbe rimasto con me tutto il tempo! Anche se mi ha promesso che mi avrebbe stretto la mano tutto il tempo!!"""
