Speaker,Italian (Ars Magica) (Old) (ITA)
,"... Nonostante fosse un mondo buio pece dove niente si riusciva a vedere... per qualche ragione, sentii la presenza di Beato vicino a me."
,"... Quindi provai a chiamarla. ... Si possono scambiare parole con qualcuno, sia esso un umano o una strega."
,... Quindi persino in un mondo dove le streghe sono state negate... mi dovrebbe essere permesso parlarle...
Ushiromiya Battler,"""... Beato..."""
{f:5:Beatrice},"""... Battler, è... è fatta. ... Io... l'ho fatto."""
Ushiromiya Battler,"""Già. ... Non l'ho sentito... ma ti ho guardato fino alla fine... ti ho sicuramente visto... opporti coraggiosamente a quella strega malvagia..."""
{f:5:Beatrice},"""... Con ciò... non sono più una strega. ... Perciò, lo diventerò sicuramente... di nuovo... e poi... farò in modo che io possa essere chiamata di nuovo Strega Dorata... e ancora una volta... ritornerò... così che possa essere accettata come tua avversaria..."""
Ushiromiya Battler,"""No. ... Tu... eri una strega."""
{f:5:Beatrice},"""... Huh...?"""
Ushiromiya Battler,"""... Io... l'ho visto. ... Quando hai preso quella strega malvagia... e l'hai spazzata via con quella meravigliosa magia, rivelando la sua vera forma... L'ho visto con i miei occhi..."""
{f:5:Beatrice},"""Q... Quella non era magia... ma il rosso-"""
Ushiromiya Battler,"""No, era magia. ... Tu sei senza dubbio... la Strega Dorata. ... Hai persino negato te stessa. ... Lo accetterò. ‘Tu sei senza alcun dubbio... la Strega Dorata’."""
,... Quando Battler disse quelle parole...
,"Nel mondo che era stato buio, ci fu improvvisamente un singolo granello."
,"... Un piccolo granello d'oro, come il seme del grano, brillò luminosamente. {n}E... nonostante fosse piccolo, aveva un forte bagliore dorato."
,"Poi... brillò su loro due, seduti insieme schiena contro schiena..."
,Quindi divennero coscienti della propria forma.
,... Non esistevano solo come coscienze.
,"... Diventarono coscienti di avere dei corpi, e che esistevano davvero."
,"... No, forse dovremmo dire che ad entrambi era stata donata un'esistenza chiamata corpo."
,"Quando Battler guardò la propria forma, non fu così sorpreso."
,"... Ma quando lo fece Beato, ne fu un po' spaventata."
,"... Dalla prospettiva di Battler, lei sembrava semplicemente come al solito... ma per un po', lei fu sorpresa di quella forma..."
{f:5:Beatrice},"""... Che cosa... sta succedendo...?"""
Ushiromiya Battler,"""Il bagliore di quel granello di luce... si sta lentamente facendo più forte..."""
,"Quel chicco di grano non era più semplicemente color dorato, ma era come la luce del sole."
,"Poi, dolcemente... iniziò ad avvicinarsi al petto di Beato."
,Quando quel granello di sole... fu risucchiato dentro il suo petto...
,"... Il mondo fu avvolto da un cielo blu profondo, poi un oceano dello stesso colore si distese sotto di loro."
,"Sorse un'isola, spuntarono alberi e crearono una foresta, pareti ci circondarono e un soffitto ci coprì."
,E fu adornato con più e più cose... fatto per essere come l'atrio nella villa Ushiromiya.
,"Nel mezzo del fantastico atrio dove molte farfalle dorate sbattevano le ali... furono sistemati molti tavoli con bianche tovaglie, come fosse una festa, e bellissime pietanze e frutti furono esposti."
,... E lì... c'era un gran numero di sagome. Tutti parlavano insieme e sorridevano.
Ushiromiya Battler,"""T... Tutti..."""
,"C'erano Papà e Kyrie-san, Krauss oji-san, Natsuhi oba-san e Rosa-oba-san, e ovviamente, anche Eva oba-san e Hideyoshi oji-san."
,"... George-aniki, Jessica, Maria... aspetta, aspetta, persino Shannon-chan, Kanon-kun, Gohda-san e Kumasawa-san erano lì."
,"Tutti, tutti erano in festa, applaudendo e festeggiando il nostro ritorno..."
Ushiromiya Battler,"""P... Perché...? Nonostante fossero tutti morti...! Perché sono vivi...?!"""
{f:5:Virgilia},"""... Nella Terra Dorata, le anime di tutti i morti possono essere resuscitate. ... Bentornata, Beatrice. E benvenuto, Battler-kun. Benvenuto nella Terra Dorata."""
{f:5:Beatrice},"""... C... Ce l'ho fatta? ... Ce l'ho fatta... fino alla porta della Terra Dorata?"""
Ronove,"""Sì. ... Milady, finalmente è stata capace di invitare tutti nella Terra Dorata. Benvenuto, Battler-sama, nella Terra Dorata."""
Ushiromiya Kinzo,"""Battler. ... Quindi, finalmente ce l'hai fatta fino a questo punto."""
Ushiromiya Battler,"""N-Nonno... dove diavolo... sono..."""
Ushiromiya Kinzo,"""Il mio... sangue, che era incompatibile con la magia, scorre più forte nelle tue vene. ... Pertanto, tu eri l'unico che non riusciva a raggiunge la Terra Dorata, e Beatrice ti ha cercato per tutto il tempo. ... Ha provato di tutto per portarti qui."""
Ushiromiya Battler,"""Sembra che finalmente siamo tutti qui."""
Nanjo Terumasa,"""... Che hai detto...?"""
Gohda Toshiro,"""Battler-sama, se vuole prendere il suo posto. La cena di stanotte è la mia opera migliore. Se lo desidera, la prego di assaporarla."""
Beelzebub,"""Dovresti esserne onorato!! Normalmente, l'avrei mangiata tutta io, ma te ne ho lasciato un po' per riconoscenza!"""
Ushiromiya Battler,"""... Le Nee-chan dei Sette Pugnali..."""
Lucifer,"""Nella Terra Dorata, tutti coloro dotati di intelletto sono uguali. ... Qui, non c'è distinzione tra noi mobili, umani, e streghe."""
Shannon,"""... Battler-sama. La stavamo aspettando. E benvenuto nella Terra Dorata..."""
Ushiromiya Battler,"""Shannon-chan... George-aniki...!!"""
Ushiromiya George,"""... Sto ancora sospettando che questo sia un sogno... noi dovremmo essere morti. ... Ma... io sono vivo. E tutti, tutti sono qui... e felici ... non riesco a crederci."""
Ushiromiya Eva,"""Giusto, questo posto deve essere il mondo dei sogni! Perciò dev'essere un sogno che George è così amichevole con una cameriera! Whaaaaaah!"""
Ushiromiya Hideyoshi,"""Puoi darci un taglio, Eva? Per ora, dovresti stare buona e dare la tua benedizione ai due giovani sposini. La Terra Dorata è un posto di beatitudine. Non dovremmo mai litigare qui...!"""
Mammon,"""Qui, ogni persona è libera di amare l'altro. ... Nessuno ha più bisogno di esitare."""
Asmodeus,"""Jessica-chan, Kanon-kun, è così meraviglioooso! Sono gelosa!"""
Ushiromiya Jessica,"""... E-Ehi, Battler... sono un po', umm, wahahahaha..."""
Kanon,"""Battler-sama, benvenuto. E benvenuto a casa..."""
,Jessica era probabilmente imbarazzata perché stava tenendo la mano di Kanon-kun.
,"E Kanon-kun voleva comportarsi umilmente come un domestico e inchinarsi, ma dato che nessuno dei due lasciava andare la mano dell'altro, non riuscì a farlo bene, e l'intera scena sembrò abbastanza comica."
Ushiromiya Natsuhi,"""Con un ragazzo domestico...?!! Non puoi, la nostra Jessica non può fare una cosa simile...!!"""
Ushiromiya Krauss,"""Non è davvero un problema, no? Lasciamole almeno scegliere la persona che le piace."""
Ushiromiya Natsuhi,"""Non può, non può, aaaaaaaaaahhh, Jessicaaaaaaaaa!"""
Ushiromiya Eva,"""Non puoi neanche tu, Geooooooooorge!"""
,"... Mentre Natsuhi oba-san ed Eva oba-san si abbracciarono l'un l'altra, piansero lacrime di rammarico per i loro figli adorati."
,... Nonostante loro due fossero state sempre in disaccordo. ... Era una scena davvero bizzarra.
Ushiromiya Rosa,"""... Non è veramente un problema, giusto? Non importa a chi piace chi."""
Ushiromiya Kyrie,"""Esatto. È la prova che un genitore può lasciar andare i loro figli."""
Ushiromiya Rudolf,"""Battler, non importa che tipo di donna tu porterai a casa, io la accetterò caaaaldamente, d'accordo?"""
Ushiromiya Kyrie,"""Tu non puoi presentarla a questo qui, ok? Allungherebbe subito le mani su di lei. Scapperebbe subito."""
Ushiromiya Maria,"""... Battler. Finalmente sei arrivato. Kihhihihihihihihihi."""
Ushiromiya Battler,"""Maria... dall'inizio... tu sapevi che noi saremmo venuti qui...?"""
Ushiromiya Maria,"""Uu-! È per questo che Maria non era per niente spaventata. Tutti erano codardi e tremavano. È stato divertente!"""
Ushiromiya Battler,"""... Che diavolo. ... Nonostante pensassi che tu fossi la più pazza... in realtà sapevi dall'inizio la verità."""
Chiester45,"""C-Che maleducato...! Non posso davvero perdonare che abbia parlato di Lady MARIA in quel modo!"""
Chiester410,"""Formazione della Curva di Fuoco, Preparativi di Fuoco Ultimati. Lady MARIA, possiamo attaccare in ogni momento. Nihi!"""
Ushiromiya Maria,"""Kihhihihihihihihihihihihihihihihihihihihihihihi...! Ouch!"""
Ronoue Genji,"""... State buone. Siete in presenza Beatrice-sama."""
Ronove,"""Beh ora, non essere così freddo. Facciamo notare che ora, tutti quanti scherzano e giocano insieme. Più importante, perché non iniziamo i preparativi per il brindisi?"""
Kumasawa Chiyo,"""Sì, i preparativi per il mio eccellente sgombro sono completi. Posso servirlo in ogni momento."""
Satan,"""Ehi!! Voi! Lavorate un po' di più come mobili!!"""
Leviathan,"""Nooooo!! Voglio ingozzarmi ancora un altro po'! Uu-aaah!"""
