Speaker,Italian (Ars Magica) (Old) (ITA)
,"""Buongiorno a te."""
Ushiromiya Ange,"""... B... Buongiorno a te."""
,‘Buongiorno a te’ è il saluto che tipicamente viene usato qui.
,"A dispetto del passare degli anni, salutarsi a quel modo mi faceva sentire ancora piuttosto a disagio..."
,"Nonostante avessi ricambiato il saluto per attenuare quella sensazione di disagio, la compagna di classe che mi aveva rivolto la parola mi fissava senza espressione."
,"""... Huh? *giggle*giggle*giggle*"""
,"""Huh, cosa cosa? Pare che tu abbia frainteso, *giggle*giggle*..."""
,"Il loro linguaggio e le loro maniere erano senza dubbio ciò che ti saresti aspettato di trovare in una scuola per ragazze ricche, ma il significato che vi si nascondeva dietro era innocente e crudele come si addice ragazzine di quell'età."
,"... A quanto pare, trovavano divertente il fatto che avessi erroneamente creduto che il saluto fosse indirizzato a me. No, forse era il contrario."
,... Forse dovrei dire che non sapevano come reagire dopo essere state salutate da una ragazzina introversa come me.
,"No, a giudicare dagli sguardi delle mie compagne, che sbirciavano oltre le loro spalle nella mia direzione mentre mormoravano tra loro, era come se alcune di loro considerassero quel bel mattino rovinato."
,... Ero... cupa. Perché venivo disprezzata.
,"Così, per non rovinare più a nessuno quella bella mattinata, mi incurvai ancora di più ed entrai in classe."
,... Quasi come se stessi attraversando la platea di un cinema mentre veniva proiettato il film.
,"Questo è un collegio con tanto di dormitori, L'Accademia San Lucia."
,"Non è una scuola in cui chiunque può entrare facendo un esame. ... È una scuola segreta per ragazze ricche, conosciuta solo da un gruppo prescelto di celebrità provenienti da campi diversi."
,"Per gli aristocratici altolocati che desiderano davvero che le loro figlie vengano tirate su come sante, questa deve essere la scuola ideale in cui proteggerle dalle impurità del mondo di ogni giorno."
,"... Ma allo stesso tempo, sarà servita loro anche a rinchiudere le figlie che non volevano mostrare in pubblico."
,"Oltre ad essere un'accademia isolata dalle impurità del mondo di tutti i giorni, essa possedeva anche un ottimo potenziale come scuola-prigione."
,"La verità era che io rientravo nel secondo gruppo, ed ero stata rinchiusa nell'Accademia di San Lucia... costretta a condurre la mia vita immersa nell'infelicità."
,"Naturalmente, non c'erano tante studentesse nella mia situazione, e distinguerci a prima vista non sarebbe stato possibile."
