Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Eva,"""3 mesi rimasti da vivere. Era l'anno scorso quando l'ha detto, giusto, Dottor Nanjo?"""
Nanjo Terumasa,"""... I-Io ho solo detto ciò che si poteva comprendere dalle sue condizioni fisiche in quel momento. Come risultato, per caso anche quest'anno-"""
Ushiromiya Rudolf,"""Nonostante ci sia il dubbio se nostro Padre durerà fino alla fine dell'anno, lui è ancora immerso con entusiasmo nelle sue ricerche occulte. E anche così, gli son rimasti solo tre mesi, Dottore?"""
Nanjo Terumasa,"""C-Come ho detto, Kinzo-san è-"""
Ushiromiya Krauss,"""Non è meraviglioso che il nostro rispettato Padre sia ancora così euforico? {n}Per rispetto verso i genitori, tutti voi desiderate fortemente salutare nostro Padre. Quindi non riuscite ad accettare il fatto che non potete incontrarlo."""
Ushiromiya Natsuhi,"""... Considerando che tutti hanno iniziato a prendere di mira l'eredità mentre il sole è ancora in cielo, sembra che voi non desideriate veramente incontrare nostro Padre."""
Ushiromiya Rosa,"""S-Stai sbagliando, Natsuhi nee-san. ... Noi solamente, umm-"""
Ushiromiya Rudolf,"""Papà non è immortale, e un giorno morirà. Non gli stiamo dicendo di morire. Stiamo solo dicendo che un giorno lo farà. Stiamo solamente discutendo insieme di come prepararci a ciò."""
Ushiromiya Natsuhi,"""Ed è proprio per questo che non è rispettoso!!"""
Ushiromiya Krauss,"""Smettila. Farai peggiorare il tuo mal di testa."""
,"Krauss disse a Natsuhi, che agitata si era alzata dalla sedia, di sedersi."
,"Provando ad alleggerire l'atmosfera, che era diventata improvvisamente colma di sospetto, Hideyoshi forzò un sorriso e invitò tutti a calmarsi."
Ushiromiya Hideyoshi,"""... Natsuhi-san, non fraintendere. Si dice che non bisogna lasciarsi dietro affari in sospeso, giusto? Stiamo solo dicendo di volerlo salutare. Stiamo discutendo di questo in modo da poter dire addio a nostro Padre senza problemi, quando dovrà partire per un viaggio che a tempo debito sarà obbligato a compiere."""
Ushiromiya Krauss,"""Hah-hah-ha... questo è proprio da te, Hideyoshi-san. Anche se state dicendo la stessa cosa, la fai sembrare così intellettuale."""
Ushiromiya Eva,"""Sì, esatto. A differenza di te, Nii-san."""
Ushiromiya Rudolf,"""Smettila. Così non andremo da nessuna parte. ... Quindi come stavamo dicendo, Aniki. Possiamo dimenticarci di tutto questo a proposito dell'eredità. Non importa neanche se Papà ci dovesse colpire."
Ushiromiya Rudolf,"Per farla breve, vogliamo incontrarlo direttamente e dirgli ciao. Anche se Papà dice che non vuole. Se si è chiuso nel suo studio, non ci faremo problemi a chiedere in prestito una chiave a Genji-san. Giusto, Rosa?"""
Ushiromiya Rosa,"""... Oh... beh, umm... non è che vi stiamo obbligando... è solo che... non abbiamo salutato nostro Padre per così tanto tempo."
Ushiromiya Rosa,"Se ciò che gli rimane da vivere è breve, allora c'è la possibilità che non potremmo più essere capaci di vederlo... oggi potrebbe essere la nostra ultima opportunità per parlare con nostro Padre..."""
