Speaker,Italian (Ars Magica) (Old) (ITA)
,"Aprendo con forza e rumorosamente la porta, Rosa corse dentro con Maria."
Ushiromiya Rosa,"""C'è Genji-san o qualcun altro...?! Non importa chi, portateci un asciugamano...!!"""
,"Fuori c'era già il tifone, e stava iniziando a piovere forte. Anche se aveva un ombrello, Maria era rimasta per tutto il tempo nel roseto in mezzo a tutto quel vento e quella pioggia."
,Si era completamente infreddolita.
,"Maria aveva litigato con Rosa nel roseto, e le era stato detto di restare là."
,"... Aveva fatto ciò che le era stato ordinato, e aveva continuato ad aspettare in quel punto anche se stava piovendo."
,"Rosa di sicuro era stata un po' troppo emotiva e irritabile, ma i capricci testardi di Maria erano probabilmente difficili da sopportare."
,"... I cugini, che avevano visto la lite, erano sollevati nel vedere che Madre e figlia erano di nuovo vicine."
,"Rosa strofinò la testa di Maria con un asciugamano. Sembrava preoccupata del fatto che Maria si fosse presa il raffreddore, ma Maria era indifferente."
Ushiromiya Rosa,"""Stai bene? Non hai preso il raffreddore, vero? Forse dovremmo tornare indietro e cambiarci i vestiti..."""
Ushiromiya Maria,"""Uu-, sto benissimo! Piuttosto, Maria ha fame, quindi mangiare è meglio che cambiare i vestiti, uu-!"""
Ushiromiya Battler,"""Hah-hah-hah-ha. Sembra che stia bene, Rosa oba-san. Deve stare per forza bene, se è così vivace."""
Ushiromiya George,"""Per fortuna, aveva un ombrello. ... Pensavo che fosse bagnata fradicia. {n}Il fatto che avesse l'ombrello è stata una fortuna nella sfortuna."""
Ushiromiya Jessica,"""Però, Maria! Anche se hai un ombrello, devi ripararti se inizia a piovere così forte, va bene? Le bambine non devono raffreddarsi."""
Ushiromiya Maria,"""... Uu-."""
Ushiromiya Rosa,"""Va bene, Jessica-chan. ... È colpa di Mamma, per averti detto di rimanere là. {n}Mi dispiace veramente, mi dispiace veramente...!!"""
Ushiromiya Maria,"""Uu-! Maria è una brava bambina? Maria ha fatto quello che ha detto Mamma, è una brava bambina? Sono rimasta là anche se faceva freddo, sono rimasta là finché Mamma non è venuta! Uu-uu-!"""
