Speaker,Italian (Ars Magica) (Old) (ITA)
,"Si stavano già facendo le 10:00 di notte. Ora come ora, il tifone avvolgeva Rokkenjima."
,"Anche il roseto che era parso così bello a mezzogiorno, stava venendo colpito dai forti venti e resisteva con tutte le sue forze, ondulando e provando ad evitare che i fiori venissero spazzati via..."
,"In quel roseto, con Shannon che era in testa, Battler, che stava tenendo l'ombrello, Jessica, e Maria che stava dormendo sulle spalle di George si stavano dirigendo alla casa degli ospiti."
Ushiromiya Battler,"""Possiamo farcela da soli almeno da qui fino alla casa degli ospiti. Shannon-chan, va bene, dovresti tornare indietro e riposare."""
Shannon,"""Va tutto bene, perché accompagnarvi fino a lì è anch'esso mio dovere..."""
Ushiromiya Jessica,"""La conferenza di famiglia si sta svolgendo dentro, e Mamma e Genji-san si stanno probabilmente stressando. Se ti tratteniamo, loro fraintenderebbero e penserebbero che stai perdendo tempo."""
Ushiromiya George,"""Esatto. Accettare gentilmente la nostra offerta potrebbe essere il miglior modo per evitare di creare problemi agli altri. ... Grazie, Shannon."""
Shannon,"""Di nulla. ... Certamente, come dice Milady, oggi c'è una atmosfera molto tesa alla villa. Pertanto, venire con tutti voi mi ha permesso una boccata di aria fresca, e sono stata capace di rilassarmi un po'."""
Ushiromiya Battler,"""La riunione di famiglia, uh. ... Si sono presi la briga di cacciare fuori noi ragazzi, quindi staranno parlando di qualcosa di scomodo."""
Ushiromiya George,"""Probabilmente. Sono sicuro che non possiamo fare niente per aiutare. Provare a non intralciarli e basta forse è il modo migliore per renderci utili."""
Ushiromiya Jessica,"""Eh...! Sono sicura che stanno solo parlando di ‘soldi, soldi, soldi’."
Ushiromiya Jessica,"... Nonostante si comportino come se fossero così ricchi la maggior parte del tempo, quando le cose si fanno dure, iniziano tutti ad essere aggressivi. Perché non sono semplicemente generosi e se lo spartiscono equamente tra tutti?"""
Ushiromiya Battler,"""Ihihi. Sarebbe magnifico. Sarebbe bello se ne avessi una parte anche io. {n}Se ne ottenessi un po' anche io, lo dividerei subito con Shannon-chan."""
Shannon,"""G-Grazie molte... Beh, apprezzo il pensiero."""
Ushiromiya George,"""Shannon non è per niente avida. Normalmente, le ragazze della tua età hanno tonnellate di roba che vogliono comprare."""
Shannon,"""Chissà. Ma nessuna delle cose che desidero possono essere comprate col denaro."""
Ushiromiya Battler,"""Ooh! Come sei altruista! Se facessi un elenco delle cose che voglio io, tutto l'oro del mondo non sarebbe sufficiente."""
Ushiromiya Jessica,"""Solo se parli di cose che possono essere comprate col denaro. Mi chiedo quali siano queste ‘cose che non si possono comprare col denaro’ che Shannon vuole~. Hai qualche idea, George Nii-san?"""
Ushiromiya George,"""B-Beh, chissà. Non sono Shannon, come potrei saperlo?"""
Shannon,"""N... Neanche io lo so."""
,George e Shannon guardarono in basso con le loro facce rosse.
,"Anche Battler conosceva i dettagli, quindi sapeva su cosa Jessica li stava prendendo in giro."
Ushiromiya Battler,"""Anche George-aniki è una persona che rispetto. Credo che tu abbia incontrato una persona davvero magnifica, Shannon-chan."""
Ushiromiya Jessica,"""Già. Anche io mi sento sollevata dal fatto che possiamo lasciare Shannon a George Nii-san."""
Ushiromiya George,"""S-Smettetela di prendere in giro. È una cosa seria per noi. Cosa più importante, che mi dici di te, Jessica-chan? Sei riuscita ad essere un po' più vicina con Kanon-kun?"""
Ushiromiya Battler,"""Cosaaaaaaaa?! Quindi, tu e Kanon siete così?!"""
Ushiromiya Jessica,"""Ah, um, beh!! Q-Questo è scorretto, George Onii-san, capovolgere così la conversazione è scorretto!"""
,"Mentre animavano la discussione fra alti e bassi, i quattro ragazzi si diressero verso la casa degli ospiti..."
,"L'annuale riunione di famiglia era estremamente importante per gli Ushiromiya, e quest'anno sembrava che sarebbe stata particolarmente importante."
,"Apparentemente, il capofamiglia, Kinzo, avrebbe fatto di persona un annuncio importante, e a tutti tranne gli adulti era stato severamente ordinato di andarsene."
,"Battler non aveva partecipato alla conferenza di famiglia per sei anni, quindi non se ne era davvero accorto, ma secondo Jessica, sembrava esserci un'atmosfera davvero tesa stanotte, completamente diversa da un anno normale."
,"... Il buon senso aveva palesato che Kinzo, a cui rimaneva poco da vivere, avrebbe fatto qualche annuncio importante riguardo la successione del capofamiglia e la distribuzione dei suoi beni..."
Ushiromiya Battler,"""Ma sono sorpreso. ... Pensare che il Nonno compaia veramente..."""
