Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Maria,"""... Non capisco perché ti sei arrabbiato, Battler."""
Ushiromiya Battler,"""Non capisci?! Sono stati uccisi tutti!! Da quel dannato vecchiaccio! Mentre se ne andava dicendo cose incomprensibili su una cerimonia per la resurrezione di Beatrice o roba simile!!"""
Ushiromiya Maria,"""Così a questo punto, sono state offerte tredici persone come sacrifici... ed è già ora che Beatrice torni in vita, giusto?"""
Ushiromiya Battler,"""E certo, suona fantastico!! Prenderò anche Beatrice e li ucciderò tutti e due!!"""
Ushiromiya Maria,"""... Siamo sopravvissuti alla cerimonia. Per cui riceveremo un invito per la Terra Dorata da Beatrice, capisci...?"
Ushiromiya Maria,"Laggiù, tutti i desideri saranno esauditi. Se vedere la tua famiglia uccisa è doloroso, allora non devi fare altro che resuscitarli. ... È questo che Maria ha intenzione di fare. Maria riporterà in vita la vera Mamma che è tanto gentile, quella che non è posseduta dalla strega nera."
Ushiromiya Maria,"... Così Mamma sarà sempre con Maria. ... Non ci saranno più straordinari o lavoro nei giorni liberi. ... Lei sarà sempre con Maria, e penserà solo a Maria, kihhihihi, lotterà sempre contro nemici spaventosi per il bene di Maria. Kihhihihihihihi...!"""
Ushiromiya Battler,"""... Tu hai qualche rotella fuori posto. ... Perché ti metti a parlare di cose così incomprensibili in una situazione come questa...?!"""
Ushiromiya Maria,"""... Non te l'ha appena detto Kyrie, Battler...? Non ti ha detto... di credere ... nella strega?"""
Ushiromiya Battler,"""... D-Dannazione. Non è questo il momento di mettersi a bisticciare con te per qualcosa del genere...!! Ora, non ci sono ostaggi né... nessun altro che sia ancora in vita! Questa schifosa cerimonia bizzarra è già finita...!!"
Ushiromiya Battler,"Fatemi fare quel che voglio adesso. Qualcuno potrebbe essere ancora vivo. Oppure qualcuno potrebbe essersi nascosto! Cercherò dappertutto, lo troverò, e lo pesterò a sangue!!"""
,"Preso dalla furia, Battler afferrò la sua lancia-appendiabiti e balzò fuori dalla stanza."
,Maria lo osservò andarsene con aria annoiata...
Ushiromiya Maria,"""... E ad ogni modo Beatrice esaudirà presto i nostri desideri. ... Stupido d'un Battler. ... Kihhihihihi."""
,"In quel momento, il telefonò squillò nuovamente..."
,"Maria si alzò, e sollevò la cornetta."
Ushiromiya Maria,"""Uu-. Pronto. ... Uu-? Uu-!!!"""
,"Naturalmente, lo squillo del telefono raggiunse anche le orecchie di Battler che stava per fiondarsi fuori dalla casa."
,Girò sui tacchi con veemenza e andò di corsa nella stanza dei cugini...
Ushiromiya Battler,"""M-Maria...! Chi... ha telefonato...?!"""
,"Con un'espressione spaventosa sul viso, Battler sbraitò contro Maria, che era al telefono."
,"Non lo si può biasimare... in quel preciso istante, gli unici umani rimasti in vita sull'isola erano lui, Maria, Gohda, e Kumasawa."
,Ma era impossibile che quei due avrebbero potuto chiamare dopo essere stati chiusi a chiave nel capannone del giardino.
,... Il che significava che... restava solo una persona. Doveva essere Kinzo.
,"Dopo aver continuato per qualche minuto la piacevole chiacchierata con la persona dall'altra parte della linea, Maria si voltò lentamente per trovarsi faccia a faccia con Battler."
,"... Poi, con un'espressione inquietante sul viso, rise ‘kihihihihihihihihihi’. ... Sembrava quasi che la persona dall'altra parte stesse parlottando di Battler."
Ushiromiya Battler,"""Maria... chi è al telefono? ... Il Nonno...?!"""
,Battler non poteva credere che fosse questo il caso.
,"... Dopotutto, era inconcepibile che Maria parlasse amichevolmente con Kinzo... e che chiacchierasse su Battler con quel sorriso sinistro sulla faccia."
,Dunque che razza di persona poteva esserci al telefono... una persona in grado di far chiacchierare Maria con un sorriso simile?
,"... In quel momento, nel profondo della sua mente riaffiorarono le parole che Kyrie gli aveva rivolto."
,"Anche se dovesse apparire una strega, non c'è bisogno di dubitarne. ... Semplicemente... credi che esista..."
Ushiromiya Maria,"""Proprio così. Battler è appena tornato. Certo che è veloce. Kihihihihihihihihihihi..."""
Ushiromiya Battler,"""Maria!! Chi è al telefono?! Chi?!?!"""
Ushiromiya Maria,"""... Dargli la cornetta? Certo. ... Tieni, Battler."""
,"Dopo aver ricevuto il consenso della persona dall'altra parte della linea, Maria porse la cornetta a Battler..."
Ushiromiya Battler,"""... Uh."""
Ushiromiya Maria,"""Ecco."""
,Maria gli porse la cornetta perché la prendesse... come se fosse del tutto normale.
,Battler esitò un po' prima di afferrarla.
,... Perché... accettando l'esistenza della persona dall'altra parte... non avrebbe avuto altra scelta che riconoscerne la presenza.
,... Come aveva detto Kyrie...
,... Non c'è più... alcun bisogno... di dubitare che esistano.
,Battler prese la cornetta.
,"E immediatamente, Maria lasciò la stanza con passo svelto."
,"Battler, leggermente spaventato all'idea di scoprire con certezza chi si trovasse dall'altra parte della linea, interrogò Maria prima di prendere la chiamata."
Ushiromiya Battler,"""E-Ehi! Dove stai andando...?!"""
Ushiromiya Maria,"""Dove si terrà il test di Maria. ... Mi chiedo chi sarà il capofamiglia degli Ushiromiya, se Battler o Maria. Kihihihihihihihihihihihihi."""
Ushiromiya Battler,"""... N-Non andare!! Verrai uccisa!!"""
Ushiromiya Maria,"""Non sarò uccisa. La cerimonia è già finita. ... E anche se fossi uccisa, verrò resuscitata. ... Che uno di noi diventi il capofamiglia o meno, siamo già stati invitati alla Terra Dorata. Ciao, ciao."""
Ushiromiya Battler,"""Aspetta!! Maria...!!!"""
,"Battler allungò la mano verso la schiena di Maria mentre questa se ne andava... ma il filo del telefono che stava stringendo lo fermò, proprio come una catena."
,... Si preparò. ... Battler appoggiò la cornetta all'orecchio...
Ushiromiya Battler,"""... P... Pronto...?"""
{f:5:Beatrice},"""{p:0:＜}Congratulaatioooooooons{p:0:＞}!! {p:0:＜}And I'm fi~ne{p:0:＞}!! {p:0:＜}And yooooooooooouuuuu{p:0:＞}?! Aaaaahhhhyahhyahhyahhyaaaaa!!!"""
,Dell'inglese scorretto e derisorio gli riempì le orecchie. ... Era la voce di una donna che non conosceva.
,... Chi... la sua mente andava congelandosi... chi...
{f:5:Beatrice},"""Che intendi con ‘chi’, Ushiromiya Battleeeeer...? Di solito, si risponde {p:0:＜}ye~s, I'm fine{p:0:＞}! Corretto?? Tutto questo mi riporta indietro nel tempo... la si fa alle scuole medie, vero? Quella cosa che si fa in coppie! Uhhyahyahyahyahyahyaaaaahh!!!"""
Ushiromiya Battler,"""T... Tu sei folle... chi sei?!! Rispondimi!!!"""
{f:5:Beatrice},"""Dillo in inglese. Non è la tua specialitààààààààà?"""
Ushiromiya Battler,"""... N-Non mi prendere in giro... chi sei!! Il subalterno di quel dannato vecchiaccio?!"""
{f:5:Beatrice},"""‘Subalterno’ è un modo un po' cattivo di dirlo, non trovi? Perlomeno di' prigioniero. ... Kinzo è mio prigioniero! Giu~~sto? Wahhahahahahahahahaha..."""
,Quell'ultima risata non parve indirizzata a Battler.
,"... Era quasi come se Kinzo fosse accanto al telefono, ridacchiando a sua volta..."
Ushiromiya Battler,"""... D... Di' il tuo nome!! Chi sei tu?! Chi?!!!"""
{f:5:Beatrice},"""Prova ad indovinare, potresti vincere un biglietto per le Hawaii! Ahhyahhyahhhyaaaah!! Finalmente. Finalmente!! Mmmmmmm, sono state così luuuuuuuunghe, le giornate che hanno portato ad oggi sono state davveeeeeeero lunghe...!!"
{f:5:Beatrice},"Ho seriamente aspettato questo giorno per mille anni, capisci?? La devo a te! {n}La mia grande resurrezione!! {p:0:＜}Thank you{p:0:＞} Kinzo! Solo perché sei tu, darò retta a quel tuo ultimo ‘mi rimangio quella mossa’!!!"""
Ushiromiya Kinzo,"""... Santo cielo, se non sei un po' troppo su di giri. Non potresti comportarti in un modo che si addica di più ad una signora?"""
,Kinzo e Beatrice erano seduti l'uno di fronte all'altra con la scacchiera posta sul tavolo da ricevimento tra loro.
,"Ad accompagnare le bevande, c'erano del formaggio costoso e simili. E vi erano diverse bottiglie di vino vuote messe in fila."
,"Mentre si dimenava indecorosamente sul divano, Beatrice reggeva in mano, allegra, un calice di vino... ed era senza quasi alcun dubbio, del tutto ubriaca."
{f:5:Beatrice},"""Sono di ottimo umore oggi, quindi eccovi un servizio fantastico!! Ehi, ehi, Kinzo, non usare lo Chateau Petrus per decorazione! È del 1947, no?!"
{f:5:Beatrice},"Se non lo apri oggi, quando hai intenzione di farlo?! Anneghiamoci nel vino e divertiamociiiiiiiiii! E poi prendiamoci a botte con le bottiglie vuote! Uhhyahhyahhyahhya!!"""
Ushiromiya Kinzo,"""Hahhaha, che meraviglia. Sei troppo vivace. Ti stai comportando senza alcun ritegno."""
{f:5:Beatrice},"""E tu, Kinzoooooo?! Non sei felice di essere di nuovo con meee? Aaah, è il mondo dei vivi! Il mondo terreno!! Lunga vita alla mia carne!!"""
Ushiromiya Battler,"""... Che... stai farneticando...? Stai mica dicendo che tu sei... B-Beatrice...?"""
{f:5:Beatrice},"""{p:0:＜}Ye~eeeeeeeeeeeeeeess, I aaaaaaaaaamm{p:0:＞}!! Grazie alla cerimonia di tredici omicidi di Kinzo, sono finalmente tornata in vita...!! È bello avere una bocca, è bello avere una lingua! Com'è divertente poterti parlare in questo modo!"
{f:5:Beatrice},"A pensarci, anche se ci siamo azzuffati così spesso, ancora e ancora, questa è la prima volta che conversiamo così su questo piano durante il gioco, non è vero? Che grande novità!!"
{f:5:Beatrice},"Oh, hai sentito quel *pop* proprio adesso?! L'ho aperto, ho veramente aperto quello Chateau Petrus!! Sai quanto costa una sola bottiglia?! Quasi quanto un intero lingotto di dieci chili, saiiiiiiiiiii?!?! Hii-hhahhahhahhahha!!"""
Ushiromiya Battler,"""P-Piantala con le cavolate...!! Beatrice...?!! La Strega Dorata, dici?! {n}Ma smettila!!"
Ushiromiya Battler,"Dove sei?! Quel dannato vecchiaccio è con te?! Vi pesterò a sangue entrambi!! Dove ti trovi adesso?! Rispondimi!!"""
{f:5:Beatrice},"""Oh, e così vuoi incontrarmi? Uhhihihihi, è dura essere una donna tanto popolare! Però per favore, non provare ad abbordarmi quando Kinzo è nei dintorni, okaay? Questo qui diventa geloso di brutto e perciò ha un caratteraccio, capisci?"
{f:5:Beatrice},"... Ma quando Kinzo non c'è e siamo soli soletti, ti amerò quanto vuoi di nascosto, d'accordo...? Uhyaaahhahhahhahha aakkyakkyakkyakkyakkya!!!"""
Ushiromiya Battler,"""T-Tu sei pazza..."""
{f:5:Beatrice},"""Kinzo, ho cambiato idea. Non mi occuperò del test di Maria. Vai tu."""
Ushiromiya Kinzo,"""Come sei volubile. Allora dici che ti occuperai del test di Battler?"""
{f:5:Beatrice},"""Nulla di male in questo, giusto~?! Quel tipo assomiglia così tanto a te da giovane da farmi battere il cuore all'impazzata."
{f:5:Beatrice},"Non preoccuparti, non ti tradiròòòò. Questa sarà l'unica volta in cui sarò da sola con lui. ... Sono sempre sola con te a letto, giustooo...? Però basta legarmi al letto con un collare, va bene? Kuhhyahhahhahahahahaha...!!!"""
{f:5:Beatrice},"""Ebbene, Battler! Io, Beatrice la Strega Dorata, condurrò di persona il tuo test! Per quel che riguarda il luogo... già. All'ingresso principale di questa villa!"
{f:5:Beatrice},"Battler, assicurati di impegnarti seriamente nel test per diventare il nuovo capofamiglia, okaay? ... Voglio dire, Kinzo è praticamente un morto che cammina. Se diventi il prossimo capofamiglia, sarai il nuovo padrone di tutto quello che è su quest'isola."
{f:5:Beatrice},"... Se si tratta di te... non mi dispiacerebbe diventare tutta tua, sai...? {n}Proprio come ha fatto Kinzo... dominami, ok...? Kuhhihihihihihihihi, uhhyahhahhahahahahahaha!"""
Ushiromiya Battler,"""L-L'ingresso principale della villa... perfetto...!! Razza di bastarda avvinazzata!! Ti farò riprendere dall'ubriacatura. I miei pugni bollenti ti sistemeranno la sbornia!! Preparati!!"""
,"D'impulso, Battler abbassò la cornetta con violenza. Non c'era più bisogno di utilizzarla per parlare."
,... La incontrerò faccia a faccia e pareggerò I conti!!
,"Presi la lancia che avevo fatto smontando l'appendiabiti, e uscii fuori senza nemmeno un ombrello."
,... Era difficile immaginare che quella giovane donna che diceva di chiamarsi Beatrice mi avrebbe atteso da sola.
,"... Probabilmente dovrei dare per scontato che, come Gohda-san e gli altri hanno detto, mi aspetterà con delle truppe di supporto."
,Andare da solo sarebbe troppo rischioso...
Ushiromiya Battler,"""Gohda-san, Kumasawa-san...! Sono io, Battler...!"""
,"Per primo, mi diressi al capannone del giardino. Ho bisogno di tutto l'aiuto possibile."
,"Gohda-san è di stazza grossa, quindi posso probabilmente contare sulla sua forza. La conoscenza e la familiarità che Kumasawa-san ha col posto, essendo una dei domestici più anziani, potrebbero diventare un'arma decisiva."
,"Entrambi hanno un passepartout, e conoscono la villa meglio di me. Sono degli alleati molto affidabili."
,"Mentre battevo i pugni sulla serranda e li chiamavo da fuori perché aprissero, mi ricordai che non potevano fare nulla dall'interno."
,Dovevo riprendere la chiave da loro prima di aprire la porta.
,"Girai l'angolo, bussai sulla finestrella coperta dalla grata, e la aprii."
Ushiromiya Battler,"""Gohda-san, Kumasawa baa-chan...! Sono Battler...!! Ehi, forza, alzatevi... e... hi..."""
,"La scena nel capannone, illuminata da una lampadina fioca... era molto... strana..."
Ushiromiya Battler,"""... Gohda... sa... n... Kumasawa... sa... n..."""
,Da una trave bassa del soffitto... pendevano due corde robuste... e alle loro estremità... Gohda-san e Kumasawa-san... erano attaccati... per il collo...
,"C'era poca luce e spazio, grazie a tutti i vari attrezzi sparsi qua e là, perciò non riuscii a decifrare con chiarezza la situazione."
,"... Ma quando non si smossero nemmeno di un centimetro dopo che li ebbi chiamati, e a causa del modo in cui i cappi attorno al loro collo sembravano supportare l'intero peso dei loro corpi, io non riuscivo ad avvertire una minima traccia di vita provenire da loro..."
Ushiromiya Battler,"""Questo... è uno scherzo... giusto...? ... Perché...?"""
,La serranda era ancora chiusa.
,"... E c'era una sola chiave, che presumibilmente era stata data a Gohda-san."
,Quindi in che modo il colpevole... aveva aperto la serranda e ucciso all'interno tutti e due...?
,"No un momento, non devono per forza essere stati uccisi... se questo è un suicidio..."
,"... Questa stanza chiusa ha senso così, ma non so perché avrebbero dovuto impiccarsi e uccidersi...!!"
,Senza forze... crollai lì dove mi trovavo.
,"Adesso, gli unici esseri umani in vita su quest'isola... siamo io, Maria... e quel maledetto vecchiaccio."
,"... No, c'è anche quella donna folle che si fa chiamare Beatrice..."
,"Maria, che sin dall'inizio ha agito come l'alleata della strega. E quel vecchiaccio, il capobanda che aveva resuscitato la strega. E poi, la strega stessa."
,... Che diavolo... è come se ora... fossi l'unico su quest'isola...
,"Usando la mia asta come un bastone da passeggio, mi alzai privo di forze."
,"... Dannazione, non posso farcela così... io devo vendicare... tutti..."
Ushiromiya Battler,"""Dannazioneeee... così è inutile... aaah, è inutile, è tutto inutile... Dannazioneeeeeeeeeeee..."""
,Perché non piango per adesso... in questo modo le mie emozioni più fragili verranno cacciate vie assieme alle lacrime...
,"Poi... drizzai la schiena, e puntai lo sguardo sull'oscurità in direzione della villa."
,"... All'entrata della villa, la strega sta aspettando."
,Andrò... e sistemerò questa faccenda.
,Scoverò l'origine di questa folle notte bizzarra... e la faro a pezzi con le mie stesse mani...!
,"Sotto la pioggia battente... attraversavo il roseto senza un ombrello, lasciando che mi inzuppassi."
,... Potevo scorgere il pergolato dall'altra parte.
,"Stando a Jessica, sembra che anche George-aniki fosse stato ucciso..."
,"Beh, a questo punto, non c'è bisogno di preoccuparsi per le vite di eventuali ostaggi. ... Lasciai il sentiero, diretto al pergolato."
,Poi... vidi il corpo di George-aniki bistrattato dal maltempo...
Ushiromiya Battler,"""... Aniki... dannazione..."""
,Il corpo si trovava davanti al pergolato.
,"Se fosse morto lì sotto, perlomeno gli sarebbe stato risparmiato di essere colpito ripetutamente dalla pioggia..."
,"C'era un buco profondo sulla fronte di Aniki, come se gli avessero sparato con una pistola."
,"Forse perché la pioggia aveva lavato via tutto, il suo volto non era ricoperto di sangue... e così sembrava quasi che stesse dormendo."
,"... Tuttavia, i suoi vestiti erano macchiati di rosso scuro, e c'erano ancora segni indicanti che avesse perso una grossa quantità sangue..."
,"Come sarei felice se stesse dormendo, oppure se stesse fingendo di essere morto..."
,"... Ma a dispetto della pioggia che li colpiva, gli occhi di Aniki rimanevano aperti."
,"... E... il buco sulla sua fronte era, senza alcun dubbio... autentico..."
,C'era stata una vaga possibilità che anche la faccenda di Gohda-san e Kumasawa-san impiccati nel capannone del giardino fosse stata tutto uno scherzo.
,Ma ora quell'ingenua possibilità era stata rinnegata del tutto.
,"E, mentre guardavo questo cadavere, divenni del tutto certo di una cosa."
,Proprio come Gohda-san aveva detto in precedenza. ... Il nemico si è messo a mietere vite come se queste vite fossero pedine su una scacchiera.
Ushiromiya Battler,"""... Aaaah... non c'è dubbio. ... Sembra che il vecchiaccio e la strega... davvero non considerino le nostre vite come niente di più..."""
,... Quella dannata strega ha detto qualcosa al telefono... qualcosa riguardo a come ci troviamo ‘sulla scacchiera’...
Ushiromiya Battler,"""... Perfetto... capisco, crede che questo sia un gioco... allora... nello stesso modo in cui hai ucciso tutti come se fosse un gioco... non ci sono problemi se io ammazzo voi come se fosse un gioco, vero...?"
Ushiromiya Battler,"... Preparati... Beatrice..."""
,I lampi fecero sollevare l'ombra imponente della villa.
,... Finalmente... la villa.
,"Quando la sua forma maestosa entrò nel mio campo visivo, non c'era nemmeno la sagoma di una persona. Sembrava che non ci fossero sottoposti ad attendermi in branco, né nulla di simile."
,"... Secondo Kyrie-san, c'erano schiere di servitori con teste di caproni."
,"Almeno per ora, non avvertivo... la presenza di un gran numero di questi starsene nascosto a osservarmi..."
,Questo cos'è...? Sotto il pergolato dell'ingresso... c'era qualcosa a terra.
Ushiromiya Battler,"""... Cos'è questa? ... Una... scatola?"""
,Assomigliava a quel tipo di scatolina in cui le ragazze spesso tengono i loro gingilli.
,... O forse era come quegli stravaganti portasigari che si trovano nelle sale per ricevimenti.
,"Ad ogni modo, sembrava fuori luogo lì... sembrava chiaro che... mi stessero dicendo di aprirla."
,"Ma chissà perché, aprire qualcosa che mi stava venendo offerta era irritante. ... Tuttavia, pareva che non saremmo arrivati da nessuna parte se non l'avessi aperta."
,Che sia stata munita di qualche trappola che la farà esplodere una volta aperta...?
,"Con questi pensieri in testa, dimenticando persino di farmi sotto il tetto, continuai a fissare con astio la scatola, che veniva ancora martellata dalla pioggia."
,"Poi... mischiata al tuono, ci fu una specie di... musica? ... A sentirla sembrava qualcosa di simile."
,... Era il rintocco del grande orologio all'ingresso che annunciava le 24:00.
