Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Natsuhi,"{a:c: ""Sono Natsuhi, aprite per favore...!!""}"
,Natsuhi urlò mentre bussava forte e ripetutamente.
,"Poco dopo si udì il rumore di una serratura, e il suono della porta dello studio di Kinzo che si apriva."
,"Mentre la porta si apriva, si diffuse un forte odore dolciastro e velenoso."
,"Natsuhi si vergognava sempre della smorfia automatica che fece, anche se era un gesto scortese verso il capofamiglia..."
,Krauss la stava aspettando nello studio.
,Natsuhi si gettò fra le sue braccia.
Ushiromiya Natsuhi,"""... Nostro Padre è... è..."""
Ushiromiya Krauss,"""Calmati. ... Il dottor Nanjo lo sta visitando ora..."""
,"Con andatura incerta, Natsuhi si avvicinò al centro dello studio, sostenuta da Krauss."
,"Qui si ergeva un dignitoso letto degno del capo della famiglia Ushiromiya, assieme a Nanjo, Genji e Kumasawa..."
Ushiromiya Natsuhi,"""Dottor Nanjo... n... nostro Padre è..."""
,"Con un profondo sospiro, Nanjo si scostò dal letto."
,"Sul letto era disteso Kinzo, dormiente..."
Nanjo Terumasa,"""... È morto pacificamente. ... Non penso che Kinzo-san abbia avuto dei rimpianti."""
Ushiromiya Natsuhi,"""Ah... waaaaaaaaaaaahhhhhhhh... Padre... Padreeeeeeeeee...!!"""
,"... Natsuhi si lasciò cadere sul petto di Kinzo, l'uomo che era caduto in un sonno dal quale non si sarebbe più risvegliato, e singhiozzò."
Kumasawa Chiyo,"""M... Madame... la prego, si faccia coraggio..."""
Ushiromiya Natsuhi,"""Padre, Padre...!! È accaduto... troppo all'improvviso... aaaaaaaahhhhhhh!!!"""
Ronoue Genji,"""..."""
,"Natsuhi non riusciva a fermare le lacrime per la morte di Kinzo, che aveva amato come un secondo Padre."
,"Kumasawa accarezzò la schiena di Natsuhi, consolandola..."
,Krauss si accasciò sulla sedia preferita di suo Padre.
,"Sedendo lì, probabilmente si era immerso nei ricordi di suo Padre venuto a mancare."
,"O forse pensava che sedendo lì, sarebbe riuscito a capire almeno una parte della pazzia degli ultimi anni di Kinzo, che non era mai stato in grado di comprendere..."
,"E anche Nanjo, proprio come ai tempi in cui Kinzo soleva sedere in quella sedia, esaminando una mossa di scacchi..."
,... si voltò e guardò il mondo esterno attraverso uno spiraglio nelle tende...
Ushiromiya Krauss,"""... Se doveva comunque morire, sarebbe stato meglio se fosse rimasto a letto malato per un anno circa prima di spirare. Vorrei che fosse morto dopo un periodo sufficiente per preparare gli accorgimenti necessari."""
Nanjo Terumasa,"""Al contrario. ... Dovremmo essere grati che sia rimasto così vivace fino alla fine."""
Ushiromiya Krauss,"""Almeno per quanto riguarda le apparenze in pubblico..."""
,Anche Nanjo lo capiva.
,"Kinzo Ushiromiya, che era sorto come una cometa nel mondo degli affari dopo la guerra e aveva brillato come una supernova, era morto."
,Il suo funerale sarebbe probabilmente stato imponente. E sarebbe anche stato la cerimonia che certificava la successione al comando per Krauss.
,"Avrebbe dovuto preparare tutto come ospite dell'evento, portare avanti perfettamente la diplomazia del funerale, e rendere chiaro che la famiglia Ushiromiya aveva ancora un'enorme influenza nelle sfere politiche e finanziarie."
,"Guardando Krauss, a Nanjo vennero alla mente ricordi del tempo in cui Kinzo era stato improvvisamente scelto come successore al comando degli Ushiromiya, tempo in cui Kinzo si era sentito perso e confuso."
,"Quindi, riusciva a capire le preoccupazioni di Krauss e a simpatizzare con lui..."
,I singhiozzi di Natsuhi cominciarono a calmarsi.
,"Vedendo questo, e lasciando Kumasawa a badare a Natsuhi come supporto femminile, Genji ritornò."
,"E, come per chiedere cosa andasse fatto, abbassò un poco il capo."
Nanjo Terumasa,"""... Genji-san e io ci occuperemo delle formalità. Krauss-san, forse dovrebbe contattare prima i parenti."""
Ushiromiya Krauss,"""..."""
,"Krauss, con le mani che ancora gli coprivano gli occhi, non rispose..."
,"Forse anche sapendo che questo giorno sarebbe prima o poi arrivato, Krauss non riusciva a nascondere il suo shock a quanto in fretta li avesse raggiunti."
Ronoue Genji,"""... Lasci fare a me e al dottor Nanjo. Krauss-sama, suggerisco che prima parliate con Madame."""
,"Forse l'aveva sentito, o forse era una coincidenza. Come rispondendo alle parole di Genji, arrivò Natsuhi."
,"I suoi occhi erano arrossati dal pianto, ma sembrava capire le grosse responsabilità che erano state imposte su di loro anche meglio di Krauss."
Ushiromiya Natsuhi,"""A partire da ora, tu sei il nuovo capo della gloriosa famiglia Ushiromiya. Mostriamo a tutti, dentro e fuori, che sei splendidamente succeduto a tuo Padre. ... Essendo tua moglie, io, Natsuhi, sono pronta a servirti fino al giorno in cui le nostre bare saranno deposte vicine l'un l'altra!"""
Ushiromiya Krauss,"""..."""
,"Cercando di incoraggiare suo marito, stravolto dallo shock, Natsuhi pronunciò parole rassicuranti."
,"Quando Krauss finalmente abbassò le mani che gli coprivano la faccia... guardò il soffitto con un'espressione vuota ed emise un profondo, profondo sospiro..."
Ushiromiya Natsuhi,"""... Per favore, fatti forza. C'è un gran numero di persone che proveranno a divorare tutto ciò che nostro Padre ci ha lasciato. Dobbiamo combattere per proteggere il suo l'onore e le sue ricchezze. Questa è la prima responsabilità del capofamiglia degli Ushiromiya."""
Ushiromiya Krauss,"""... Capisco. Lo capisco."""
Ushiromiya Natsuhi,"""Dottor Nanjo, Genji, per cortesia, occupatevi dei preparativi legali e del funerale. Specialmente tu, Genji. Ti chiedo di fare particolare attenzione affinché il funerale sia degno di nostro Padre."""
Ronoue Genji,"""... Certamente."""
Ushiromiya Natsuhi,"""E dottor Nanjo. Nostro Padre non è spirato in ospedale... quindi..."""
Nanjo Terumasa,"""Hmm. A seconda delle circostanze potrebbe essere necessaria un'autopsia..."""
Ushiromiya Natsuhi,"""Può provvedere...? Anche se è appena morto, il suo corpo è prezioso. {n}Qualsiasi danno ad esso non sarebbe accettabile..."""
