Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Battler,"""Questo giardino di rose è davvero un capolavoro. È diventato ancora più bello di quant'era sei anni fa. Sei così fortunata ad averlo come cortile!"""
Ushiromiya Jessica,"""Stai scherzando? Mi rende soltanto più lungo l'arrivare al porto, il che è una bella seccatura."""
Ushiromiya George,"""Hahaha. È una preoccupazione piuttosto lussuosa."""
Ushiromiya Maria,"""Uu-! Poter dire ciao alle rose ogni mattina, che bello! Dovrai far tardi dopo aver detto ciao a così tante rose...!"""
Ushiromiya Jessica,"""Peccato per Ange però. Ho saputo che il suo stomaco è spesso sottosopra?"""
Ushiromiya Battler,"""Così pare. Probabilmente ha l'intestino debole. Continua ad avere la diarrea."""
Ushiromiya Maria,"""Uu-. Non dovresti dire queste cose di una ragazza..."""
Ushiromiya Battler,"""Ihihihihi, scusami tanto. Già, l'avevo dimenticato, dal didietro di una ragazza escono i marshmallow, ve{p:0:～}ro? Quindi, Ange si è ammalata, e i marshmallow si sono trasformati in sciroppo."""
Ushiromiya Jessica,"""Come pensavo, questo è davvero-"""
Ushiromiya George,"""-troppo disgustoso."""
,George e Jessica piantarono un ginocchio e un pugno dritti in entrambi i lati dell'intestino di Battler.
,"*whack*, *smack*thud*."
,... Lo *smack*thud* era probabilmente il suono emesso quando le sue ginocchia colpirono il suolo mentre cadeva.
,"Normalmente, Battler aveva il buonsenso che ci si aspetterebbe da un ragazzo di diciott'anni."
,"Tuttavia, sembrava che questa riunione lo avesse riportato all'età mentale che aveva sei anni prima."
,"E poco alla volta, Jessica e George capirono che anche loro stavano tornando a com'erano sei anni prima..."
,Natsuhi guardò questa (amabile?)... conversazione da una finestra aperta nel salone.
Ronoue Genji,"""... Madame. Krauss-sama la sta cercando."""
Ushiromiya Natsuhi,"""Arrivo fra un istante. ... Non è ancora l'ora di pranzo... e sono già stanca."""
,"Poco prima, erano già cominciate a volare scintille fra loro e il gruppo di Eva."
,Gli altri avevano incalzato sempre più Krauss e Natsuhi per far uscire Kinzo dal suo studio...
,"A quanto sembrava, non erano stati completamente ingannati alla riunione di famiglia dell'anno precedente, dopotutto..."
Ushiromiya Natsuhi,"""... Non ci sono... problemi con nostro Padre, vero...?"""
Ronoue Genji,"""Esatto. ... Lasci fare a me. Anche Shannon e Kanon sono perfettamente consapevoli delle disposizioni per oggi."""
Ushiromiya Natsuhi,"""... Kumasawa è una brava mentitrice, quindi non mi preoccupo di lei... ma sono un po' in ansia per il dottor Nanjo. ... Ho l'impressione che non sappia mantenere i segreti."""
Ronoue Genji,"""... Lasci fare a me. Intendo aiutare da vicino il dottor Nanjo il più possibile."""
Ushiromiya Natsuhi,"""È molto rassicurante averti qui. ... Aiuta davvero tanto. ... Senza la tua forza, non saremmo in grado di farcela."""
Ronoue Genji,"""... Sono onorato per le sue parole."""
{f:5:Beatrice},"""Non preoccuparti. La barriera della camera chiusa sullo studio è perfetta. Finché rimane intatta, nessuno potrà esporre il segreto di Kinzo."""
Ushiromiya Natsuhi,"""... Sì, capisco. Eppure, hai sentito quella conversazione in salotto poco fa, no?"""
{f:5:Beatrice},"""... Sì. Sembra che l'anno scorso si siano alzati dei sospetti considerevoli. {n}La terribile tossina si è accumulata e si sta diffondendo tutt'attorno."""
Ushiromiya Natsuhi,"""... Sembra che la conferenza di quest'anno sarà cruciale."""
{f:5:Beatrice},"""Potremmo essere in grado di farcela quest'anno in qualche modo... ma non dobbiamo spingere troppo oltre la nostra fortuna. Forse è meglio assumere che il prossimo anno non sarà possibile."""
Ronove,"""... Con così tanta tossina anti-magia che riempie questo posto, probabilmente sarà difficile conservare la magia di Lord Goldsmith per un'altra riunione di famiglia."""
Ushiromiya Natsuhi,"""C... Chi sei tu?"""
{f:5:Beatrice},"""Oh, non c'è bisogno di essere sorprese. Lui è al mio servizio come capo del mobilio."""
Ronove,"""Salute, Madame Natsuhi. Il mio nome è Ronove. È un piacere conoscerla..."""
{f:5:Beatrice},"""Quest'uomo è affidabile. Anche lui sta aiutando a fare la guardia alla barriera della camera chiusa."""
Ushiromiya Natsuhi,"""... Davvero? Io sono Ushiromiya Natsuhi. Ti ringrazio per la tua cooperazione."""
Ronove,"""Certamente, Madame. ... La aiuterò dal mondo magico. La prego di contare su di me."""
Gaap,"""... In tal caso, immagino che sarò la prossima a presentarmi. {p:0:＜}Hi{p:0:＞}, Riiche. {n}Da quanto tempo..."""
{f:5:Beatrice},"""Ah, Gaap!! Sono contenta di vedere che ci sei anche tu!"""
Gaap,"""... Beh, sono solo venuta per divertirmi un po'. ... Se ti serve una mano in più, fammi sapere. Lieta di conoscerla, Madame. ... Questa è la prima volta che saluto, ma sono sempre al fianco di chiunque."""
Ronove,"""Pu ku ku. Gaap è piuttosto burlona... ricorda quella medicina per il mal di testa che le era caduta sul pavimento della sua camera e aveva perso mentre si vestiva? È stata colpa di Gaap."""
{f:5:Beatrice},"""Ogni volta che appoggi qualcosa di piccolo da qualche parte e più tardi non lo trovi più, è sempre una buona idea sospettare che sia uno dei suoi scherzi. ... Tempo fa, mi stuzzicava sempre!"""
Ushiromiya Natsuhi,"""D... Davvero? ... In ogni caso, questa è la villa Ushiromiya. Finché rimanete qui, ci obbedirete. Lo capite, vero?"""
Ronove,"""Ma certo. La capiamo. ... Pensi a me come ad un Genji del mondo magico, e mi dia ordini quando lo desidera."""
Gaap,"""... Sono abbastanza sicura di sapere come essere una buona ospite. {n}Non lascerò che il padrone di casa perda la faccia."""
