Speaker,Italian (Ars Magica) (Old) (ITA)
,*knock*knock*knock*knock*!!!
,Il suono improvviso di qualcuno che colpiva ferocemente la porta fece riprendere i sensi a Natsuhi.
,Probabilmente si era appisolata nello studio mentre pianificava come avrebbero superato il giorno successivo.
,Ma... che potrebbe essere...? In un momento come questo...
,"Ma soprattutto, la bussata in sé era strana."
,"Se qualcuno avesse provato a contattarla, avrebbe potuto usare la linea telefonica interna."
,Aveva detto che sarebbe stata lì.
,"Realizzando che stava succedendo qualcosa di strano, Natsuhi scosse la sua testa un'altra volta, sbarazzandosi completamente della sua sonnolenza."
Ushiromiya Eva,"""Padre, Padre...!! Sono Eva. Ho qualcosa di urgente e vitale di cui parlarti!"""
,Era la voce di Eva.
,... Cosa c'è?
,Pensavo di aver detto di chiudere strettamente le porte e le finestre della villa dopo che tutti fossero andati alla casa degli ospiti.
,Allora perché Eva è qui...?!
,"Natsuhi corse alla porta, rispose con un piccolo colpo, e parlò attraverso la porta con una voce silenziosa."
Ushiromiya Natsuhi,"""... Cosa c'è? Sei troppo rumorosa."""
Ushiromiya Eva,"""Natsuhi Nee-san...?! Perché sei nello studio di Papà a quest'ora?!"""
Ushiromiya Natsuhi,"""... Ti ho detto di fare silenzio! Hai dimenticato che al capofamiglia piacciono la pace e il silenzio più di ogni altra cosa...?!"""
Ushiromiya Eva,"""Adesso non è il momento di dirlo!! Smetti di insistere e apri velocemente!! {n}Fai uscire Papà!!"""
Ushiromiya Natsuhi,"""Il capofamiglia è appena andato a dormire! Non so che affari tu possa avere, ma ascolterò domani!"""
Ushiromiya Eva,"""Non ho nessun affare con te!! Apri e basta adesso!!"""
,"Certe volte, multipli schemi e ipotesi possono cadere a pezzi a causa della più diretta, semplice e istintiva delle strategie."
,Questo è grave...
,"Se apro la porta, Eva probabilmente si lancerà in avanti e si precipiterà nello studio."
,"Adesso, non posso neanche aprire questa porta...!"
,"In quel momento, il telefono suonò improvvisamente."
,È-È tutto a posto. Entrambe le chiavi per lo studio sono qui.
,Nessuno può aprire questa porta...!
,Natsuhi si spostò gradatamente dalla porta e prese il ricevitore...
Ushiromiya Natsuhi,"""P... Pronto!! Sono Natsuhi!"""
Ushiromiya Krauss,"""Sono io... le cose vanno male. Voglio che tu venga giù nel salotto, velocemente."""
,Era da Krauss. Il suo tono era teso.
,... Cosa diavolo è successo...?!
Ushiromiya Krauss,"""Sembra che Battler-kun e l'ospite chiamato Erika... abbiano risolto l'epigrafe della strega e trovato l'oro."""
Ushiromiya Natsuhi,"""Huh?... È... È la verità?!"""
Ushiromiya Krauss,"""Rudolf e gli altri sono entrati con la forza. Dicono che Battler-kun mostrerà a tutti la via alla posizione dell'oro nascosto..."""
Ushiromiya Natsuhi,"""Proprio adesso, Eva-san è fuori dalla porta, urlandomi di aprirla...! Se la apro ora, potrebbe farsi strada nello studio...!!"""
Ushiromiya Krauss,"""... C-Capisco. Andrò lì anch'io. Non preoccuparti di Eva. Stai solo lì e non fare niente...! Ti darò un segnale una volta che avrò allontanato Eva dalla porta, quindi esci non appena lo senti. Pronta...?!"""
,"Subito dopo, Krauss salì le scale, accompagnato da Genji."
,"Un animato dibattito iniziò tra lui ed Eva. ""Apri!"" ""No, calmati."""
,"Intanto, ci fu un piccolo colpo come segnale."
,... Krauss aveva abilmente allontanato Eva dalla porta e l'aveva distratta.
