Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Natsuhi,"""... Padre... sono Natsuhi. Buongiorno..."""
Ushiromiya Eva,"""Non si sveglierà mai se fai così! Papà, sono Eva! Alzati per favore! {n}È un'emergenza!!"""
,Eva spinse via Natsuhi e bussò più volte con tutta la sua forza.
Ushiromiya Natsuhi,"""A-Abbassa la voce...!! Sei troppo rumorosa...!"""
Ushiromiya Eva,"""È davvero il momento di dire una cosa del genere?!?!"""
Furudo Erika,"""... Perciò non risponde né al telefono né alla porta? Questo è un problema."""
Nanjo Terumasa,"""... P... Potrebbe essere ancora di cattivo umore... Kinzo-san a volte considera anche il più piccolo cambiamento come un presagio e diventa di cattivo umore per ragioni che solo lui comprende..."""
Kumasawa Chiyo,"""Hoh... hohoho... sì, è vero... non è qualcosa cominciato solo oggi..."""
Ushiromiya Battler,"""Il Nonno vuole così tanto chiudersi nello studio?"""
Shannon,"""... Sì. ... Non è raro che stia nel suo studio anche per più di un mese consecutivo..."""
Gohda Toshiro,"""... Non ditelo a nessuno... ma anche se lavoro qui, a volte dimentico che anche il Padrone vive qui..."""
Ushiromiya Natsuhi,"""Gohda. Non è il genere di cose che un domestico dovrebbe dire!!"""
Gohda Toshiro,"""L-Le mie scuse, Madame... sono davvero dispiaciuto..."""
Ushiromiya Hideyoshi,"""Comunque... è un male che non possiamo contattarlo, no? Nel peggiore dei casi, Papà potrebbe perfino non venire a sapere del crimine! Giusto?!"""
Kanon,"""... G-Già, chissà..."""
,"Accorgendosi acutamente che stavano cominciando a dubitare dell'esistenza di Kinzo, Kanon mormorò queste parole..."
Ushiromiya Kyrie,"""... Chi è stato l'ultimo a incontrare nostro Padre...? ... E quando?"""
Ushiromiya Natsuhi,"""S... Sono stata io. Ieri notte... fino al momento della confusione quando Battler-kun ha trovato l'oro, sono stata nel suo studio, per il rapporto quotidiano."""
Furudo Erika,"""... Quindi attorno alle 23:00 di ieri notte."""
Ushiromiya Rudolf,"""... Non abbiamo scelta. Apriamo."""
Ushiromiya Natsuhi,"""C-Cos'hai detto...?! Questo è il prezioso studio e stanza per le ricerche del capofamiglia! A nessuno è permesso entrare senza permesso, d'accordo?!"""
Ushiromiya Eva,"""Chi ha il grado più alto qui? Io, giusto?! Io sono la terza per grado della famiglia Ushiromiya! Se la apriamo e veniamo sgridati da Papà, è una responsabilità del più alto in grado. A causa delle circostanze urgenti, apriremo questa porta. {n}Hai una chiave, giusto? Aprila."""
Kanon,"""S... Sono sicuro che ne è al corrente, ma la porta dello studio non può essere aperta col passepartout."""
Shannon,"""Umm... il Padrone recentemente ha preso anche la chiave di Genji-sama, quindi tutte e due le chiavi sono in suo possesso. ... Perciò, umm..."""
Ushiromiya Battler,"""... Perciò, entrambe le chiavi che possono aprire questa porta sono nello studio."""
Furudo Erika,"""Una stanza chiusa. ... {p:0:＜}Good{p:0:＞}. Finalmente la cosa comincia a farsi un po' interessante. ... Sarebbe forte se Kinzo-san... fosse sul letto qua dentro con la gola tagliata."""
Ushiromiya Natsuhi,"""Sei troppo impudente, Erika-san!! C... Comunque, come sai, questa porta può essere aperta solo dalle chiavi che ha nostro Padre."""
Ushiromiya Natsuhi,"""... Ciò significa che è impossibile per chiunque, anche un assassino, perfino toccarlo da fuori dalla stanza! Quindi deve per forza stare bene...!!"""
Ushiromiya Eva,"""Però questo non significa che non dovremmo preoccuparci di controllare se sia al sicuro. Davvero non ti interessa accertarti della sicurezza del Padre che rispetti così tanto...?"""
Ushiromiya Natsuhi,"""... N... Non è..."""
,"L'atmosfera, che era così agitata fino ad un momento prima, diventò improvvisamente fredda... e una strana sensazione riempì la stanza mentre tutti guardavano Natsuhi."
,... Potevano capire perché Natsuhi volesse proteggere lo studio in circostanze normali.
,"Capivano che probabilmente non volevano disturbare le ricerche di Kinzo, che lei rispettava, e stava quindi cercando di tenere alla larga i non benvenuti parenti."
,Tuttavia... questa era una situazione speciale. Era avvenuto un omicidio.
,La persistenza di Natsuhi nel tenere Kinzo all'oscuro anche in una situazione del genere... era difficile da capire usando il buonsenso.
Furudo Erika,"""... C'è una buona possibilità che il crimine che è stato commesso su quest'isola risulterà essere omicidi programmati per seguire l'epigrafe. ... È probabilmente una buona idea aspettarsi che i crimini continuino."""
Furudo Erika,"""Se la consideriamo come una serie di omicidi che segue l'epigrafe, ciò significa che i crimini continueranno ancora, risultando in un totale di 13 vite perse. ... Avete idea di quante vittime sarebbero?"""
Ushiromiya Rudolf,"""... Un attimo. Quante persone credi che ci siano su quest'isola? ... Non sarebbero quasi tutti...?"""
Furudo Erika,"""Non non. Ti stai sbagliando del tutto. ... Per quanto ne so, il libro giallo con il numero più alto di morti in un omicidio seriale è ‘Dieci Piccoli Indiani’ di Agatha Christie, che aveva 10 morti. Nel regno dei gialli giapponesi, è probabilmente ‘The Tokyo Zodiac Murders’ di Shimada Souji. Anche se in quello c'erano meno di dieci morti."""
Furudo Erika,"""... Lo sapevate? Se di questo passo moriranno 13 persone, diventerà il più famigerato e famoso sviluppo nella storia del genere giallo, il completamento di un caso di omicidi seriali di 13 persone, capisci? E se tutti su quest'isola vengono uccisi..."
Furudo Erika,"... sarebbe un traguardo storico nel mondo dei misteri di omicidi, con ancora più morti della storia di mistero più lunga del mondo e la più lunga in Giappone messe insieme, non vedi?! ... Ehi, lo sapevate? Voi tutti?"""
Furudo Erika,"""Il colpevole in questo crimine... ci sta lanciando un'incredibile sfida, una che potrebbe anche superare tutti i misteri nel mondo e nella storia. ... Ovviamente, tutti ci sono arrivati tempo fa, giusto...? Se vi piace il giallo, dovete leggere la Christie. Se siete giapponesi, allora è naturale che abbiate letto tutti i lavori di Shimada Souji. ... Siete sicuri di aver letto abbastanza, voi tutti? *giggle*giggle*, *cackle*cackle*cackle*..."""
Ushiromiya Battler,"""... È inutile."""
Furudo Erika,"""Huh...?"""
Ushiromiya Battler,"""Sembra che sia tu a non aver letto abbastanza."""
Furudo Erika,"""Ho detto qualcosa di sbagliato...?"""
,"Erika, che aveva chiacchierato allegramente tutta da sola fino ad un momento prima, cambiò la sua espressione in un'occhiata irritata in un istante..."
Ushiromiya Battler,"""A proposito di ciò che stavi dicendo sul genere poliziesco giapponese. {n}‘Non-serial Murders’ di Sakaguchi Ango batte ‘The Zodiac Murders’."""
Furudo Erika,"""... ah. ... I... Il numero di persone era lo stesso in entrambi, giusto?"""
Ushiromiya Battler,"""Sono pari sulla carta, ma ‘Non-serial Murders' fu pubblicato per la prima volta nel 1947. ‘The Zodiac Murders’ nel 1981. ... Se ne sai così tanto, non dovresti aver citato prima ‘Non-serial Murders’?"""
Furudo Erika,"""... Nn... gah."""
,"Erika fissò Battler con un'espressione che non poteva essere descritta solo con la parola ‘shock’, e le sue braccia tremarono mentre se ne stava lì, senza parole..."
{f:5:Lambdadelta},"""Ahahahahahahaha, kyaahhahahahahahahahahaha!! È così pateeetico!!"""
{f:5:Lambdadelta},"""Beh, è comprensibile. I crimini in ‘Zodiac’ avevano luogo nel 1936, giusto? Questo deve averla confusa, vero? Aaahhihihihihihihihhyahahahaahh!!"""
,"Lambdadelta continuava a colpire il tavolo con la mano, sopraffatta dalle risate."
,"Perfino Bernkastel, che era stata umiliata, sbuffò e cominciò a picchiare sul tavolo e ridere alla stessa maniera."
{f:5:Bernkastel},"""Pfft... hihihihihhahahahahahaah!! Divertente, divertente!! Giihihihihihihihihihihiii!! ... Non male, pedina di Battler. Gahihihihihyahahhaahahahahahahahahahahaaaaaaaahhh!!"""
Furudo Erika,"""... Sono impressionata. ... Devi leggere un sacco... vero, Battler-san?"""
Ushiromiya Battler,"""Libri? Non ne leggo per niente."""
Furudo Erika,"""... Bugiardo. ... Ne sai... parecchio, vero?"""
Ushiromiya Battler,"""Non direi mai qualcosa di così arrogante come ‘Io leggo libri’. ... ‘Io leggo libri’ non è qualcosa che dovrebbe dire così alla leggera qualcuno... che ne legge solo un centinaio circa all'anno, non credi anche tu...?"""
Furudo Erika,"""T... Tu, semplice... pedina..."""
Ushiromiya Hideyoshi,"""Ah... *cough*. ... C-Comunque, non possiamo lasciare che avvenga un crimine così grande...!!"""
Ushiromiya Rudolf,"""Giusto. Comunque, la nostra priorità è controllare che Papà sia al sicuro ora. Ma cosa dovremmo fare? Sta ignorando il telefono e la porta. Le chiavi sono all'interno. Non c'è nulla che possiamo fare. Dovremmo sfondare questa porta pesante? ... Non sarà facile."""
Ushiromiya Eva,"""Papà potrebbe essere stato attaccato da qualcuno e gravemente ferito, e magari sta aspettando che qualcuno lo soccorra. ... Queste sono circostanze straordinarie. Anche Papà capirà. E se ha delle lamentele, sarò felice di prendermi la responsabilità."""
Ushiromiya Natsuhi,"""... M-Ma... sfondare una porta sarebbe... p-piuttosto maleducato..."""
Ushiromiya Kyrie,"""Che ne pensate della finestra...?"""
Furudo Erika,"""G... Giusto. La finestra. ... C'è una scala da qualche parte che può raggiungere una finestra del secondo piano? Dovremmo poter entrare dentro rompendo la finestra...!"""
,Erika finalmente torno in sé e il suo tono riacquistò quel fare deciso.
Kumasawa Chiyo,"""La finestra al secondo piano... s-sarebbe rischioso..."""
Ushiromiya Rudolf,"""Non lo sapremo finché non ci proveremo. C'è in giro una scala che può arrivare al secondo piano?"""
Kanon,"""Non penso che la scala nella rimessa in giardino sia abbastanza lunga..."""
Gohda Toshiro,"""... Oh, allora cosa ne pensate della scala nella stanza della caldaia? Ricordo di averla già usata quando un uccello fece il suo nido in cima alla grondaia...! {n}Sì, quella lo raggiungerebbe senza problemi."""
,Doveva essere estremamente felice di aver pensato a qualcosa a cui Kanon non era arrivato.
