Speaker,Italian (Ars Magica) (Old) (ITA)
,"Nella Terra Dorata, una pioggia tranquilla... continuava a cadere."
,Sotto il pergolato... era seduta la triste strega i cui occhi avevano perso la loro luce... e Battler.
,"Anche Virgilia era lì presente. ... Era seduta vicino a Beato, lavorando a maglia tranquillamente."
,"Il gioco di Lambdadelta aveva superato il climax del primo crepuscolo, e si erano presi una piccola pausa."
,"Guardando il roseto dorato bagnato dalla pioggia... Battler pensò al presente, a che cosa sarebbe accaduto, e a ciò che era successo finora..."
,"Per Battler, anche il solo pensarci era una sfida."
,Anche con il gioco fermo e con Beato incapace di parlare... lui poteva continuare a combattere.
,... Virgilia improvvisamente smise di lavorare a maglia.
,Anche Battler se ne accorse.
,"... Perché, nonostante nessuno sarebbe dovuto essere capace di visitare questo roseto, lei aveva notato una sagoma avvicinarsi."
{f:5:Virgilia},"""... Strano. Non sono tante le persone che possono raggiungere questo luogo."""
Ushiromiya Battler,"""È lei..."""
,Quella sagoma... che camminava in mezzo alla pioggia che cadeva dolcemente senza neanche un ombrello... era Dlanor.
Dlanor,"""... Era davvero uno spettacolare LABIRINTO. Un modo davvero carino di godersi le ROSE."""
Ushiromiya Battler,"""Perché... sei qui?"""
Dlanor,"""È passato un po' di tempo, {p:0:＜}Mrs{p:0:＞} Beatrice. ... No, un attimo, ora lei è {p:0:＜}Mrs{p:0:＞} Virgilia, GIUSTO?"""
{f:5:Virgilia},"""Era da parecchio che non ti vedevo, Dlanor. ... Vieni qui. Non siamo i tipi che lasciano un ospite sotto la pioggia."""
Ushiromiya Battler,"""..."""
{f:5:Virgilia},"""Non preoccuparti. Non è venuta per combattere."""
Ushiromiya Battler,"""... La conosci?"""
{f:5:Virgilia},"""Lei è una delle mie vecchie amiche dal Paradiso. ... Questo mi porta davvero indietro nel tempo."""
Dlanor,"""ESATTAMENTE. {p:0:＜}Mrs{p:0:＞} Virgilia possiede una profonda conoscenza degli studi CELESTI. Ho spesso discusso con lei riguardo INTERPRETAZIONI."""
{f:5:Virgilia},"""Ho ho ho... le mie numerose avventure intellettuali con te sono state davvero divertenti. Mi piacerebbe farlo ancora qualche volta."""
Dlanor,"""Sì. Rifacciamolo qualche VOLTA. Mi piacerebbe combattere con lei ANCORA."""
,"Usarono la parola ‘combattere’, ma non sembrava che intendessero qualcosa di spiacevole. Sembrava come se fosse qualcosa che dei vecchi rivali di scacchi si sarebbero detti."
,"A differenza di Beato, sembrava che Virgilia si fosse sempre comportata in maniera appropriata e cortese, quindi aveva molti amici in vari altri mondi, inclusi sia il mondo celestiale che quello demoniaco."
,"Sorprendentemente, Dlanor era una di loro..."
,"Dlanor, che aveva incrociato le spade con ‘me’ proprio poco fa, abbassò la testa come per mettersi al riparo da una pioggia improvvisa e si sedette nel posto che Virgilia le aveva indicato, come un ospite."
{f:5:Virgilia},"""... C'è un tipo di tè nero che preferisci?"""
Dlanor,"""È UGUALE. ... Qualsiasi tè che lei prepara è SUPERBO."""
{f:5:Virgilia},"""Che ne dici di un po' di Darjeeling? ... Battler, Beato, ne gradite dell'altro?"""
Ushiromiya Battler,"""... Sì. Beato e io vorremmo il bis. ... Giusto?"""
{f:5:Beatrice},"""..."""
,"Come al solito, Beato non rispose... ma se le si porgeva dolcemente una tazza, avrebbe sorseggiato ogni tanto."
,"C'era ancora del tè nero rimasto in quella tazza, ma si era già raffreddato."
,Perciò Battler ne chiese dell'altro anche per Beato...
Dlanor,"""... Ho sentito quelle VOCI. ... Che cosa pietosa che Beatrice, la Strega dell'Infinito famosa per la sua crudeltà, sia stata ridotta COSÌ."""
Ushiromiya Battler,"""Lei non sta più partecipando al gioco. ... È Lambdadelta quella che sta controllando la Beato che è sul piano di gioco."""
Dlanor,"""Lo SO. ... Tuttavia, lei è la padrona originale di questo MONDO. E tu sei un ospite appropriato, invitato da quella PADRONA. È per questo che sono venuta ad esprimere il mio RISPETTO."""
,"Sul piano di gioco, Beato e io abbiamo incontrato Dlanor."
,Ma quelle erano le pedine di quelle streghe. Non eravamo propriamente io e Beato.
{f:5:Virgilia},"""È per questo che ti sei presa la briga di venire qua a salutare Battler-kun e Beato...? Vedo che sei coscienziosa come sempre."""
Dlanor,"""È il mio modo di fare le COSE. ... I miei saluti, {p:0:＜}Mister{p:0:＞} Battler. Io sono Dlanor A. Knox. ... Giochiamo in ruoli opposti, ma è un piacere INCONTRARTI."""
Ushiromiya Battler,"""... Sicuro. Io sono Ushiromiya Battler. Piacere di incontrarti."""
Dlanor,"""I miei saluti, {p:0:＜}Miss{p:0:＞} Beatrice. Io sono Dlanor A. Knox."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... Beato. Ti sta dicendo ciao. ..."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... Ha detto ‘benvenuta’."""
Dlanor,"""Molte GRAZIE. {p:0:＜}Miss{p:0:＞} Beatrice."""
,"La strega e l'Inquisitrice dell'Eresia il cui mestiere era cacciare le streghe si salutarono l'un l'altra attorno ad un tavolo da tè, circondate dall'aroma del tè nero."
,... Fu uno strano scenario.
,Virgilia fece spuntare farfalle dorate dai palmi delle sue mani e le trasformò in una teiera e in un recipiente di foglie di tè.
,... Un set da tè di una strega.
,"Lei era una strega, quindi non era una scena incredibilmente bizzarra."
,"... Eppure ero un po' preoccupato su come Dlanor, una Inquisitrice dell'Eresia, avrebbe guardato un simile spettacolo."
Dlanor,"""... Non PREOCCUPARTI. Non sono così maleducata da lamentarmi su come il mio tè viene SERVITO."""
Ushiromiya Battler,"""Nonostante sia stato fatto con la magia...?"""
Dlanor,"""... C'è un set da tè nascosto nell'ombra, e {p:0:＜}Mrs{p:0:＞} Virgilia con esso ci sta preparando il tè in SEGRETO. Noi interpretiamo o giudichiamo che è stato ‘fatto con MAGIA’, e così viene scritto nella STORIA. ... Questa interpretazione è permessa dal Knox Nono."""
{f:5:Virgilia},"""Oh cielo... io credo che l'interpretazione del Nono sia un problema così delicato da essere visto come un tabù, persino nella Grande Corte... nonostante sia solo un'opinione personale, se si sapesse che l'Inquisitrice Capo dell'Eresia ha detto una cosa simile, potresti venire licenziata."""
Dlanor,"""Non importa come io la interpreti, non c'è niente di falso sul sapore del tuo TÈ. Pertanto, io non mi preoccupo di come è stato PREPARATO."""
Ushiromiya Battler,"""... Aha..."""
,Nonostante sembrasse fredda... era una persona sorprendentemente piena di tatto.
,"... Se Dlanor avesse voluto negare che il tè nero era stato preparato con la magia, quella magia sarebbe sicuramente stata distrutta in un istante."
,"Tuttavia, dato che era stata presentata la possibilità che esistesse un set da te che fosse stato usato per preparare il tè normalmente, il fatto che Virgilia avesse preparato il tè era rimasto, alla fine, incontestato."
Dlanor,"""La magia che nasconde il risultato nell'oscurità è MALVAGIA. Io non la PERMETTERÒ. Tuttavia, la magia che controlla il processo non è necessariamente MALVAGIA. Il mio nemico è il male in sé, non la MAGIA."""
Ushiromiya Battler,"""Capisco. ... La cosa importante è che sei stata accolta con del tè, quindi è cortesia comune evitare di lamentarsi di come esso sia stato preparato."""
,... Esatto.
,È cortesia comune essere grati per il tè che qualcuno ti prepara.
,Non c'è niente di elegante nel farsi strada in cucina e ficcanasare mentre lo preparano.
{f:5:Virgilia},"""Non si invitano gli ospiti in cucina. E quando si prepara il tavolo, bisognerebbe adornarlo in maniera splendida nello spirito dell'ospitalità. ... Ecco. È caldo."""
Dlanor,"""La RINGRAZIO. Vorrei anche dello zucchero e del LATTE."""
{f:5:Virgilia},"""*giggle*. Non riesci ancora a berlo liscio?"""
Dlanor,"""Sono una BAMBINA. Deve essere DOLCE."""
Ushiromiya Battler,"""... Quindi... la magia è... una bugia... gentile?"""
{f:5:Virgilia},"""La parola ‘bugia’ la fa sembrare una brutta cosa. La parola ‘abbellimento’ probabilmente è più adatta."""
Dlanor,"""Quando si dà una caramella ad un bambino, si potrebbe tirarne fuori una rotta dalla tasca, o usare un meraviglioso gioco di prestigio per tirarla FUORI. L'impressione che si dà con ogni metodo varia SIGNIFICATIVAMENTE."""
Ushiromiya Battler,"""Questo perché è più bello tirarla fuori con un piccolo trucchetto di magia."""
Dlanor,"""SBAGLIATO. È importante perché abbellisce il risultato―-dare la caramella-―rendendolo ancora più bello e DIVERTENTE."""
{f:5:Virgilia},"""... Pensa a quando dai una caramella a Maria-chan. C'è una grande differenza tra il tirarla fuori dalla tua tasca per darla a lei e farla scivolare nella sua tasca e dire che una fata gliel'ha data per essere stata una brava bambina."""
Dlanor,"""Secondo la mia opinione, sarebbe scortese domandare a tutti i loro alibi e indicare chi è stato a farla scivolare nella sua TASCA. La cosa importante è il risultato: che la ragazza abbia ricevuto una caramella e ne sia CONTENTA. Ed è importante che il tutto sia abbellito in un modo che la renda CONTENTA."""
Ushiromiya Battler,"""... Questo è sorprendente. Quanto ti sei mostrata, ho avuto la sensazione che avresti negato ogni cosa che era sotto il nome della magia."""
Dlanor,"""Quello è come mi comporto nel mio ruolo di Inquisitrice dell'Eresia. {n}È il mio MESTIERE. Tuttavia, quando sono lontana dal mio lavoro, non mi piace essere davvero così FREDDA."""
Ushiromiya Battler,"""Quindi, questo è ciò che chiamano ‘mettere da parte le emozioni personali mentre si lavora’? ... Lo fai bene."""
Dlanor,"""Come Inquisitrice dell'Eresia, dare la caccia alle streghe è il mio LAVORO. ... Tuttavia, personalmente trovo le streghe degne di pietà. A dispetto di ciò, eseguo il mio giudizio senza pietà come INQUISITRICE."""
Dlanor,"""... Alla fine, non cambia il fatto che io condanni le streghe a MORTE. {n}Alla fine, la mia pietà non è nient'altro che un inutile ABBELLIMENTO. Che io lo abbia o no, non cambia NIENTE. Perciò, sarebbe meglio che io non l'AVESSI..."""
{f:5:Virgilia},"""... Non è vero. Anche se terminano allo stesso mondo, c'è una grande differenza che dipende dal tuo cuore."""
{f:5:Virgilia},"""... I biscotti di tua Madre devono essere stati più deliziosi di quelli fatti da una buona pasticceria. ... È perché sapevi che erano stati fatti col cuore."""
Ushiromiya Battler,"""Giusto. ... Anche se il risultato sembra essere lo stesso... c'è una grande differenza tra avere o meno una piccola cosa chiamata sincerità..."""
Dlanor,"""È COSÌ...? ... Che io abbia o meno un cuore è completamente senza SENSO."""
,"Lo sguardo di Dlanor cadde verso la sua tazza, un po' tristemente..."
Ushiromiya Battler,"""Non è vero."""
Dlanor,"""..."""
Ushiromiya Battler,"""Dopo aver sentito tutto questo, ho cambiato il modo in cui guardarti. ... Quindi sono certo che il suo cuore non è qualcosa senza senso."""
,Virgilia fu un po' sorpresa di sentir provenire dalla bocca di Battler le parole che lei avrebbe dovuto dire.
,"Dopotutto, capire il ‘cuore’ è il primo passo verso il trovare l'essenza della magia."
,"Ad un certo punto... probabilmente Battler aveva iniziato a capire, poco a poco e inconsciamente... l'essenza di Beato, l'essenza delle streghe... e la prima vera essenza di tutto... la magia."
,Che tu voglia diventare una strega o annientarle... il primo vero passo è imparare ciò che riguarda la magia.
,Virgilia era sicura di aver sentito questo debole cambiamento in Battler...
Dlanor,"""... Per quanto riguarda l'ultima battaglia, ti ringrazio MOLTO. Io sono riconoscente per la pietà che mi hai mostrato alla FINE."""
Ushiromiya Battler,"""Quel ‘me’ non ero io. ... Lo stava controllando Lambdadelta."""
,Io mi sono unito al quinto gioco quando era già iniziato. Ancora non stavo partecipando a ‘quel punto del gioco’.
,"Quindi fino a quando non mi sono unito, la pedina ‘me’ probabilmente era controllata da Bernkastel o Lambdadelta."
Ushiromiya Battler,"""... Che capriccio stanno complottando? Provare a farmi sembrare tutto figo... {n}Mi hanno fatto sembrare come un qualche tipo di cavaliere andato a salvare Beato."""
{f:5:Virgilia},"""Lady Lambdadelta vuole che sia le streghe che gli umani siano in equilibrio, risultando in un pareggio. ... Con l'apparizione di Erika, la bilancia stava pendendo fortemente in favore della parte umana, quindi ha manipolato la storia in un modo che supportasse Beato."""
Dlanor,"""Ne sono cosciente. Tuttavia, le pedine non possono fare cose che sono impossibili per LORO. Si specializzano in azioni appropriate alla loro personalità ORIGINALE. ... Pertanto, quello era sicuramente qualcosa di cui tu... di cui Battler era CAPACE. È per questo che sono grata a TE."""
Ushiromiya Battler,"""... È un po' strano essere lodati quando in realtà non si è fatto niente. ... Quando il gioco continuerà, probabilmente riotterrò il controllo della mia pedina. Non sono sicuro se allora sarò capace di andarci piano con te."""
Dlanor,"""Vale lo stesso per ME. La prossima volta che incroceremo le spade, non mi TRATTERRÒ."""
Ushiromiya Battler,"""Fatti avanti. Sarò il tuo avversario. Affrontami con tutta la tua forza."""
Dlanor,"""Lo PROMETTO. Con tutta la mia FORZA."""
,... Dlanor.
,Avevo pensato che fosse una bambola assassina priva di emozioni e senza cuore... ma forse in realtà è piuttosto avvicinabile.
,"... Nonostante ciò, nessuno di noi mostrerà alcuna pietà quando combatterà sul piano di gioco."
,"Per un po', fissammo il roseto inzuppato di pioggia mentre ci gustavamo tranquillamente il nostro tè."
Dlanor,"""... C'è una cosa per cui mi devo SCUSARE."""
,"Con un sospiro improvviso, Dlanor mormorò qualcosa."
Ushiromiya Battler,"""Cosa c'è? ... Se è per quella battaglia di poco fa, è già finita. Abbiamo entrambi combattuto con tutte le nostre forze. Il risultato è stata una questione di fortuna."""
Dlanor,"""No, non è stata una questione di FORTUNA. ... Non potevo semplicemente lasciar correre, quindi sono venuta qui a SCUSARMI."""
Ushiromiya Battler,"""... Di cosa stai parlando...?"""
{f:5:Virgilia},"""... Stai dicendo che hai abbandonato lo scontro, vero?"""
,"Virgilia parlò dolcemente, senza esitare nel suo lavoro a maglia."
Dlanor,"""... Sì. ... {p:0:＜}Mister{p:0:＞} Battler."""
Ushiromiya Battler,"""Quel {p:0:＜}Mister{p:0:＞} stona davvero. Solo Battler va bene."""
Dlanor,"""Battler. ... Io mi SCUSO. Noi non abbiamo combattuto con tutte le nostre FORZE."""
{f:5:Virgilia},"""... Lo so. ... {p:1:‘Kinzo era già morto all'inizio di tutti i giochi’}. Beato ha già detto quella verità. ... In quella battaglia, Battler-kun poteva al massimo raggiungere un pareggio. Certamente non aveva alcuna possibilità di vittoria."""
Ushiromiya Battler,"""... Hai ragione. ... Se tu avessi detto semplicemente quello, l'intera battaglia si sarebbe subito conclusa. ... Perché non hai usato quel rosso? Non dirmi che è per via di uno stallo o cose del genere."""
Dlanor,"""{p:1:Knox Secondo.} {p:1:È proibito che fattori sovrannaturali vengano impiegati come strumenti nell'INVESTIGAZIONE.} Non possiamo usare quella verità rossa DIRETTAMENTE. la verità rossa che {p:1:‘la finestra non è mai stata aperta dopo che ha iniziato a PIOVERE’}."" Tuttavia, io avevo dato a Cornelia, che stava proteggendo la finestra."
Ushiromiya Battler,"""Boom. ... Questo è scacco matto. ... Perché quella ragazza non ha usato quell'asso nella manica...?"""
Cornelia,"""... Ah!! Q-Questo è... agh. C-Consentitemi di parlare...! Non c'è modo di sconfiggere il mio rosso! Sappia che il suo desiderio non sarà avverato...!!"""
,Nonostante avesse combattuto in modo calmo fino a quel momento... si agitò subito quando scattai in avanti.
,Pensai che fosse stata spaventata dal mio attacco improvviso... ma la verità era un'altra.
,"Nonostante avesse un asso nella manica che mi avrebbe respinto completamente... improvvisamente era diventata incapace di usarla, e ha esitato."
Dlanor,"""Io non CAPISCO. All'improvviso, in quell'istante, l'uso di quell'asso nella manica è diventato PROIBITO. Una volta perso quello, la tua vittoria era ASSICURATA."""
{f:5:Virgilia},"""... Il Game Master, Lady Lambdadelta, probabilmente ha interferito."""
Ushiromiya Battler,"""Quella bastarda... quindi alla fine, l'intera battaglia è stata una farsa sul palmo della mano di Lambdadelta. Ha fatto giocare ‘noi’ secondo il suo copione."""
Dlanor,"""Non mi PIACE. Tuttavia, dato che mi hai detto di combattere con tutte le mie forze, non avevo altra scelta che fartelo SAPERE. ... Per favore, PERDONAMI."""
{f:5:Virgilia},"""Tuttavia, nonostante tu avessi perso la tua carta vincente, hai continuato a combattere allo scoperto con tutte le tue carte rimaste. Non credo che qualcuno possa incolparti di qualcosa."""
Ushiromiya Battler,"""... Esatto. ... Al contrario, dovresti arrabbiarti con Lambdadelta per essersi intromessa."""
Dlanor,"""{p:1:‘Kinzo non esiste’} dovrebbe essere già un fatto STABILITO. Lady Lambdadelta e Lady Bernkastel dovrebbero saperlo BENE. E tuttavia, entrambe stanno lasciando spazio a Kinzo per esistere mentre continuano questo GIOCO. ... È quasi come se loro due stiano cospirando per prevenire che l'esistenza di Kinzo venga NEGATA."""
Ushiromiya Battler,"""In altre parole, loro hanno intenzionalmente lasciato scappare ‘Nonno’...?"""
Dlanor,"""Sì. Sicuramente stanno cercando di ottenere QUALCOSA."""
{f:5:Virgilia},"""... È un po' strano. ... Lady Lambdadelta e Lady Bernkastel dovrebbero essere sempre avversarie a meno che la parte della strega sia in una posizione di vantaggio. ... È difficile immaginare che quelle due cospirino assieme in un momento come questo..."""
Dlanor,"""Non posso far altro che pensare che abbiano qualche obiettivo MALVAGIO. Sono venuta qua perché volevo che tu lo SAPESSI."""
Ushiromiya Battler,"""... Quindi... sei venuta fin qua per dirci una cosa del genere?"""
Dlanor,"""Sì. ... Il che significa che le mie faccende qui sono FINITE. Credo che dovrei andare ORA. Il gioco probabilmente riprenderà a BREVE. Devo aiutare Erika durante il resto di questo GIOCO."""
,Dlanor mandò giù quel che rimaneva del suo tè nero e si alzò.
Dlanor,"""La prossima è la battaglia nel secondo CREPUSCOLO. A quel punto, io solleverò ancora una volta senza pietà la mia SPADA. ... Quindi ti chiedo lo stesso, Battler. Non mostrare pietà verso di ME."""
Ushiromiya Battler,"""... Ho capito. ... Se ci vado leggero con te, finirò con la testa distrutta."""
Dlanor,"""Sul piano di gioco, io non sono niente più che la pedina di Lady Bernkastel e la subordinata di Furudo ERIKA. In futuro, noi probabilmente ci affronteremo come avversari molte VOLTE. ... Tuttavia, il mio cuore è sempre NEUTRALE. ... No... ti prego di DIMENTICARLO. ... Questo non ha niente a che fare con il rapporto tra noi due."""
Ushiromiya Battler,"""Sì che lo ha. ... Non c'è dubbio che tu sia un avversario temibile, ma non mi dai più fastidio. Invece quella Erika mi fa proprio arrabbiare."""
Dlanor,"""BENE. Furudo Erika fa arrabbiare anche ME."""
Ushiromiya Battler,"""Heh, hahahahaha."""
,"L'espressione di Dlanor finalmente si addolcì un po'. ... In quell'ultimo momento, sembrò come se finalmente ci capissimo l'un l'altra."
Dlanor,"""Furudo Erika è una creatura molto MALVAGIA. ... Ha perso la faccia per la sua recente sconfitta e sta bruciando per il desiderio di VENDETTA. Persino io non so che cosa lei abbia in MENTE. Tuttavia, non può essere niente di BUONO. Per favore, fai ATTENZIONE."""
Ushiromiya Battler,"""... Solo sapere che è la pedina di Bernkastel vuol dire che non posso abbassare la guardia."""
,"Dlanor annuì come soddisfatta, lasciò il pergolato e uscì sotto la pioggia."
Dlanor,"""... Chi avrebbe mai pensato che avrei lavorato come subordinata ad una simile MALVAGITÀ... perché sono stata chiamata in questo MONDO?"""
,Dlanor sospirò leggermente.
,Le ‘pedine’ non possono far altro che adempiere alla funzione che è stata data loro. E quella funzione è data loro da chi le controlla.
,"... Probabilmente non poteva disobbedire alla ‘sua’ giocatrice, Bernkastel."
{f:5:Virgilia},"""... Lady Bernkastel può essere colei che ti ha convocata qui. Tuttavia, colei che ti ha lasciato entrare in questo mondo è Beato. ... Se questa ragazza non lo avesse desiderato, tu non saresti mai stata capace di attraversare il labirinto e arrivare qui. ... Giusto... Beato...?"""
{f:5:Beatrice},"""..."""
Dlanor,"""... {p:0:＜}Miss{p:0:＞} Beatrice. Che cosa desidera da ME? ... Spero di poterla aiutare in qualche mondo, nonostante io sia un subordinato del MALE..."""
,"Lei parlò a Beato... ma ovviamente, non ci fu risposta."
,Dopo essersi inchinata ancora una volta per ringraziare del tè nero... Dlanor scomparì nel piovoso roseto...
Ushiromiya Battler,"""Perciò, nessuno può raggiungere questa Terra Dorata a meno che non lo voglia Beato?"""
{f:5:Virgilia},"""Sì. ... Questa ragazza è colei che ha chiamato Dlanor qui."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... Perciò... Beato l'ha chiamata qui in modo che io la potessi incontrare..."""
,"... Tuttavia, io so di una persona che ha raggiunto questo posto a dispetto dei desideri di Beato."
,È Ange.
,"... Nell'ultimo gioco, Ange raggiunse questo posto da sola... ... nonostante fosse un'ospite non invitata."
,Anche quello... fu qualcosa... che Beato aveva desiderato...?
{f:5:Virgilia},"""Io sono qui, tu sei qui. Beato è qui. Dlanor è stata invitata qui. ... Tutte queste cose sono successe perché questa ragazza voleva che accadessero. ... Anche il poco tempo che tu e Dlanor avete trascorso assieme bevendo tè"""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... Beato. Che cosa... dovrei imparare da lei...? Ha qualcosa a che fare con il trovare il tuo cuore... e lasciarti dormire serenamente...?"""
,Dlanor A. Knox.
,Il nemico naturale delle streghe. Inquisitrice dell'Eresia. ... Un'avanguardia del mystery... che nega il fantasy.
,È qui per aiutarti... perforando il tuo cuore... e ucciderti...?
,......
Furudo Erika,"""Per favore, in piedi. Su una gamba sola."""
Cornelia,"""..."""
,"Cornelia lentamente si alzò e, come le era stato ordinato, rimase su una gamba sola."
,Le sue mani erano strette dietro la sua schiena. ... Perché così le era stato ordinato di fare.
,"Poi, con un *thump*, Erika la spinse da dietro con entrambe le mani."
,Cornelia colpì il pavimento prima con la faccia con un *thud*.
Furudo Erika,"""Per favore, in piedi. Su una gamba sola."""
Cornelia,"""..."""
,"Cornelia si alzò tremando. Poi, ancora una volta, si alzò su una gamba sola come le era stato ordinato."
,Le era stato ordinato di non opporre resistenza. Quindi cadeva in continuazione sulla sua faccia.
,"Era a malapena riuscita a proteggersi il naso, ma dopo aver sbattuto così tante volte sul pavimento, la sua faccia era diventata di un rosso acceso."
,"Non stava versando alcuna lacrima. No, non poteva versarle. Perché le era stato proibito di fare persino quello..."
Furudo Erika,"""Per favore, in piedi. Su una gamba sola."""
Cornelia,"""..."""
,*thump* *thud*.
Furudo Erika,"""Per favore, in piedi. Su una gamba sola."""
,*thump* *thud*.
,*thump* *thud*.
,*thump* ... *thud*.
,"Erika ripeté ancora e ancora questa tortura della caduta, in continuazione."
,"In momenti come questi, Erika odiava contare le cose."
,"Quindi aveva deciso che, una volta che finiva le dita per contare il numero di volte, lo avrebbe ripetuto finchè non avesse perso interesse."
,"Tuttavia, la principale qualità di Erika era che lei non perdeva mai interesse, quindi la tortura continuò senza fine..."
,... Erika non sapeva perché... Cornelia era stata incapace di proteggere del tutto la finestra.
,Quindi per tutto il tempo sin da allora... aveva posto tutta la colpa della loro sconfitta su di lei.
Gertrude,"""... Per favore, consentitemi di parlare. Perdonate Cornelia. Ha fatto abbastanza come penitenza..."""
Furudo Erika,"""Oh, davvero? Allora per favore, prendi il suo posto da adesso in poi."""
Cornelia,"""G... Gertrude non ha fatto niente di sbagliato..."""
Furudo Erika,"""Gertrude. ... Per favore, in piedi. Su una gamba sola. Unisci le mani dietro d te."""
Gertrude,"""..."""
,"Gertrude seguì gli ordini... e strinse le sue mani dietro la schiena, in piedi su una gamba sola."
Furudo Erika,"""Non devi resistere o tenere duro. Non ti è permesso piegare le ginocchia. Non ti è neppure permesso di versare alcuna lacrima. È tutto chiaro?"""
Gertrude,"""... Come desidera..."""
Cornelia,"""Gertrude..."""
,Erika ostentò la camminata dietro Gertrude.
,Si stava persino divertendo nel farle pensare quando l'avrebbe spinta...
,"In quel momento, Gertrude e Cornelia esplosero in una luce accesa e sparirono."
,"... Perché Dlanor, che a quel punto doveva essere ritornata, le aveva mandate indietro nei Cieli per il momento."
,"Erika, a cui era stato rovinato il divertimento, diresse un'espressione chiaramente malvagia a Dlanor..."
Dlanor,"""{p:0:＜}Miss{p:0:＞} Erika. Mi assumerò ogni responsabilità delle mie subordinate come loro SUPERIORE. Chiedo che le lasci ANDARE."""
