Speaker,Italian (Ars Magica) (Old) (ITA)
Furudo Erika,"""Battler-san è ritornato alla casa degli ospiti alle 3:00. Quindi, il resto di voi si è diviso circa 30 minuti dopo, giusto?"""
Ushiromiya Eva,"""Sì, è vero. Ci eravamo stancati abbastanza. Avevamo deciso di fare una piccola pausa e dopo ricominciare."""
,"Per scoprire l'omicidio del primo crepuscolo, Erika interrogò attentamente tutti i coinvolti per controllare i loro alibi e le loro prove."
,"Per confermarli, andò in giro per la villa con loro, e quando necessario, fece varie gite fuori alla casa degli ospiti attraverso tutta la pioggia."
,... La sua vitalità era ammirevole.
,"... Anche se era un ospite non invitato, tutti avevano smesso da lungo tempo di sentire qualcosa di strano sul modo in cui imitava un detective..."
Ronove,"""... Sembra che anche Erika stia costantemente costruendo le sue fondamenta."""
{f:5:Beatrice},"""È inutile. Che gli alibi esistano o meno, lei non può negare la nostra esistenza. ... Kinzo è scappato dalla finestra e ora è tutt'uno con la nebbia di Rokkenjima. Certamente non riuscirà a catturarlo o negarlo."""
Gaap,"""Alla fine di tutto, forse si potrebbe dire che sia scappato nella parte inferiore della scacchiera."""
Ronove,"""In quel caso, forse sarebbe appropriato dire che è stato messo via."""
{f:5:Beatrice},"""... Ora che ci penso, riguardo a quei corpi dal primo crepuscolo. Anche loro sono stati messi via, giusto?"""
Gaap,"""Sì. Sono stati riposti nella mia oscurità tra questo mondo e il successivo."""
{f:5:Beatrice},"""... E quell'aspirante detective non riuscirà a trovarli...?"""
Gaap,"""Ovviamente. Sarebbe decisamente impossibile per un umano. ... Vuoi controllare?"""
{f:5:Beatrice},"""Non si sa mai. E dobbiamo anche riesaminare quali saranno gli obiettivi di Lady Bernkastel da ora in poi."""
Ronove,"""Se conosci il tuo nemico, non devi temere l'esito di cento battaglie."""
{f:5:Beatrice},"""Se conosci la verità, puoi vincere cento battaglie senza combattere."""
Ronove,"""Pukkukukukuku. Accidenti."""
,Gaap aprì un grande portale nel cielo e risucchiò tutti loro.
,Invitò Beato e Ronove allo spazio tra mondi dove aveva nascosto i corpi...
,... Quel luogo... non era da nessuna parte in questo mondo e non esisteva in nessun tempo di questo mondo.
,"In altre parole, era veramente e letteralmente un luogo non di questo mondo."
,"In questo luogo, le domande come ‘Dov'è questo posto?’ e ‘Che ora è?’ non avevano significato."
,"Ogni singolo luogo conduceva a questo posto, ma nessun luogo poteva essere raggiunto da qui."
,"Inoltre, tutti i tempi conducevano a questo posto, ma nessun tempo poteva essere passato da qui."
,In breve... questo posto era solo quello che dicevano che fosse: la parte inferiore della scacchiera.
,"No, forse sarebbe più appropriato chiamare questo il mucchio catturato, dove andavano i pezzi che avevano lasciato il gioco..."
,"... Allora, attraverso il mondo completamente nero, splendette un bagliore come un debole riflettore, e si poterono vedere cinque corpi..."
,I cinque corpi pietosi con le loro gole tagliate e aperte erano stati sistemati ordinatamente.
,"Le loro palpebre erano chiuse e le loro mani unite. Apparentemente, anche Gaap aveva rispetto per i morti..."
{f:5:Virgilia},"""Caspita. ... In questo gioco ci sono cinque sacrifici per il primo crepuscolo? Non sei?"""
{f:5:Beatrice},"""Oh, sei tu, Maestra. Ero preoccupata per dove fossi andata. Il gioco ha già raggiunto il primo crepuscolo, e come vedi, le prime vittime sono apparse. ... Quindi, è finalmente ora. Sono tutta eccitata...!"""
{f:5:Virgilia},"""Capisco. ... La te stessa che è qui sembra essere su di morale. Sono compiaciuta."""
{f:5:Beatrice},"""?? Ho il morale alto e un corpo accattivante! Cos'altro c'è da far piacere eccetto un buon carattere? Wahaha."""
,"Per qualche ragione, Virgilia complimentava Beato per il suo morale alto."
,"Anche se Beato era stata presa alla sprovvista dalle parole da nonnina che uscivano dalla bocca di Virgilia all'improvviso, colpì il suo petto e rispose."
,Virgilia era stata assente spesso durante questo gioco.
,Potrebbe anche essere stata lontano dal suo posto quando Battler aveva risolto l'epigrafe e durante il tumulto seguente.
,"Apparentemente, è stata via in così tanti punti importanti che non capiva veramente molto di quello che era successo finora nel gioco..."
Gaap,"""Proprio ora, cinque corpi sono apparsi. ... Come potete vedere, le loro gole sono stati lacerate."""
,"George, Jessica, Maria, Rosa, Genji."
