Speaker,Italian (Ars Magica) (Old) (ITA)
,"Dopo essere stata obbligata ad un matrimonio che non voleva, Natsuhi sviluppò del rancore verso la famiglia Ushiromiya, e fu colma di sentimento di vendetta. {n}(*Dal Registro Processuale: Pagina 3)"
,"Natsuhi, sperando anche di vendicarsi per l'assoggettamento finanziario a cui la famiglia dei suoi genitori era stata costretta dalla famiglia Ushiromiya, progettò di impossessarsi del patrimonio della famiglia Ushiromiya. {n}(*Dal Registro Processuale: Pagina 4)"
,"{n}Sapendo che il patrimonio della famiglia Ushiromiya era, parlando praticamente, controllato da Kinzo personalmente, lei iniziò delle relazioni sessuali per cercare di ingraziarselo e riuscire ad irretirlo. {n}(*Dal Registro Processuale: Pagina 7) {n}(*Dai Documenti di Bernkastel: Pagina 682)"
,"{n}Per entrare nelle grazie di Kinzo, Natsuhi ripetutamente si travestì da Beatrice, la strega dei deliri di Kinzo e si impegnò in atti sessuali. Kinzo vide Natsuhi vestita come l'amante del suo passato e fu facilmente irretito. Inoltre, per caso, lei fu a volte vista in quel costume dai domestici e questo divenne parte della base per la leggenda della strega. {n}(*Dal Registro Processuale: Pagina 8) {n}(*Dalla prova presentata #17) {n}(*Dai Documenti di Bernkastel: Pagina 802)"
,"{n}Tuttavia, nella notte tarda del 4 ottobre, 1986, Ushiromiya Battler scoprì l'oro nascosto. Dato che i parenti erano in tumulto e decisero che Battler avrebbe dovuto succedere come capofamiglia, Natsuhi pianificò il crimine. Uccise i ragazzi nella cosiddetta ‘stanza dei cugini’ e provò ad incastrare Battler nel crimine."
,"Inoltre, Genji fu assassinato perché si opponeva a questo piano. In seguito, anche Hideyoshi fu assassinato. Da questo punto in poi, lei mostrò il forte intento di uccidere indiscriminatamente tutti quelli coinvolti. {n}(*Dal Registro Processuale: Pagina 27) {n}(*Dai Materiali Supplementari B: Pagina 61) {n}(*Dai Documenti di Bernkastel: Pagina 1103)"
,{n}Ciò che segue delinea i dettagli del crimine.
,"24:00, 4 ottobre, 1986. Natsuhi decise di commettere il crimine."
,"Dato che Genji rifiutò di assisterla quando lei lo chiese, lo assassinò."
,Poi uccise suo marito Krauss nella sua stanza. {n}(*Dal Registro Processuale: Pagina 40) {n}(*Dai Materiali Supplementari: Pagina 8) {n}(*Dai Documenti di Bernkastel: Pagina 1105) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974)
,"{n}In seguito, andò nella cosiddetta ‘stanza dei cugini’ nel primo piano della casa degli ospiti, aspettò che Rosa si unisse agli altri, e uccise George, Jessica, Maria, e Rosa."
,Lei ferì le gole di quei cadaveri.
,"In seguito, dato che c'erano persone nel salotto del piano terra, lei aspettò in una stanza vuota al primo piano."
,Si nascose in questa stanza vuota fino a quando le persone nel salotto non si separarono e andarono a letto. {n}(*Dal Registro Processuale: Pagina 41) {n}(*Dai Materiali Supplementari S: Pagina 10) {n}(*Dai Documenti di Bernkastel: Pagina 1131) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974)
,{n}Le persone nel salotto si allontanarono solo dopo le 3:00 AM.
,Natsuhi lasciò la stanza vuota e scappò dalla casa degli ospiti.
,"Ritornò nella sua stanza personale, dove incontrò Kinzo, che si stava nascondendo lì. Rimase lì fino alla mattina."
,Kinzo lasciò la stanza presto la mattina dopo e si nascose da qualche parte vicino alla casa degli ospiti. {n}(*Dal Registro Processuale: Pagina 41) {n}(*Dai Materiali Supplementari S: Pagina 29) {n}(*Dai Documenti di Bernkastel: Pagina 1200) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974)
,"{n}In seguito, Kinzo vide l'opportunità e portò via i cadaveri delle sei vittime uno dopo l'altro, nascondendoli. Sfortunatamente, questi cadaveri nascosti non sono stati trovati. {n}(*Dal Registro Processuale: Pagina 42) {n}(*Dai Materiali Supplementari S: Pagina 37) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974)"
,"{n}Natsuhi, che aveva fallito nel suo progetto di far sospettare Battler, cambiò il suo piano includendo l'omicidio di tutti i presenti. {n}(*Dal Registro Processuale: Pagina 58) {n}(*Dai Materiali Supplementari T: Pagina 19) {n}(*Dai Documenti di Bernkastel: Pagina 1348) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974)"
,"{n}Predicendo che uno di questi presenti sarebbe alla fine andato a riposare in una stanza privata, Natsuhi si nascose dentro un armadio all'interno di una delle stanza per gli ospiti."
,"All'1:00 PM, lei assassinò Hideyoshi dopo che era entrato in quella stanza. {n}(*Dal Registro Processuale: Pagina 61) {n}(*Dai Materiali Supplementari T: Pagina 26) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974)"
,"{n}Dal momento in cui gli altri si accorsero dell'incidente fino al momento in cui portarono fuori il cadavere di Hideyoshi, Natsuhi si nascose ancora una volta nell'armadio. Inoltre, a prova di questo, un bottone dagli abiti di Natsuhi è stato trovato nell'armadio."
,"In seguito, lei uscì dall'armadio e provò a ritornare nella sua stanza."
,"Tuttavia, Furudo Erika la trovò e la interrogò prima, e lei confessò il crimine. {n}(*Dal Registro Processuale: Pagina 63) {n}(*Dai Materiali Supplementari T: Pagina 32) {n}(*Dalla Prova Presentata #26) {n}(*Dai Documenti di Bernkastel: Pagina 1348) {n}(*Dai Documenti di Lambdadelta: Riga 7) {n}(*Dai Documenti Interni della Grande Corte: Affari Generali A09 #9974) {n}(*Dai Documenti Interni della Grande Corte: Prima Sottosezione U99 #0107) {n}(*Dall'Annuncio Ufficiale della Grande Corte: #0172 4434)"
,"{n}Annuncio Ufficiale della Grande Corte #0172 4434 {n}Per via del risultato del Processo dell'Illusione #0147-007982 (24:00, 5 ottobre, 1986), annunciamo che è stato deciso ciò che segue: {n}Che Ushiromiya Natsuhi ha ammesso il proprio crimine. {n}Per i 13 mesi che seguono questo annuncio, i documenti relativi possono essere sfogliati al Centro Amministrazione Documenti degli Uffici Legali della Gran Corte, Prima Sottosezione. {n} Vice Direttrice della Gran Corte {n} Inquisitore Capo dell'Eresia {n} Dlanor A. Knox"
Ushiromiya Natsuhi,"""Allora dì e basta che l'ho fatto, ok?! È quello che vuoi che io dica, giusto?! Waaaaaaaaaaaaaahhhhhh...!!!"""
,"Come se si fosse arresa e avesse deciso che sarebbe stato inutile provare ancora a dire la sua, Natsuhi oba-san disse ciò e urlò."
,... È stato un triste incidente.
,"Io volevo credere che, a dispetto delle patetiche circostanze che avevano portato al suo matrimonio nella famiglia Ushiromiya... Natsuhi potesse essere stata capace di afferrare un frammento di felicità assieme con Krauss oji-san e Jessica."
,"... Tuttavia, proprio per mano di Natsuhi oba-san, Krauss oji-san... e persino la sua beneamata figlia Jessica... sono stati uccisi senza pietà..."
,Era persino difficile credere che il Nonno fosse stato un complice e avesse nascosto i corpi...
,"Tuttavia, a giudicare dalla chiara testimonianza data dalle diverse persone che lo conoscevano, lo stato mentale del Nonno in questi ultimi anni era ben lontano dal poter essere definito normale."
,"Probabilmente, posseduto da una folle devozione per l'amante che aveva perso tempo fa... il Nonno poteva aver creduto veramente che Natsuhi oba-san fosse una reincarnazione di Beatrice."
,Dov'è il Nonno ora?
,"Come Erika ha teorizzato, lui ha davvero creduto che avrebbe potuto resuscitare Beatrice compiendo gli omicidi seguendo l'epigrafe, e soccombere così al raggiro di Natsuhi?"
,"... Ora come ora, sta tenendo qualche tipo di disturbante cerimonia con i corpi che ha portato via...?"
Ushiromiya Natsuhi,"""Sei... soddisfatta ora...? ... Questo... è quello che volevi farmi dire, giusto...?"""
,Natsuhi oba-san singhiozzò mentre parlava.
Ushiromiya Natsuhi,"""... Questa è... la tua vendetta, vero...? Tu, l'uomo di 19 anni fa...!!"""
,Questo ‘uomo da 19 anni fa’ che Natsuhi oba-san continuava a menzionare doveva essere qualcuno che l'aveva incastrata in qualche sorta di trappola.
,"Tuttavia, lei aveva solo menzionato che questo uomo da 19 anni fa esisteva, e praticamente non aveva mai provato a spiegare ciò che era successo 19 anni fa..."
Ushiromiya Natsuhi,"""Sono sicura che... un subalterno di quell'uomo è qui tra noi. ... Sono sicura che ora, quell'uomo mi sta ridicolizzando attraverso uno di voi..."""
Ushiromiya Natsuhi,"""... Allora dimmi...! Sei felice ora? È sparito un po' di quel dolore e di quella sofferenza che hai sopportato per 19 anni...?! Ho finalmente capito. ... La ragione per cui mi hai messo così tanto all'angolo... è perché... tu volevi che io lo riconoscessi, giusto...?"""
Furudo Erika,"""... Natsuhi-san. Oltre a noi, non c'è assolutamente nessuno qui. La prego di fermare questa farsa follemente disperata e smetterla di fare finta che ci sia qualcuno che non esiste."""
,"Erika rise prendendola in giro, ma, mentre Natsuhi oba-san ci guardava..."
,"... No, mentre guardava qualcuno tra noi... le chinò la testa e la scosse."
,Poi... confessò il suo peccato.
Ushiromiya Natsuhi,"""Io... ho commesso un omicidio..."""
Furudo Erika,"""Perciò, finalmente sta riconoscendo direttamente il suo crimine."""
Ushiromiya Natsuhi,"""No, questo non riguarda ciò che è successo ieri e oggi. ... Io confesserò un omicidio che è successo 19 anni fa."""
,"Gli adulti mormorarono tutti assieme, chiedendosi cosa riguardasse. {n}Perché loro non avevano mai sentito di un caso di omicidio di 19 anni fa."
Ushiromiya Natsuhi,"""... 19 anni fa... io... commisi un peccato. ... Io non potevo perdonarlo. ... Quel... bambino...!!"""
Furudo Erika,"""Bambino? Ora di cosa sta parlando?"""
Ushiromiya Natsuhi,"""... Quel giorno 19 anni fa... nostro Padre mi affidò un bambino. ... Dato che ancora non potevo mettere al mondo io stessa un successore, lui mi disse di adottare un bambino... e mi fece tenere un bambino che lui aveva detto aver portato qui da un orfanotrofio..."""
Ushiromiya Natsuhi,"""Avete una minima idea... di quanto ciò fosse umiliante come donna...?!"""
,"Con un misto di emozioni contrastanti, di rabbia, tristezza, rimpianto e persino provocazione, Natsuhi oba-san confessò."
,"L'umiliazione come una donna da cui non si aspettava un figlio. E inoltre, il sentimento indescrivibilmente spiacevole di essere costretta a tenere un bambino sconosciuto."
,"Le causò grande rabbia e tristezza, e prima che passassero molte notti, ciò scavò un buco nel suo cuore..."
Ushiromiya Natsuhi,E poi... io vendetti la mia anima ai demoni...
Ushiromiya Natsuhi,"... È successo quando andai a fare una passeggiata attraverso il roseto fino al molo, insieme ad una domestica che teneva il bambino..."
Ushiromiya Natsuhi,... Io volevo essere da sola... ma quella domestica donna che teneva il bambino mi seguiva da tutte le parti.
Ushiromiya Natsuhi,Fui persino incapace di dirle di smetterla di seguirmi... e quindi incapace di scappare dal pianto del bambino...
Ushiromiya Natsuhi,... Quel giorno... segnò l'inizio di 19 lunghi anni colmi di emicranie...
Ushiromiya Natsuhi,"... Poi, ci trovammo davanti la scogliera attraversata la recinzione."
Ushiromiya Natsuhi,Se prendendo quel bambino... e gettandolo nella spiaggia rocciosa lontana sotto di me ... io potessi distruggere tutto...
Ushiromiya Natsuhi,... Io ascoltai davvero alla tentazione di quel demone.
Ushiromiya Natsuhi,"""Poi... per un minimo istante, pensai a quanto sarebbe stato meraviglioso se l'avessi potuto fare davvero... e prestai orecchio a quella tentazione. ... In quel momento-"""
Ushiromiya Natsuhi,"La domestica che teneva il bambino inciampò su un grosso sasso, si distorse la caviglia e barcollò..."
Ushiromiya Natsuhi,"Si appoggiò alla rustica recinzione... e in quel momento, credetti di sentire la recinzione spezzarsi rumorosamente."
Ushiromiya Natsuhi,Le dissi di stare attenta e provai ad afferrare la sua spalla.
Ushiromiya Natsuhi,"""... No... non dovrei essere così vaga... farò penitenza. Lo confesserò. ... In quel momento, sono sicura che... mentre le dicevo di stare attenta... con entrambe le mani, raggiunsi la spalla di quella domestica, con un tonfo... la spinsi forte..."""
Ushiromiya Natsuhi,La rozza recinzione si ruppe dalla base... e la domestica... insieme al bambino che teneva con le braccia... caddero giù verso la spiaggia rocciosa sottostante...
Ushiromiya Natsuhi,Nonostante... io ricordi vividamente quel momento... per qualche ragione io rammento una sensazione... vaga e molto strana.
Ushiromiya Natsuhi,Era quasi come se invece di cadere... i due venissero silenziosamente inghiottiti nello spazio vuoto.
Ushiromiya Natsuhi,Quindi non ho nemmeno sentito il suono di loro che si schiantavano sulla spiaggia rocciosa.
Ushiromiya Natsuhi,"No, sono sicura di averlo sentito."
Ushiromiya Natsuhi,Ma dato che io volevo pensare che loro fossero spariti... io devo aver cancellato il rumore dalla mia memoria...
Ushiromiya Battler,"""... E... e poi...?"""
Ushiromiya Natsuhi,"""Per un istante... pensai che fosse un sogno. ... Era abbastanza alto da fare in modo che io non potessi vedere i due sotto di me semplicemente sporgendomi. Quindi non sapevo se la loro caduta... o i pochi secondi precedenti... erano successi davvero oppure no..."""
Ushiromiya Natsuhi,Io devo aver così tanto desiderato che il bambino cadesse da lì che devo aver sognato ad occhi aperti...
Ushiromiya Natsuhi,"Provando a credere ciò, mi affrettai al roseto. ... Poi decisi di lasciare che la domestica si prendesse cura del bambino, scegliendo di riposare da sola nel giardino..."
Ushiromiya Natsuhi,... Poi... nostro Padre chiese cosa fosse successo al bambino... e iniziò un tumulto riguardo la scomparsa della domestica... che si stava occupando di tenere il bambino...
,"Alla fine, la recinzione rotta fu scoperta... e furono trovati i due cadaveri sul fondo della scogliera..."
,"... Il bambino era stato lì per ragioni che non potevano essere conosciute, perciò la sua esistenza fu messa a tacere... e il racconto ufficiale fu che la domestica aveva avuto un incidente per conto suo ed era morta."
Ushiromiya Natsuhi,Esatto.
Ushiromiya Natsuhi,Io... portai via due vite innocenti in una sola volta...
Ushiromiya Natsuhi,Per quanto riguarda la povera domestica... la sua famiglia fu benevolmente ricompensata.
Ushiromiya Natsuhi,"Il suo anziano marito, che non conosceva la verità, accettò tutto nonostante fosse addolorato per lo sfortunato incidente."
Ushiromiya Natsuhi,"Poi, proprio pochi anni fa, lui è morto di vecchiaia... e io confessai la verità sulla sua tomba, scusandomi."
Ushiromiya Natsuhi,"""... Ma fino a questo giorno... io non mi sono mai scusata con quel bambino. {n}Sì... è questo ciò che vuoi, vero...?"""
Ushiromiya Natsuhi,"""Perciò proprio qui, proprio ora, io confesserò il mio crimine! ... Io, Ushiromiya Natsuhi... 19 anni fa... ti ho spinto dalla scogliera... e ho provato ad ucciderti..."""
Ushiromiya Natsuhi,"... Ma... tu non moristi, no..."
Ushiromiya Natsuhi,... Tu sei ancora vivo... e mi chiami ancora ‘Madre’...
Ushiromiya Natsuhi,"... Sei venuto su quest'isola... e ti sei vendicato di me, già..."
Ushiromiya Natsuhi,Per questi 19 anni...
Ushiromiya Natsuhi,... Tu sapevi che quella che tu avresti dovuto chiamare Madre ti spinse dalla scogliera... e devi aver vissuto una vita davvero piena d'odio...
Ushiromiya Natsuhi,"""... E ora... tu hai preso tutto ciò che ho ottenuto spingendoti da quella rupe, 18 anni della mia vita... e li hai fatti a pezzi... io non ho più il mio amato marito e la mia amata figlia. ... E ho perso anche il mio onore... e sto venendo chiamata assassina... no... io sono davvero un'assassina, non è forse vero..."""
Ushiromiya Natsuhi,"""Sì, esatto. ... È andato tutto secondo i tuoi piani. ... Io ora sono considerata un'assassina..."
Ushiromiya Natsuhi,... Cosa si prova...? È abbastanza... per la tua vendetta...?
Ushiromiya Natsuhi,Mio marito e mia figlia sono stati uccisi... sto venendo fatta sembrare un'omicida... persino come un'adultera... dopo avermi visto vivere in disgrazia in questo modo... sei soddisfatto...?!
Ushiromiya Natsuhi,"Sì, scommetto che sei abbastanza soddisfatto... perché la mia famiglia... il mio onore... ogni cosa... mi è stata rubata... ooohh... *hic*... gaaaaaaaaaaaaahhhhhh!!"""
Furudo Erika,"""... Dopotutto questo, tu affermi ancora di essere stata incastrata? Seriamente, non capisci proprio quando arrenderti."""
Ushiromiya Natsuhi,"""Riesci a sentirmi?! Tu, il bambino maledetto di 19 anni fa...!! Sei soddisfatto ora?! Adesso mi hai rubato ogni cosa!! Che altro puoi volere?! ... Per favore... perdonami... e basta..."
Ushiromiya Battler,"{a:c: ""... È inutile, già...""}"
Ushiromiya Natsuhi,"""Huh...?"""
Furudo Erika,"""... Battler-san, hai detto qualcosa?"""
Ushiromiya Battler,"{a:c: ""È tutto inutile.""}"
Ushiromiya Natsuhi,"""... B... Battler... ku... n...?"""
Ushiromiya Battler,"""... Già. ... È inutile, no... è tutto inutile..."""
Ushiromiya Natsuhi,"""Ah... aaahhhh...!!"""
