Speaker,Italian (Ars Magica) (Old) (ITA)
,... Si poteva udire solo il suono del vento.
,"Un rumore di sciagura, abbastanza forte da portare tristezza e sconforto a coloro che lo ascoltassero."
,Lentamente... ripresi conoscenza.
,Alla fine ripresi conoscenza su di un letto con un materasso piuttosto rigido...
,Dove... sono...?
,Non riesco a ricordare dove mi trovi... ma posso vagamente ricordare... che non devo rimanere qui.
,La stanza era lievemente illuminata.
,"C'era una luce accesa, ma si limitava a rendere l'oscurità della stanza ancora più evidente."
,"Non c'erano tende sulle finestre, ma era troppo buio fuori per vedere qualcosa."
,Strizzando gli occhi in quell'oscurità... era come se potessi vedere la strega della foresta che mi osservava nel buio... e io avvertissi quello sguardo dalla finestra pieno di paura.
,"... Non posso averne la certezza... ma la sensazione che al di fuori di questa stanza, l'amosfera sia migliore e che ci sia qualcuno che mi stia aspettando."
,Devo andare dove sono tutti gli altri ora...
,Iniziarono a venire a galla brutti ricordi di quando ero davvero piccolo.
,"Ricordi orribili, tristi... di quando mi veniva sonno alle riunioni di famiglia e venivo messo a dormire in una stanza che non conoscevo. Ricordo di quando mi svegliavo lì dentro, incredibilmente solo e impaurito..."
,Io... non devo rimanere in questa stanza.
,"Sì, devo uscire di qui subito."
,"Ora che ci penso, non ho intenzione di rimanere in questa stanza un secondo di più."
,Ho paura. È spaventoso. ... Dove sono tutti? Voglio uscire di qui ora...
,"Aprii la porta, cercando di uscire dalla stanza."
,"Una luce piacevole entrò dalla fessura della porta. ... Come pensavo, il corridoio era illuminato da una luce confortevole."
,"Non è che riesca ad udirli, ma posso sentire che lontano da qui gli altri si stanno divertendo."
,... Sono sicuro che sono tutti radunati nella stanza di fronte.
,"... Sono stato rinchiuso in questa stanza spaventosa, desolata... tutto solo."
,"Devo andare, in fretta."
,"Nel momento in cui pensai ciò, si sentì uno spietato suono metallico, e la porta si rifiutò di aprirsi ulteriormente."
,... Era stata posta la catena.
,Le ho sempre odiate.
,Puoi aprire una serratura normale semplicemente girando la maniglia.
,"... Ma le catene sono molto più seccanti, e non mi ci sono mai abituato."
,... Per questo le ho odiate sin da bambino.
,... Visto? ... Anche questa catena... mi sta dando noie... e non riesco proprio ad aprirla.
,Perché sta accadendo questo? Voglio solo lasciare questa stanza alla svelta...
,Proprio dall'altra parte di questa porta così sottile ogni cosa è illuminata da una calda luce...
,Non posso aprirla... proprio non ci riesco.
,"Più mi disperavo, più quell'oscurità spiazzante sembrava avvolgermi, e più mi spaventavo..."
,... Fu allora che me ne accorsi.
,C'è qualcosa che non va... in questa catena.
,"... Sì, c'è una catena... ma non è una serratura a catena."
,Questa è soltanto una catena infilata nella porta in modo da non poterla aprire ulteriormente...
,"In altre parole, non è fatta per essere aperta."
,"""C... Che diavolo sta succedendo...? Chi farebbe una cosa del genere, dannazione..."""
,"Non importa cosa facessi, non importa quanto lottassi, non potevo tirarla fuori dal muro né sfilare la catena né rompere il meccanismo."
,Questa porta era come la bocca di un demone... fatta per indurmi a pensare di poterla aprire prima di distruggere le mie speranze.
,"Anche così, se solo riuscissi ad aprire questa porta in qualche modo, potrei entrare in quel caldo corridoio... questo desiderio mi spinse a continuare a tenere le mani incollate su quel chiavistello."
,Ma era inutile.
,"Sia la catena che il chiodo erano ben fissati, e pur sferragliando, non c'era possibilità che lasciassero aprire ulteriormente la porta."
,"Pur potendo vedere il caldo corridoio dalla fessura, non avevo possibilità di aprire ulteriormente la porta."
,Forse qualcuno verrà se mi metto a gridare...
,Forse la porta può essere aperta facilmente da fuori...
,Quando ci pensai... provai a chiamare qualcuno... era come se mi fosse stato tolto il respiro.
,"Potevo pronunciare le parole ‘qualcuno venga qui’, ma dalle mie labbra non uscì voce."
,Che cosa... sta succedendo...?! Qualcuno venga... perché non posso urlare...?!
,Aiutatemi aiutatemi aiutatemi.
,Il solo fatto che non riesca a dire “aiuto” è ancora più preoccupante.
,"Se mi girassi... la strega che guarda nella stanza dall'oscurità che c'è fuori... potrebbe essere nella stanza stavolta, proprio alle mie spalle... sono terrorizzato... ho paura ho paura ho paura..."
,"Qualcuno mi aiuti, qualcuno mi aiuti..."
,Non posso uscire... non posso uscire...
,"Fatemi uscire... da questa stanza... aiuto, ho paura, ho paura, ho paura, fatemi uscire, fatemi uscire, fatemi uscire, aiutatemi, aiutatemi, aiutatemi..."
,"""Signorina, sembra che siamo arrivati."""
,"""Huh? ... Oh..."""
,Amakusa passò il suo dito sulla mia guancia.
,Mi svegliai all'istante dal mio dormiveglia.
,"Fulminai Amakusa per avermi svegliato in maniera così spaventosa, ma si limitò a fare lo gnorri."
,Dov'è... questo posto?
,Sembra il salotto di una casa di qualche persona d'alto borgo... ma non ricordo affatto un posto del genere.
Ushiromiya Ange,"""..."""
,Dov'è... che si trova...? ... E... perché sono...?
Amakusa Juuza,"""Sei ancora addormentata, signorina?"""
Ushiromiya Ange,"""... Sì, scusa. Dove siamo...?"""
Amakusa Juuza,"""Huh?"""
,"Apparentemente, non si sarebbe mai aspettato che mi fossi dimenticata una cosa del genere solo perché non ero ancora del tutto sveglia. ... Abbastanza strano, sono d'accordo."
,Perché sono in un salotto che non conosco?
,Il suono dei passi delle persone menzionate da Amakusa venivano dal lato opposto della porta.
,Potevo sentire il rumore di una conversazione. Probabilmente erano donne...
,"A giudicare dal caffè e dagli snack davanti a me, devo essere l'ospite."
,"In questo caso, farei meglio a ricordare perché sono qui... o almeno chi sono venuta ad incontrare..."
,Chi sono io? Ushiromiya Ange.
,Chi è l'uomo davanti a me?
,Amakusa Juuza. L'uomo che fu la mia guardia un po' di tempo fa. Ora è la guardia del corpo assegnatami da Okonogi.
,... In questo caso... questo è dopo la morte di Eva oba-san... dopo che mi sono sbarazzata dei miei inseguitori... in quel viaggio per scoprire cos'è successo dodici anni fa...?
,"... Davvero...? ... Mi ricordo di una cosa del genere, non è così...?"
,"Dopo una bussata, la porta si aprì, e la persona che in teoria sono venuta ad incontrare entrò con un assistente."
,"... Oh, fantastico. ... Anche dopo averla vista in faccia, non riesco a ricordare chi sia."
,"""Mi scusi per averla fatta attendere. Lei è Hachijo Tohya."""
,Che sollievo. L'assistente me l'ha presentata per prima.
,"... Inoltre, finalmente ho ricordato chi è..."
,‘Lei’? Ero sicura che fosse un ‘lui’...
Amakusa Juuza,"""Mi scusi... ma lei è...?"""
,"""Sì. ... Io sono Hachijo Tohya ({p:0:八城十八})."""
Amakusa Juuza,"""I giornali parlavano del suo evento in cui ha autografato dei libri. In teoria, un misterioso autore uomo si è presentato indossando occhiali da sole e una maschera... non avrei mai pensato che potesse essere una donna... qual è il problema?"""
Hachijo Tohya,"""... Era solo uno specchietto per le allodole predisposto dal mio editore. {n}Io ero l'assistente che stava dietro di lui all'evento."""
Amakusa Juuza,"""Heh, che shock... non ho letto le sue opere, ma scommetto che è più misteriosa dei suoi libri."""
Hachijo Tohya,"""I miei lettori vogliono solo leggere i miei libri. ... Li comprano soltanto basandosi sul nome dell'autore e la marca e pensano di aver davvero letto qualcosa."
Hachijo Tohya,"... Non importa cosa scriva nei miei libri, loro non leggono per davvero nulla. Fanno solo finta di leggere in modo da poter sembrare intelligenti e informati e continuare con la loro mania. ... E io dovrei espormi a questa gente? {n}Perché incoraggiare questa spazzatura?"""
Ushiromiya Ange,"""... Capisco. Sembra che tu... sia davvero la grande Hachijo."""
,Questa persona è molto eccentrica... non ci sono dubbi... questa è proprio Hachijo Tohya...
,Hachijo Tohya è una misteriosa scrittrice che ultimamente è stata oggetto di varie discussioni.
,"Sembra che i suoi libri siano stati molto apprezzati, ma è il suo misterioso debutto ad aver attratto così tanto l'attenzione."
