Speaker,Italian (Ars Magica) (Old) (ITA)
,"... A Rokkenjima, questo giorno -o meglio, questo Round- era uguale a qualsiasi altro."
,"Il tifone sarebbe arrivato molto presto. Le nuvole non si erano ancora gonfiate, ma si muovevano rapidamente."
,L'unica cosa nella mente di Natsuhi era il piano per nascondere l'assenza di Kinzo anche quest'anno.
,Krauss sembrava soffrire di un mal di stomaco causato dallo stress e stava dormendo nella sua stanza.
,Jessica e Kumasawa erano partite con una barca per andare a fare compere e accogliere i parenti in arrivo a Niijima.
,"I servitori sono stati occupati fin dal primo mattino nella preparazione per la conferenza di famiglia, il più grande evento dell'anno..."
,Shannon e Kanon stavano preparando la casa degli ospiti.
Kanon,"""... Le camere nella villa non dovrebbero essere più che abbastanza per ospitare tutti i parenti?"""
Shannon,"""Ottima osservazione. È una scocciatura pulire anche qui. ... Anche se, mi piace pulire la casa degli ospiti."""
Kanon,"""Sì, è piacevole e tranquilla senza Madame e tutti gli altri servitori fastidiosi."""
,Shannon sorrise amaramente mentre faceva un esame della sala degli ospiti.
,Abbiamo dimenticato di pulire qualcosa? Dobbiamo rifornirci di qualcosa? Diede diligentemente alla stanza un ultimo controllo...
Kanon,"""Hai controllato accuratamente anche la scorsa notte, non è vero? Sei davvero dedita al tuo lavoro."""
Shannon,"""Sono giorni come questi che tendono a farti butti scherzi se sei disattento. ... Non trovi mai le cose importanti quando ti servono, e cose che avrebbero dovuto essere chiuse si scoprono essere aperte."""
Kanon,"""Questo è perché sei troppo negligente. Non fai attenzione mentre lavori."""
Shannon,"""Immagino sia questo il motivo per cui mi aiuti a controllare. Grazie."""
Kanon,"""... Non c'è nulla di cui ringraziare. Se fossi stata un po' più attenta non avrei dovuto aiutarti per niente."""
Shannon,"""... *giggle*. La verità è che vuoi solo passare del tempo con me, giusto? {n}Sei proprio un bambino."""
Kanon,"""N-Non è affatto vero... è tutto perché sei stata così entusiasta riguardo George-Sama ultimamente. Stai facendo casino così spesso che non posso perderti di vista un attimo."""
Shannon,"""*giggle*... Kanon-kun. Chiacchieriamo un po'."""
Kanon,"""... Non possiamo ora. Stiamo lavorando."""
Shannon,"""Continui a prenderti gioco di me e George-sama... ma come sta andando tra te e Jessica-sama?"""
Kanon,"""N... Non sta succedendo niente di particolare. Se hai tempo per parlarne, abbiamo tempo anche per finire questo... wah-"""
,Kanon stava -in maniera molto ovvia- cercando di cambiare argomento. Shannon allora è scivolata furtivamente dietro di lui e l'ha spinto sul letto.
Shannon,"""Allora, perché hai respinto la proposta di Milady quando ti ha chiesto di andare con lei ad accogliere i parenti?"""
Kanon,"""... Perché ho del lavoro da fare..."""
Shannon,"""Bugiardo. ... In realtà non hai nessun lavoro da fare."""
,Shannon e Kanon si sono scambiati i ruoli.
,"Normalmente era Kanon ad avere il controllo, ma quando si trattava d'amore, era l'opposto."
,Come Shannon ha detto... avrebbero dovuto essere Jessica e Kanon ad accogliere i parenti al porto di Niijima.
,"Comunque, Kanon ha improvvisamente detto di aver del lavoro da fare, così Kumasawa è andata al suo posto."
,Kanon... non aveva nessun lavoro da fare. Shannon lo sapeva...
Shannon,"""Milady me l'ha detto. ... Nonostante quello che è successo dopo il festival della cultura le piaci davvero, Kanon-kun."""
Kanon,"""... Anche se sono... un mobile..."""
Shannon,"""Esattamente. E anche io sono un mobile."""
Kanon,"""... Ma nonostante questo, sei innamorata di un umano. ... Nonostante questo sia impossibile."""
Shannon,"""Lo pensi davvero...? Forse, siamo mobili... solo perché lo pensiamo."""
Kanon,"""Non ho sentimenti speciali verso Milady Jessica. ... Penso a lei solo come la figlia della famiglia che serviamo."""
Shannon,"""Davvero...?"""
Kanon,"""Davvero."""
Shannon,"""..."""
Kanon,"""... C... Cosa?"""
Shannon,"""lo sai... c'è una possibilità... che George-sama mi faccia la proposta stanotte."""
Kanon,"""...!"""
,Shannon mostrava un sorriso incredibilmente pacifico sul suo volto... ma Kanon poteva già dire che non gli avrebbe permesso di cambiare argomento in nessun modo.
,"Kanon realizzò che lei doveva essersi fatta aiutare alla casa degli ospiti con lo scopo di parlargli di questo, schioccò la lingua leggermente..."
Kanon,"""... Pensi davvero di poter sposare un umano nonostante tu sia un mobile?"""
Shannon,"""Penso di poterlo fare."""
Kanon,"""È impossibile."""
Shannon,"""Perché?"""
Kanon,"""Questo futuro da sogno che George-sama ha immaginato per voi due... è qualcosa che non potrai mai dargli."""
Shannon,"""B... Beh..."""
Kanon,"""... Non siamo umani. Siamo mobili, inferiori a loro. Solo George-sama pensa che tu sia umana."""
Shannon,"""... B... Beh, questo è vero, ma..."""
Kanon,"""Sono impressionato dal fatto che tu sia riuscita a ingannarlo per tutto questo tempo. Pensi davvero di poter continuare a ingannarlo così per sempre? {n}Anche se non sei ancora riuscita a dirgli che sei un mobile."""
Shannon,"""... Essere mobili o esseri umani... non ha niente a che fare con questo. {n}Credo che George-sama accetterà tutto di me."""
Kanon,"""E ancora non hai il coraggio di controllare e assicurartene."""
Shannon,"""... Sai una cosa? ... Io penso che... accetterò la sua proposta."""
,Appena Shannon guardò il soffitto... iniziò a parlare del futuro che lei e George avrebbero creato.
,Anche se un po' di ansia riguardo il futuro è apparsa sul suo viso... apparve anche la gioia di scoprire come sarebbe stato vivere con amore.
,Appena Kanon guardò quel sogno vivido che gli era stato mostrato... capì che nessuna delle sue parole avrebbe più raggiunto Shannon...
Kanon,"""... Hmph... puoi fare quello che vuoi. ... Dopo che hai deciso qualcosa, sei incredibilmente testarda."""
Shannon,"""Sì. ... Voglio vivere la vita a modo mio. ... Mi piacerebbe smettere di preoccuparmi riguardo chi è un mobile e chi è umano."""
Kanon,"""..."""
,Kanon camminò verso la finestra silenziosamente.
,"... Vide il roseto pieno di noiosi, grigi fiori che sbocciavano..."
,Realizzò che Shannon stava agendo oltre la sua posizione.
,E sapeva che questa storia non avrebbe avuto un lieto fine.
,"... Comunque, sapeva anche che nessuna delle sue parole sarebbe servita a farle cambiare idea, che aveva fatto la sua decisione."
Kanon,"""... In questo caso... non ha importanza cosa dico. ... Se ti dico di fermarti, non ascolterai. Se ti dico di fare quello che vuoi, farai quello che vuoi. ... Perché mi parli in questo modo? Non è che mi importi davvero quale sarà la tua risposta."""
Shannon,"""Quello che voglio sapere... è cosa provi per Milady."""
Kanon,"""... Non ho niente a che fare con voi due."""
Shannon,"""Tu davvero... non provi nulla per Milady?"""
Kanon,"""... No, non provo nulla, come continuo a dirti."""
Shannon,"""Bugiardo."""
Kanon,"""Perché pensi sia una bugia?"""
