Speaker,Italian (Ars Magica) (Old) (ITA)
Shannon,"""... A quell'epoca ero, e credo di esserlo ancora, un po' maldestra... {n}dimenticavo sempre dove mettevo le cose... o mi dimenticavo di qualcosa che avevo intenzione di chiudere. ... Ho causato un sacco di problemi."""
Ushiromiya George,"""Hahaha, ricordo come Natsuhi oba-san si arrabbiava con te tutto il tempo."""
Ushiromiya Jessica,"""Ma alla fine, Shannon trovò il modo di superare quelle dimenticanze."""
Ushiromiya Battler,"""Oh, e come hai fatto?"""
Shannon,"""... Heheh. Non è stato niente di eccezionale... ma presi l'abitudine di scrivermi le cose. Scrivevo il luogo dove avevo messo qualcosa di importante. {n}Per cose che accadevano di frequente, facevo una lista e facevo sempre in modo di poterla controllare..."""
Furudo Erika,"""Allora? Hai visto Beatrice o no?"""
Shannon,"""Oh, umm... non l'ho vista direttamente... ma, umm... succedevano alcune cose molto strane..."""
,Si riferiva ad una certa notte d'estate.
,"Fu quando Shannon stava facendo le ronde notturne... dal suo punto di vista, era una storia di fantasmi."
,Dal punto di vista della strega... era solo la storia di un piccolo scherzo in una notte estiva...
{f:5:Beatrice},"""Sorellina mia. Sai cos'è la tossina anti-magia che gli umani possiedono?"""
{f:5:Beatrice},"""N-No. Che cos'è, Sorellona?"""
{f:5:Beatrice},"""Hmm. Il tempo delle streghe è finito da tempo. ... Quei vili umani che pretendono di controllare ogni cosa sono arrivati a negare la nostra esistenza e possiedono una forte tossina."""
{f:5:Beatrice},"""Quella tossina è dannosa per noi...?"""
{f:5:Beatrice},"""È estremamente pericolosa. Se dovesse arrivare a noi le nostre forme probabilmente evaporerebbero in un istante. Comunque, una cosa a nostro favore è che la nostra esistenza è ancora estremamente debole. Per questo motivo, la tossina non ha grande effetto su di noi. Nel peggiore dei casi, può trasformarci in nebbia per un po'."""
{f:5:Beatrice},"""Comunque, preferiamo evitarlo se possiamo, giusto?"""
{f:5:Beatrice},"""Esatto. Sì, vedo che sei me. Capisci in fretta."""
,"La Sorella maggiore appariva altezzosa all'inizio... ma, forse perché era così contenta di aver trovato il suo doppio e sua Sorella minore, fu più che disposta ad insegnarle tutto quello che voleva sapere."
,"La prima cosa che le aveva insegnato era che loro erano streghe, un tipo diverso di essere rispetto agli umani."
,"A Beato era stato insegnato che non era una strega perché non sapeva usare la magia, ma apparentemente, lo era comunque ancora."
,"Poi le era stato insegnato che streghe come lei, al contrario degli umani, sono legate da varie costrizioni."
,La più grande di queste restrizioni era la tossina anti-magia posseduta dagli umani.
{f:5:Beatrice},"""Quindi, in altre parole, non dobbiamo entrare nel campo visivo di un umano..."""
{f:5:Beatrice},"""Esatto. Puoi pensare come se gli occhi umani irradiassero la tossina. {n}Se ti vedono, sarebbe come se il tuo corpo venisse bruciato. Anche se sono meno estesi, essere sentiti o percepiti può risultare in un contatto con la tossina."""
{f:5:Beatrice},"""... Allora, è pericoloso anche solo avvicinarci agli umani..."""
,Nostro Padre non era umano...? Perché non sono stata bruciata dalla tossina di nostro Padre...?
{f:5:Beatrice},"""Se accumuliamo potere magico e lo facciamo riconoscere agli umani, quella tossina può essere ridotta drasticamente. In altre parole, facendo riconoscere la nostra esistenza agli umani, gli facciamo perdere la loro tossina, rendendo possibile a noi apparire di nuovo di fronte a loro."""
{f:5:Beatrice},"""Capisco... in parole povere, per come siamo ora, possiamo esistere solo quando gli umani non sono nelle vicinanze..."""
