Speaker,Italian (Ars Magica) (Old) (ITA)
Kumasawa Chiyo,"""Avanti, va tutto bene ora. Sbrighiamoci."""
{f:5:Beatrice},"""I-Io spero che a mio Padre piacciano i cibi dolci..."""
Kumasawa Chiyo,"""Oh sì, li adora. In effetti, sembra che gli piaccia mangiare più o meno tutto. Hohohoho."""
,"Dopo aver aspettato che il padrone dello studio uscisse, Beato e Kumasawa entrarono dentro."
,"Quindi, riordinarono rapidamente i libri sulla scrivania, sistemarono il vassoio che avevano portato, e tolsero il coperchio."
,Sopra... vi erano tanti bei biscotti a forma di farfalla.
,Avevano preparato un bel piatto e l'avevano decorato coi biscotti.
,Era il genere di decorazione che non viene notato dalla persona che mangia. {n}Era tutto preparato con questa convinzione.
{f:5:Beatrice},"""Fai ogni genere di sacrificio per il tuo amato Padre."""
{f:5:Beatrice},"""Questo è... tutto quello che posso fare ora."""
{f:5:Beatrice},"""E pensare che un giorno avrei regalato dei biscotti a Battler... perché io, la padrona della notte, dovrei fare così tanto per un ospite che viene così di rado?"""
,"In quel momento, la porta dello studio si aprì con violenza."
,"Era Battler, con Genji al suo fianco..."
,"Battler sgranò gli occhi per un secondo quando vide Beato in quel posto, ma il suo volto ridivenne rapidamente inespressivo."
Ushiromiya Battler,"""... Cosa state facendo qui?"""
{f:5:Beatrice},"""Padre... la prego di scusarmi. Non sono venuta qui per intralciare il suo gioco..."""
Ushiromiya Battler,"""Come hai fatto ad entrare...? Questa stanza non era chiusa?"""
Ronoue Genji,"""... Le mie scuse. Ho prestato loro una chiave perché volevano sorprenderla con un regalo."""
Kumasawa Chiyo,"""Guardi, guardi qui...! Beatrice-sama ha preparato questi biscotti con tutta la sua anima, sperando che le piacessero."""
{f:5:Beatrice},"""Mi hanno insegnato Kumasawa-san e Genji-san... non sapevo che lui fosse così bravo a preparare i biscotti."""
Kumasawa Chiyo,"""Hohoho. Non lo fa da un po', ma Genji-san era solito cucinare spesso molto tempo fa. Era bravissimo specialmente coi dolci...!"""
Ushiromiya Battler,"""Biscotti...?"""
{f:5:Beatrice},"""S-Sì. È un regalo per lei, Padre. Prego con tutta l'anima per la sua vittoria in questo incontro così importante..."""
,"Battler guardò il piatto pieno di splendidi biscotti sulla scrivania... e il biglietto di auguri al suo fianco, e un'espressione strana gli crebbe sul volto, che poteva contenere trace sia di tristezza che di odio..."
Ronoue Genji,"""... Padrone..."""
,Genji gli fece capire che sarebbe stato il caso di esprimere un po' di gratitudine nei confronti di Beato...
,Battler capì. ... Non aveva motivo di rispondere a questa gentilezza con sdegno.
,Anche se capiva questa logica... non poté fare a meno di emettere un piccolo sospiro.
Ushiromiya Battler,"""... Grazie, apprezzo il pensiero. ... Tuttavia, non mi piacciono i dolci. Per favore portali via."""
Kumasawa Chiyo,"""P... Padrone..."""
Ronoue Genji,"""..."""
Ushiromiya Battler,"""Non fatemelo ripetere. ... Per favore rimettete in ordine e portateli via."""
Kumasawa Chiyo,"""P-Padrone, non potreste provarne almeno uno...? Beatrice-sama ha lavorato sodo per prepararli per lei..."""
Ushiromiya Battler,"""... Ti ringrazio per il pensiero. ... Sono nel mezzo di un gioco vitale ora. {n}Questo è l'ultimo gioco... ed è vitale sia per me... che per Beato. Quindi per favore. Cercate di non disturbarmi più di quanto sia necessario."""
Kumasawa Chiyo,"""È troppo triste per lei...! Sono lieta che siate riconoscente per i suoi sforzi, ma non può dimostrarlo assaggiandone uno...?!"""
{f:5:Beatrice},"""... Padre..."""
,Beato guardò Battler con tristezza.
,... Battler abbassò la testa per evitare il suo sguardo.
,L'espressione sul suo volto causò a Beato un dolore più grande di quello che lui aveva mostrato finora...
Ronoue Genji,"""... Kumasawa, per favore rimetti in ordine e portali via."""
Kumasawa Chiyo,"""Padrone...!!"""
Ushiromiya Battler,"""..."""
,"Kumasawa afferrò Battler, ma lui le diede le spalle..."
{f:5:Beatrice},"""... Le mie... scuse... rimettiamo in ordine, Kumasawa-san..."""
Kumasawa Chiyo,"""Non lo permetterò. Con questo regalo, Beatrice-sama ha fatto del suo meglio per supportarla nell'unico modo in cui poteva. Dirle di portarli via senza nemmeno assaggiare... come può prendere in giro una donna in questo modo?!!"""
Ronoue Genji,"""... Kumasawa."""
Kumasawa Chiyo,"""Se si considera un uomo, dovrebbe almeno assaggiare quando una donna le prepara dei dolci!! Se veramente intende schiacciare così i sentimenti di una donna, io, Kumasawa, non mi faro indietro a costo di morire! Assolutamente!!"""
{f:5:Beatrice},"""K... Kumasawa-san... hai fatto già abbastanza per me..."""
Kumasawa Chiyo,"""Non lo permetterò!! Padrone, crede che possa esserci del veleno dentro?!"""
Ushiromiya Battler,"""..."""
,... Già. Se mai Beato arrivasse a darmi dei biscotti...
,... Di certo penserei che ci abbia messo un qualche assurdo veleno dentro...
,Mi ha chiesto se pensassi che potesse esserci del veleno dentro?
,Pensi davvero... che dei biscotti disposti in maniera così precisa e tenera... possano contenere qualcosa di strano...?
,E... chi potrebbe mai immaginare... che Beato potesse mai fare qualcosa del genere... lei disse...
,"Per questo motivo... Battler non riusciva a sopportare la vista dell'innocente reazione di Beato, che era totalmente priva di ogni intento malefico come porre del veleno nei biscotti..."
,"Beato iniziò tranquillamente a mettere in ordine. ... Di tanto in tanto, tirava su col naso."
,"Kumasawa continuò a fissare Battler, ma dopo un po' tirò un sospirò ad aiutò Beato a pulire."
,"Tuttavia, l'asprezza non sparì dal suo volto."
{f:5:Beatrice},"""... Mi dispiace, Padre. ... Voglia scusarmi."""
Ushiromiya Battler,"""Non chiamarmi così..."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""Non chiamarmi padre. ... Beato non mi ha mai chiamato così."""
{f:5:Beatrice},"""S... Sì, come desidera... le mie scuse."""
,"Abbassando la testa al punto da poter toccare il petto col mento, Beato uscì di corsa dallo studio."
,"Dopo aver guardato Battler, Kumasawa la seguì."
,"Kumasawa spalancò la porta con un po' di violenza, e il rumore dei passi delle due sparì rapidamente..."
Ushiromiya Ange,"""... Posso anche essere la sua Sorella minore, ma non sono sicura di cosa sento a proposito di ciò."""
{f:5:Featherine},"""Se al posto di Beato ci fosse stata un'altra persona, penseresti a lui come ad un vero nemico delle donne, vero...?"""
Ushiromiya Ange,"""... Non ho idea del perché Onii-chan e Beato siano così in buoni rapporti. {n}In questo momento, penso a Beato come al nostro più grande nemico, colei che dobbiamo sconfiggere. ... Eppure, anche così... come donna... non posso dire di apprezzare il comportamento di Onii-chan."""
{f:5:Featherine},"""Anche se posso capire un po' i sentimenti di Battler. ... Che tristezza."""
,Ancora non capisco che tipo di antagonismo o connessione vi fosse tra loro.
,"Tuttavia, probabilmente Onii-chan vede Beato... come un amichevole rivale, se non qualcosa di più."
