Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Krauss,"""... V... Vero, non è impensabile... i domestici sono i più sospetti..."""
Furudo Erika,"""Non abbiamo nessuna prova concreta, quindi non possiamo legarli e chiuderli in un armadio. Quindi dobbiamo assicurarci che vengano sempre tenuti d'occhio da chi ha i fucili e di controllarli sempre."""
Ushiromiya Rudolf,"""Aniki, dovremmo anche prendere i passepartout. ... Solo i domestici potrebbero aver creato quelle stanze chiuse. Devono aver fatto qualcosa con le catene usando qualche attrezzo o metodo conosciuto solo da loro."""
Ushiromiya Krauss,"""... Ci hanno servito per tutto questo tempo. Non riesco a credere che possano commettere un omicidio..."""
Furudo Erika,"""La vita di Kinzo-san è quasi finita, e ho sentito dire che il problema dell'eredità è piuttosto spinoso. ... Aggiungete la storia sulle dieci tonnellate d'oro nascoste da qualche parte. C'è tutto quello che serve per convincere delle persone a commettere un omicidio..."""
Ushiromiya Rudolf,"""Non voglio pensarci... ma c'è anche la possibilità che il vecchio bastardo stia svolgendo un qualche rito bizzarro. I domestici sono le sue pedine, e potrebbero essere stati loro a commettere gli omicidi. ... A proposito, cosa mi dite di Papà? Non siamo ancora riusciti a contattarlo?"""
Ushiromiya Krauss,"""N-No... nemmeno la linea interna funziona... i colpevoli potrebbero averla danneggiata. ... E nostro Padre talvolta lascia il telefono fuori posto quando è di cattivo umore... quando ho bussato, umm... ho ricevuto soltanto una risposta sgarbata... non possiamo contattarlo, ma lo studio è ben protetto. Probabilmente è più al sicuro lì, quindi sarebbe meglio non farlo uscire..."""
,"Imbarazzato, Krauss cercò di spiegare il silenzio di Kinzo."
,"Battler, il Game Master, non aveva reso ‘la morte di Kinzo’ un tema centrale per questo gioco, quindi la conversazione non proseguì oltre."
,Smisero di parlare di Kinzo senza che Rudolf diventasse particolarmente sospettoso.
Ushiromiya Rudolf,"""Ad ogni modo, non possiamo perdere di vista i domestici. Ho già parlato di questo con Hideyoshi-san, ma abbiamo deciso di dividere tutti in due stanze al secondo piano e chiuderci dentro."""
Ushiromiya Krauss,"""Perché due stanze? Una sola stanza non sarebbe stata più sicura?"""
Furudo Erika,"""Beh, se chiudessimo 12 persone in una stanza, soffocherebbero. Inoltre, voglio isolare le persone a cui dobbiamo prestare maggiore attenzione. C'è Genji-san, il capo dei domestici, Gohda-san, il più grosso, e anche se è piccolo, Kanon-san è un ragazzo."""
Ushiromiya Rudolf,"""Penso che dovremmo prestare particolare attenzione a quei tre, Aniki. In questo modo, possiamo isolare quel gruppo, e io e te possiamo tenerli d'occhio da vicino. Con due fucili, noi due potremmo cooperare in caso di bisogno. {n}Qualora facessero un solo movimento sospetto, *boom*!"""
Ushiromiya Krauss,"""... Capisco. Facciamolo. ... Ma Rudolf. Non possiamo essere sicuri che siano i colpevoli. Non essere troppo impulsivo."""
Ushiromiya Rudolf,"""... Tu dici a me di non essere impulsivo? ... Stiamo invecchiando."""
Furudo Erika,"""In questo momento, Hideyoshi-san è di sopra, sta dividendo tutti in due stanze. Raduneremo quelli da isolare nella stanza dei cugini, e gli altri andranno nella stanza a fianco."""
Ushiromiya Rudolf,"""Ah giusto, Aniki. Cosa facciamo con Jessica-chan...? Insiste a voler stare nella tua stanza."""
Ushiromiya Krauss,"""... Jessica..."""
Furudo Erika,"""Avevamo intenzione di tenere cinque persone nella stanza dei cugini e sette nella stanza accanto. Se Jessica-san vuole stare nella stanza dei cugini, saremmo divisi equamente. Se questo fosse un puzzle su lupi e pecore, ora ci sarebbero tre domestici lupi e voi due pecore in quella stanza. Aggiungendo Jessica-san, sarà bilanciato."""
,"Per un attimo, Krauss incrociò le braccia e pensò."
,"La stanza dei cugini è di sicuro la più pericolosa, per cui voleva che sua figlia rimanesse nella stanza accanto."
,"... Tuttavia, in un'emergenza del genere, voleva che sua figlia stesse in un luogo in cui poteva tenerla d'occhio."
Ushiromiya Rudolf,"""Lasciamo che stia con noi. ... Potremmo aver bisogno di lei per accertarci di rimanere dei buoni padri e zii."""
Ushiromiya Krauss,"""... Sì. Sto pensando logicamente ora. ... Ma non posso garantire che la tristezza per la perdita di mia moglie non possa trasformarsi in ira..."""
,"Anche senza prove, i domestici erano di certo i più sospetti."
,"Durante la lunga attesa, la tristezza e la rabbia e la stanchezza dei due uomini avrebbero potuto fargli perdere la ragione e agire in preda all'ira..."
,"Dopo averci pensato bene, Krauss decise di accettare la richiesta di Jessica, in parte per prevenire che accadesse ciò..."
Furudo Erika,"""... Penso che sia una buona idea. Approvo anch'io."""
Ushiromiya Rudolf,"""Sono d'accordo. ... È sufficiente che solo io e Rosa perdiamo i ragazzi..."""
Ushiromiya Krauss,"""... Rudolf..."""
,"In questo modo, tutti i sopravvissuti, eccetto Kinzo, si sono divisi in due gruppi e si sono rinchiusi in due stanze al secondo piano della casa degli ospiti."
,"Un gruppo era nella stanza dei cugini. Krauss, Rudolf, Jessica, Genji, Kanon, Gohda. Sei persone."
,"Un gruppo era nella stanza accanto. Hideyoshi, George, Shannon, Kumasawa, Nanjo, Erika. Sei persone anche qui."
,"Probabilmente come risultato delle azioni del killer la linea esterna era stata danneggiata, e avrebbero dovuto aspettare che tornasse il traghetto il giorno successivo prima di poter contattare la polizia."
,"Tuttavia, il bollettino meteo diceva che il tifone avrebbe reso il mare agitato per tutto il giorno seguente."
