Speaker,Italian (Ars Magica) (Old) (ITA)
,"""""Che la coppia si scambi gli anelli!!"""""
,... Beato prese la mano di Battler... e mise sul suo dito un anello con il sigillo dell'Aquila Mono-alata.
Ushiromiya Battler,"""... Sei sicura...?"""
{f:5:Beatrice},"""Tu sei già il padrone del territorio. ... Perciò, questo anello appartiene a te, Battler-san."""
Ushiromiya Battler,"""... Ne sei davvero sicura? ... Di questo passo, il mondo che tu hai creato... la storia..."""
{f:5:Beatrice},"""Sì. ... Io ho creato questa storia perché desideravo stare con te. ... Questo significa che lo scopo di questo mondo è stato soddisfatto. ... Quindi, d'ora in poi... voglio che lo scriva tu. ... Il resto della storia... tra te e me."""
Ushiromiya Battler,"""..."""
{f:5:Beatrice},"""... Heheh, stai scherzando? *cackle*cackle* sto solo lasciando il duro compito di padrone del territorio a te. È molto più facile fare la moglie, dove ti devi solo vantare...!"""
{f:5:Beatrice},"""Ho solo bisogno di divertirmi e aspettare che tu scriva una nuova storia. {n}E, per ogni storia che scriverai, io interpreterò il ruolo che vuoi. ... Essere una strega malvagia, o una rivale. ... Un'amante... o una moglie."""
Ushiromiya Battler,"""Le mie storie sono piuttosto intense. Sarai impegnata dall'alba al tramonto."""
{f:5:Beatrice},"""Hmm... sembra perfetto..."""
,La mano di Beato' abbandonò l'anello di padrone del territorio...
,"Da Battler, lei ricevette un anello d'argento con un simbolo, che poteva essere indossato solo dalla moglie del padrone del territorio."
,"Poi, si scambiarono gli anelli... e il loro matrimonio fu completo."
,"Poi, la coppia si voltò... si mise di fronte alla folla gremita di invitati, e sollevarono in alto i loro anelli."
,Un fragoroso applauso risuonò per loro...
Zepar,"""Come memoriale per gli eventi di questa notte, il grande padrone del territorio ora riconoscerà gli adempimenti di certe persone."""
Furfur,"""Lasciate che avanzino coloro che sono chiamati."""
,"Al cenno di Battler, Beato lesse il nome del primo ad essere riconosciuto."
{f:5:Beatrice},"""... Kanon. Vieni avanti."""
Ushiromiya Jessica,"""K-Kanon-kun...?!"""
,"Una ragazza capra si spinse avanti tra la folla, si tolse la maschera e gridò."
,"Una nuvola di farfalle dorate si radunò di fronte a Battler e Beato... e prese la forma di Kanon, in ginocchio di fronte a quei due nobili."
,"Kanon era già morto e scomparso. ... Tuttavia, tutti i morti ritornano in vita nella Terra Dorata."
Kanon,"""Kanon, presente..."""
{f:5:Beatrice},"""Quando mio marito era rinchiuso e in pericolo, tu l'hai salvato e hai dimostrato spirito di sacrificio scegliendo di rimanere al suo posto in quella prigione eterna. Questa devozione merita una ricompensa. Pertanto, noi permettiamo la tua resurrezione, così come la continuazione del tuo servizio."""
Kanon,"""... Ah. Ne sono davvero onorato... e felice!"""
Ushiromiya Jessica,"""Kanon-kun... Y... Yoshiya-kun!! Yoshiya-kunnnn!! Waaaaaaaaaaaaaaaaahhhhhh!!"""
,Jessica corse in avanti e finì piangendo nel petto di Kanon. Kanon le accarezzò la testa gentilmente e la abbracciò...
Ushiromiya Battler,"""Tu non sarai di servizio come mobile. Ma come umano. ... Capisci ciò che significa?"""
Kanon,"""... Sì."""
,Dopo aver guardato Jessica che piangeva... lui guardò Battler ancora una volta e annuì con forza.
{f:5:Beatrice},"""Ora la prossima coppia. Ushiromiya George e Shannon! Venite avanti!!"""
,"""""Sì."""""
,George e Shannon furono i prossimi ad essere chiamati.
,Forse erano già preparati. Avanzarono arditamente e si inginocchiarono.
Ushiromiya George,"""Ushiromiya George, presente."""
Shannon,"""Shannon, presente..."""
{f:5:Beatrice},"""Voi avete resistito fino alla fine alle prove di Zepar e Furfur. I vostri grandi risultati e affetto, la determinazione e la nobiltà sono stati esemplari e degni di essere premiati. Pertanto, il vostro attestato di matrimonio è stato rilasciato con la firma del padrone del territorio!"""
,"""""Ne siamo onorati e felici."""""
{f:5:Beatrice},"""A nessuno sarà permesso obiettare a questo attestato! Lasciamo che le famiglie di coloro riconosciuti benedicano la loro unione con tutto il cuore!!"""
Ushiromiya Battler,"""E perciò, ora che non c'è niente a fermare questi due, gettiamo tutti il riso e festeggiamo. Ehi, congratulazioni, voi due!"""
,"Quando il padrone del territorio batté le sue mani per festeggiare, si diffuse per l'intera cattedrale."
,"Poi, un gruppo di capri in prima fila si tolsero le maschere uno ad uno..."
Ushiromiya Eva,"""... A-Ascolta bene, ok?! {n}Non ti perdonerò mai se preparerai una zuppa di miso troppo salata! E George sta diventando leggermente sovrappeso, vacci piano con lo zucchero-"""
Ushiromiya Hideyoshi,"""George! Quando un uomo si sposa, deve far tesoro di sua moglie persino più dei suoi genitori! Non importa quello che dice tua Madre, assicurati di proteggere Shannon-chan!"""
Ushiromiya George,"""Sì, certamente!!"""
Shannon,"""George-san...!!"""
Ushiromiya Eva,"""A-Ad ogni modo, George ha bisogno di dormire almeno 7 ore! Non ti perdonerò mai se lo farai rimanere alzato fino a tardi!! E non dimenticarti che anche lavargli la schiena e pulirgli le orecchie sono responsabilità di una moglie!!"""
Ushiromiya Natsuhi,"""È... è vero...? C-Che cosa ho fatto..."""
Ushiromiya Krauss,"""... C-Cambia a seconda della famiglia..."""
Ushiromiya Kyrie,"""Rudolf-san, stai facendo tesoro di tua moglie?"""
Ushiromiya Rudolf,"""O-Ovviamente... perché dovresti dubitarne...?!"""
