Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Lion,"""... Penso che... abbiamo appena appreso quanto la donna chiamata Beatrice abbia influenzato la vita del Nonno."""
Willard H. Wright,"""Non abbiamo appreso niente. ‘Chi ha ucciso Beatrice?’ A meno che non capiamo ciò, non saremo mai capaci di uscire da qui."""
Ushiromiya Lion,"""... Hai ragione. Dobbiamo finire in fretta. Il funerale è già terminato, dopotutto."""
Willard H. Wright,"""... Stai sbagliando tutto. ... È questo il funerale."""
Ushiromiya Lion,"""Intendi, quello che ci sta facendo fare...?"""
Willard H. Wright,"""Tutte le Beatrice di cui abbiamo sentito finora non sono state affatto uccise. Noi stiamo provando a capire dove interviene il fattore ‘uccisa’. Questo è il vero funerale, per come lo intende Bernkastel."""
Ushiromiya Lion,"""... Nessuna sa di questo fattore ‘uccisa’. Ed è questa la verità che stiamo provando a scoprire?"""
Willard H. Wright,"""Hmm... brillante. Non sembra neanche che stia parlando con una pedina di un piano inferiore. Per questo mi hanno dato te come Watson. ... Ahia!"""
Ushiromiya Lion,"""Non chiamare pedina chi ti fa da partner. ... Quindi, che viene dopo, Willard Holmes?"""
Willard H. Wright,"""Interrogare i testimoni è la base di un'investigazione. C'è ancora una Beatrice di cui dobbiamo chiedere."""
,"Per indicare con chi avrebbero dovuto parlare dopo, Will annuì in direzione di George, Jessica e Maria."
,Maria sembrava star insegnando qualcosa agli altri.
Ushiromiya George,"""Wow. Beatrice sembra piuttosto incredibile."""
Ushiromiya Maria,"""Già! E poi, dentro la tazza capovolta, ha fatto apparire dal nulla decine di caramelle!"""
Ushiromiya Jessica,"""Dentro la tazza capovolta? Incredibile. A me sembra magia."""
Ushiromiya Lion,"""... Maria-chan ama davvero le streghe e la magia."""
Willard H. Wright,"""Non possiamo fare a meno di chiedere all'autorità sulle streghe, eh?"""
,"Se si cercava qualcuno a cui chiedere di Beatrice, Maria era in cima alla lista."
,"La Beatrice di cui parlava non era la vera Beatrice, di cui Kinzo e gli altri avevano parlato."
,"Tuttavia, qui e ora, sulla Rokkenjima del 1986, il nome Beatrice probabilmente si riferisce alla persona di cui Maria stava parlando."
Willard H. Wright,"""... Non vedo Battler da nessuna parte."""
,"Ushiromiya Battler. ... Colui costretto a combattere come avversario di Beatrice in molti giochi, e la persona più importante in questo gioco... in questa storia."
,"Un Battler in questo mondo probabilmente sarebbe la versione pedina, ma anche così sarebbe possibile ricavare da lui informazioni essenziali."
