Speaker,Italian (Ars Magica) (Old) (ITA)
Ushiromiya Jessica,"""Ah... heheh. Mi scuso per la mancanza di cortesia da parte del Successore-sama..."""
Willard H. Wright,"""Non lascerà un segno, vero? Davvero senza pietà."""
Ushiromiya Lion,"""... Hai detto qualcosa, Jessica?"""
Ushiromiya Jessica,"""O-Ovvio che no...! Ho già, uh, imparato la lezione, ok?!"""
,"Lion, che apparentemente stava parlando con gli adulti, si girò con un sorriso e fissò Jessica. ... Sembrava avesse una forte autorità."
Willard H. Wright,"""... Orecchie acute. Finalmente mi sto facendo un'idea della persona che è Lion."""
Ushiromiya Jessica,"""Già, già, già! Ha sempre avuto questi istinti acuti! E soprattutto pare piacere molto agli adulti! Ne vengo sempre paragonata, a casa e a scuola!"""
Ushiromiya George,"""Ora che ci penso, Lion era a capo della presidenza del consiglio studentesco, sia alle medie che alla scuola superiore. E a capo della squadra di badminton."""
Willard H. Wright,"""Quindi dovunque tu vada, vieni paragonata a Lion, e il confronto non va molto a tuo vantaggio."""
Ushiromiya Jessica,"""Lo dissi appena entrai alle medie. Successore-sama era già vice-presidente del consiglio studentesco. Dissi ‘se hai intenzione di diventare capo della presidenza del consiglio il prossimo anno, ciò mi metterebbe ancora più pressione, quindi smettila!’"
Ushiromiya Jessica,"Ma l'anno dopo, arrivò l'annuncio della candidatura, seguito da un elezione perfetta! Stessa cosa alle superiori! Dissi ‘per favore, lascia stare per questa volta’ quando Successore-sama era già vice-presidente! E ancora una volta, riuscì a diventare presidente del consiglio studentesco e allo stesso tempo stava per diplomarsi!"
Ushiromiya Jessica,"Papà era così orgoglioso! Mamma continuava a dire ‘ora assicurati di fare del tuo meglio come Sorella minore’, ancora, ancora e ancora!! Nngyaaaaaaaaaaahhhh!"""
Ushiromiya George,"""Ma anche così, tu eri comunque orgogliosa di essere la Sorellina di Lion, vero?"""
Ushiromiya Jessica,"""N-Non è che la penso in questo modo! No, mai...!!"""
Willard H. Wright,"""Può essere difficili venire paragonati alla perfezione. Tuttavia gli altri sono gli altri, tu sei tu. Non c'è bisogno di sentirsi sminuiti. Dovresti vivere come vuoi dando il massimo."""
Ushiromiya Jessica,"""Ovviamente! Ma Mamma e gli altri parlano sempre di come dovrei seguire le orme di Ushiromiya Lion, come Sorella minore. ... Continuano a dirmi di unirmi al consiglio studentesco, di andare a giocare a badminton..."""
Willard H. Wright,"""Tu suoni in una band, giusto?"""
Ushiromiya Jessica,"""C... Cosa?! S-Shhhhhhh! È un segreto, capito...?!"""
,"Apparentemente, lei lo stava tenendo segreto alla sua famiglia."
,"Interessante. ... Le persone spesso incolpano di varie cose la propria famiglia e su come sono cresciute, ma a questa ragazza chiamata Jessica piace fare la stessa cosa sempre, persino in un mondo diverso e con una diversa famiglia."
,È ammirabile che abbia un costante e reale interesse in qualcosa.
Willard H. Wright,"""La adoro. Quella canzone ‘pettan, pettan’. Quella canzone ‘dokkyun, dokkyun’."""
Ushiromiya Jessica,"""Wah, wah, wah!! Shh, shh, shh!!"""
,"Niente di sbagliato nei tipi straordinariamente dotati, come Lion, ma i ragazzi che si comportano per la loro età hanno un certo fascino."
Willard H. Wright,"""Questo è il modo migliore di vivere. Goditi a pieno la tua giovinezza."""
Ushiromiya Jessica,"""G... Grazie."""
,"Apparentemente, nessuno aveva mai approvato il modo di vivere di Jessica, e il modo diretto in cui Will l'aveva detto l'aveva fatta arrossire e chinare la testa imbarazzata."
Willard H. Wright,"""Voglio chiederlo a voi due ora."""
Ushiromiya George,"""La stessa cosa che hai appena chiesto a Maria-chan?"""
Willard H. Wright,"""Già. Vi prego di dirmi tutto ciò che sapete su Beatrice."""
Ushiromiya George,"""... Beh, puoi vedere quanto a Maria-chan piacciano le streghe e l'occulto. {n}Per lei, Beatrice è un simbolo da essere ammirato, come l'eroina di un anime. {n}Crede che ogni piccola cosa sia uno scherzo causato dalla magia della strega."""
Willard H. Wright,"""Tu sei un adulto. E il fatto che tu non abbia mai detto ciò a Maria è anch'esso molto adulto da parte tua."""
Ushiromiya George,"""Ovviamente. I sogni d'infanzia avvengono solo quando si è bambini. Ritengo, che rispettare questa preziosa esperienza sia responsabilità degli adulti."""
Willard H. Wright,"""Sembra che voi due andiate molto d'accordo."""
,La posizione di George era che Beatrice non fosse altro che una favola.
,"Tuttavia, quella frase... ‘rispettare i sogni di un bambino è la cosa adulta da fare’... Potrebbe essere degna di un ulteriore indagine."
,"Quando ottenne una caramella da Beatrice con la magia, Maria probabilmente si emozionò e lo disse a George e agli altri."
,"Poi, gli adulti seguirono il suo esempio e la assecondarono positivamente con la sua storia ‘come gli adulti dovrebbero fare’."
,"Tuttavia, c'è un altro modo in cui può avvenire questo tipo di reazione, rispetto alla risposta di un adulto alle affermazioni di un bambino."
,"Per esempio, potrebbe essere la risposta di qualcuno di inferiore rispetto alle affermazioni di uno di rango superiore."
,"... Se Kinzo, tiranno della famiglia Ushiromiya, affermava che Beatrice esisteva ed era risorta, probabilmente gli altri membri assecondavano positivamente la sua storia ‘come gli inferiori dovrebbero fare’."
,"Nonostante Beatrice fosse apparsa direttamente solo di fronte ad un numero limitato di persone... è probabilmente giusto dire che il concetto della sua esistenza si è addentrato profondamente, all'interno della famiglia Ushiromiya, persino tra coloro che non l'avevano mai vista."
,"Tuttavia, non importa quanto profondamente penetri quel concetto, lei era vista solamente come una sorta di personaggio di una fiaba."
,Sarebbe stato necessario trasformare il concetto di quel personaggio da una fiaba immaginaria alla realtà.
,"Quindi, una persona che tentava di fare ciò avrebbe avuto bisogno di fare qualcosa che poteva essere concepita solo come fatta da magia."
,"E quel qualcosa... era la serie degli incidenti della strega, ad iniziare con gli scherzi delle finestre aperte fatti da Beatrice la Maggiore... per finire con gli ultimi omicidi a stanza chiusa."
,"... Beatrice la Maggiore si riferiva a ciò, dicendo che il potere anti-magico che riempiva la villa si sarebbe indebolito sempre di più con l'aumentare della sua esistenza che veniva riconosciuta."
,Beatrice.
,Perché volevi spingerti così oltre per far accettare a tutti gli altri la tua esistenza?
,Perché l'immaginario diventa verità se tutti lo riconoscono?
,"Perché in quel momento, l'essere chiamato Beatrice sarà riconosciuto e diverrà umano?"
,"In quel caso, prima che Beatrice venga riconosciuta da tutti, è inferiore ad un umano. È un mobile."
,Perché i mobili vogliono diventare umani?
,Pare che questo fosse il tema del gioco precedente.
,Perché vogliono ottenere il diritto.
,"I mobili non possono *****. Quindi, desiderano avere il diritto di *****, e provare a diventare umani."
,......
,È davvero piuttosto semplice.
,... È collegato direttamente alla ragione per cui la Beato ‘pulcino’ era nata.
Willard H. Wright,"""... Capisco. ... Ho capito, ma è complicato."""
,Io non posso... ignorare il cuore.
Ushiromiya George,"""Mi spiace dire questo al funerale di Beatrice... ma, a dir la verità, io non conosco abbastanza su Beatrice per poterla spiegare. Le mie scuse."""
Ushiromiya George,"""Per quanto riguarda ciò, Jessica-chan vive qui, quindi può sapere un po' di più rispetto a me. ... A proposito, ti sei già presentata a questo gentiluomo, Jessica-chan?"""
Ushiromiya Jessica,"""Nah, non ancora. ... C'è quell'idiota che va in giro a pizzicare il sedere alle persone, quindi non ne ho ancora avuto l'opportunità... ehehe..."""
,"Un po' in ritardo, Jessica sembrò imbarazzata per essersi comportata scortesemente di fronte ad un ospite estraneo."
,Si schiarì la voce e fece un bellissimo inchino che poco si addiceva al suo solito comportamento. Sollevò persino gli angoli della sua gonna in segno di cortesia.
Ushiromiya Jessica,"""P-Piacere di conoscerti. ... Il mio nome è Jessica. Permettimi di darti il benvenuto nella famiglia Ushiromiya in questo giorno splendido... umm, voglio dire, ti prego di godere della nostra ospitalità... e..."""
Willard H. Wright,"""... Willard. Chiamami Will."""
Ushiromiya Jessica,"""Uh? ... Uh? ... Wah-"""
,"Il benvenuto di Jessica era del tipo antiquato, quindi anche Will la trattò come una signorina dei vecchi tempi... piegandosi su un ginocchio, prendendo la mano destra di Jessica e baciandola."
Ushiromiya Jessica,"""Wah, wah... waah..."""
,"Non aspettandosi che il suo benvenuto venisse restituito in una maniera così formale e in vecchio stile, Jessica arrossì e fu incapace di parlare."
,"... Tuttavia, Will aveva restituito il saluto in quello che pensava essere un modo perfettamente serio, quindi non capiva cosa stesse facendo arrossire il volto di Jessica."
Willard H. Wright,"""Ho fatto qualcosa di strano?"""
Ushiromiya Jessica,"""No, no, è solo che io... ah, ahahaha..."""
Willard H. Wright,"""Voglio sentire cosa sai su Beatrice. ... Nn."""
,"Un bagliore fuoriuscì dai contorni della mano destra di Will, che stava tenendo la mano di Jessica."
,Sembra che il potere dello spettatore stia avendo effetto su Jessica.
,... Non l'ho fatto perché succedesse questo. Oh beh...
Ushiromiya Jessica,"""Beatrice, eh...? Beh, posso dirtelo... ma mi prometti una cosa? Promettimi che non riderai. Pensandoci ora... sembra leggermente folle."""
Willard H. Wright,"""Cosa sai? Non riderò. Dimmelo."""
Ushiromiya Jessica,"""C-Certo... umm, da dove dovrei iniziare..."""
,"Per me, la Strega Dorata Beatrice è... qualcosa come uno dei ‘sette misteri’ della famiglia Ushiromiya."
