Speaker,Italian (Ars Magica) (Old) (ITA)
,Quadrillion.
,C'è un solo posto dove si può trovare quella parola su Rokkenjima.
,"Farfalle dorate aleggiarono di ombra in ombra, schivando le gocce di pioggia."
{f:5:Beatrice},"""... A meno che la memoria non mi inganni, probabilmente il posto è questo."""
,"Era... la cappella. Quella misteriosa costruzione, una delle più vecchie su Rokkenjima, che era stata costruita insieme alla villa."
,"Era chiamata cappella, ma nemmeno una volta Kinzo l'aveva usata per culto, e ai membri della famiglia non era permesso entrare dentro."
,"C'era l'ordine severo che nessuno vi ci avvicinasse senza ragione, e il suo scopo era sempre stato un mistero."
,"Tuttavia, tutti questi misteri vennero a noia, dopo diversi decenni."
,"Ad un certo punto, tutti si dimenticarono persino della sua esistenza, e quella splendida costruzione passò di mente agli abitanti di Rokkenjima..."
,"Ovviamente, questo valeva anche per Beato."
,"Beato, che odiava la noia, non aveva desiderio nell'avvicinarsi a posti in cui gli umani non andavano mai."
,Il suo ultimo ricordo era il momento in cui era andata lì per prendere in giro Shannon mentre lei provava a pulire.
{f:5:Beatrice},"""... Non c'è dubbio. Ecco. ... Quadrillion."""
,Beato guardò su... sopra la porta della cappella. C'era un rilievo mostrato sopra un arco.
,Lì c'erano scritte parole in inglese.
{f:5:Beatrice},"""‘You will be blessed only at a probability of a quadrillion to one’. ‘Sarai benedetto soltanto con la probabilità di uno su un milione di miliardi’. ... Heheh. Quindi pensavi che quella fosse la probabilità che qualcuno risolvesse quest'enigma...?"""
,Questa cappella fu costruita molto tempo fa.
,Se c'è un congegno come quello che immagino... Kinzo deve aver preparato questo enigma dell'epigrafe molti decenni fa.
,Deve aver avuto da sempre l'idea di usarlo come cerimonia per scegliere un successore adatto.
,"... Tuttavia, quella cerimonia è ora una cerimonia per aprire la porta della Terra Dorata e per la mia resurrezione."
,"Quando schioccai le dita, la terra si gonfiò e spuntarono secchi alberi come serpenti."
,"Si intrecciarono uno con l'altro per formare una scala, che si appoggiò contro la porta."
{f:5:Beatrice},"""Se la mia ipotesi è giusta... c'è qualche tipo di congegno in quel rilievo."""
,Mi arrampicai lentamente sulla scala.
,"Per via della grandezza della porta, il rilievo era molto in alto."
,"Da questa distanza, sembra molto più grande rispetto a quanto sembrava da terra."
{f:5:Beatrice},"""... Ora che ci penso, ogni volta che pulivamo la cappella... questo rilievo era l'unica cosa che Genji si assicurava sempre di pulire lui stesso. ... Mi chiedevo sempre perché non lasciasse qualcosa di così triviale ai domestici più giovani."""
,"Pensavo fosse strano, ma nulla più."
