Speaker,Italian (Ars Magica) (Old) (ITA)
Clair,"""... Questa è la fine della mia storia."""
{f:5:Bernkastel},"""Oh... questo è tutto? Ma i due anni successivi non sono stati piuttosto divertenti...?"""
Willard H. Wright,"""Non ne abbiamo bisogno. ... Dopo tutto quello che abbiamo sentito nei giochi passati sul tuo conflitto interiore e su come hai sofferto, non hai bisogno di dire altro."""
Ushiromiya Lion,"""... Intendi... il conflitto dei mobili con anime incomplete?"""
Clair,"""C'è stato un duello. Il risultato è stato quasi deciso. ... Tuttavia, l'anno 1986... è stato incredibilmente crudele."""
Willard H. Wright,"""... Scommetto che hai maledetto il tuo destino."""
Clair,"""Sì. ... Se solo fosse stato un anno prima. ... Oppure, un anno dopo."""
Willard H. Wright,"""Il duello si sarebbe risolto, anche se in un'altra maniera."""
,"Silenziosamente, Clair chinò la testa."
,... Se solo mi fosse stato dato del tempo... o se non mi fosse stato dato tempo per preoccuparmene...
,Io odio... ogni cosa. Perché... doveva essere proprio il 1986?
Clair,"""Io decisi... di abbandonare tutto."""
Ushiromiya Lion,"""... Abbandonare..."""
Clair,"""Come la cerimonia in cui io ho ereditato tutto dal precedente capofamiglia... decisi di abbandonarmi al fato conosciuto come miracolo."""
,Può essere più accurato dire che mi sono abbandonata alla scelta della roulette.
,"Io... noi... non potevamo nemmeno decidere il nostro stesso destino, quindi lasciammo che fosse il destino a decidere tutto per noi."
,"Forse uno di noi troverà ciò che cerca. O forse, tutti noi ci uniremo e libereremo. O forse, qualcuno fermerà questa follia."
Clair,"""... Non importa quale destino scelga la roulette, ho intenzione di obbedire alle sue regole. Non mi opporrò al fato. ... Dopotutto, ogni volta che in passato ci ho provato, il destino è sempre stato spietato con me..."""
,Clair chinò la testa e lasciò cadere giù una singola lacrima...
,"Gli umani possono dire con noncuranza che le persone hanno infinite possibilità. Tuttavia, la Strega dell'Infinito... sa quanto sono davvero limitate quelle possibilità."
,"Quindi, per via del suo destino limitato, lei provò a creare l'infinito."
,"Affidando il suo destino a Dio, lei provò a creare l'infinito."
,"Tuttavia, questo non significa che lei si fosse arresa al suo destino. Lei girò la roulette del fato con una volontà certa e incrollabile."
,"Un destino certo, dove nessuno sarebbe riuscito a scappare a meno che l'epigrafe non fosse stata risolta."
,E tutto sigillato sull'isola. Anche Clair.
,Il 4 e il 5 ottobre del 1986 furono isolati da una volontà certa e assoluta... lei si è abbandonata a quel breve lasso di tempo e ai molti destini che potevano essere scelti su quell'isola.
