Speaker,Italian (Ars Magica) (Old) (ITA)
,"I cugini camminavano lungo la spiaggia, giocando."
,"Cercavano frammenti di vetro, levigati dalle onde e divenuti piccoli e simili a gemme. Si misero al corrente delle vite di ognuno e scherzavano."
,Scrivevano parole sulla sabbia. Inseguivano le onde che si ritiravano e scappavano da quelle che ritornavano.
,I cugini si godevano questo momento che avevano solo per loro.
Ushiromiya Battler,"""Torna qui, Maria! Stavolta non la passerai liscia!! Wahahaha!"""
Ushiromiya Maria,"""Kyahahahahahaha!! Invece sì, invece sì, kyahahahaha!"""
Ushiromiya George,"""State attenti, voi due. Vi farete male, se cadrete."""
Ushiromiya Jessica,"""Sembra che il vento si sia fatto più forte. Forse dovremmo tornare dentro tra poco."""
Ushiromiya George,"""Hai ragione. Penso che anche il cielo si stia rannuvolando. {n}Battler-kun, Maria-chan! Penso che per oggi dovreste finirla e ritornare alla casa degli ospiti."""
Ushiromiya Maria,"""Uu-? Non voglio! Voglio giocare di più!!"""
Ushiromiya Battler,"""Ehi, non ignorare tuo cugino. Ok, per ora è tutto. Ecco, ti regalo la mia gemma di vetro."""
Ushiromiya Maria,"""Uu-!! Davvero?! Grazie, Battler!! Ora ne ho più di tutti, quindi ho vinto! {n}Uu-uu-uu-!!"""
Ushiromiya Jessica,"""Ange, stai bene?"""
Ushiromiya Ange,"""... Sì."""
Ushiromiya Battler,"""Cosa c'è, Ange? Sembri un po' giù di morale."""
Ushiromiya George,"""È solo stanca. Andiamo, torniamo indietro tutti insieme."""
,"Vero, forse il viso di Ange sembrava stanco. Tuttavia, solo Battler pensò che c'era qualcos'altro dietro."
Ushiromiya Battler,"""Cosa è successo? Puoi dirmelo?"""
Ushiromiya Ange,"""... Non è nulla."""
,"Disse quelle parole, ma qualcosa nella sua espressione dimostrava che per qualche motivo era insoddisfatta."
,"Poiché Ange non diceva cosa avesse, e Battler non riusciva a pensare a nulla, era incapace di immaginarselo."
,"Perciò, strinse la sua piccola mano, facendole sapere silenziosamente che poteva dirglielo una volta pronta..."
,Sebbene fino a poco fa fosse sembrato un giorno chiaro e soleggiato...
,"Il cielo si ingrigì, e i venti iniziarono a farsi fastidiosi piuttosto che gradevoli."
,"Se continuassero ad aspettare, potrebbero dover fare i conti con gocce di pioggia sparse."
Ushiromiya Jessica,"""E credo che d'ora in poi pioverà tutto il tempo. Che palle."""
Ushiromiya George,"""Però, anche se non è durato a lungo, è stato divertente essere nuovamente dei bambini per un po'."""
Ushiromiya Maria,"""Non vedo l'ora di mostrare a Mamma questa gemma di vetro! {n}Le dirò che ho vinto!"""
Ushiromiya Battler,"""Ihihi. Anche se hai vinto solo perché ti ho dato la mia."""
Ushiromiya Maria,"""Uu-! Ce l'ho io, quindi è mia! Perciò ho vinto! Uu-uu-uu-!!"""
,"Ange camminava in modo distratto, strattonata da suo Fratello."
,"George e gli altri pensarono che probabilmente si fosse svegliata troppo presto ed era stanca, perciò cercarono di non parlarle troppo."
,"Una volta raggiunta la fine del percorso boschivo, il giardino di rose si estese davanti a loro. Potevano vedere i forti venti che facevano ondeggiare i cespugli di rose."
Ushiromiya Maria,"""Mamma!! Guarda!! Ho vinto!!"""
,"Maria avanzò correndo, agitando le sue mani e gridando. Sembrava che Rosa li stesse salutando davanti alla casa degli ospiti."
Ushiromiya Jessica,"""Io torno nella mia stanza un secondo. Ci incontreremo tra poco nella stanza dei cugini."""
Ushiromiya George,"""Ok, capito. Ci vediamo dopo, allora."""
,Jessica corse verso la direzione della residenza.
,"George si voltò, come se stesse suggerendo che anche a loro conveniva muoversi."
,"Tuttavia, quando vide Ange ferma con un aspetto scontroso sul volto, si rese conto che qualcosa forse l'aveva messa di cattivo umore."
Ushiromiya George,"""... Va tutto bene?"""
Ushiromiya Battler,"""S-Sì, sta bene. Scusa, ma ti dispiace andare avanti?"""
Ushiromiya George,"""Certo, ho capito. Ci vediamo più tardi."""
,George si diresse alla casa degli ospiti.
,"Gli unici rimasti nel giardino di rose erano Battler, che stava salutando George ... e Ange, che stava ancora fissando il terreno e tenendo la mano di Battler."
,"Per qualche minuto, aveva ripetutamente chiesto a Ange che cosa avesse."
,"Si accorse che non era niente di simile ad un mal di stomaco, o qualcosa di ovvio che l'aveva messa di cattivo umore."
,"Talvolta, però, le giovani ragazze si agitano per motivi che solamente loro comprendono."
,"Battler lo sapeva, perciò non le mise fretta in alcun modo, e continuò a fissare il bellissimo giardino di rose, tenendola per mano."
Ushiromiya Ange,"""... Onii-chan."""
Ushiromiya Battler,"""... Che cosa c'è?"""
Ushiromiya Ange,"""Dov'è... questo posto?"""
,Fece la domanda come se stesse parlando di qualcosa che si trovava dall'altra parte del grande schermo.
,"Sebbene Battler avesse capito cosa significasse quella domanda, fece il finto tonto."
Ushiromiya Battler,"""Dove ci troviamo? È Rokkenjima, no?"""
Ushiromiya Ange,"""Ti sbagli."""
Ushiromiya Battler,"""No, non mi sbaglio."""
Ushiromiya Ange,"""Come può questa essere Rokkenjima?"""
Ushiromiya Battler,"""È la Rokkenjima del 4 Ottobre 1986. ... La Rokkenjima che hai desiderato vedere per così tanto tempo."""
Ushiromiya Ange,"""È una bugia."""
Ushiromiya Battler,"""Perché dici così?"""
Ushiromiya Ange,"""Questo posto è... assolutamente falso."""
,Ange liberò la sua mano dalla presa del Fratello. Quella mano colpì una rosa e spedì i suoi petali in aria.
Ushiromiya Battler,"""Io non mento."""
Ushiromiya Ange,"""Come fa questa ad essere la verità?!"""
,"Ange sputò fuori quelle parole. Tuttavia, l'espressione di Battler rimase calma e composta."
Ushiromiya Battler,"""... Cos'è che non ti piace?"""
Ushiromiya Ange,"""Ushiromiya Kinzo, per esempio! Non era per niente così, vero?!"""
Ushiromiya Battler,"""Quale Nonno non sorriderebbe quando si riunisce con i suoi nipoti dopo molto tempo? Credo che qualunque Nonno sorriderebbe in questa situazione."""
Ushiromiya Ange,"""Ushiromiya Kinzo, perlomeno, non era quel tipo di persona!! {n}Ushiromiya Kinzo era...!"""
Ushiromiya Battler,"""Severo, insoddisfatto, collerico e irascibile?"""
