Speaker,Italian (Ars Magica) (Old) (ITA)
,EVA aveva infranto il cerchio magico attorno alla chiave già precedentemente.
,"Nel momento in cui Battler e Ange l'avevano raggiunto, stava crollando giù come sabbia in una clessidra."
,"Provarono a prenderlo a calci e a pugni per farlo rompere più in fretta, ma niente di ciò che fecero ne accelerò il processo."
Ushiromiya Ange,"""... Pare che l'abbia rotto un po' di tempo fa... ma ci vorrà ancora un po' prima che sparisca del tutto..."""
Ushiromiya Battler,"""Giusto un po' di più, credo. ... Se solo potessimo guadagnare tempo per solo cinque minuti..."""
,"A giudicare dalla velocità in cui il cerchio magico stava crollando e l'aspetto generale della scena, sembrava che sarebbe finito presto."
,"Tuttavia, anche se erano solo cinque minuti, sarebbe stato abbastanza presto, ora come ora?"
,Si voltarono.
,... Oltre il dirupo dello scaffale dei libri... vi era un universo.
,"Persino per Battler, che aveva visto molte volte le battaglie di Beato, il combattimento tra Lambdadelta e Bernkastel sfidava così tanto la logica che non riusciva a pensare ad una singola parola per descriverla."
,"Quando finalmente riuscì a trovarla, quella parola era ‘un universo’."
,"Ogni volta che una battaglia tra Lambdadelta e Bernkastel si dispiegava, si creava un universo tra loro due."
,"Avevano luogo dei Big Bang, si creavano universi, innumerevoli galassie nascevano e venivano cancellate, nascevano e si cancellavano."
,"Poi, proprio quando sembrava che si stesse verificando un Big Crunch e che l'universo stesse incontrando la sua fine, aveva luogo un altro Big Bang e un altro universo veniva creato."
,Era come guardare degli Dei mentre giocavano.
,"Le due streghe creavano e distruggevano mondi in continuazione, quasi come se due Creatori stessero combattendo per provare che il loro universo era quello giusto."
,"Se si fosse abbassata la guardia per un attimo... allora, anche il solo guardare ciò, ti avrebbe rubato l'anima. Era questa la sensazione."
Ushiromiya Ange,"""... Riusciremo a prendere la chiave a momenti. ... Poi potremo tornare alla Terra Dorata col Frammento che Lambdadelta ci ha dato, giusto...?"""
Ushiromiya Battler,"""Torna indietro appena prendi la chiave. Non posso lasciare Lambdadelta da sola."""
Ushiromiya Ange,"""Vuoi intervenire in quella lotta?!"""
Ushiromiya Battler,"""Non posso lasciarla da sola."""
Ushiromiya Ange,"""..."""
Ushiromiya Battler,"""Il loro combattimento potrà anche ignorare ogni logica. ... Tuttavia, sono perfettamente equilibrate. Quindi... se qualcuno si intromettesse, anche solo un debole umano come me... qualcosa potrebbe rompersi."""
,Un equilibrio perfetto mantenuto da due grandi forze può facilmente essere spezzato aggiungendo anche solo la più piccola forza da una parte.
,"Tuttavia, in realtà intervenire lì e aggiungere quella piccola forza sarebbe letteralmente un suicidio."
,Come una falena che vola verso una fornace. Potrebbe bruciare persino prima di averla raggiunta.
Ushiromiya Battler,"""Una volta che hai preso la chiave, torna direttamente alla Terra Dorata. {n}Non sappiamo quanto a lungo loro possono resistere, ricordi?"""
Ushiromiya Ange,"""... Non posso tornare da sola... non quando tutti stanno lottando."""
Ushiromiya Battler,"""Esatto, questa è la tua battaglia. Quindi combatti. ... Nonostante tu possa rimpiangere di non essere morta con tutti gli altri, devi superare quel sentimento e vivere nel futuro. È questo che hai deciso di fare, giusto?"""
Ushiromiya Ange,"""...!"""
,Ange non aveva parole con cui rispondere.
,... Suo Fratello e tutti gli altri probabilmente sarebbero morti. Quindi voleva morire nello stesso posto e nello stesso momento di tutti quanti gli altri.
,Tuttavia ciò non poteva essere permesso e lei non doveva desiderarlo.
,Aveva già preso la sua decisione.
,"Lei aveva giurato... di vivere nel futuro, senza voltarsi a guardare le morti di tutti."
Ushiromiya Battler,"""Quando tornerai alla Terra Dorata, mostra la chiave a Beato. Beato ti mostrerà due porte. ... Poi, ti darà un semplice indovinello e ti dirà di aprire una di esse. ... Questo è... l'ultimo gioco della mia gameboard."""
Ushiromiya Ange,"""... Due... porte..."""
Ushiromiya Battler,"""Delle due, una ti condurrà al futuro. ... Non preoccuparti. Ora sono sicuro che non sceglierai quella sbagliata. Inoltre, una volta che l'avrai attraversata, non voltarti fino a quando la porta non si sarà chiusa."""
Ushiromiya Ange,"""Perché non posso voltarmi?"""
Ushiromiya Battler,"""Quando la porta si chiude, tu non sarai più capace di vedere il nostro destino. ... In altre parole, saremo chiusi nella scatola del gatto."""
Ushiromiya Ange,"""Un destino dentro la scatola del gatto... ha infinite verità."""
Ushiromiya Battler,"""Esatto. Potremmo aver perso pateticamente o potremmo aver fatto una miracolosa rimonta ed essere sopravvissuti. In altre parole, se tu, la Strega del Futuro, vieni mandata nel futuro senza aver testimonianza della fine della nostra battaglia, avremmo ancora una possibilità di vittoria."""
Ushiromiya Battler,"""Tuttavia, se continuerai a guardarci, vedrai quando verremo annientati. {n}Ciò farà salire la probabilità della nostra sconfitta al 100%. Quindi, per darci una vittoria miracolosa, tu non devi voltarti una volta attraversata quella porta! Capito?!!"""
Ushiromiya Ange,"""S... Sì..."""
Ushiromiya Battler,"""Perciò, io andrò ad aiutare Lambdadelta. Se tornerai alla Terra Dorata dopo avermi visto andare via come un eroe, sarà così che la mia storia finirà per te."""
Ushiromiya Ange,"""... Il risultato della tua battaglia verrà sigillato nella scatola del gatto. {n}Perciò non potrai mai ‘perdere’."""
Ushiromiya Battler,"""Esattamente. Quindi non guardare indietro. Avrai presto la chiave. Torna nella Terra Dorata come se la tua vita dipendesse da ciò. ... Perciò, molto in fretta, ho un messaggio per la te del futuro. Non dimenticarlo, e incidilo nel tuo cuore!"""
Ushiromiya Ange,"""Va bene... va bene...!!"""
Ushiromiya Battler,"""... Non importa cosa succederà, non abbandonare mai le speranze che ti tengono in vita. Tutti noi saremo sempre dietro di te. ... Se ci crederai, potremo anche parlarti! Credici! Se una cosa è certa, è che i miracoli accadono quando ci credi!"""
,"In quel momento, Lambdadelta e Bernkastel furono avvolte da un'enorme esplosione."
,Di certo una di loro due aveva inflitto un colpo potente.
,Non ci furono ulteriori esplosioni... quindi sicuramente quell'attacco aveva deciso il combattimento...
,Quando il fumo si diraderà... chi sarà rimasta in piedi...?
,Il cerchio magico che sigillava la chiave necessitava ancora di diversi minuti per dissolversi...
