Speaker,Italian (Majotachi no Sub) (New) (IT)
,Battler si era situato nella sala da pranzo.
,"Non se la sentiva di tornare alla dépendance sotto quella pioggia, e aveva vagato senza meta per la villa, alla ricerca di un posto dove potersi sbracare... facendo della sala da pranzo la sua roccaforte."
,Non si era nemmeno chiuso a chiave.
,"Ora che era isolato, credeva che l'assassino incorporeo, o la Strega Dorata, sarebbero venuti a ucciderlo, ma non era intenzionato ad affrontarli."
,"Al contrario, non aveva neanche pensato di usare le serrature per bloccarli.{n}Voleva che quella persona venisse davanti a lui, faccia a faccia..."
,"Pensò che, se fosse venuto l'assassino, gli avrebbe chiesto di parlargli di alcuni dei suoi stupefacenti trucchi con le camere chiuse, come regalo da portarsi nell'aldilà."
,"E se fosse venuta la strega, quantomeno avrebbe dovuto conferirgli la morte con una splendida magia..."
,"Tuttavia, l'ironia della sorte volle che nessuno dei due venne ad incontrarlo..."
,"Battler aprì l'armadietto dei liquori, trincando alcolici senza alcuna riserva.{n}Ormai non c'era più nessuno che avrebbe potuto rimproverarlo per stare bevendo."
,"Con fare sfacciato, poggiò tutti e due i piedi sulla tovaglia lussuosa, e assaporò un'intera bottiglia d'alcol pregiato, che probabilmente aveva un valore da capogiro..."
,In quel momento... sentì qualcuno bussare.
,"Battler comprese che finalmente, qualcuno era venuto ad incontrarlo..."
Ushiromiya Battler,"""Ehilaaà~, la porta non è chiusa a chiave. Chiunque tu sia, prego, entra pure.{n}E ti chiedo di presentati. Se sei un essere umano, dimmi il tuo nome. Se sei {f:5:Beatrice}, dimmi la taglia del tuo seno."""
Ushiromiya Battler,"""Anche se non sembra, sono un sommelier delle tette abbastanza conosciuto, saiii?"""
Ronoue Genji,"""...Signorino Battler, sono io, Genji."""
Ushiromiya Battler,"""...Genji-san, eh...? Scusa, ma la taglia del tuo seno non mi interessa. Entra pure. È aperto."""
Ronoue Genji,"""...Con permesso."""
,"Genji-san aprì la porta, per poi rivolgergli un inchino..."
,Alla fine il colpevole era Genji-san... o forse era un complice...? Sicuramente quella teoria avrebbe potuto spiegare la maggior parte dei trucchi...
Ushiromiya Battler,"""Sei venuto a darmi l'estrema unzione?"""
Ronoue Genji,"""...Nulla del genere... Le chiedo perdono per averla disturbata."""
Ushiromiya Battler,"""...Ehi, ehi, scusarti senza neanche dirmi cosa vuoi è ancor più inquietante... Cosa c'è...? Lasciami fare quel che voglio, ora che è giunta la fine."""
Ronoue Genji,"""...Signorino Battler, lei ama l'alcol così tanto... da voler dedicare il poco tempo che le rimane prima di morire bevendolo?"""
,Quelle parole lo ferirono...{n}Le cose non stavano così.
Ushiromiya Battler,"""...È solo che non posso farcela senza bere. Non me ne intendo affatto sul sapore dell'alcol..."""
Ronoue Genji,"""...Lei è proprio come il padrone. È vero che lei ha fortemente ereditato il suo sangue..."""
Ushiromiya Battler,"""Vuoi dire che quel ciucco del nonno in realtà beveva per affogare tutti i suoi problemi...? È la prima volta che lo sento."""
Ronoue Genji,"""...Il padrone... dopo una serie di tristi incidenti... passò tutta la sua vita all'insegna dell'espiazione."""
Ushiromiya Battler,"""...E tu cosa ne sai?"""
Ronoue Genji,"""...Il rituale di {f:5:Beatrice}-sama è stato completato all'ottavo crepuscolo...{n}Credo che adesso io possa dirle ogni cosa."""
Ushiromiya Battler,"""C-Che hai detto...?"""
,"La sbornia mi svanì del tutto. Levai i piedi dal tavolo, pronto ad ascoltare con attenzione il proseguimento del discorso di Genji-san..."
Ronoue Genji,"""Signorino Battler... La condurrò allo studio del padrone... Sarebbe meglio se lei sentisse certi argomenti direttamente dalle loro bocche..."""
Ushiromiya Battler,"""Cioè da mio nonno... e poi chi...? O-Oh, che cosa diavolo intendi dire con questo...?!!"""
Ronoue Genji,"""...Prego, da questa parte. Le farò da guida, signorino Battler."""
,"Genji-san mi disse di seguirlo, per poi iniziare a camminare lungo il corridoio."
,"Ritornai completamente sobrio, e lo raggiunsi..."
,"Percorremmo una lunga scalinata... arrivando così al secondo piano.{n}Lungo il percorso, Genji-san si fermò sui suoi passi.{n}Dopodichè si voltò, e disse:"
Ronoue Genji,"""...Signorino Battler... Da qui in poi... probabilmente vedrà cose che non sarà in grado di comprendere."""
Ushiromiya Battler,"""Non cercare di spaventarmi... Mi sono rotto di vedere per tutto il giorno robe incomprensibili."""
Ronoue Genji,"""...La prego di accettare quello che lei vedrà per ciò che è. E lo stesso vale per ciò che udirà."""
Ronoue Genji,"""Domande come ‘perché’, e ‘cosa’... non saranno necessarie... Signorino Battler, lei conoscerà la pura e semplice verità. Potrà accettarla, credere in essa, oppure negarla, la scelta sarà totalmente nelle sue mani."""
Ushiromiya Battler,"""..."""
,Genji-san controllò per un'ultima volta se fossi pronto a conoscere la verità.
,"L'ottavo crepuscolo era ormai concluso. Perciò, al nono crepuscolo, la strega sarebbe risorta... e nessuno sarebbe stato lasciato in vita."
,"Voleva dire che {f:5:Beatrice} era già tornata in vita...{n}E che probabilmente, a nessuno di noi sarebbe stato concesso di rimanere in vita e di tornare a casa."
,"Se sarei dovuto morire ugualmente... avrei voluto conoscere la verità, prima che giungesse la mia fine...{n}Non importava quanto sarebbe stata difficile da accettare."
Ushiromiya Battler,"""...Va bene... Sono pronto... anche se mi si paleserà davanti un mostro o una strega."""
Ronoue Genji,"""...Lei è davvero come il padrone durante la sua gioventù, in tutto e per tutto... Signorino Battler, la incoraggio caldamente a proseguire gli studi. In futuro diventerà senz'altro un uomo dalle grandi ambizioni. E quando giungerà il momento, faccia in modo di non doversi pentire per il resto della sua vita a causa della sua ignoranza."""
Ushiromiya Battler,"""...Se avrò l'opportunità di mettermi sotto con gli studi, lo farò senz'altro."""
Ronoue Genji,"""..."""
,Il silenzio di Genji-san sembrava voler farmi rivalutare ulteriormente la mia rassegnazione...
,"E infine... scorgemmo la porta dello studio del nonno, la quale era pregna di un aroma dolciastro."
,Genji-san prese dal suo taschino una chiave dorata con dei motivi elaborati.
,"Zia Rosa aveva confiscato i passepartout, ma aveva continuato a tenere con sé unicamente la chiave dello studio."
,La infilò nella serratura... che emise un pesante ‘clunk’.
Ronoue Genji,"""...Padrone. Sono io, Genji. Ho qui con me il signorino Battler."""
,"Non ci fu risposta, ma sembrava che ci fosse stata conferita l'autorizzazione per entrare..."
Ronoue Genji,"""Venga, signorino Battler. La invito a fare il suo ingresso."""
Ushiromiya Battler,"""...Sì... Ora entro."""
,Mi preparai mentalmente... e spalancai la porta...
,In quell'istante... un accecante bagliore dorato stava quasi per disorientarmi...
,"Era... una sorta di... sciame di farfalle, che luccicavano come l'oro."
,"Le farfalle dorate, che gremivano lo studio, si riversarono fuori tutte assieme..."
Ushiromiya Battler,"""C-Cos'è... questooo...?"""
,Erano come coriandoli ricavati da dei fogli d'oro.{n}L'interno dello studio del nonno era pervaso da un fulgore dorato...
,"E poi... davanti alla scrivania di quella stanza, c'erano dei divanetti d'attesa...{n}da cui potevo vedere il dorso del nonno."
,"C'era qualcuno al lato opposto...{n}La sua figura era in penombra, e non riuscivo a vederla bene..."
Ronoue Genji,"""...Padrone. Ho portato il signorino Battler."""
Ushiromiya Kinzo,"""...Battler, eh? Ora ho altro a cui pensare... Fai silenzio per un attimo..."""
,"Proferì Kinzo con fare imbronciato, restando girato di schiena."
,"Apparentemente, sembrava divertirsi a giocare a scacchi con un ospite..."
,"Il suo avversario pareva aver contrattaccato con una mossa stupefacente.{n}Kinzo sembrava dilettarsi nel meditare avvedutamente, a volte ridendo, a volte gemendo..."
{f:5:Beatrice},"""Ci ho pensato su per trent'anni... Per tre decenni, ho pensato a come contrattaccare questa mossa... Rallegrati, rallegrati pure con questa mossa da me perfezionata nel corso di un trentennio."""
Ushiromiya Kinzo,"""...Eheheheheheheheh. Questa mossa è davvero un segno di una profondissima maturazione... Che gioia, che gioia... Kuhkuhkuhkuhkuhkuhkuhkuh, ahahahahahahah...!! Non c'è partita, non c'è assolutamente partita."""
Ushiromiya Battler,"""...C‐Che cosa sarebbe... tutto questo...?!"""
{f:5:Beatrice},"""Ben arrivato, Battler. È da un po' che ti stavo aspettando. Fai silenzio, lo dico per lui... A proposito di te, Kinzo, non pensi sia ancora presto per arrendersi?{n}Io avrei diversi modi con cui poter controbattere. Kuahahahahah...!"""
,Doveva essere... il mio primo incontro con quella strega.
