Speaker,Italian (Majotachi no Sub) (New) (IT)
{f:5:Beatrice},"""Dunque... È stata di tuo gradimento? Parlo di questa partita, naturalmente."""
{f:5:Bernkastel},"""...Una partita così squilibrata è di una noia che supera la voglia di stare a guardare."""
{f:5:Beatrice},"""Mhmhmhmh, ma tu guarda, il tuo giudizio è severo come sempre... Ero solamente fiera dell'andamento del gioco, che era abbastanza avvincente da poter compiacere Lady {f:5:Bernkastel}, nota disprezzatrice della noia, e tu rispondi in modo così duro."""
{f:5:Bernkastel},"""...Beh, ne riconosco l'impatto... Tuttavia, in termini di correttezza era una pessima partita. Servono condizioni leggermente più equilibrate per—"""
{f:5:Beatrice},"""...Non ci sarebbero possibilità di vittoria? E questo lo dice Lady {f:5:Bernkastel}...? Mhmhmhmhmh..."""
{f:5:Bernkastel},"""...Mi domando cosa intendi con ciò. Beato."""
{f:5:Beatrice},"""Non fare la finta tonta. Ne ero già al corrente... Tu {i:non sei un'osservatrice}."""
{f:5:Bernkastel},"""..."""
{f:5:Beatrice},"""Pensavi di poterlo nascondere? Hai fatto tutta questa strada verso un territorio altrui, e hai la sfacciataggine di puntare contro di me. Probabilmente intendi assistere alla partita dagli spalti, e piazzare una notevole puntata sulla mia sconfitta. Ho fatto centro, vero...?"""
{f:5:Bernkastel},"""...E se anche fosse?"""
{f:5:Beatrice},"""...Mhmhmhmhmh! Davvero avvincente!"""
{f:5:Beatrice},""" È un grande onore avere l'opportunità di combattere contro Lady {f:5:Bernkastel}, la strega più forte di tutte, colei che trionfò su Lady {f:5:Lambdadelta}!!"""
{f:5:Bernkastel},"""...Sì. È un onore anche per me. Sono venuta fin qui per veder sgretolare la tua smisurata fiducia in te stessa."""
{f:5:Beatrice},"""Com'è onesta lei. Kuahahahah!!"""
{f:5:Beatrice},"""Ciononostante, sarebbe un peccato se la disputa tra me e la Grande Lady {f:5:Bernkastel}... avvenisse senza nemmeno un singolo spettatore."""
{f:5:Bernkastel},"""...L'hai chiamata qui, vero? Quella ragazzina, intendo."""
{f:5:Lambdadelta},"""Ohohohohoh! Ti ho trovata, finalmente ti ho trovata, {f:5:Bernkastel}!!"""
{f:5:Bernkastel},"""...Che piacere vederti, Lambda. Anche tu hai tempo da perdere, vedo...{n}Chissà, forse è destino di coloro che condividono l'astio per la noia finire per incontrarsi nuovamente...?"""
{f:5:Lambdadelta},"""Sciocca mocciosa. Non hai capito che hai vinto contro di me per una semplice questione di fortuna e di compatibilità? E ora sei diventata così sfrontata da metterti ad attacar briga proprio con {f:5:Beatrice}, non faresti meglio a stare al tuo posto?"""
{f:5:Lambdadelta},"""Uhuhuhuh, guarda che {f:5:Beatrice} è forte. Ed è più spietata di me. Giusto un filo!"""
{f:5:Lambdadelta},"""E comunque, non accorciare il mio nome in Lambda senza permesso!"""
{f:5:Bernkastel},"""...Anche tu sei una sciocca, Beato. Questa ragazzina getta tutto nel caos, e la tua partita non farà eccezione."""
{f:5:Beatrice},"""Non ho portato Lady {f:5:Lambdadelta} solo per farla stare in panchina."""
{f:5:Beatrice},"""Dopo averla informata che stavi puntando contro di me, la Lady ha affermato che avrebbe scommesso contro di te."""
{f:5:Bernkastel},"""...Serbi ancora del rancore nei miei confronti?"""
{f:5:Lambdadelta},"""Ohohohoh!! Io sono la strega più forte dell'universo. Ma ora non più, perché ho perso contro di te!"""
{f:5:Lambdadelta},"""Perciò, chiunque sarà un tuo nemico diventerà un mio alleato!!"""
{f:5:Beatrice},"""Mhmhmhmh! Ecco spiegato il motivo. Per un avversario come la Grande Lady {f:5:Bernkastel}, questo non è neanche uno svantaggio, ma una fonte di intrattenimento degna del suo calibro."""
{f:5:Bernkastel},"""...Come preferisci... Ora che mi hai fatto uscire allo scoperto, mi metterò a fare sul serio."""
{f:5:Beatrice},"""La cosa mi sta bene. L'espressione ‘andarci alla leggera’ non ha mai fatto parte del mio vocabolario. Mhmhmhmhmhmhmhmhmhmh! Godiamoci questa nostra collaborazione proficua, Lady {f:5:Lambdadelta}."""
