Speaker,Original Witch Hunt (OG)
{f:5:Beatrice},"""Well then. ...Was the game just now enjoyable?"""
{f:5:Bernkastel},"""......A game that one-sided goes beyond something worth seeing. It's boring."""
{f:5:Beatrice},"""*cackle*cackle*. My, my, your point is harsh as always. ......I was only bragging that this development was compelling enough to satisfy even the boredom-hating Lady Bernkastel. What a harsh response."""
{f:5:Bernkastel},"""...Well, I'll accept that it was compelling. ...However, it was horrible as a fair game. You need the conditions to be a little more even-"""
{f:5:Beatrice},"""......Are you saying that there's no way to win? Even for Lady Bernkastel? ......*cackle*cackle*."""
{f:5:Bernkastel},"""...............I wonder what you mean by that, Beato."""
{f:5:Beatrice},"""There's no need to trick me. I already know. ...That you aren't a bystander."""
{f:5:Bernkastel},"""....................."""
{f:5:Beatrice},"""Were you planning on hiding it? You're an outrageous person to come into someone else's territory from such a great distance and work against me. You came to watch from the sidelines, and probably to push strongly for my defeat. I've guessed right, haven't I...?"""
{f:5:Bernkastel},""".................. And if so?"""
{f:5:Beatrice},"""......*cackle*cackle*! Truly interesting! "
{f:5:Beatrice},"That I should be granted a chance to fight with Lady Bernkastel, the strongest of witches who defeated Lady Lambdadelta, is truly a pleasure!!"""
{f:5:Bernkastel},"""......Yes. I'm also pleased. I really wanted to see you, brimming with confidence, fall apart and lose, so I came all this way."""
{f:5:Beatrice},"""What an honest person. *cackle*cackle*!! "
{f:5:Beatrice},"Even so, it would be a shame if the contest between me and the great Lady Bernkastel was resolved without at least one observer."""
{f:5:Bernkastel},""".....................You called her, didn't you. That child."""
{f:5:Lambdadelta},"""Hoh-hoh-hoh-hoh-ho! I found you, I've finally found you, Bernkastel!!"""
{f:5:Bernkastel},"""............How are you, Lambda? Looks like you also have free time. I wonder if it's fate that the pair who hate boredom should run into each other again...?"""
{f:5:Lambdadelta},"""Stupid kid. Why can't you realize that the only reason you won against me was because of a little luck and a problem of compatibility? After that, you became such a braggart, and now you're even picking a fight with Beatrice? Shouldn't you learn your place?"""
{f:5:Lambdadelta},"""*giggle*, Beatrice is strong. And she's even more brutal than I am. Just a little!"""
{f:5:Lambdadelta},"""And by the way, don't just shorten someone else's name to Lambda!"""
{f:5:Bernkastel},""".........You're dumb too, Beato. If this kid's in your game, she'll make a mess of everything."""
{f:5:Beatrice},"""I really didn't just bring Lady Lambdadelta here to watch from the sidelines. "
{f:5:Beatrice},"After informing me that you were betting against me, she said that she would bet against you."""
{f:5:Bernkastel},""".....................You're still holding a grudge, aren't you."""
{f:5:Lambdadelta},"""Hoh-hoh-hoh-ho!! Because I'm the strongest witch in the universe. But I lost to you so I'm not the strongest! "
{f:5:Lambdadelta},"So anyone who is your enemy is my ally!!"""
{f:5:Beatrice},"""*cackle*cackle*! In that case, with the great Lady Bernkastel as our opponent, it may not count as a handicap, but it will be suitable for entertainment."""
{f:5:Bernkastel},"""............Do as you like. ...Now that I've been exposed, allow me to get serious."""
{f:5:Beatrice},"""That would be suitable. 'Going easy' has never been written in my dictionary. *cackle*cackle*cackle*cackle*cackle*! Lady Lambdadelta, let us enjoy our valuable relationship this time."""
{f:5:Lambdadelta},"""Yes, I'll be counting on you, Lady Beatrice! I've been terribly betrayed by her. Unless the two of us smash her up and pay her back double, I won't be able to rest!!"""
{f:5:Bernkastel},"""............I'll be counting on you, Lambda. And Beato. ...No matter what issue we fight over, this will be a very significant battle for us."""
{f:5:Lambdadelta},"""That's right. Of course, I don't feel like losing, but who wins and who loses will be important."""
{f:5:Beatrice},"""Anyways, we hate boredom."""
,"The three witches giggled, cackled, and guffawed."
{f:5:Bernkastel},"""......That's right. I should thank you, Beato. It looks like I can finally escape boredom. Do your best to entertain me. Together with Lambdadelta."""
{f:5:Beatrice},"""Leave it to me. *cackle*cackle*...!!"""
{f:5:Lambdadelta},"""If we're decided, Beato, then let's start a strategy meeting right now! I know all of this girl's weak points, and I'll teach you all of them!"""
{f:5:Beatrice},"""And yet, Lady Lambdadelta, you were defeated by her, *cackle*cackle*...!"""
{f:5:Lambdadelta},"""Urrrrrrrrgggh, I won't tell you, I won't tell you! Tsu-n!"""
{f:5:Beatrice},"""*cackle*cackle* hahhahahahahahaha! ...She's never boring, that Lady Lambdadelta."""
{f:5:Bernkastel},"""............Isn't she? Take care of her. She's a lonely person."""
{f:5:Beatrice},"""I see. So she's one of 'those' that are popular these days. *cackle*, as expected from Lady Lambdadelta. Quite cutting edge. *cackle*cackle*cackle*cackle*."""
{f:5:Bernkastel},"""Go already. That child's waiting for you to chase after her."""
{f:5:Beatrice},"""......Then, if you'll excuse me. "
{f:5:Beatrice},"See you next game. *cackle*cackle*cackle*cackle*cackle*!"""
{f:5:Bernkastel},"......I'm sorry. That troublesome one came, but don't mind it."
{f:5:Bernkastel}," More importantly, .........things sure got ugly."
{f:5:Bernkastel}," I thought I'd experienced a very tragic end in Lambda's game, .........but this time, ......it's exceptionally horrible."
{f:5:Bernkastel},...It isn't as though I don't understand that feeling which makes you hug your knees and close your heart.
{f:5:Bernkastel}," If you meet that end several more times, your heart will be killed without having to wait one hundred years."
{f:5:Bernkastel},"......Beato saw through me, so I'll confess."
{f:5:Bernkastel}," You are now just like I was in the past, when I was imprisoned inside Lambda's world."
{f:5:Bernkastel}," Shut inside a labyrinth of cruel fate, tormented by a witch, in a manner of speaking."
{f:5:Bernkastel},...I am a witch who was born from there.
{f:5:Bernkastel},......So maybe I'm like an older sister to you.{n} So I decided that I'd lend you my power.
{f:5:Bernkastel}," However, ............even compared to my fate, ......yours is...truly brutal."
{f:5:Bernkastel}," Not only do I sympathize with you, I'm almost brought to tears by your tragic fate."
{f:5:Bernkastel}," But please, don't lose heart.{n} Please don't submit to Beato, no matter what."
{f:5:Bernkastel}," Certainly, that child's game is quite unfair."
{f:5:Bernkastel}," I've only been allowed a glimpse of the game board, but the unfair and clever devices set up on the stage are so disgusting that they probably far surpass those of Lambdadelta's game board."
{f:5:Bernkastel}," And what's even more frightening, is when that child moves a piece, it's not like she always makes the best possible move."
{f:5:Bernkastel}," This is where she is very different from Lambda.{n} Lambda always uses an overpowering number of pieces to make the best possible move, in order to win."
{f:5:Bernkastel}, But Beato sometimes intentionally cuts corners when she moves her pieces.
