Speaker,Original Witch Hunt (OG)
,"There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter."
," It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind..."
Ushiromiya Kyrie,"""......It's hard to imagine that it's morning. This horrible weather reflects our hearts."""
Ushiromiya Rudolf,"""Then isn't that pretty gentle? At least falling rain is better than falling spears."""
Ushiromiya Hideyoshi,"""Wahhaha. Whether it's rain or spears, it's comin' down with a bang. "
Ushiromiya Hideyoshi,".........Is it already 6:00? Fuaaaaaa... Isn't this enough? After this, we've got no measures we can take until the mystery 19th person, Beatrice, takes action."""
Ushiromiya Krauss,"""That is correct. ......However, I believe we have thought of every trick they could use against us."""
Ushiromiya Eva,"""That's right. As long as a traitor doesn't appear amid the siblings, we should be able to deal with most situations."""
Ushiromiya Rosa,"""......Haven't we talked about this enough? We've stayed up all night. ...I'm tired."""
Ushiromiya Natsuhi,"""You're right. How about taking a little rest after eating breakfast?"""
Ushiromiya Krauss,"""...A good plan. Staying up all night is trying at our age."""
,"As they all stretched, they enjoyed this unrefreshing morning as best they could."
Ushiromiya Rudolf,"""I'll go wash my face or something. We probably look horrible."""
Ushiromiya Kyrie,"""...............? What is that horrible stench?"""
,"As soon as they exited into the corridor, Kyrie openly made a disgusted expression."
Ushiromiya Natsuhi,"""...What happened?"""
Ushiromiya Kyrie,"""Hey, don't you smell something awful...?"""
Ushiromiya Hideyoshi,""".........Hm. ...What is this stench? I can't stand it..."""
,"Because of that disturbance, everyone stuck their heads out into the corridor....It was a faint stench, but after Kyrie had started complaining about the stink, they clearly noticed it."
," Each of them went into the corridor, relying on their own sense of smell to tell them where this strange odor was coming from..."
Ushiromiya Natsuhi,"""What in the world could it be? Let us have Genji deal with it. I believe he should already have arrived in the servant room to begin the morning preparations."""
Ushiromiya Krauss,"""Hmm, please. It is at least difficult to imagine that Gohda would make a breakfast that would cause this kind of stench..."""
,"Rudolf and the others searched for the source of the smell, and determined that it was coming from underground, from the boiler room."
," But the door was locked, and they couldn't check inside."
," On the other side of things, as Natsuhi and the rest were on their way to search for someone in the servant room, they noticed something strange about the parlor."
Ushiromiya Natsuhi,"""......What is this...?!"""
Ushiromiya Rosa,"""I, it's a horrible prank... Who would do something like..."""
,"On the door to the parlor, in a paint that reminded one of blood, there was a strange..., thing like a magic circle drawn."
Ushiromiya Eva,"""No one has come to the kitchen yet. ......Wh, what is, that?"""
,"Eva's group, who had thought the smell had been coming from the kitchen, had returned after checking that no one was there and that preparations for breakfast had not yet begun."
,......And they had noticed something unusual about the parlor.
Ushiromiya Rudolf,"""It's useless, the boiler room is locked. Wouldn't it be bad if something's broken down in the boiler room? Is there a servant anywhere around here?"""
Ushiromiya Kyrie,""".........! Is that vulgar scribble here too? There was also one on the door to the boiler room."""
Ushiromiya Hideyoshi,"""What's that?! This creepy scribble isn't just here, but it's in other places as well?! Haha, you don't think that this is the witch of the forest Beatrice's declaration of war, right?"""
,"Hideyoshi tried to make fun of it, but staring at this creepy magic circle while listening to the wind and rain really made it seem like it was a message from a witch."
,"...The dripping bright-red paint made one think of blood, and it made things even more creepy."
," Hideyoshi tried to open the door, but it had been locked."
,"...As a general rule, the parlor wasn't locked. Someone had gone out of their way to lock it."
Ushiromiya Rosa,"""......What does this mean...? Could it be that, while we were talking in the dining hall, someone secretly left this scribble? On the doors to the parlor and the boiler room?"""
Ushiromiya Eva,"""...I'm sure the servants are behind this. We were together the whole time. We all have alibis. ......They probably received some strange order from Father, and did this prank."""
Ushiromiya Rudolf,""".........Including the case yesterday with Maria-chan's letter. It is very easy to suspect that the servants are acting on Father's orders and planning something. ......Anyway, where is everyone? They can't be playing hide and seek. Let's look for them."""
Ushiromiya Rosa,"""B, ...before that, I'm worried about the children. They're alright, aren't they? I'll go and check, and while I'm there, I'll see if there aren't any servants there."""
Ushiromiya Rudolf,"""Then let's split up. While you go to the guesthouse to see how the brats are doing, we'll investigate inside the mansion..........I don't want to think about it, but maybe these creepy magic circles aren't just where we've found them."""
Ushiromiya Krauss,"""......We might be wrapped up in Father's bizarre game. ...I will go to him and hear the situation. ......Well, I don't think he will obediently listen to me though."""
,The adults split up.
," As a result, they made sure that four children were safe in what they were calling the cousins room, on the second floor of the guesthouse."
," It appeared that they had stayed up late last night playing. All of them were snoring loudly, so Rosa decided not to wake them."
," Furthermore, Nanjo, who had returned early the previous night to rest, was also alright. It seemed he believed in the phrase 'early to bed, early to rise', and had awoken refreshed."
," During that time, Kyrie and Hideyoshi searched for the servants. But they didn't find them."
,...The servant room in the guesthouse was also empty.
Ushiromiya Rosa,"""......The children are alright. All of them stayed up too late last night."""
Ushiromiya Hideyoshi,"""The servant room is empty. I looked at the shift chart, and the mornin' shift begins at 6:00. They should have started workin' by now..."""
Ushiromiya Kyrie,"""The nap room is also empty. There were signs that a futon had been taken out, but it wasn't warm."""
Ushiromiya Hideyoshi,"""Hey, ...isn't your reasonin' right on this? ......This is probably a game planned on Father's orders. Surely, he left those creepy scribbles and hid himself somewhere, trying to make us do somethin'."""
Ushiromiya Kyrie,"""......Are you saying that he's trying to see who is fit to succeed his wealth and inheritance? ...Isn't that a bit..."""
Ushiromiya Rosa,"""No......It might not be strange if Father was behind something like that."""
Ushiromiya Hideyoshi,"""After all, Father loves big tricks. ......This might have been a polished plan since that epitaph was hung in the hall."""
Ushiromiya Kyrie,"""...In that case, I wonder whether they will make an announcement of the game or an explanation for it. ......Although it would be nice if an envelope with the crest, like the one handed to Maria-chan, were to appear."""
Ushiromiya Rosa,"""............That's right. Maybe Nii-san and the rest have found that in the mansion."""
Ushiromiya Hideyoshi,"""Doctor Nanjo. Have you heard anythin'?"""
Nanjo Terumasa,"""......M, my apologies, I do not have any idea what is going on. And yet, ......yes, I see, I could easily imagine that Kinzo-san is planning something big."""
Ushiromiya Hideyoshi,"""...Shouldn't we go back to the mansion for now? Maybe they found somethin' over there."""
Nanjo Terumasa,"""If I will not be in the way, I will go too."""
Ushiromiya Rosa,"""I, I'll stay here. ...The children are sleeping upstairs. We don't know what is happening. We cannot leave them alone."""
Ushiromiya Kyrie,"""......That's right. I'll stay with Rosa-san and watch over the place. Would you tell that to my husband?"""
,"Rosa and Kyrie remained in the guesthouse. Hideyoshi went with Nanjo, and returned again to the mansion."
," On the other side, in the mansion..."
," In a way that was hard to believe, ...or maybe we should say in a way that gave him a bad feeling..."
, Rudolf's prediction was right on.
,...Because the same magic circle scribble that had been drawn on the doors to the boiler room and the parlor had been found in multiple places throughout the mansion.
Ushiromiya Rudolf,"""Aniki...! How's Father?"""
Ushiromiya Krauss,"""No, it was useless. There was no response. I tried putting my ear against the door, but I couldn't sense anyone."""
Ushiromiya Natsuhi,"""...I cannot find the servants anywhere. ...Where in the world did they disappear off to..."""
