Speaker,Original Witch Hunt (OG)
,Rosa returned to the lobby.
," It was still her time to rest, but her expression made it look as though she couldn't sleep deeply with all this tension."
Ushiromiya Rudolf,"""......Take it easy and lie down. It'll get tough later on at this rate."""
Ushiromiya Rosa,"""Thanks for your concern. I just can't sleep. ......If you just let me take a shower, that will be enough. The next person can rest."""
Ushiromiya Natsuhi,"""What about you two, Kyrie-san? Rudolf-san?"""
Ushiromiya Kyrie,"""......What will we do, Rudolf-san? Will we rest?"""
Ushiromiya Rudolf,"""You can rest. I'll stay awake. That's the only manly thing I can do right now."""
Ushiromiya Kyrie,"""Then I'll stay awake. Staying awake with my husband is the only womanly thing I can do right now."""
Ushiromiya Natsuhi,"""......*giggle*. You two truly are close."""
Ushiromiya Kyrie,"""You should talk. *giggle*."""
Ushiromiya Krauss,"""It seems that Eva and Hideyoshi-san are out cold. It appears as though unlike Rosa, they can't fight against their age."""
,"As though in response to those words, the door to the hall clunked open."
, Eva and Hideyoshi returned from the guest room.
Ushiromiya Eva,"""That's none of your business. ...Oh, Rosa, are you still alright without sleeping?"""
Ushiromiya Rosa,"""You should talk, Nee-san. Why not take it easy and rest?"""
Ushiromiya Eva,"""............I just can't get to sleep. After taking a shower, my drowsiness faded away. Rudolf, Kyrie-san, you can rest if you want."""
Ushiromiya Rudolf,"""Sure, thanks. Well, I appreciate the sentiment. Why don't you go first, Aniki?"""
Ushiromiya Krauss,"""How kind of you. But I cannot rest first. That is the most I can do as the oldest brother."""
Ushiromiya Natsuhi,"""Do not worry, the two of us will be awake until the very end."""
Ushiromiya Kyrie,"""......*giggle*. .........More importantly, Eva nee-san, are you alright? You look a little pale."""
Ushiromiya Hideyoshi,"""......Come to think of it, you're right. ......Hmmm? Could it be a bit of a fever?"""
,Hideyoshi put his hand up against Eva's forehead....It seemed that Eva wasn't feeling her best.
Ushiromiya Rudolf,"""That goes without saying. ...It's because you broke your daily cycle at your age. ......Is it a cold?"""
Ushiromiya Krauss,"""...Natsuhi. Could you call Doctor Nanjo down?"""
Ushiromiya Natsuhi,"""Y, yes."""
Ushiromiya Eva,"""...I'm fine, you don't have to make such a big deal out of it. I have some medicine, so I'll be fine. ......I tend to get a fever when I'm tired. Don't worry."""
Ushiromiya Rosa,"""......Nee-san, take it easy, okay?"""
Ushiromiya Eva,""".........Thank you. ...If the siblings were gathered without me around, I get the feeling everyone would start talking behind my back. ...It's a persecution complex from long ago. Sorry, okay?"""
Ushiromiya Rosa,"""............I won't say anything. To think that I would say something bad about you when you're away, Nee-san."""
Ushiromiya Eva,"""........................"""
Ushiromiya Rosa,"""......What is it? Nee-san, you've been acting strange for a while? Shouldn't you get a little rest now?"""
Ushiromiya Eva,"""............You're right. Just thinking about raising money by March makes my headache hurt even worse."""
Ushiromiya Rosa,"""That isn't good. Rest. ...I'll restrain myself so that your headache doesn't get worse. I've had a bad headache myself for a while now."""
Ushiromiya Eva,""".........Thank you. ......Well then, I'll count on what you've said and rest for a while."""
Ushiromiya Hideyoshi,"""What is it, Eva? Why so angry all of a sudden? ......Sorry, please let us rest a bit longer. My apologies..."""
,"After apologizing several times as though praying, Hideyoshi went after Eva, and left the lobby."
Ushiromiya Krauss,"""............I don't like this atmosphere. Everything's so strained."""
Ushiromiya Kyrie,"""That's no surprise. ......There was a murder early this morning. And since then, we've been eating canned food and holding guns. ...It's natural that we would start to build up stress."""
Ushiromiya Rosa,"""I wonder if the kids up there are also building up stress. ......I'm worried about Maria. She tends to get irritable in times like this."""
,"At that time, they heard the sound of wild footsteps from the second floor. The guesthouse wasn't a cheap building, so they wouldn't normally have heard the sound of footsteps."
, It was like the sound of someone stamping their feet in frustration.
," And in a flash, in addition to the sound which seemed to be caused by her running around the second floor, they could hear Maria calling uu-uu-uu- over and over again, sounding displeased."
," Rosa grabbed her head, her hair flying, and she voicelessly moaned in anguish..."
," The adults conscientiously turned their backs to her, pretending not to notice."
, The noisy clamor came down from the second floor and flew into the lobby.
," It was Maria, who was sobbing, along with the other children and Nanjo."
,"...In other words, they had all come downstairs because of Maria's tantrum."
