Speaker,Original Witch Hunt (OG)
,"Forcefully opening the door with a clunk, Rosa flew in with Maria."
Ushiromiya Rosa,"""Is Genji-san or anyone there...?!  It doesn't matter who, bring us a bath towel...!!"""
,"It was already a full-blown typhoon outside, and it was starting to pour down hard.Even though she had had an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time."
,She had grown ice cold.
,"Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there."
,"......She had done as she was told, and had continued to wait in that spot even though rain was pouring down."
,"Rosa certainly had gotten a little emotional and angry, but Maria's stubborn whim was probably more at fault."
,"......The cousins, who had seen that exchange, were relieved to see the mother and child close to each other again."
,"Rosa scrubbed Maria's head with a towel.She seemed overcome with worry that Maria had caught a cold, but Maria herself was nonchalant."
Ushiromiya Rosa,"""Are you alright?  You didn't get a cold, did you?  Maybe we really should go back for now and get a change of clothes..."""
Ushiromiya Maria,"""Uu-, just fine!  More importantly, Maria is hungry, so food is better than changing clothes, uu-!"""
Ushiromiya Battler,"""Hah-hah-hah-ha.  She looks alright, Rosa oba-san.  She's gotta be alright if she's this spirited."""
Ushiromiya George,"""It's a really good thing she had an umbrella.  ......I was thinking she might be soaked to the bone.  The fact that she was holding on to an umbrella is the silver lining on a cloudy day."""
Ushiromiya Jessica,"""But Maria!  Even if you have an umbrella, you have to get some shelter if it starts raining so hard, right?  Little girls definitely shouldn't let their bodies get cold."""
Ushiromiya Maria,""".........Uu-."""
Ushiromiya Rosa,"""It's alright, Jessica-chan.  ......It's Mama's fault for telling her to stay there.  I'm really sorry, I'm really sorry...!!"""
Ushiromiya Maria,"""Uu-!  Maria's a good girl?  Maria's a good girl for doing what Mama said?  Stayed there even though it was cold, stayed there until Mama came!  Uu-uu-!"""
Ushiromiya Rosa,"""Yes, you really are a good girl, Maria.  You did exactly what Mama said...  Truly impressive.  But next time, even if Mama tells you to do something, find some shelter if it starts raining like that.  Alright...?  Promise Mama."""
Ushiromiya Maria,"""Uu-.  Promise Mama.  ......Uu-☆"""
,"As Rosa gently held Maria, they joined their pinkies together and promised."
,"Battler and the others realized that by touching her mother's pinky, the warmth had started to return to Maria's body."
Ushiromiya Rosa,"""Kanon-kun, thanks for the towel.  That really helped."""
Kanon,"""......Then, if you would excuse me."""
,"As Kanon bowed with a blank expression, as though he had done nothing that required gratitude, he left the parlor."
Ushiromiya Rosa,"""......Alright, it's already dinnertime.  Let's all go together.  ......I'll even give Maria my share of the dessert for being so good."""
Ushiromiya Maria,"""Uu-!  Really Mama?!  Uu-uu-, get dessert, uu-uu-uu-♪  Love Mama, love Mama!"""
Ushiromiya Rosa,"""Hey, Maria, don't jump around.  Mama loves you too, Maria.  Love Maria, love Maria."""
Ushiromiya Maria,"""Maria loves Mama too, love Mama!  Uu-uu-uu-uu-!"""
Ushiromiya Rosa,"""Uu-uu-uu-uu-♪"""
,Rosa and Maria looked really close.  Even the cousins who watched started to feel a long-forgotten warmth fill up their chests.
Ushiromiya Battler,"""......You know, that might be the age when you're on your best terms with your parents."""
Ushiromiya Jessica,"""It wasn't like that for me.  Mom was always yelling at me to study, study, study."""
Ushiromiya George,"""That's because they love their children.  A parent's love isn't always gentle and indulgent.  My mother was strict with me too, but by now I realize that it was because she treasured me so."""
Ushiromiya Maria,"""Uu-uu-uu-!  Love Mama, love Mama!"""
Ushiromiya Rosa,"""Love Maria, love Maria♪  So, shall we get some food?  Let's be friends and hold hands."""
Ushiromiya Maria,"""Uu-!  Be friends and hold hands!  Mama and Maria, friendly friendly♪"""
Ushiromiya Rosa,"""Yes, that's right.  Mama and Maria are friends.  We'll a-lways be like this.  I love you, Maria..."""
Ushiromiya Battler,"""............What's going on, all of a sudden?  ...What's up?"""
,"The sudden sound had come from the teacup Gretel had been holding, which had fallen and smashed."
Ushiromiya Ange,""".........Sorry.  I got careless.  Sorry for dropping it."""
,The cup on the floor had smashed to pieces.
,......Would it really have made such a sound and smashed to pieces just by being dropped from that height?
,"Even someone as thick-headed as Battler could realize that she was in a bad mood over something, but he couldn't understand why she had suddenly grown so displeased."
,"When she made to bend over and pick up the fragments of the cup, Ronove appeared out of nowhere and stopped her."
Ronove,"""You will injure yourself.  Leave the cleaning up to me.  Shall I bring you another cup of black tea...?"""
Ushiromiya Ange,"""......I don't need it.  .........I guess a demon's black tea just doesn't match my tastes."""
{f:5:Beatrice},"""Hoh.  To think that there is someone whose tastes aren't satisfied even by Ronove's tea.  I must respect your discerning palate."""
Ushiromiya Ange,""".........I'm getting bored, so I'll go out for a second."""
Ushiromiya Battler,"""Bored?  Wait a sec, this is where things start to get interesting.  About now, Maria is probably going to say that she got an umbrella and a letter from Beatrice again, right?  This is the essential part..."""
Ushiromiya Ange,"""Excuse me.  Sorry, I'm counting on you to clean this up."""
Ronove,"""Leave it to me."""
,"Without saying anything else, Gretel disappeared of her own accord.  Her form literally melted and disappeared into thin air..."
,There was definitely a displeased expression on her face.
,"But neither Battler nor Ronove, and of course, not Beato either, could understand why her mood had so suddenly worsened."
,All that remained was the scent of the black tea she had spilled...
,.........I don't like it.
,"No, to be more blunt, it disgusts me."
Ushiromiya Maria,"""Uu-...?  ......Why are you so irritated, Ange......?"""
Ushiromiya Ange,"""Why, you say!  Isn't it obvious...?"""
Ushiromiya Maria,"""Uu-.  ...Maria doesn't understand......"""
,"Even Maria onee-chan, with that blank expression on her face, ...irritated me."
,"As I held my hands palms up in the empty air, from out of nowhere, a single book landed on them."
,.........It was Maria onee-chan's diary.
,"Even though I didn't turn the pages, the pages were flipped through, even though there was no wind, and the door to Maria onee-chan's world opened."
Ushiromiya Maria,"""......Why do you think that Maria isn't happy, Ange?"""
Ushiromiya Ange,"""............Think about it objectively."""
Ushiromiya Maria,"""By objectively, you mean from your perspective, right Ange?"""
Ushiromiya Ange,"""........................Are you trying to say that the truth is different for me and you, Maria onee-chan?"""
Ushiromiya Maria,"""Truth can change its form depending on the observer.  And observers from the future always overwrite that form.  .........Ange, what are you trying to do to Maria's happiness...?"""
Ushiromiya Ange,"""........................"""
,The pages of the diary were flipped through at greater and greater speeds...  Then a brilliant light poured out from the depths of the diary......swallowing everything up and painting over everything with white.
Ushiromiya Rosa,""".........Sorry, Maria.  Mama has to take care of some sudden business that has piled up, so I need to stay holed up at the company for a while.  ......I probably won't be able to come back home until late at night the day after tomorrow."""
Ushiromiya Maria,"""......Uu-.  ......Then, what about your promise to go to the movies with Maria on Sunday......?"""
Ushiromiya Rosa,"""The movies...?  Umm-"""
,"Judging by Rosa's tone, she had clearly forgotten that promise."
,But Maria's response to that was an apology for asking...
,.........I'm sorry.
,Maria apologized for troubling her mother by asking that question......
Ushiromiya Maria,""".........Maria will stay home.  I'll definitely wait patiently.  ......Maria will take a bath every day and change her underwear."
Ushiromiya Maria,"  ...Also knows where the money is.  .........Maria will go to a different store every day.  Will try not to go out too late.  If a policeman asks, Maria will say that she is running errands for Mama.  ......Maria will do what Mama says, like Mama says."""
Ushiromiya Rosa,"""...........................That's right.  You really are being a good girl.  If you do that, I'll buy you a present.  Alright?  Go to bed by 9:00.  You must not tell the teacher or any adults that Mama isn't coming home.  Alright......?"""
Ushiromiya Maria,"""...............Yes.  ......So Mama, do your best at work.  ......Do your best, end your job......and come back as soon as you can..."
Ushiromiya Maria,"  Maria, ......won't cry all night and annoy the neighbors anymore............So, come back quickly........."""
Ushiromiya Rosa,"""..................Well then, I'm busy, so I'll hang up.  ...Be a good girl and wait.  Don't do anything foolish.  Goodbye."""
,"*click*.  ......With a tone of finality in her voice, Rosa hung up the phone without waiting for Maria's answer."
,"Maria politely set down the receiver and returned to the sofa.There sat the stuffed animal Sakutaro, who she had been watching TV with until a second ago."
,Sakutaro was holding the remote control to the TV.......The TV had been turned off because of the phone call.
,He looked like he was telling her to push the switch because he wanted to watch TV again quickly.
Ushiromiya Maria,"""............Sakutaro.  ......Want to watch, ...TV?"""
Sakutarou,"『......Uryu?  You don't want to watch anymore, Maria...?  If the actors' team gets all the questions right, they might turn things around.  Uryu~!』"
Ushiromiya Maria,""".........No.  .........That's enough...TV."""
,"Again, ......Mama was busy with her work and didn't come home."
,Mama works so much overtime that she doesn't come home until late.
,"......Because she had a date or something, she always came home after drinking a lot of alcohol, even though it wasn't strong, and with a pale face, she would go straight into the shower and then to bed."
,"And because she had overtime on the weekends or something, she said she had to stay over, and almost never came home."
,"......Recently, she had started saying something about how a big job was holding her back, so this sort of thing happened frequently..."
,"......The pictures I did my best on during drawing time were laughed at by everyone, but even so, I wanted to show them just to Mama...and once again, she won't be able to look at them for me."
,"And the time when everyone had pushed the job of cleaning up onto me, but I did my best by myself and was praised by the teacher."
,"And the times when I went shopping, and the man at the shop always said he admired me and gave me a free canned coffee."
,"And the time when I wanted to encourage Mama because she worked so hard on her job, and hid a card for her under her pillow."
Ushiromiya Maria,"""............There's a lot, ...of other things, ......I wanted to talk about."""
Sakutarou,『.........Mama is working really hard at her job.  She's working with all of her strength so that we can eat every day.』
Ushiromiya Maria,"""......I hate her job.  ......Why doesn't Mama just quit."""
Sakutarou,"『A job is an important thing for adults to do.  ......It lets Maria eat, buys clothes, pays for school lunches, and pays the deposit for summer camp.  ......This is all because Mama works and earns money.』"
Ushiromiya Maria,""".....................Don't need food.  Don't need clothes.  Don't need school lunches and don't want to go to summer camp.  ...It's not like any of the groups will let Maria join in."""
Sakutarou,"『Uryu............Just now, on the phone, Mama promised that she would buy a present when she comes back from work, right?"
Sakutarou,"  I think Mama made that promise because you are important to her, Maria, and she would feel bad if she made you lonely.』"
Ushiromiya Maria,"""......Is that true..."""
Sakutarou,"『Uryu!  It definitely isn't a pain, or annoying or anything!  ......Mama also wants to be by your side all the time, Maria."
Sakutarou,"  ...It's also painful and sad for Mama since she can't do that.  ............I remember when Mama spent the whole night by your side, crying.』"
Ushiromiya Maria,""".........Yeah.  ...Didn't understand why Mama was crying, ......but Mama was so sad, ...and Maria couldn't do anything but stay silent by Mama's side."""
Sakutarou,"『I remember the last thing Mama said then.  ......She said 'thank you, Maria'.  .........Mama said that just by being by her side, you were her only ally in the world.  ......Uryu, do you remember?』"
Ushiromiya Maria,"""Yeah............Maria is Mama's only ally in the world, ......she said."""
,"Sakutaro set the remote control on the table, crawled up onto the sofa, sat on my lap, ...and spoke to me, gazing into my eyes."
Sakutarou,"『......I'm sure Mama feels the same way you do, Maria.  .........The designs Mama draws are the only ones laughed at by the clients.  ......Only Mama's company has troublesome jobs pushed onto it by other companies."
Sakutarou,"  Mama is the president, so she has to take care of everything by herself.  ......Only Mama's company never gets included in the business of other companies."
Sakutarou,"  .........Mama's only ally is Maria.  ......If you tell Mama to stop her job, ......where in the world could Mama find an ally.........?』"
Ushiromiya Maria,"""............uu............Sakutaro......"""
Sakutarou,"『The only person I have in the whole world is Maria.  ......The only person Mama has in the whole world is Maria.  .........What about you, Maria?』"
Ushiromiya Maria,"""......Mama's here too, and so is Sakutaro..."""
Sakutarou,"『So Maria, you aren't lonely at all!  Uryu!"
Ushiromiya Maria,""".........Uu-."""
Sakutarou,"『Since Mama is busy with her work, she can't be together with you very often, but please, don't blame her for that, Maria.  ......In exchange, I will always be here, and I'll be by your side forever.  ............So don't cry, okay...?"
Sakutarou,"  .........Uryu...  Can't your sadness be stopped, .........if I'm with you......?』"
Ushiromiya Maria,"""............uuu, ......uuuuuuuuuuu, Sakutaro.........Uuuuuuuuu!!  Uwaaaaaaaahhh, waaaaaaaaaaaahhh..."""
,".........From the corner of Maria's heart, which she had been doing her best to seal up, ...drops of sadness finally dripped down.  ......*drip*drip*.  *drop*drop*."
,......*drip*drop*drip*drop*.
,Even though weekends where Mama doesn't come home aren't that rare a thing.
,......It's not like tonight is particularly painful or sad compared to other nights.
,......Maria's tears poured down.
Sakutarou,"『Uryu-...!  Maria, don't cry...  I'll always be with you...  Even if you cry, Maria, I won't.  I'm a lion cub, so I won't cry even if I'm lonely.  ...Even though I want to cry too, I won't...!』"
Ushiromiya Maria,"""Why won't you cry, Sakutaro...?  Even though you're so sad that you can't hold back the tears, you won't cry...?"""
Sakutarou,"『Uryu.  But if I cry, who will make you feel better...?  So I won't cry.  After all, I want to get your spirits up.』"
Ushiromiya Maria,"""If Maria gets her spirits up, ......will Mama come back......?"""
Sakutarou,"『When Mama comes back, if she's welcomed by a happy Maria, ......I'm sure she'll be happy.  Uryu.』"
Ushiromiya Maria,"""......Mama...will be happy......?"""
Sakutarou,"『Uryu.  If you do that, then I'm sure her fatigue from work will also be healed.  Then, I'm sure she'll start feeling better sooner, and will play with Maria a lot.』"
Ushiromiya Maria,"""........................"""
Sakutarou,"『When you come home and Mama's waiting for you there, and she's in the kitchen in high spirits, don't you feel really happy?  I'm sure Mama feels the same way.』"
Ushiromiya Maria,"""......If Maria stays home in high spirits, ......will Mama feel happy too?"""
Sakutarou,『Uryu!』
,Sakutaro nodded deeply with his big head.The tears couldn't keep falling from Maria's eyes.
,"......If she greeted Mama with a tear-stained face, Mama would probably get sad too."
Sakutarou,"『You know about it, Maria.  You can't use the magic that creates smiles if you aren't smiling too.』"
Ushiromiya Maria,"""......Yeah.  ......Maria knows.  So, won't cry anymore."""
Sakutarou,"『Hey, Maria.  I have an idea for how to have a fun time.  ......Uryu, want to hear it?』"
Ushiromiya Maria,"""......Whaat?"""
Sakutarou,『Mama won't come back until late night Sunday.  So let's have a pajama party and keep it a secret from Mama.』
Ushiromiya Maria,"""Pajama party...?"""
Sakutarou,"『Until you get tired late tonight, eat candy and drink soda in bed, and play with me.』"
Ushiromiya Maria,"""A pajama party.  ......Yeah, sounds fun.  ...I don't have to go to bed at 9:00, right?  Mama won't get mad if I don't sleep?"""
Sakutarou,"『This is a secret between me and you, only for when Mama isn't around.  So tonight, until you get sleepy, let's have fun the whole time."
Sakutarou,  Let's eat jellybeans and try to guess what color we'll get next.  Let's split open peanuts and try to guess which half is the Grandpa.
Sakutarou,"  Let's search for treasure in the closet.  And more, and more!  I wonder what it'll taste like if we mix cola and melon soda.』"
Ushiromiya Maria,"""Uu-.  Wanted to try it once, but asked Mama if it was alright and she got mad."""
Sakutarou,"『Uryu-!  Let's keep it a secret from Mama and try it out♪  Tonight, let's play a lot, laugh a lot, and blow away our tears with happiness.  Don't worry, it'll definitely be fun if I'm here!  I'll definitely make you happy, Maria.』"
Ushiromiya Maria,"""Yeah, yeah.  It'll definitely be fun if Sakutaro's there.  Maria can definitely become happy.  Thank you Sakutaro.  Won't cry anymore.  Let's play all we can, get happy all we can, and say welcome back when Mama gets home."""
Sakutarou,"『Uryu-!  Tonight, let's play a lot and feel a lot better♪  Let's play a lot in a secret party that we can only have when Mama isn't here."
Sakutarou,"  If we're noisy enough, I'm sure plenty of friends will come to play from the land of the looking glass and wonderland.  Then, we'll have so many friends that we won't be able to get bored.  Uryu-!』"
Ushiromiya Maria,"""Uryu-!!"""
,"......Then, Maria began her pajama party all alone with Sakutaro, having fun until late into the night."
,"She played by sticking her hand into the bag of jellybeans without looking, and trying to guess which color she pulled out."
,......Sakutaro had good intuition and got it right a lot.Maria also had a brilliant move where she guessed right four times in a row.
,"The game where she split peanuts open and tried to guess which was the Grandpa, was easier than guessing the color of the jellybeans, so she got it right a lot."
,"Sucking her salt-covered fingers was impolite, but that was the yummiest part."
,She liked both cola and melon soda on their own.
,"She hoped that by mixing her two favorite drinks, there might be a flash of light like alchemy, and a new drink that no one had ever tasted before would be created."
,"She got excited about how, if it turned out really delicious, she would call it Sakutaro Soda and sell it."
,"But, unexpectedly, it had a weird taste that she hadn't hoped for.And the color was somewhat dull and thick."
,...Maybe I shouldn't have been surprised that black and green mixed together would make this.......Too bad.  I imagined that it would become a sparkling pineapple color.
,"But, it was an awesome, awesome, fun night."
,"If it's this fun, maybe Mama will start wanting to come home and do so by chance."
,"......So I felt like Mama might suddenly come home and went to the front door many times to check, but there was no way Mama would be able to come home when she was this busy with work."
,"But rather than a feeling of loneliness, it felt just a little disappointing that Mama couldn't join in on this fun late-night party."
,"Sometime soon, I'll do this when Mama is around, and let her join in."
,"Mama thinks things that Maria doesn't think are yummy are delicious, so she might say that Sakutaro Soda is really yummy."
,"When Mama comes back tired, I'll serve her some."
,And more than anything.
,......I wanted to at least write about this fun night in a letter and tell Mama about it.
,So that these feelings of happiness would reach Mama too.
,"Her work is always so tough and she comes home so tired, so I hope I can share this happiness with her."
,"Mama will almost certainly come home tired late Sunday night, and I hope I can make her even just a little brighter by sharing this happiness......"
,I softly placed that letter on Mama's desk.
,{e:070:'To Mama.{n}  Good job with your work again today☆  Let's share our happiness.{n}  ――From Maria'}
,"Then, she decided to give a present to Sakutaro for proposing this wonderful party."
,A small red muffler that she had found when searching for treasure in her closet.
,"When Maria had still been very young, Mama had knitted this tiny red muffler."
,'Maria' was embroidered on it with knitting wool.
