Speaker,Original Witch Hunt (OG)
,.......................................... 
Sakutarou,"‘........................Uryu... .........Maria, ...answer me......’ "
Ushiromiya Maria,"""..........................."" "
Sakutarou,"‘.........Uryu... ......So I really am... a stuffed animal...? ...I'm made of cloth and cotton, ...so there's no way I can... talk...? ...So, ...I can't talk to Maria......?’ "
,Sakutaro looked up at Maria sadly. 
,"Maria's face was covered with tears, and it looked as though it had even lost all traces of sadness... "
Ushiromiya Maria,"""......Uu-. ...I hear you, Sakutaro. ...You aren't a stuffed animal made of cloth and cotton. ......You are...my friend. ......I hate Ange. ...Uuuuuuuuuuuu..."" "
Sakutarou,"‘Uryu... Sorry, Maria. Sorry, Maria...! Uryu...!’ "
,"Sakutaro regretted doing that. By freezing her heart, Maria had finally been able to escape from her sadness. "
,"...By speaking up and calling her back, he'd caused her to be overwhelmed with sadness again... "
,"Sakutaro tried hugging Maria, letting go of her, and gazing at her uneasily, lost as to how he could bring Maria's spirits up. "
,...He might've looked a little humorous doing that. 
,"In the end, that was enough to distract Maria from her sadness... "
Ushiromiya Maria,"""Sorry. ......Crying won't help anything anymore."" "
Sakutarou,"‘You got in a fight with Ange, but you still have lots of friends, Maria... I'm not the only one. ......Everyone's here. Sakusuke and Sakukichi, the animal band, and many, many more...’ "
,"Maria looked at the many stuffed animals around her pillow, which were gathered together as though they were having an idle chat. "
Sakutarou,"‘...Everyone...is worried about you, Maria. They're all talking over and over about how to cheer you up, okay...?’ "
Ushiromiya Maria,"""............ ...Everyone won't...go away...like Ange...?"" "
Sakutarou,‘They won't. We'll always be together.’ 
Ushiromiya Maria,"""......Really? All of you are only with me at home. We can't go out together when Mama's around, and we can't go to school."" "
Sakutarou,"‘You aren't supposed to take us to school, so you'll get in trouble if the teacher finds out. But if no one finds out, we can be together at any time.’ "
Ushiromiya Maria,"""...Sakutaro, you're big, so you'd be found."" "
Sakutarou,"‘Then you can take one of the kids that are small enough to walk around with. ...For example, ...what about them? If you take the friends in the forest band, ...look, they're small, so you can hide them in your pocket and go to school together.’ "
Ushiromiya Maria,"""......There's a lot of them in the band. I can't fit them all in my pocket."" "
,She collected all of the forest band pieces that were scattered across her bed. 
,"There were about as many of them as pieces in a chess set, so it'd probably be impossible to fit them all in her pocket... "
Sakutarou,"‘In that case, you can just take friends that you're especially close with. ...You can take the four rabbits, your best friends in the forest band.’ "
Ushiromiya Maria,"""...I could fit four in my pockets. ...Yeah. This way, they won't be found."" "
Sakutarou,"‘Now, you won't be alone even at school, Maria. Those kids will be with you even where I can't go.’ "
Ushiromiya Maria,"""......Yeah. ...Maybe...I won't be lonely that way. ...Maybe I can hold out...until coming home from school..."" "
Sakutarou,"‘As long as we aren't found by the teacher and Mama, we can be with you at any time. So let's be together, play together forever. We definitely won't leave you all alone, Maria. Uryu!’ "
,Maria's expression finally regained a little of its brightness. 
,"...That's right. In the beginning, Maria's world didn't have Ange in it. "
,"Even without Ange, it was fun with everyone. "
,"And yet, strangely enough, it suddenly became sad without Ange, who had come in at the end. "
,...All that's happened is that I've returned to the world right before Ange entered it. ...So there's nothing to be sad about. 
Ushiromiya Maria,"""...Yeah. I'm not lonely. Sakutaro and the others are with me."" "
Sakutarou,"‘Uryuu! Loooove you, Maria...!’ "
Ushiromiya Maria,"""I won't let any more Humans come into my world. ...Mariage Sorcière is an alliance between me and {f:5:Beatrice} only. "
Ushiromiya Maria,"...From the start, even {f:5:Beatrice} didn't want to let Ange join. ......It's all right this way. Ange was still too young."" "
Sakutarou,"‘...For now, until you can be friends with Ange again, I think it's okay to forget about it. You can play together once you've regained your high spirits, Maria. Until then, all of us will be by your side.’ "
Ushiromiya Maria,"""......Thank you. ...Sakutaro, ...everyone."" "
,"Then, Maria once again regained her former world. She regained the world that wasn't lonely, where she was surrounded by many friends. "
,"Just like usual, she didn't have any Human friends at school, but her magic friends were always with her. "
,"The rabbit band she hid in her pockets talked with her during class, sounding like they were having fun. "
,Just listening to that greatly embellished the time she spent in class. 
,"Maria made it so that, as long as Mama and the teacher didn't find out, her other friends could always be with her. "
,"When Mama told Maria to go play outside, Maria would secretly pack Sakutaro and Sakusuke and the rest into her bag and play together at the library or somewhere. "
,"Even when Mama was late coming home and Maria went shopping for dinner, she always went with Sakutaro. "
,The man at the convenience store and the other people were nice to Sakutaro. He sometimes gave a second portion free for Maria and Sakutaro. 
,"When Mama found out, Maria would get in trouble for bringing Sakutaro and the rest outside. "
,"When the teacher found out, Maria would get in trouble for bringing toys to school. "
,The toxin must be strong in Mama and the teacher. That's why Sakutaro looks like a normal stuffed animal to them. 
,"After all, the convenience store man and the others say hello to Sakutaro. "
,"......Not all Humans are hopeless. There are tons of people who, unlike Ange and Mama and teacher, can say hello to magic friends like I can... "
,"""Oh, Maria-chan. Welcome. Was your Mama late coming home tonight too...?"" "
Ushiromiya Maria,"""Yeah. ...But I've got Sakutaro, so I'm not lonely. Right, Sakutaro?"" "
Sakutarou,‘Uryu. It's not just Sakutaro today. Some other friends came too.’ 
,"""Oh, other friends, is it? What kind of friends did you bring today?"" "
Ushiromiya Maria,"""Today, the rabbits from the forest band are also with me. ...Look, in my pocket."" "
,Maria began to line up four ceramic rabbit dolls on the register. 
,"As the owner of the shop looked at it, smiling, he sent a signal to a part-timer with his chin. "
,"Then, the sign on the other register that said ""closed"" was taken down, and a voice called out for everyone to move over there. "
,All of the people in line behind Maria lined up behind that one... 
,"""I see, I see. You do have a lot of friends, Maria-chan. But I hope your Mama comes home soon."" "
Ushiromiya Maria,"""Uu-. Mama's busy with work again, so she's spending the night at the company. It's been very busy lately. ...She hasn't even been able to get much time to talk to me on the telephone. "
Ushiromiya Maria,"But I'm not lonely! I've got Sakutaro and the rest! Right?"" "
Sakutarou,‘Uryu-!!’ 
Ushiromiya Maria,"""I've even got all the rabbits from the band. Look. Kyu-kyu-{p:0:♪}"" "
,"""Is kyu-kyu- the sound a rabbit makes? My, I've never heard that."" "
,"After smiling at Sakutaro, who was poking his head out of her knapsack, she played around with the rabbit band on the register, making them frolic around. "
,"Although the shop manager gazed at this pleasantly, he had slightly pitying look on his face. "
,"...This was apparently a single mother household, where the mother had to work hard and couldn't come home very often. "
,"On top of that, it looked like this girl didn't even have any friends. "
,"As he watched her play around happily with her dolls and claim that she wasn't lonely despite everything, he couldn't help but feel a kind of compassion. "
,"And actually, this wasn't limited to him alone. Maria had become quite famous in this shopping district... "
,"""Maria-chan, you should eat some oden every once in a while. If you don't eat your eggs and fish paste, you won't get big."" "
Ushiromiya Maria,"""Uu-? Can't get a cream roll...?"" "
Sakutarou,"‘Uryu. If you don't eat certain things, you won't get big. How about oden for today?’ "
Ushiromiya Maria,"""Uu-. ...Then I'll have some oden."" "
,"""Yep, yep, that's the ticket. Why don't I stick a whole bunch in there? Want mustard?"" "
Sakutarou,‘Uryu. I can't handle spicy things...’ 
,"""I see, I see. Then, you make sure you don't let it spill on the way home. It'll sure be delicious while it's hot."" "
Ushiromiya Maria,"""Uu-. Thank you."" "
,"She had planned on getting some sweet pastries for dinner, but since oden had been recommended to her, she would be having that tonight instead. "
,Letting someone else determine the menu makes for an unexpected and interesting meal. 
,"...Very often, Maria had to decide what her dinner would be on her own, so it was easy for the menus to get a little one-sided. So, it felt fun to have a meal she hadn't anticipated... "
Sakutarou,"‘Uryu-! Thanks for giving us extra, Mister!’ "
,"""Send my regards to your other friends at home. No stuffing yourself on your way back. Go straight home and eat it there."" "
Ushiromiya Maria,"""Uu-! Thanks Mister!!"" "
,Maria raised the bag with the oden container high... 
Ushiromiya Maria,"""............ ......Huh...?"" "
Sakutarou,"‘...Uryu? What is it, Maria?’ "
Ushiromiya Maria,"""......The key isn't in my pocket."" "
,"Standing in front of the door to her house, Maria searched all over her body. ...The key to the house wasn't there. "
,"She always methodically put it in the same pocket. So there was no way she had put it in another pocket, but she searched her whole body just in case. "
,"...Unsurprisingly, it wasn't there. "
Sakutarou,‘Did you drop it when you took your wallet out...?’ 
Ushiromiya Maria,"""No. When I took my wallet out, I definitely felt it. I also felt it when I searched my pocket partway here. "
Ushiromiya Maria,"...It was there until partway. I didn't drop it! Uu-uu-uu-...!"" "
,"Even though the late autumn wind had been bearable when Maria had been thinking of returning home, where the heater was, now that she was confused and had lost her key, that wind tormented her. "
,"But no matter how hard she searched, she couldn't find her key. She turned out all her pockets and even tried taking off her jacket and hitting it, but to no avail. "
,"...Of course, she also turned the knapsack Sakutaro was in upside down, but the key didn't come out. "
Ushiromiya Maria,"""......Uu-. ......Uu-uu-uu-!!!"" "
,"Something that should have been there...wasn't where it was supposed to be. Why isn't the key there, when I didn't do anything wrong? "
,...Why isn't it?! Why?! Why...?!!! 
,"Maria was cold and frustrated and angry, and she stamped on the ground... The bottom of her foot throbbed, but that didn't lessen her frustration. "
,"...At the same time, her tears poured out. "
Ushiromiya Maria,"""...Uu-. ...Uu-!! Uuuu---!!"" "
,"It wasn't her fault. So, it was someone else's fault. "
,But Maria didn't know who that someone was...and could do nothing but continue to let out a moan of anger. 
Sakutarou,"‘...Uryu... I'm sure you dropped it partway... Let's look for it, okay? Let's return on the road we came by and search, okay...?’ "
Ushiromiya Maria,"""...Uu-... Even though I went to all the trouble of buying oden...and got eggs and stuff for free... I won't be able to eat it while it's hot... ......Uuuu----!!!"" "
Sakutarou,"‘...Maria, ...I know it's frustrating, but let's search, okay...? It's no one's fault, so let's search...’ "
,Maria finally lent an ear to Sakutaro's words and began to trod back down the road she had come on. 
,"...The wind was colder than before, and it felt like it was blowing in through the corners of her jacket in a mean way... "
Sakutarou,"‘Uryu... Let's watch our feet closely and search, okay...? Then let's get home quickly, let the heater warm us up, and eat oden, all right? I'm sure it'll be delicious.’ "
Ushiromiya Maria,"""......Uu-. ...Gone. ...Uu-. ...It's gone..."" "
,"As Sakutaro encouraged her, Maria searched for the key... "
,But she made it all the way back to the convenience store where she'd bought the oden. ...She hadn't found it. 
,"Just in case, she asked the man at the convenience store whether they had found a dropped key, but they hadn't found anything. "
,"...One more time, she returned home, paying close attention to the area around her feet. But, unsurprisingly, she didn't find it. "
